䷀乾	竭然反依字作乾下乙乾從旦於㫃音偃說卦云乾健也此八純卦象天
元亨	許庚反卦德也訓通也餘放此
濳	捷鹽反
龍	喻陽氣及聖人
見龍	賢遍反示也注及下見龍皆同
利見	如字下皆同
大人	王肅云聖人在位之目
離隱	力智反
處於	昌吕反衆經不音者放此
德施	始豉反與也
不偏	音篇
則過	古臥反諸經内皆同
夕惕	他曆反怵惕也鄭玄云懼也廣雅同
若厲	力世反危也
无	音無易内皆作此字說文云竒字無也通於无者虚无道也玉述說天屈西北爲无
咎	其久反易内同
重剛	直龍反下同
竭知	音智
或躍	羊灼反廣雅云上也上音時掌反
所處	一本作可處
近乎	附近之近
猶	以救反
與	音預
不謬	靡幼反本或作繆音同
夫位	音符下皆同
亢	苦浪反子夏傳云極也廣雅云髙也
則佞	乃定反
邪	字又作耶似嗟反
彖	吐亂反斷也斷音都亂反
資始	鄭云資取也
乃統	鄭云統本也
雲行	如字
雨施	始豉反卦内皆同
之累	劣僞反
者邪	或作耶同餘嗟反後協句辭皆放此
象	翔丈反精象擬象也
自強	其良反
反復	芳服反注同本亦作覆
大人造	鄭徂早反爲也王肅七到反就也至也劉歆父子作聚
文言	文飾卦下之言也夫子之十翼梁武帝云文言是文王所制
之長	張丈反
之幹	古旦反
體仁	如字京房荀爽董遇本作體信
利物	孟喜京荀陸績作利之
不成名	一本作不成乎名
遯世	徒頓反
无悶	門遜反
樂則	音洛
確乎	苦學反鄭云堅髙之貌說文云髙至
可拔	蒲八反鄭云移也廣雅云出也
庸行	下孟反
閑邪	似嗟反下同
幾	旣依反注同理初始微名幾
能全	一本作能令
尟克	今亦作鮮同仙善反少也
怵	􁀐律反
解怠	佳賣反
上下	並如字王肅上音時掌反
非離	力智反
相應	應對之應易内不出者並同
流濕	申入反
就燥	蘇早先皁二反
聖人作	如字鄭云起也馬融作起
而當	都浪反易内皆同有異者别出
故盡	津忍反
當其	如字
上治	直吏反下及注同
放逺	于萬反
見而	賢遍反
粹	雖遂反
揮	音輝廣雅云動也王肅云散也本亦作輝義取光輝
爲行	下孟反下之行行而皆同
日可	人實反
未見	賢遍反
以辯	如字徐扶免反
重剛	直龍反下同
夫大人	音符發端之字皆放此
先天	悉薦反
後天	胡豆反
知喪	息浪反
其唯聖人乎	王肅本作愚人後結始作聖人
