周易繫	徐胡詣反本系也又音係續也字從􁀎若直作􁀎下糸者音口奚反非
辭	本亦作􁀏依字應作詞說也說文云詞者意内而言外也辤不受也受辛者辤辝籕文辤字也
上第七	本亦作繫辭上王肅本皆作繫辭上傳訖於雜卦皆有傳字本亦有無上字者
韓伯注	本亦作韓康伯注案王輔嗣止注六經講者相承用韓注繫辭以下續之
地卑	如字又音婢本又作埤同
其易之門	本亦作其易之門户
斷矣	丁亂反
之分	符問反章末注同
著矣	張慮反
見矣	賢徧反注同
縣象	音玄
雨施	始䜴反
相摩	本又作磨末何反京云相磑切也磑音古代反馬云摩切也鄭注禮記云迫也迫音百
相盪	衆家作蕩王肅音唐黨反馬云除也桓云動也唯韓云相推盪
鼓之	虞陸董皆云鼓鼓動也
霆	王肅吕忱音庭徐又徒鼎反又音定京云霆者雷之餘氣挺生万物也說文同蜀才云凝爲電
運行	姚作違行
大始	音泰王肅作泰
坤作	虞姚作坤化姚云化當爲作
易知	以豉反訖章末同鄭荀董並音亦
簡能	如字姚云能當爲從
而成位乎其中	馬王肅作而易成位乎其中
繫辭	音系卷内皆同
焉而明吉凶	虞本更有悔吝二字
迭	田節反
剛柔者晝夜之象	虞作晝夜者剛柔之象
三極	陸云極至也馬云三統也鄭韓云三才也王肅云隂陽剛柔仁義爲三極
能見	賢遍反
易之序也	陸云序象也京云次也虞本作象
所樂	音岳適會也虞本作所變
而玩	五亂反研玩也馬云貪也鄭作翫
祐之	音又後同
爻者	戸交反說文云交也
小疵	徐才斯反馬云瑕也
辯吉凶	如字京云明也虞董姚顧蜀才並云别也音彼列反
見乎	賢遍反
乎介	音界注同王肅干韓云纎介也
纎	息亷反
震无咎	馬云震驚也鄭云懼也王肅韓云動也周云救也
險易	以豉反注同京云險惡也易善也
之否	備鄙反
天地準	如字京云準等也鄭云中也平也
彌	如字本又作弥
綸	音倫京云彌遍綸知也王肅云綸纒裹也荀云彌終也綸迹也
天下之道	一本作天地
俯以	音甫
察於	一本作觀於
反終	鄭虞作及終
之說	如字宋衷始銳反云舎也
烟	音因
煴	紆云反
盡聚	津忍反下同
知周	音智注同
道濟	如字鄭云道當作導
不流	如字京作畱
樂天	音洛注同虞作變天
功贍	渉豔反
範圍	鄭云範法也馬王肅張作犯違張云犯違猶裁成也
而知	如字荀爽荀柔之明僧紹音智
以上	時掌反
之稱	尺證反下章及注同
知者	音智下之知注知者其知仁知並同
其分	符問反
鮮矣	悉淺反注同師說云盡也鄭作尟馬鄭王肅云少也
藏諸	才剛反鄭作臧云善也
衣	於旣反
被	皮寄反
則有經營之功也	本亦无功字一本功作迹
成象	蜀才作盛象
爻法	胡孝反馬韓如字云放也蜀才作效
形詰	去吉也
大虚	音泰下大極同
欻爾	況勿反
自造	在早反下同
稱極	尺征反
爲稱	尺證反
不禦	魚吕反禁止也
乎迩	本又作邇音尒
也專	如字陸作塼音同
也翕	虚級反斂也
也闢	婢亦反開也
易簡	以豉反
知崇	音智注同
禮	蜀才作體
卑	必彌反本亦作埤徐音婢下同
賾	仕責反下同九家作冊京作嘖云情也
典禮	京作等禮姚作典體
以斷	丁亂反下注同
惡也	於嫁反荀作亞亞次也又烏路反馬鄭烏洛反亞通
言天下之至動而不可亂也	衆家本並然鄭本作至賾云賾當爲動九家亦作冊
可逺	袁万反
之惡	烏路反
錯之	七各反
議之	陸姚桓玄荀柔之作儀之
則盡	津忍反
子和	胡臥反注同
縻之	本又作靡亡池反徐又亡彼反京作劘
行發	下孟反下同
見乎	賢遍反
樞	尺朱反王廙云户樞也一云門臼
機	王廙云弩牙也
先號	戸羔反
咷	道羔反
或黙	亡北反字或作嘿
利斷	丁亂反王肅丁管反
其臭	昌又反
初六藉	在夜反下同
用白茅	卯交反
无咎	或以此爲別章今不用
苟錯	七故反本亦作措
可重	直勇反
愼斯術也	時震反鄭干同一本作順師用義鄭云術道
不德	鄭陸蜀才作置鄭云置當爲德
下人	遐嫁反後同
爲階	姚作機
爲易者	本又云作易者
乗釁	許覲反
致寇至	徐或作戎宋衷云戎誤
乗也者	如字一讀繩證反
慢藏	才浪反
誨	如字敎也虞作悔謂悔恨
冶容	音也鄭陸虞姚王肅作野言妖野容儀敎誨淫泆也王肅云作野音也
大衍	延善反又注演同鄭云衍演也干云合也王廙蜀才云廣也
大極	音泰
掛一	卦買反别也王肅音卦
揲	時設反案揲猶數也說文云閱持也一音思頰反徐音息列反鄭云取也
歸竒	紀冝反注下同
於扐	郎得反下同馬云指間也荀柔之云別也
後掛	京作卦云再扐而後布卦
之䇿	初革反字亦作筴
當	如字下同
期	本又作朞音基同
而伸	本又作信音身
而長	丁丈反
德行	下孟反
酬	市由反徐又音疇
酢	在洛反京作醋
與祐	音又助也馬云配也荀作侑
聖人之道	明僧紹作君子之道
以言者	下三句無以字一本四句皆有
如嚮	許兩反又作響
能與	音預下及注同
參伍	七南反
錯	七各反
綜	宗統反
天地之文	一本作天下虞陸本作之爻
无籌	直周反
研	蜀才作揅
幾也	如字本或作機鄭云機當作幾幾微也
夫易開	王肅作闓音同
物成務	一本無夫易二字
冒天	莫報反注同覆也
以斷	丁亂反下二章同
蓍	音尸
圎而	本又作貟音同
方以知	音智注同下知以叡知注神知皆同
有分	符問反
易以	以豉反韓音亦謂變易
貢	如字告也京陸虞作工荀作功
洗心	劉瓛悉殄反盡也王肅韓悉禮反京荀虞董張蜀才作先石經同
洗濯	直角反
藏往	如字劉作臧善也
能與	音預
不殺	馬鄭王肅干所戒反師同徐所例反陸韓如字
者夫	音符如字
齊戒	側皆反注同
以神明其德夫	荀虞顧絶句衆皆以夫字爲下句一本無夫字
闔戸	胡臘反
闢戶	婢亦反王肅甫亦反
施生	始豉反
見乃	賢遍反
是故易有大極	大音泰注同大極无也馬云北辰也王肅云此章首獨言是故者揔衆章之意
无稱之稱	並尺證反
縣象	音玄
探	吐南反
賾	九家作冊
索隱	色白反
亹亹	亡偉反
莫善乎蓍龜	本亦作莫大
見吉	賢遍反
河出	如字又尺遂反下同
洛出	王肅作雒漢家以火德王故從各佳
又以尚賢也	鄭本作有以
子曰書不盡	如字又津忍反下同
之緼	紆粉反徐於憤反王肅又於問反
之奥	烏報反
而上	時掌反
而錯	七故反注同本又作措
之賾	本亦作之至賾
而裁	音才本又作財
黙而成	本或作黙而成之
德行	下孟反
