周易繫辭下第八而重	直龍反注同
明治	直吏反
繫辭	音係卷内皆同
而命	孟作明
或否	備鄙反
而斷	丁亂反
則見	賢遍反下及注皆同
趣時	七樹反
貞勝	姚本作貞稱
乎累	劣僞反
殉吉	辭俊反後同
未離	力智反
盡會	津忍反下同
貞觀	官換反又音官
貞夫	音符
確然	苦角反馬韓云剛貌說文云髙至
人易	以豉反下注同
隤然	大回反馬韓云柔貌也孟作退陸董姚作妥
像此	音象
施生	始豉反
大寶	孟作保
曰人	王肅卜伯玊桓玄明僧紹作仁
禁民	音金又金鴆反
包	本又作庖白交反鄭云取也孟京作伏
犧	許冝反字又作羲鄭云鳥獸全具曰犧孟京作戲云伏服也戲化也
氏	包犧氏大皥三皇之最先
之王	于況反
不究	九又反
爲罟	音古馬姚云猶网也黃本作爲网罟云取獸曰网取魚曰罟
以佃	音田本亦作田
以漁	音魚本亦作魚又言庶反馬云取獸曰佃取魚曰魚
斲木	陟角反
爲耜	音似京云耒下耓也陸云廣五寸耓音勑丁反
爲耒	力對反京云耜上句木也說文云耜曲木垂所作字林同力佳反徐力猥反垂造作也本或揉木爲之耒耨非
耒耨之利	奴豆反馬云鉏也孟云耘除草
爲市	世本云祝融爲市宋衷云顓頊臣也說文云市時止反
噬	市制反
嗑	胡臘反
不解	佳賣反
易窮則變變則通通則久	一本作易窮則變通則久
祐之	音又本亦作佑
下治	直吏反章末同
以別	彼列反一本作辯
挎	本又作刳口孤反徐又口溝反
掞	以冉反本亦作剡
楫	本又作檝將輙反下同徐音集又子入反方言云楫謂之橈或謂之櫂說文云楫舟櫂也
致逺以利天下	一本無此句
諸渙	音喚
以利天下蓋取諸隨	一本無以利天下一句
重門	直龍反
柝	他洛反馬云兩木相擊以行夜說文作柝字林他各反同
暴客	白報反鄭作虣
斷木	丁緩反又徒緩反斷斷絶
爲杵	昌吕反
掘地	其月反又其勿反
爲臼	求酉反
爲弧	音胡說文云木弓
剡木	以冉反字林云銳也因冉反
諸睽	苦圭反又音圭
則爭	爭鬪之爭下同
厚衣	於旣反
喪期	並如字
无數	色具反
棺椁	上音官下音郭
而治	直吏反下同
書契	苦計反
決斷	都亂反
象也者像也	衆本並云像擬也孟京虞董姚還作象
卦竒	紀冝反注同
德行	下孟反下同
畫竒	音獲下同
憧憧	本又作􁀖昌容反
以貫	古亂反
屈也	丘勿反下同
信也	本又作伸同音申下同韋昭漢書音義云古伸字
尺蠖	紆縛反蟲名也徐又烏郭反
龍虵	本文作蛇同
之蟄	直立反
全身	本亦作存身
思慮	息吏反
而累	劣僞反
蒺	音疾
藜	音棃
死其	其亦作期
射	食亦反下注同
隼	恤允反
髙墉	音容
不括	古活反結也
結閡	五代反
不懲	直升反
屨	俱遇反
校	胡孝反下同
滅止	本亦作趾
弗去	羌吕反
何校	河可反又音河
其治	直吏反下同
知小	音智
尟不	本亦作鮮仙善反少也
折足	之設反
覆公	芳六反
餗	音速馬作粥
形渥	於角反
不勝	音升
而上	時掌反
未離	力智反
先見	賢遍反
介于	徐音戒衆家作介徐云王廙古黠反
斷可	丁亂反注同
復行	扶又反注復行同
造形	七報反
之分	符問反
无祇	韓音祁支反注同王廙輔嗣音支
舎凶	音捨
絪	本又作氤同音因
緼	本又作氲紆云反
化醇	音淳
易其	以豉反
不迕	五路反字亦作忤
其易之門邪	本又作門戸邪
之撰	仕勉反下章同數也廣雅云定也王肅士眷反
數也	色柱反
爻繇	直救反下同服䖍云抽也抽出吉凶也韋昭云由也吉凶所由而出也
於稽	古兮反考也
闡幽	昌善反明也
辯物	如字徐扶勉反别也
斷辭	丁亂反注同
辭文	如字一音問
而中	丁仲反注同
因貳	音二鄭云當爲弍
民行	下孟反注同
所蹈	徒報反
之柄	兵病反
之脩	如字鄭云治也馬作循
之辯	如字王肅卜免反
不厭	於豔反注同
後易	以豉反注同
長裕	丁丈反注同
其施	始豉反下同
巽稱	尺證反又尺升反
和行	下孟反
以逺	于万反注同
不濫	力暫反
可逺	馬王肅韓袁万反注皆同師讀如字
上下	時掌反章末同
趣舎	音捨
處昧	音妹
而揆	葵癸反度也
其方	馬云方道
能循	似倫反
以度	待洛反
以要	一遥反下又要終同
其要	於妙反
易知	以豉反
撰德	鄭作算云數也
噫	於其反王肅於力反辭也馬同
亦要	一妙反絶句又一遥反則句至吉凶
則居	馬如字處也師音同鄭王肅音基辭
知者	音智
彖辭	吐貫反馬云彖辭卦辭也鄭云爻辭也周同王肅云彖舉象之要也師說通謂爻卦之辭也一云即夫子彖辭
則思	息吏反
貫之	古亂反
轉近	附近之近下章以近同
而上	時掌反
須援	于眷反
剛勝	升證反一音升
勝其	音升
閑邪	似嗟反
其當	如字下當文王同
紂	直又反
蒙難	乃旦反
能亨	許庚反
易者	以豉反注同
其治	直吏反
德行	下孟反下德行同
易以	以䜴反下注險易同
知阻	莊吕反
能說	音恱注同
亹亹	亡偉反鄭云汲汲也王肅云勉也
役思	息吏反
探	吐南反
射	食亦反
不厭	於豔反
以盡	津忍反下同
愛惡	烏路反注同鄭烏洛反
泯然	亡忍反
比爻	毗志反
辭枝	音支
誣善	音無
