周易雜卦	韓云雜糅衆卦也孟云雜亂也
第十一雜糅	如又反
比	毗志反下同
樂	音洛注同
臨觀	古亂反
屯見	賢遍反注及下皆同鄭如字
經綸	本又作論音倫又力門反
上升	時掌反下文離上并注同
豫怠	如字姚同京作治虞作怡
則飭	音敕注同整治也鄭本王肅作飾
剥爛	老旦反
晝也	竹又反
誅也	荀云誅滅也陸韓云傷也
解	音蟹
難也	乃旦反
衆	荀作終
去故	起吕反
豐多故	衆家以此絶句
親寡旅也	荀本豐多故親絶句寡旅也別爲句
道長	丁丈反
周易畧例	此是輔嗣所作旣釋經文故相承講之今亦隨世音焉或有題爲第十者後人輒加之耳
明彖動不能制動	一本作天地不能制動
貞夫	音符後皆同
琁	悉全反又作旋
璣	音機本又作機或作幾
輻	音福
湊	干豆反
則思	息吏反
可逺	于万反
能渝	羊朱反
至賾	仕責反
能與	音預
觀喙以斯	一本作以彖觀之
明爻通變好靜	呼報反
度量	音亮
朝	直遥反
廷	音定
必比	毗志反
隆墀	本又作坻直其反坻螘冢
逺壑	火各反
而濟	一本作而載
能說	音恱
善邇	善又作繕
愛惡	烏路反次章同
語成而後有格	舊本如此一本格作括
能與	音豫
明卦適變通爻	本又作明卦通變適爻又一本直云適變通爻
否泰	備鄙反
險易	以豉反章内同
於斷	丁亂反
要其	一遥反
辟險	音避本亦作避後章同
比復	毗志反
好先	呼報反
侮妻	亡甫反
故當	如字
其介	音界本又作分符問反
明象觀意	本亦作見意
猶蹄	音啼
在兔	他故反字又作菟
筌者	七全反筌蹄事見莊子
重畫	直龍反下胡麥反下同
應健	音鷹
滋漫	末半反
縱復	扶又反
辯位繫辭	戸計反下同
位分	扶問反下同
去初	羌吕反
無六爻	無亦作損
畧例下	舊本如此本或無下字
率	音類又音律又所律反
相比	毗志反
險易	以豉反
之行	下孟反
去六	羌吕反
見咥	直結反
所怨	紆万反又紆元反
卦畧	凡十一卦
屯難	乃旦反遯明夷卦同
所馮	皮冰反本亦作憑
蒙隂昧	音妹
不諮	本亦作資
四逺	袁万反觀明夷卦同
初比	毗志反
履不處	謂陽爻不處其位爲美
履者禮也	今雜卦無此句韓注有或傳寫者誤
臨剛長	丁丈反遯卦同
觀	古亂反
以所見	一本所作知
以近	附近之近明夷卦同
大過棟橈	乃孝反
拯弱	拯救之拯
同好	呼報反
所贍	常豔反
褊矣	必淺反
遯浸	子鴆反
長	張丈反
難在	乃旦反
亨在	許庚反
大壯觸	昌録反
蕃	扶袁反
明夷最逺	于万反
最近	附近之近
而難	乃旦反
能溺	寧歷反
睽最見	賢遍反豐卦同
洽乃	咸夾反本又作合
豐惡闇	烏路反
之沛	歩貝反又普貝反
之蔀	歩口反
明昧	音妹本亦作妹又作沬皆末貝反下文同
無與	如字又音預
折其	之舌反
