養生主第三	養生以此爲主也
有涯	本又作崖魚佳反
而知	音智注下同
好勝	呼報反下升證反
雖復	扶又反下皆同
絶膂	音旅
以慊	苦簟反足也
殆巳	向云疲困之謂
无近	附近之近下同
悶然	亡本反又音門
逺已	于萬反
縁督以爲經	李云縁順也督中也經常也郭崔同
以養	羊尚反注同
庖丁	崔本作胞同白交反庖人丁其名也管子有屠牛坦一朝解九牛刀可剃毛
爲	于僞反
文惠君	崔司馬云梁惠王也
所倚	徐於綺反向偃彼反徐又於佇反李音妖
所踦	徐居彼反向魚彼反李云刺也
砉然	向呼鵙反徐許鵙反崔音畫又古鵙反李又呼歷反司馬云皮骨相離聲
嚮然	許丈反郭許亮反本或無然字
奏	如字崔云聞也
騞	呼獲反徐許嬖反向他亦反又音麥崔云音近獲聲大於砉也
中音	丁仲反下皆同
桑林	司馬云湯樂名崔云宋舞樂名案即左傳舞師題以旌夏是也
經首	向司馬云咸池樂章也崔云樂章名也或云奏樂名
因便	婢面反
閑解	音蟹
譆	徐音煕李云歎聲也
技	具綺反下同
所好	呼報反注同
神遇	向云暗與理會謂之神遇
官知止	如字崔云官知謂有所掌在也向音智專所司察而後動謂之官智
而神欲行	如字向云從手放意無心而得謂之神欲
批	備結反一音鋪迷反字林云擊也父迷父節二反
大郤	徐去逆反郭音却崔李云閒也
之處	昌慮反
令離	力呈反下同下力智反
道	音導注同
大窾	徐苦管反又苦禾反崔郭司馬云空也向音空
節解	户賣反
技經	本或作猗其綺反徐音技
肯	徐苦等反說文作肎字林同口乃反云著骨肉也一曰骨無肉也崔云詐叔重曰骨閒肉肯肯著也
綮	苦挺反崔向徐並音啓李烏係反又一音罄司馬云猶結處也
經槩	古代反
微礙	五代反
大軱	音孤向郭云觚戾大骨也崔云槃結骨
衂刀	女六反
良庖	司馬云良善也
割也	司馬云以刀割一本往作住
遯天	徒遜反又作遁
倍情	音裴加也又布對反本又作背
大深	音泰
憂樂	音洛下文注同
所錯	七路反
縣	音玄
解	音蟹注同崔云以生爲縣以死爲解
指窮於爲薪	如字絶句爲猶前也
火傳	直專反注同
也	傳者相傳繼續也崔云薪火爝火也傳延也
之中	丁仲反
