人間世第四	此人間見事世所常行者也
離人	力智反
不荷	胡我反又音河
其累	力僞反
顔回	孔子弟子姓顏名回字子淵魯人也
衞君	司馬云衞莊公蒯聵也案左傳衞莊公以魯哀十五年冬始入國時顔回巳死不得爲莊公蓋是出公輒也
其行	下孟反
獨	崔云自專也向云與人異也郭云不與人同欲
國量	音亮李力章反
若蕉	似遥反徐在堯反向云草芥也崔云芟刈也其澤如見芟夷言野無靑草
稱數	所主反
治國	直吏反
醫門	於其反
思其則	絶句崔李云則法也
有瘳	丑由反李云愈也
譆	音熙又於其反
役思	息嗣反
逺身	于萬反
而知	音智下及注同
所爲	于僞反
爭善	此及下爭名二字依字讀
雖復	扶又反下皆同
桀跖	之石反桀夏王也跖盜跖也
相札	徐於八反又側列反李云折也崔云天也亦作軋崔又云或作禮相賔禮也
信矼	徐古江反崔音控簡文云慤實貌
而強	其兩反注同
人惡有	烏路反下惡不肖及注同崔本有作育云賣也
鮮不	息淺反
渉治	直吏反
迕	音誤
菑	音災下皆同
菑夫	音扶
不肖	音笑徐蘇呌反似也
惡用	音烏
若唯	郭如字一音唯癸反
无詔	絶句詔告也言也崔本作詻音頟云逆擊曰詻
王公必將乗人	絶句
而鬪其捷	在接反崔讀若唯無詻王公絶句必將乗人而鬪絶句捷作接其接引續也
熒之	戸扃反向崔本作營音熒
眼眩	玄遍反
容將形之	謂擎跽也
關龍逢	夏桀之賢臣
王子比干	殷紂之叔父
以下	遐嫁反
傴	紆甫反
拊	徐向音撫李云傴拊謂憐愛之也崔云猶嘔呴謂養也
拂其	符弗反崔云違也又芳弗反
以擠	徐子計反又子禮反司馬云毒也一云陷也方言云滅也簡文云排也
是好	呼報反
欲令	力呈反
叢支	才公反
有扈	音戸司馬云國名在始平郡案即今京兆鄠縣也
虚厲	如字又音墟李云居宅無人曰虚死而無後爲厲
語我	魚豫反下同
惡惡	皆音烏下同
挫之	子臥反
從容	七容反
不訾	向徐音紫崔云毁也
而上	時掌反下同
蘄乎	音祈
擎	徐其驚反
跽	徐其里反說文云長跪也
曲拳	音權
无疵	才斯反
讁之	直革反
諷責	非鳳反
大多	音泰徐勑佐反崔本作太
不諜	徐徒協反向吐頰反李云安也崔云閒諜也
挾三	戸牒反
曰齊	本亦作齋同側皆反下同
其易	以豉反後皆同向崔云輕易也
皡天	徐胡老反向云皡天自然也
不茹	徐音汝食也
葷	徐許云反
數月	色主反
去異	起吕反下同
未始得使	絶句崔讀至實字絶句
不強	其丈反
无毒	如字治也崔本作每云貪也
而寓	崔本作如愚
絶迹易无	絶句向崔皆以无字屬下句
者粗	音麄
有知知者	上音智下如字下句同
闋者	徐苦穴反司馬云空也
虚室生白	崔云白者日光所照也司馬云室比喻心心能空虚則純白獨生也
夫徇	辭俊反徐辭倫反李云使也
心知	音智注同
所紐	徐女酒反崔云系而行之曰紐簡文云紐本也
伏戲	本又作羲亦作犧同許冝反即大暭三皇之始也
几蘧	其居反向云古之帝王也李云上古帝王
散焉	悉旦反李云放也崔云德不及聖王爲散
之聦	一本作聽
竭喪	息浪反
葉公	音攝
子髙	楚大夫爲葉縣尹僭稱公姓沈名諸梁字子髙
將使	所吏反注及下待使同
慄之	音栗李云懼也
常語	魚據反下同
藏矣	才浪反
執	衆家本並然簡又作熱
粗	音麤又才古反
而不臧	作郎反善也絶句一音才郎反句至爨字
爨	七亂反
无欲清	七性反字宜從冫從氵者假借也淸涼也
之人	言爨火爲食而不思淸涼明火微而食冝儉薄
所饌	士戀反
内熱與	音餘下愼與同向云食美食者必内熱
則恐懼	丘勇反
以任	而林反一音而鴆反
哀樂	音洛注下同
施乎	如字崔以豉反云移也
而惡	烏路反下皆同
復以	扶又反下注同
傳意	丈專反下文并注同
兩怒	如字注同本又作怨下同
未易	以豉反下文注皆同
而要	一遥反
則近	附近之近
共好	呼報反
大至	音泰本亦作泰徐敕佐反下同
竒巧	如字又苦孝反
乎治	直吏反
有別	彼列反
湛	直林反又荅南反
湎	面善反
淫液	以隻反
實喪	息浪反注下同
偏辭	音篇崔本作諞音辯
氣息	並如字向本作器云馬氏音息器氣也崔本作云喘息不調也又作篳字
茀然	徐符弗反郭敷末反李音怫崔音勃
心厲	如字李音賴
蹴之	子六反疑賣反又音詣本又作疣音尤
疵	士賣反又齊計反上若作疣此則才知反
剋核	幸格反
所齊	如字又才計反
所惡	烏路反
勸強	其丈反下欲強同
爲爲	上如字下于僞反
顏闔	胡臘反向崔本作廅魯之賢人隱者
衞靈公	左傳云名元
大子	音泰司馬云蒯聵也
蘧	其居反
伯玉	名瑗衞大夫
天殺	如字謂如天殺物也徐所列反
无方	李云方道也
其知	音智
正女	音汝下同
反覆	芳服反
爲蹶	徐其月反郭音厥李舉衞反
摸格	莫胡反
孽	彦列反
將惡	烏路反
悶然	音門
嬰兒	李云喻無意也崔云喻驕遊也
无町	徒頂反
畦	戸圭反李云町畦畔埒也無畔埒無威儀也崔云喻守節
无崖	司馬云不顧法也
无疵	似移反病也
不勝	音升
爲其	于僞反下同
分之	如字
盛矢	音成下及注同矢或作屎同
以蜄	徐市軫反蛤類
溺	奴弔反
蚉	音文或本作􁒝同
䖟	孟庚反
僕縁	普木反徐敷木反向云僕僕然蚉䖟縁馬稠穊之貌崔音如字云僕御
羣著	直畧反
而拊	李音撫又音付一音附崔本作府音拊
率然	踈律反本或作卒七忽反
曲轅	音袁司馬云曲轅曲道也崔云道名
櫟	力狄反李云木名一云采也
蔽牛	必世反李云牛住其旁而不見
絜	向徐户結反徐又虎結反約束也
百圍	李云徑尺爲圍蓋十丈也
十仞	小爾雅云四尺曰仞案七尺曰仞崔本作千仞或云八尺曰仞
旁十數	所具反崔云旁旁枝也
觀者	古奐反又音官
匠伯	伯匠石字也崔本亦作石
不輟	丁劣反
厭	於豔反又於瞻反
散木	悉但反徐悉旦反下同
則速	如字向崔本作數向所禄反下同
腐	扶甫反
液	音亦
樠	亡言反向李莫干反郭武半反司馬云液津液也樠謂脂出樠樠然也崔云黒液出也
蠧	丁故反
見夢	胡薦反
女將	音汝
惡乎	音烏下同
柤	側加反
橘	均必反
柚	由救反徐以救反
果蓏	徐力果反
泄	徐思列反崔云泄洩同
苦其	如字崔本作枯
掊	普口反徐方垢反
幾死	音祈又音機下同
數有	音朔
䁹	普係反
睨	五係反
而幾死之	絶句向同一讀連下散人爲句崔同
覺	古孝反
而診	徐直信反司馬向云診占夢也
詬	李云呼豆反徐音垢
厲	如字司馬云詬辱也厲病也
且幾	音機或音祈
翦乎	子淺反崔本作前于
不近	附近之近下同
義譽	音餘注同
長物	丁兩反
泊然	歩各反
不與	音豫
南伯	李云即南郭也伯長也
商之丘	司馬云今梁國睢陽縣是也
千乗	繩證反
隱	崔云傷於熱也
將芘	本亦作庇徐甫至反又悲位反崔本作比云芘也
所藾	音賴崔本作賴向云䕃也可以䕃芘千乗也李同
所隂	於鴆反
異材夫	音符
仰而	向崔本作從而
則拳	本亦作卷音權
軸	直竹反
解	李云如衣軸之直解也
咶	食紙反
嗅	崔云齅許救反
狂酲	音呈李云狂如酲也病酒曰酲
爲之	于僞反下爲之皆同
荆氏	司馬云地名也一曰里名
冝秋柏桑	崔云荆氏之地冝此三木李云三木文木也
拱	恭勇反
把	百雅反徐甫雅反司馬云兩手曰拱一手曰把
而上	時掌反
狙	七餘反
猴	音侯
之杙	以職反又羊植反郭且羊反司馬作朳音八李云欲以栖戲狙猴也崔本作柭音跋云枷也
三圍	崔云圍環八尺爲一圍
之麗	如字又音禮司馬云小船也又星檼也
求禪	本亦作擅音膳
傍	薄剛反崔云禪傍棺也司馬云棺之全一邊者謂之禪傍
故解	徐古賣反又佳買反注同向古邂反
顙	息黨反司馬云頟也
亢鼻	徐古葬反司馬云髙也頞折故鼻髙崔云仰也
痔	徐直里反司馬隱創也
適河	司馬云謂沈人於河祭也
騂具	恤營反
支離䟽	司馬云形體支離不全貌䟽其名也
頤	以之反
於頂	如字本作項亦如字司馬云言脊曲頸縮也淮南曰脊管髙於頂也
會	古外反徐古活反向音活
撮	子外反向徐子活反崔云會撮項椎也
指天	司馬云會撮髻也古者髻在項中脊曲頭低故髻指天也向云兩肩竦而上會撮然也
管	崔本作筦
在上	李云管腧也五藏之腧皆在上也
兩髀	本又作脾同音陛徐又甫婢反崔云僂人腹在髀裏也
爲脅	許劫反司馬云脊曲髀豎故與脅並也
挫	徐子臥反郭租禾反崔云案也
鍼	執金反司馬云挫鍼縫衣也
治繲	佳賣反司馬云浣衣也向同崔作音綫
餬口	徐音胡李云食也崔云字或作互或作
鼓筴	初革反徐又音頰司馬云鼓簸也小箕曰筴崔云鼓筴揲蓍鑚龜也
播精	如字一音所字則當作數精司馬云簡米曰精崔云播精卜卦占兆也鼓筴播精言賣卜
以食	音嗣
攘	如羊反
臂於其閒	如字司馬云閒裏也崔本作攘臂於其開云開門中也
竄匿	女力反
三鍾	司馬云斛斛四斗曰鍾
不與	音豫
豈爲	于僞反
治亂	直吏反下同
僅	音覲
至易	以豉反下同
知以	音智
欲惡	烏路反
知避	舊本作寘云置也
不勝	音升
畫地	音獲
迷陽	司馬云迷陽伏陽也言詐狂
郤曲	去逆反字書作廣雅云曲也
山木自寇也膏火自煎	子然反
也	司馬云木生斧柄還自伐膏起火還自消崔云山有木故火焚也
悗然	亡本反
