德充符第五	崔云此遺形棄知以德實之驗也
兀者	五忽反又音界李云刖足曰兀案篆書兀字相似
王駘	音臺徐又音殆人姓名也
從之	如字李才用反下同
相若	若如也弟子如夫子多少也
常季	或云孔子弟子
立不敎坐不議	司馬云立不敎授坐不議論
五藏	才浪反後同
丘也直後而未往耳	李云自在衆人後未得往師之耳
能逺	于萬反
而王	于況反李云勝也崔云君長也
其與庸亦逺矣	與凡庸異也崔云庸常人也
雖天地覆	芳服反
墜	本又作隊直類反李云天地猶不能變己況生死也
怪迕	五故反本亦作遻下同
不離	力智反
肝膽	丁覽反
美惡	烏路反下皆同
情背	音佩
中知	音智
不慴	之渉反
所喪	息浪反下及注同
說然	始銳反又音恱
脫屨	九具反本亦作屣所買反
斷足	丁管反
爲已	于僞反
最之	徂會反徐采會反下注同司馬云聚也
鑑	古暫反
流水	崔本作沫水云沫或作流
保始之徴	李云徴成也終始可保成也
九軍	崔本云天子六軍諸侯三軍通爲九軍也簡文云兵書以攻九天收九地故謂之九軍
自要	一遥反
六骸	崔云手足首身也
彼且	如字徐子余反下同
假人	古雅反借也徐音遐讀連上句人字向下
申徒嘉	李云申徒氏嘉名
无人	雜篇作瞀人
刖者	音月又五刮反
之處	昌慮反
而說	音恱注同
爭善	如字
知不可	如字又音智
羿	音詣徐胡係反善射人唐夏有之一云有窮之君篡夏者也
彀	音遘張弓也
中	如字
央	於良反舊於倉反郭云弓矢所及爲彀中
中地	丁中反下不中注中地中與不中同
單豹	音善
怫然	扶弗反
知吾介	本又作兀兩通
子索	色百反注同
蹵	子六反
乃稱	如字舉也又尺證反
叔山无趾	音止李云叔山字無足趾
踵	朱勇反向郭云頻也崔云無趾故踵行
見	賢遍反
子不謹前	絶句一讀以謹字絶句
去其	羌吕反
不爲	于僞反下不爲而爲皆同
前行	下孟反
語老	魚據反
賔賔	司馬云恭貌張云猶賢賢也崔云有所親踈也簡文云好名貌
且蘄	音祈
諔	尺叔反
詭	九委反李云諔詭竒異也
幻	滑辯反亦作
桎	之實反郭眞一反木在足也
梏	古毒反木在手也
爲已	于僞反下者爲人同
舎已	音捨
一貫	古亂反
嚮隨	許丈反本又作向下同
惡人	惡貌醜也
哀駘	音臺徐又音殆
它	徒何反李云哀駘醜貌它其名
常和	戸臥反下同
惡駭	胡楷反崔本作駴
役思	息嗣反
雌雄合乎前	李云禽獸屬也
亂行	戸剛反
期年	音基
傳國	丈專反
悶然	音門李云不覺貌崔云有頃之閒也
後應	應對之應
氾	浮劍反不係也
醜乎	李云醜慙也崔云愧也
无幾	居豈反
與樂	音洛
甞使於楚矣	使音所吏反本亦作遊本又直云嘗於楚矣
㹠子	本又作豚徒門反
食於	音飲邑錦反注同舊如字簡文同
眴若	本亦作瞬音舜司馬云驚貌崔云目動也謂死母目動
翣資	所甲反扇也武王所造宋均云武飾也李資送也崔本作翣杴音坎坎謂先人墳墓也
爲足	于僞反
不得復使	扶又反章末注同崔本作不得復使入云不復入直也
形好	呼報反
毁譽	音餘
不舎	音捨
以滑	音骨
淡然	徒蹔反
於兊	徒外反李云恱也
閒豫	音閑
无郤	去逆反李云閒也
是接而生時乎心者也	司馬云接至道而和氣在心也李云接萬物而施生順四時而俱作
情爲	于僞反
能離	力智反
閔子	孔子弟子閔子騫也
闉	音因郭烏年反
跂	音企郭其逆反
支離无脤	徐市軫反又音脣司馬云闉曲跂企也闉跂支離言脚常曲行體不正卷縮也无脤名也崔云闉跂偃者也支離傴者也脤脣同簡文云跋行也脤臀也
說衞	始銳反又如字下說齊桓同
說之	音恱下說之同
脰	音豆頸也
肩肩	胡咽反又胡恩反李云羸小貌崔云猶玄玄也簡文云直貌
甕	烏送反郭於寵反
㼜	烏葬反郭於兩反李云甕㼜大癭貌崔同
大癭	一領反說文云瘤也
而知	音智下同
爲孽	魚列反司馬云智慧生妖孽
約爲膠	司馬云約束而後有如膠漆崔云約誓所以爲膠固
德爲接	司馬云散德以接物也
工爲商	司馬云工巧而商賈起
惡用	音烏下同
不斲	陟角反
无喪	息浪反
天鬻	音育養也
天食	音嗣亦如字
受食	如字又音嗣
沈思	息嗣反亦如字
免難	乃旦反
掘若	其勿反
槁木	苦老反
羣分	如字
眇	亡小反簡文云陋也
謷乎	五羔反徐五報反簡文云放也今取遨遊義也
獨成其天	如字崔本天字作大云類同於人所以爲小情合於天所以爲大
惡得	音烏下惡得同
吠	扶廢反
一分	如字
足操	七刀反
未解	音蟹
无以好惡	呼報反下烏路反注同
祇足	音支
倚樹	於綺反
據槁	苦老反
梧	音吾
而瞑	音眠崔云據琴而睡也
而睡	垂臂反
天選	宣轉反舊思緩反
