大宗師第六	崔云遺形忘生當大宗此法也
天而生	向崔本作失而生
知稱	尺證反
不喪	息浪反下皆同
或好	呼報反下同
不強	其兩反
庸詎	徐其庶反
則治	直吏反
不謩	没乎反
不慄	音栗
不濡	而朱反
登假	更百反至也
逺火	于萬反
有槩	古愛反
其覺	古孝反
深深	李云内息之貌
以踵	章勇反王穆夜云起息於踵遍體而深
以喉	向云喘悸之息以喉爲節言情欲奔競所致
其嗌	音益郭音厄厄咽喉也
若哇	獲媧反徐胡卦反又音絓崔一音於佳反結也言咽喉之氣結礙不通也簡文云哇嘔也
其耆	市志反
說生	音恱
惡死	烏路反
不訢	音欣又音祈
不距	本又作拒音巨李云欣出則營生距入則惡死
翛然	音蕭本又作儵徐音叔郭與冬反李音悠向云翛然自然無心而自爾之謂郭崔云往來不難之貌司馬云儵疾貌李同
猶復	扶又反下非復同也
捐	徐以全反郭作揖一入反崔云或作楫所以行舟也
則背	音佩
容家	本亦作寂崔本作宗
其顙	息黨反崔云頟也
頯	徐去軌反郭苦對反李音沈一音逵權也王云質朴無飾也向本作䫥云䫥然大朴貌廣雅云䫥大也五罪反
淒然	七西反
煖然	音暄徐況晚反
亡國而不失人心	崔云亡敵國而得其人心
行名	下孟反
福應	應對之對
狐不偕	司馬云古賢人也
務光	皇甫謐云黃帝時人耳長七寸
伯夷叔齊	孤竹君之二子
箕子胥餘	司馬云胥餘箕子名也見尸子崔同又云尸子曰箕子胥餘漆身爲厲被髮佯狂或云尸子曰比干也胥餘其名
紀他	徒何反
申徒狄	殷時人負石自沈於河崔本作司徒狄
皆舎	音捨下同
不承	如字李云迎也又音拯
不上	時掌反
與乎	如字又音豫同云疑貌
其觚	音孤王云觚特立不羣也崔云觚稜也
邴邴	徐音丙郭甫杏反向云喜貌簡文云明貌
崔乎	于罪反徐息罪反郭且雷反向云動貌簡文云速貌
滀乎	本又作傗勑六反司馬云色憤起貌王云富有德充也簡文云聚也
厲乎	如字崔本作廣云苞羅者廣也
謷乎	五羔反徐五到反司馬云志逺貌王云髙邁於俗也
連乎	如字李云連緜長貌崔云蹇連也音輦
似好	呼報反下皆同
悗乎	亡本反字或作免李云無匹貌王云廢忘也崔云婉順也
治之	直吏反
爲循	本亦作脩兩得
綽乎	昌畧反崔本作淖
常閒	音閑
夜旦	如字崔本作靼音怛
其卓	中學反
敢惡	烏路反
之竟	音境
泉涸	户各反郭戸格反爾雅云竭也
相呴	況于況付二反
相	本又作濡音儒或一音如戍反
以沫	音末
相忘	音亡下同
譽堯	音餘注同
大塊	苦怪反又苦對反徐胡罪反
佚我	音逸
於壑	火各反
乃揭	其列其謁二反
索所	所百反
无樂	音洛下及注同
可勝	音升
善妖	崔本作狡同古卯反本又作夭於表反簡文於橋反云異也
善少	詩照反
否老	音鄙本亦作鄙
平粹	雖遂反
可傳	直專反注同
在大極	音泰
之先	一本作之先未崔本同
先天	悉薦反
長於	丁丈反
稱也	尺證反
狶韋氏	許豈反郭禇伊反李音豕司馬云上古帝王名
以挈	徐苦結反郭苦係反司馬云要也得天地要也崔云成也
伏戲	音羲崔本作伏戲氏
以襲氣母	司馬云襲入也氣母元氣之母也崔云取元氣之本
維斗	李云北斗所以爲天下綱維
終古	崔云終古久也鄭玄注周禮云終古猶言常也
不忒	它得反差也崔本作代
堪坏	徐扶眉反郭孚杯反崔作邳司馬云堪坏神名人面獸形淮南作欽負
崐崘	崐或作岷同音昆下力門反崐崘山名
馮夷	司馬云淸泠傳曰馮夷華隂潼郷隄首人也服八石得水仙是爲河伯一云以八月庚子浴於河而溺死一云渡河溺死
大川	河也崔本作泰川
肩吾	司馬云山神不死至孔子時
大山	音泰又如字
黃帝	崔云得道而上天也
顓頊	音專下許玉反
玄宫	李云顓頊帝髙陽氏玄宫北方宫也月令曰其帝顓頊其神玄冥
禺強	音虞郭語龍反司馬云山海經曰北海之渚有神人面鳥身珥兩青蛇踐兩赤蛇名禺強崔云大荒經曰北海之神名曰禺強靈龜爲之使歸藏曰昔穆王子筮卦於禺強案海外經云北方禺強黒身手足乗兩龍郭璞以爲水神人面鳥身簡文云北海神也一名禺京是黃帝之孫也
西王母	山海經云狀如人狗尾蓬頭戴勝善嘯居海水之涯漢武内傳云西王母與上元夫人降帝美容貌神仙人也
少廣	司馬云穴名崔云山名或云西方空界之名
彭祖	解見逍遥篇崔云壽七百歳或以爲仙不死
五伯	如字又音霸崔李云夏伯昆吾殷大彭豕韋周齊桓晉文
傅說	音恱
得之以相	息亮反
武丁奄有天下乗東維騎箕尾而比於列星	司馬云傅說殷相也武丁殷王髙宗也東維箕斗之閒天漢津之東維也星經曰傅說一星在尾上言其乗東維騎箕尾之間也崔云傅說死其精神乗東維託龍尾乃列宿今尾上有傅說星崔本此下更有其生無父母死登假三年而形遯此言神之無能名者也凡二十二字
掘然	其勿反
南伯子葵	李云葵當爲綦聲之誤也
女偊	徐音禹李音矩一云是婦人也
年長	張丈反
􁅈子	本亦作孺如喻反李云弱子也
惡惡可	並音烏下惡乎同
卜梁倚	魚綺反又其綺反李云卜梁姓倚名
亦易	以豉反
參日	音三
能朝	如字李除遥反下同
徹	如字郭司馬云朝旦也徹達妙之道李云夫能洞照不崇朝而逺徹
不惡	烏路反下同
豁然	喚活反
殺生者不死	李云殺猶亡也亡生者不死也崔云除其營生爲殺生
生生者不生	李云矜生者不生也崔云常營其生爲生生
攖	郭音縈徐於營反李於盈反崔云有所繫著也
副墨	李云可以副貳玄墨也崔云此巳下皆古人姓名或寓之耳無其人
洛誦	李云誦通也苞洛無所不通也
瞻明	音占李云神明洞徹也
聶許	徐乃攝反李云許與也攝而保之無所施與也
需役	徐音須李音儒云儒弱爲役也王云需待也役亭毒也
於	音烏又如字
謳	徐烏侯反李香于反云謳煦也欲化之貌王云謳謌謠也
玄冥	李云強名曰玄視之冥然向郭云所以名無而非無也
參	七南反
寥	徐力彫反李云參髙也髙邈寥曠不可名也
疑始	李云又疑無是始則始非無名也
研粗	七胡反
七重	直龍反下同
子祀	崔云淮南作子永行年五十四而病傴僂
子輿	本又作與音餘
子犁	禮兮反
爲尻	苦羔反
偉哉	韋鬼反向云美也崔云自此至鑑于井皆子祀自說病狀也
拘拘	郭音駒司馬云體拘攣也王云不申也
曲僂	徐力主反
於頂	本亦作項崔本作釘音頂
句	俱樹反徐古侯反
贅	徐之稅反
指天	李云句贅項椎也其形似贅言其上向也
