應帝王第七	崔云行不言之教使天下自以為牛馬應為帝王者也
齧缺	五結反下丘恱反
王倪	五兮反
四問而四不知	向云事在齊物論中
蒲衣子	尸子云蒲衣八嵗舜讓以天下崔云即被衣王倪之師也淮南子曰齧缺問道於被衣
泰氏	司馬云上古帝王也崔云帝王也李云大庭氏又云無名之君也
藏仁	才剛反崔云懐仁心以結人也本亦作臧作剛反善也簡文同
以要	一遥反注同
所好	呼報反
所惡	烏路反
之竟	音境
徐徐	如字崔本作祛祛
其覺	古孝反
于于	如字司馬云徐徐安隱貌于于無所知貌簡文云徐徐于于寐之狀也
日	人實反
中	音仲亦如字
始	李云日中始人姓名賢者也崔本無日字云中始賢人也
以語	魚據反
女	音汝後皆同
出經	絶句司馬云出行也經常也崔云出典法也
式義度人	絶句式法也崔云式用也用仁義以法度人也
欺德	簡文云欺妄也
渉海鑿	待洛反下同郭粗鶴反
河	李云渉海必陷波鑿河無成也
蚉	音文本亦作蟁同
不勝	音升
確乎	苦學反李云堅貌崔本作橐音託
矰	則能反李云罔也
之害	崔本作菑
鼷	音兮
熏	香云反
天根	崔本云人姓名也
遊於殷陽	李云殷山名陽山之陽崔云殷陽地名司馬云殷衆也言向南遊也或作殷湯
蓼水	音了李云水名也
不豫	司馬云嫌不漸豫太倉卒也簡文云豫恱也
大初	音泰
乗夫	音符
莽	莫蕩反崔本作猛
眇	妙小反莽眇輕虚之狀也崔云猛眇之鳥首也取其行而無迹
壙	徐苦廣反
埌	徐力黨反李音浪壙埌无滯爲名也崔云猶曠蕩也
无狹	戸夾反
帠	徐音藝又魚例反司馬云法也一本作寱牛世反崔本作爲
而自治	直吏反下文同
又復	扶又反
於淡	徒暫反徐大敢反
於漠	音莫
陽子居	李云居名也子男子通稱
嚮	許亮反李許兩反
疾強梁	崔云所在疾強梁之人也李云敏疾如嚮也簡文云如嚮應聲之疾故是強梁之貌
物徹䟽明	司馬云物事也徹通也事能通而開明也崔云無物不達無物不明
不勌	其眷反
胥	如字司馬云疏也簡文云相也
易	音亦崔以豉反云相輕易也簡文同
技	徐其綺反簡文云藝也
係	如字崔本作繫或作繫簡文云音繫
怵心	勑律反
來田	李云虎豹以皮有文章見獵也田獵也
猨	音袁
狙	七餘反
之便	毗肩反舊扶面反
斄	音來李音狸崔云旄牛也
來藉	司馬云藉繩也由捷見結縛也崔云藉繫也
蹵然	子六反改容之貌
之治	直吏反下同
貸	吐代反
神巫曰季咸	李云女曰巫男曰覡季咸名
不憙	許忌反
心醉	向云迷惑於其道也
壺子	司馬云名林鄭人列子師
旣其文	李云旣盡也
得道與	音餘
衆雌而无雄而又奚卵焉	司馬云言汝受訓未熟故未成若衆雌無雄則無卵也
世亢	苦浪反
必信	崔云絶句
相女	息亮反注下同
示之	本亦作視崔云視示之也
嘻	徐音煕郭許意反
旬數	所主反
郷吾	許亮反本作曏亦作向同崔本作康云向也
地文	與土同也崔云文猶理也
不震不正	並如字崔本作不誫不止云如動不動也
誠應	應對之應後同
杜德機	崔云塞吾德之機
有瘳	丑留反
功見	賢遍反
不齊	側皆反本又作齋下同
且復	扶又反
泊心	白博反又音魄
得厝	七故反字又作措同
管闚	去規反
鯢	五兮反
桓	司馬云鯢桓二魚名也簡文云鯢鯨魚也桓盤桓也崔本作鯢拒云魚所處之方穴也又云拒或作桓
之審	郭如字簡文云處也司馬云審當爲蟠蟠聚也崔本作潘云回流所鍾之域也
淵有九名	淮南子云有九之淵許愼注云至深也
治亂	直吏反
失而走	如字徐音逸
巳滅	崔云滅不見也
委	於危反
蛇	以支反委蛇至順之貌
爲弟	徐音頽丈回反
靡	弟靡不窮之貌崔云猶遜伏也
波流	如字崔本作波隨云常隨從之
爲其	于僞反
妻爨	七判反
食豕	音嗣下同
彫琢	竹角反
去華	羌吕反
塊然	徐苦怪反又苦對反
紛而	芳云反崔云亂貌
封哉	崔本作戎云封戎散亂也
知主	音智注同
无朕	直忍反崔云兆也
應而不藏	如字本又作臧亦依字讀
儵	音叔李云喻有象也
忽	李云喻無形也
渾	胡本反
沌	徒本反崔云渾沌無孔竅也李云淸濁未分也此喻自然簡文云儵忽取神速爲名渾沌以合和爲貌神速譬有爲合和譬無爲
七竅	苦叫反說文云孔也
七日而渾沌死	崔云言不順自然強開耳目也
