馬蹄第九	舉事以名篇
馬	釋名云武也王弼注易云在下而行者也
蹄	音提司馬云馬足甲也
禦	魚吕反廣雅云敵也崔本作辟
齕	恨發反又胡切反
翹	祁饒反
足	崔本作尾
而陸	司馬云陸跳也字書作􁒠􁒠馬健也
駑	音奴惡馬也
驥	音冀千里善馬也
義	許冝反又如字徐音儀崔本同一本作羲
臺	崔云義臺猶靈臺也
路寢	路正也大也崔云路寢正室
而惡	烏路反
伯樂	音洛下同伯樂姓孫名陽善馭馬石氏星經云伯樂天星名主典天馬孫陽善馭故以爲名
剔之	勑歷反字林云剃也徐詩赤反向崔本作鬄向音郝
雒之	音洛司馬云燒謂燒鐡以爍之剔謂翦其毛刻謂削其甲雒謂羈雒其頭也
羈	居冝反廣雅云勒也
馽	丁邑反徐丁立反絆也李音述本或作馵非也馵之樹反司馬向崔本並作向云馬氏音竦崔云絆前兩足也
編之	必然反
皁	才老反櫪也一云槽也崔云馬閑也
棧	士板反徐在簡反又士諫反編木作靈似牀曰棧以禦濕也崔云木棚也
不治	直吏反
驟	士救反
橛	向徐其月反司馬云銜也崔云鑣也
飾	徐音式司馬云排銜也謂加飾於馬鑣也
鞭	必然反
筴	初革反杜注左傳云馬楇也楇音竹瓜反
陶	道刀反謂窯也窯音弋消反
埴	徐時力反崔云土也司馬云埴土可以爲陶器尚書傳云土黏曰埴釋名云埴職也職音之食反
中規	丁仲反下皆同
應繩	應對之應後不音者放此
揉曲	汝久反
矯	居兆反
拂	房弗反
去者	羌吕反
天放	如字崔云作牧天養也
塡塡	徐音田又徒偃反質重貌崔云重遲也一云詳徐貌淮南作莫莫
顚顚	丁田反崔云專一也淮南作瞑瞑
蹊	徐音兮李云徑也
隧	徐音遂崔云道也
連屬其郷	王云旣無國異家殊故其郷連屬
混	胡本反
芒	莫剛反
淡	徒暫反
漠	音莫
遂長	丁丈反又直良反
无吞	敦恩反又音天
攀	本又作扳普班反
援	音袁廣雅云牽也引也
闚	去規反
物馴	似遵反或音純
惡乎	音烏
不離	力智反注皆同
素樸	普剥反
蹩	歩結反向崔本作弊音同
躠	本又作薛悉結反向崔本作殺音同一音素葛反
踶	直氏反向同崔音緹
跋	丘氏反一音吕氏反崔音技李云蹩躠踶跋皆用心爲仁義之貌
澶	本又作儃徒旦反又吐旦反向崔本作但音燀
漫	武半反向崔本作曼音同李云澶漫猶縱逸也崔云但曼淫衍也一云澶漫牽引也
摘	敕歷反又陟革反
辟	匹壁反向音檗徐敷歷反李父歷反本或作僻音同李云糾擿邪辟而爲禮也一音婦赤反法也崔云擿辟多節
始分	如字下分皆同
犧尊	音羲尊或作樽司馬云畫犧牛象以飾樽也王肅云刻爲牛頭鄭玄云畫鳳皇羽飾尊婆娑然也音先河反
珪璋	音章李云皆器名也銳上方下曰珪半珪曰璋
情性不離	如字別離也
交頸	頸領也居郢反又祁盈反
相靡	如字李云摩也一云愛也
相踶	大計反又徒兮反又徒祁反李云踶蹋也廣雅字韻聲類並同通俗文云小蹋謂之踶
馬知	李音智下同
衡扼	於革反衡轅前橫木縛軛者也扼又馬頸者也
月題	徒兮反司馬崔云馬額上當顱如月形者也
介	徐古八反
倪	徐五圭反郭五第反李云介倪猶睥睨也崔云介出俾倪也
闉	音因
鷙	徐敕二反郭音躓
曼	武半反郭武諫反李云闉曲也鷙抵也曼突也崔云闉扼鷙曼距扼頓遲也司馬云言曲頸於扼以抵突也一云鷙曼旁岀也
詭	九彼反
銜	口中勒也或云詭銜吐出銜也
竊轡	齧轡也崔云詭銜竊轡戾銜橛盜艱轡也
態作	吐代反
赫	本或作䓇呼白反
胥氏	司馬云赫胥氏上古帝王也一云有赫然之德使民胥附故曰赫胥蓋炎帝也
含哺	音歩
縣企	音玄
踶	直氏反
跂	丘氏反
好知	呼報反下音智
