在宥第十一	以義名篇
聞在宥	音又寛也
則治	直吏反下治亂同
欲惡	烏路反
好欲	呼報反
有治天下者哉	崔本作有治天下者材失云強治之是材之失也
人樂	音各
恬	徒謙反
瘁瘁	在季反病也廣雅云憂也崔本作醉
愉	音瑜徐音喻
故譽	音餘
毗於	如字司馬云助也一云并也
思慮	息嗣反
大過	音泰
喬	向欽消反或去夭反郭音矯李音驕
詰	李去吉反徐起列反崔云喬詰意不平也
卓	敕角反郭丁角反向音䈇
鷙	勑二反李豬栗反向豬立反又勑栗反崔云卓鷙行不平也
之行	下孟反
能勝	音升
匈匈	音凶
而且	如字徐子餘反
說明	音恱下同
是悖	必内反徐蒲沒反
是相	息亮反助也下及注皆同
於技	其綺反李音歧崔同云不端也
說知	音智
於疵	疾斯反
臠	力轉反崔夲作欒
卷	卷勉反徐居阮反司馬云臠卷不申舒之狀也崔同一云相牽引也
獊	音倉崔本作戕
囊	如字崔云戕囊猶搶攘
乃復	扶又反
而去	起慮反
之邪	崔本唯此一字作邪餘皆作咫
齊戒	本又作齋同側皆反
跪	其詭反郭音危
莅	音利又音類
无解	如字一音蟹散也
龍見	賢遍反向崔本作睨向音見崔音睍
從容	七容反
炊	昌睡反又昌規反本或作吹同
累	劣僞反司馬云炊累猶動升也向郭云如埃塵之自動也
崔瞿	向崔本作臞向求朱反崔瞿人姓名也
老耼	吐藍反
女愼	音汝
攖	於營反又於盈反司馬云引也崔云羈落也
排	皮皆反崔本作俳
進上	時掌反注及下同
其易	以豉反
囚殺	如字徐所例反言囚殺萬物也
淖	昌畧反又直角反
廉劌	居衞反司馬云傷也廣雅云利也
琢	丁角反
縣而天	音玄向本無而字云希髙慕逺故曰縣天
僨	向粉問反廣雅云僵也郭音奔
驕	如字又居表反郭云憤驕者不可禁之勢
自見	賢遍反下同
股	音古脛本曰股
胈	畔末反向父末反李扶蓋反云白肉也或云字當作紱紱蔽膝也崔云胈也
脛	刑定反
讙	音歡
兜	丁侯反
崇山	南裔也堯六十年放讙兜于崇山
