天地第十二	以事名篇
天地	釋名云天顯也髙顯在上也又坦也坦然髙逺也地底也其體底下載萬物也禮統云天地者元氣之所生萬物之祖也易說云元氣初分淸輕上爲天濁重下爲地
其治	直吏反注同下官治并注亦同
人卒	尊忽反
君原	原本也
非邪也	似嗟反本又作爲
技也	其綺反注下同
記曰	書名也云老子所作
夫子	司馬云莊子也一云老子也此兩夫子曰元嘉本皆爲別章崔本亦爾
覆載	芳富反
洋洋	音羊又音詳
不刳	口呉反又口侯反崔本作軒云寛恱之貌
而去	起吕反
循	音旬或作脩
挫	作臥
韜	吐刀反廣雅云藏也
沛	普貝反字林云流也
物逝	崔本逝作啓云開也
滂沛	普旁反
不近	附近之近
不樂	音洛
縣解	上音玄下音蟹
不以王	于況反下王德並同
蛻然	始銳反又音恱
漻	李良由反徐力蕭反廣雅下巧反云淸貌
非好	呼報反
而知	音智注同
而供	音恭本亦作恭
確	苦學反
斯	音賜又如字
赤水	李云水出崐崘山下
還歸	音旋
玄珠	司馬云道眞也
使知	音智注及下皆同
索之	所白反下同
喫	口懈反
詬	口豆反司馬云喫詬多力也
王倪	徐五兮反
被衣	音披
要之	一遥反注同
圾	本又作岌五急反又五合反郭李云危也
給數	音朔
在去	起吕反
於強	其丈反
方且	如字凡言方且者言方將有所爲也
物絯	徐戸隔反廣雅公才反云束也與郭義同今用廣雅音
令應	力呈反
治亂	直吏反注同
之率	色類反注同又色律反
殺君	音試本又作弑音同
華	胡化反又胡花反司馬云地名也
封人	司馬云守封疆人也
曰嘻	音煕
請祝	之又反又州六反
女獨	音汝後同
鶉	音淳
居	鶉居謂無常處也又云如鶉之居猶言野處
鷇	口豆反
食	爾雅云主哺鷇鷇食者言仰物而足也
就閒	音閑注同
上僊	音仙
伯成子髙	通變經云老子從此天地開闢以來吾身一千二百變後世得道伯成子髙是也
闔	本亦作盍胡臘反
无落	落猶廢也
俋俋	徐於執反又直立反李云耕貌一云耕人行貌又音秩又於十反字林云勇壯貌
治成	直吏反
能閒	閒厠之閒
不與	音預
侗	音洞又音同
泰初	易說云氣之始也
有分	符問反
无閒	如字
留動	留或作流
喙	丁豆反又充芮喜穢二反
緡緡	武巾反
夫子	仲尼也
相方	如字又甫往反本亦作放甫往反注同
強以	其兩反
縣	音玄
㝢	音宇司馬云辨明白若縣室在人前也
易見	以豉反
技係	其綺反
執留	如字本又作􁒢音同一本作狸亦如字司馬云􁒢竹鼠也一云執留之狗謂有能故被留係成愁思也
猨	音袁
狙	七徐反
之便	婢面反徐扶面反司馬云言便捷見捕
復何	扶又反
將	一本作蔣
閭	力於反
葂	字亦作莬音免又音晚郭音問將閭葂人姓名也一云姓將閭名莬或云姓蔣名閭葂也
季徹	人姓名也蓋季氏之族
魯君	或云定公
知中	丁仲反
不輯	音集爾雅云和也又側立反郭思魚反
局局	其玉反一云大笑之貌
螳蜋	音堂郎
車軼	音轍
不勝	音升注同
自爲遽	其據反本又作處
觀臺	古亂反注同
覤覤	許逆反又生責反或云驚懼之貌
汒若	本或作芒武剛反郭武蕩反
舉滅	舉皆也
悶然	音門
豈兄	元嘉本作豈足
溟	亡頂反
涬	戸頂反
圃	布戸反又音布園也李云菜𬞞曰圃
畦	口圭反李云埒中曰畦說文云五十畝曰畦
隧	音遂李云道也
甕	烏送反字亦作瓮
搰搰	苦骨反徐李苦滑反郭忽滑反用力貌一音胡沒反
有械	戸戒反字林作械李云器械也
浸	子鴆反司馬云灌也
卬而	音仰本又作仰
挈水	口節反
若抽	敕留反李云引也司馬崔本作流
數如	所角反徐所録反
泆湯	音逸本或作溢李云疾速如湯沸溢也司馬本作佚蕩亦言其往來數疾如佚蕩佚蕩唐佚也
槹	本又作橋或作皐同音羔徐居橋反司馬李云桔槹也
吾師	謂老子也
瞞	武版反又亡安反字林云目眥平貌李天典反慙貌一音門又亡千反司馬本作憮音武崔本作撫
於于	並如字本或作唹吁音同司馬云夸誕貌一云行仁恩之貌
以蓋衆	司馬本蓋作善
墮	許規反
无乏	乏廢也
卑陬	走侯反徐側留反李云卑陬愧懼貌一云顔色不自得也
頊頊	本又作旭旭許玉反李云自失貌
向之	許亮反本又作郷音同後倣此
復有	扶又反
夫人	音符下夫人同
汒乎	莫剛反
之心	心或作道
譽之	音餘下同
謷然	五羔反司馬本作警
儻然	本亦作黨司馬本作㒉同勑蕩反郭吐更反
渾	胡本反
沌	徒本反
背今	音佩
之易	以䜴反
諄	郭之倫反又述倫反
芒	本或作汒武剛反李云望之諄諄察之芒芒故曰諄芒一云姓名也或云霧氣也
大壑	火各反李云大壑東海也
苑風	本亦作宛徐於阮反李云小貌謂遊世俗也一云苑風人姓名一云扶摇大風也
之濵	音賔
酌焉	一本作取焉
橫目之民	李云倮蟲之屬欲令其治之也
願聞	本或依司馬本作問下同
聖治	直吏反下皆同
官施	始支反又始智反司馬云施政布敎各得其冝
手撓	而小反又而了反司馬云動也一云謂指麾四方也
顧指	如字向云顧指者言指麾顧盻而治也或音頤本亦作頤以之反謂舉頤指麾也
美惡	烏路反
怊乎	音超字林云悵也徐尺遥反郭音條
儻乎	敕黨反司馬本作㒉
德人之容	羊凶反或云依注當作客
天地樂	音洛注同
銷亡	徐音消
混冥	胡本反
門无鬼	司馬本作无畏云門姓无畏字也
赤張滿	夲或作蒲
稽	古兮反李云門赤張氏也无鬼滿稽名也
均治	直吏反下及注均治並同
之與	音餘本又作邪
復何	扶又反下章注同
瘍	音羊李云頭創也言創以喻亂求虞氏藥治之司馬云疕瘍也
患創	初良反
秃	吐木反
髢	大細反司馬云髲也又吐帝反郭音毛李云髦髮也
操藥	七刀反
燋然	將遥反又音焦
如標	方小反徐方遥反又方妙反言樹杪之枝無心在上也
校	胡孝反李音較一本作枝
蠢	郭處允反動也
无傳	丈專反
不諛	羊朱反郭貽附反
不諂	敕檢反
不肖	音笑
之道	音導下同
豈有背	音佩
則勃	歩忽反
謂已諛人	本又作衆人下同司馬云衆人凡人也
則怫	符弗反郭敷謂反
相坐	才臥反注同
與夫	音符
不解	音蟹又佳買反
不靈	本又作無靈司馬云靈曉也
祈嚮	許亮反司馬云祈求也
大聲	司馬云謂咸池六英之樂也
折楊	之列反
皇荂	況于反又撫于反本又作華音花司馬本作里華
嗑然	許甲反李云折楊皇華皆古歌曲也嗑笑聲也本又作嗌烏邈反司馬本作榼
嘖曲	仕責反本又作嗑
以二缶鍾	缶應作垂鍾應作踵言垂脚空中必不得有之適也司馬本作二垂鍾云鍾注意也
所適	司馬云至也
而強	其丈反下注同
比憂	毗志反司馬本作鼻云始也
趣令	力呈反下同
令解	音蟹
厲	音賴又如字
遽	巨據反本或作蘧音同
汲汲	音急
苛役	音河
犧	音羲又素河反
其斷	徒亂反下同本或作故
困	如字本或作悃音同子公反郭音俊又素奉反李云困猶刻賊不通也
中	丁仲反
顙	桑蕩反
濁口	本又作噣音同
滑心	李音骨本亦作噣
離	力智反
跂	丘豉反
鷸	尹必反徐音述本又作鶐音同鳥名也一名翠似燕紺色出鬱林取其羽毛以飾冠
笏	音忽
紳	音申帶也
柴柵	楚格反郭音䇿
外重	直龍反
纆	音墨
繳	音灼郭古弔反
睆睆	環版反又戸鰥反李云窮視貌一云眠目貌
交臂歷指	司馬云交臂反縛也歷指猶歷樓貌
檻	戸覽反
