秋水第十七	借物名篇
秋水	李云水生於春壯於秋白虎通云水準也
灌河	古亂反
涇流	音經司馬云涇通也崔本作徑云直度曰徑又云字或作涇
兩涘	音俟涯也
渚	司馬云水中可居曰渚釋名云渚遮也體髙能遮水使從旁回也
崖	字又作涯亦作厓並同
不辯牛馬	辯別也言廣大故望不分別也
河伯	姓馮名夷一名冰夷一名巳見大宗馮遲師篇一云姓吕名公子馮夷是公子之妻
爲盡	津忍反
北海	李云東海之北是也
面目盳	莫剛反又音旁又音望本亦作望
洋	音羊司馬崔云盳洋猶望羊仰視貌
向若	向徐音嚮許亮反司馬云若海神
聞道百	李云萬分之一也
今我睹	舊音覩案說文睹今字覩古字睹見也崔本作今睹我云睹示也
大方之家	司馬云大道也
理分	扶問反後同
以語	如字下同
於虚	音墟本亦作墟風俗通云墟虚也崔云拘於井中之空也
夏蟲	戸嫁反
曲士	司馬云郷曲之士也
尾閭	崔云海東川名司馬云泄海水出外者也
泄之	息列反又與世反
量數	音亮注及下同
而縣	音玄下同
怏然	於亮反又於良反
之竟	音境
礨	力罪反向同崔音壘李力對反
空	音孔壘孔小穴也李云小封也一云蟻冡也
稊米	徒兮反司馬云稊米小米也李云稊草也案郭注爾雅稊似稗稗音蒲賣反
大倉	音泰
人卒	尊忽反司馬云衆也崔子恤反云盡也
五常之所連	司馬云謂連續仁義也崔云連續也本亦作五帝
所爭	側耕反
任士之所勞	李云任能也勞服也
證曏	許亮反崔云往也向郭云明也又虚丈反
掇	專劣反郭云短也
而不跂	如字一本作企下注亦然
坦	吐但反
不說	音恱
不愕	五各反
舎故	音捨
之倪	五佳反徐音詣郭五米反下同
垺	李普回反徐音孚謂盛也郭芳尤反崔音裒
之殷	殷衆也
異便	婢面反徐扶面反注皆同
精粗	七胡反下同
能分	如字
不能論	本或作諭
爲利	于僞反
故措	七故反
行殊	下孟反下堯桀之行同
辟異	匹亦反
无已	音紀
惡至	音烏下同
其稱	尺證反
可勝	音升
自爲	于僞反注内自爲相爲皆同餘如字
之噲	音快又古邁反又古會反之者燕相子之也噲燕王名也司馬云燕王噲拙於謀用蘇代之說斆堯舜讓位與子之三年而國亂
而王	往況反
白公	名勝楚平王之孫白縣尹僭稱公作亂而死事見左傳哀公十六年
梁麗	司馬李音禮一音如字司馬云梁麗小船也崔云屋棟也
窒	珍悉反爾雅云塞也崔李同說文都節反
騏	音其
驥	音冀
驊	戸花反
騮	音留李云騏驥驊騮皆駿馬也
捕	音歩本又作搏徐音付
狸	力之反
狌	音姓向同又音生崔本作鼬由又反
殊技	其綺反
鴟	尺夷反崔云鴟鵂鶹與委梟同
夜撮	七括反崔本作最音同
