達生第十九	以義名篇
達生	達暢也通也廣雅云生出也
物稱	尺證反
无離	力智反下同
大甚	音泰
幾足	徐其依反
常處	昌慮反
相天	息亮反
關尹	李云關令尹喜也
不窒	珍悉反
蹈火	徒報反
非知	音智
之列	音例本或作例
予語	魚據反
女	音汝後同
相逺	于萬反
焉得	於䖍反
尤卻	去逆反
之墜	字或作隊同直類反後皆同
乗亦	音繩又繩證反
遻	音悟郭音愕爾雅云遻忤也郭注云謂干觸
不慴	之渉反懼也李郭音習
鏌	音莫本亦作莫
干	李云鏌耶干將皆古之利劒名呉越春秋云呉王闔閭使干將造劒劒有二狀一曰干將二曰鏌耶鏌耶干將妻名也
忮心	之䜴反郭李音支害也字書云佷也
飄瓦	匹遥反郭李云落也
雖復	扶又反下章同
中人	丁仲反
不厭	李於豔反徐於瞻反
幾乎	音機或音祈
痀	郭於禹反李徐居具反又其禹反
僂	郭音縷李徐良付反
承	一本作美
蜩	音條蟬也
猶掇	丁活反拾也
五六月	司馬云黏蟬時也
累丸	劣彼反下同司馬云謂累之於竿頭也
者錙	側其反
銖	音殊
若厥	本或作橛同其月反
株	音誅
拘	其俱反郭音俱李云厥豎也豎若株拘■
若槁	苦老反
不分	如字
操舟	七曹反下章同
數能	音朔注下同
鶩	音木鴨也
之覆	芳服反注下同
猶其車却也	元嘉本無車字
惡往	音烏
閒暇	音閑
瓦注	之樹反李云擊也
憚	徒丹反又音丹又丈旦反忌惡也一曰難也武典反又音昬又音門本亦作㱪說文云㱪矜也元嘉本作昬
所要	一遥反
田開之	李云開之其名也
周威公	崔本作周威公竈
祝腎	上之六反下市軫反字又作緊音同本或作賢
學生	司馬云學養生之道也
務中	丁仲反下章注而中適同
吾子與祝腎遊	司馬本以吾子屬上句更云子與祝腎遊
操	七曹反
拔	蒲末反徐甫末反李云把也
篲	似歳反徐以醉反郭子稅反李尋恚反信醉反或蘇忽反帚也
亦何聞於夫子	絶句
而鞭	如字崔本作云匿也視其羸痩在後者匿著牢中養之也
單豹	音善李云單豹隱人姓名也
而水飲	元嘉本作飲水
縣	音玄
薄	司馬云簾也
无不走也	司馬云走至也言無不至門奉貴富也李云走往也
去其	起吕反
畏塗	司馬云阻險道可畏懼者也
卒徒	子忽反
亦知	音智
衽	而甚反徐而鴆反李云臥衣也鄭注禮記云臥席也
動皆之死地	一本無地字
不冒	音墨
牢筴	初革反李云牢豕室也筴木欄也
說	如字又始銳反
彘	直例反本亦作豕
奚惡	烏路反
㹖	音患司馬云養也本亦作犧
日齊	側皆反後章同
藉	在夜反又在亦反
尻	苦羔反
彫俎	莊吕反畫飾之俎也
爲彘	于僞反下自爲爲彘同
食以	音嗣
穅	音康
糟	音遭
錯之	七故反置也又如字本又作措
腞	音直轉反又敕轉反
楯	食準反徐敕荀反李敕準反司馬云腞猶篆也楯猶案也
