知北遊第二十二	以義名篇
知北遊	音智又如字
於玄水之上	李云玄水名司馬崔本上作北
隱弅	符云反又音紛又符紛反李云隱出弅起丘貌
白水	水名
狐闋	苦穴反司馬李云狐闋丘名
而睹	丁古反
狂屈	求勿反徐又其述反司馬向崔本作詘李云狂屈侜張似人而非也
以之言	司馬云之是也
唉	哀在反徐烏來反李音熈云應聲
語若	魚據反
不近	附近之近下同
其易	以豉反注同
更相	音庚
所惡	烏路反注同
復化	扶又反下同
之標	必遥反
大美	謂覆載之美也
扁	音篇又音幡
未離	力智反
其内	謂不能出自化也
惽然	音昬又音泯
油然	音由謂無所給惜也
物畜	本亦作滀同敕六反注同
被衣	音披本亦作披
瞳	敕紅反郭菟絳反李云未有知貌
齧缺睡寐	體向所說畏其視聽以寐耳受道速故被衣喜也
大說	音恱
若槁	苦老反
媒媒	音妹又武朋反
晦晦	音誨李云媒媒晦貌
丞	如字李云舜師也一云古有四輔前疑後丞蓋官名
有夫	音符
塊然	苦對反
委形	司馬云委積也
委蛻	吐卧反又音恱又敕外反又始銳反又始劣反
天地之強陽氣也	郭云強陽猶運動耳案言天地尚運動況氣聚之生何可得執而留也
晏	於諫反徐於顯反又於見反
閒	音閑
齊戒	側皆反
􁊞	音藥或云漬也
掊	普口反徐方垢反
而知	音智
窅然	烏了反
將爲	于僞反
无形	謂太初也
形本生於精	謂常道也
九竅	苦弔反
卵生	力管反
易種	章勇反
邀於	古堯反
思慮	息嗣反
恂達	音荀
天不得不髙	謂不得一道不能爲髙也
道與	音餘下皆同
博之不必知	觀異書爲博
以斷	端管反注同
魏魏	魚威反
則復	扶又反
運量	音亮
萬物而不匱	求位反謂任物自動運物物各足量也
之贍	渉豔反下同
直且	如字舊子餘反
喑	音䕃郭音闇李音飲一音於感反
醷	於界反郭於感反李音意一音他感反李郭皆云喑醷聚氣貌
幾何	居豈反
果蓏	徐力果反
白駒	或云日也
過卻	去逆反本亦作隙隙孔也
勃然	歩忽反
油然	音由
漻然	音流李音礫
天􁂥	敕刀反字林云弓衣也
墮其	許規反
天􁒥	陳筆反
宛乎	於阮反
絪	音因本亦作烟音因
緼	於云反本亦作煴音同
則敗	補邁反
悗然	亡本反
東郭子	李云居東郭也
惡乎	音烏
欲令	力呈反
螻	力侯反
蟻	魚綺反
在苐	大西反本體道人弔其名
繫焉	謂爲物所歸投也
猶復	扶又反
與無爲之知	並如字
中而歎	崔本中作卬
去敎	起吕反
大初	音泰
婪落	力含反
窅然	烏了反
搏之	音博
大馬之捶鉤者年八十矣而不失豪芒	捶郭音丁果反徐之累反李之睡反大馬司馬也司馬郭云捶者玷捶鐵之輕重而不失豪芒也或說云江東三魏之閒人皆謂鍜爲捶音字亦同郭失之今不從此說也
玷	丁恬反
捶	丁果反
巧與	音餘下同
而好	呼報反
以長	丁丈反
明日復	扶又反
見	賢遍反
又爲	于僞反
未有子孫而有孫子	言其要有由不得无故而有傳世故有子孫不得無子而有孫也如人天地不得先無而今有也
有先	悉薦反下及注同
之囿	音又
之圃	布五反又音布
相􁒟	子兮反和也
義冠	古亂反
山林與	音餘下同
而樂	音洛注下皆同
能禦	魚吕反
強	其丈反
齊知之	才細反又如字
