莊子雜篇庚桑第二十三	以人名篇本或作庚桑楚
老耼之役	司馬云役學徒弟子也廣雅云役使也
庚桑楚	司馬云楚名庚桑姓也太史公書作亢桑
偏得	向音篇
畏	本或作㟪又作猥同烏罪反向於鬼反
壘	崔本作纍同力罪反向良裴反李云畏壘山名也或云在魯又云在梁州
畫然	音獲
知者	音智注同
挈然	本又作契同苦計反向云知也又苦結反廣雅云提也
逺之	于萬反司馬云言人以仁智爲臣妾庚桑悉棄仁智也
擁	於勇反
腫	章勇反本亦作踵
鞅掌	於丈反郭云擁腫朴也鞅掌自得也崔云擁踵無知貌鞅掌不仁意向云二句朴纍之謂司馬云皆醜貌也
大壤	而掌反本亦作穰崔本同又如羊反廣雅云豐也
洒然	素殄反又悉禮反崔李云驚貌向蘇俱反
日計之而不足	向云無旦夕小利也
歳計之而有餘	向云順時而大穰也
正得秋而萬寳成	天地以萬物爲寳至秋而成也元嘉本作萬實
大道巳行矣	本或作天道
環	如字廣雅云圎也
堵	丁魯反司馬云一丈曰堵環堵者面各一丈言小也
俎豆	側吕反崔云俎豆食我於衆人閒
杓	郭音的又匹么反又音弔廣雅云樹末也郭云爲物之標杓也王云斯由己爲人準的也向云馬氏作魡音的
標	必遥反一音必小反
尋常之溝	八尺曰尋倍尋曰常尋常之溝則周禮洫澮之廣深也洫廣深八尺澮廣二尋深二仞也
所還	音旋回也崔本作逮
鯢	五兮反
鰌	音秋
爲之制	廣雅云制折也謂小魚得曲折也王云制謂擅之也鯢鰌專制於小溝也
歩仞之丘陵	六尺爲歩七尺曰仞廣一歩髙一仞也孔安國云八尺曰仞小爾雅云四尺曰仞
㜸	魚竭反
狐爲之祥	李云祥怪也狐狸憙言妖㜸言各有冝冝不失則大人有豐禄也王云野狐依之作妖祥也崔云蠱狐以小丘爲善也祥善也音含
車之獸	李云獸大如車也一云大容車
介而	音戒廣雅云獨也又古黠反一本作分謂分張也元嘉本同
離山	力智反下注同
吞舟	敕恩反又音天
碭而失水	徒浪反謂碭溢而失水也崔本作去水陸居也
則蟻	魚綺反
苦之	如字向云馬氏作最又作窮
深眇	彌小反
則粗	七奴反後皆同
二子者	向崔郭皆云堯舜也
蓬	蒲空反
將令	力呈反
