則陽第二十五	以人名篇
則陽	司馬云名則陽字彭陽也一云姓彭名則陽周初人也
夷節	楚臣
王果	司馬云楚賢人
譚	音談本亦作談李云說也郭徒堪反徐徒暗反
公閱休	隱士也閱音恱
擉	初角反又敕角反司馬云刺也郭音觸徐丁緑反一音促
樊	音煩李云傍也司馬云隂也廣雅云邊也
予宅	司馬云以隱居山隂自顯也
有知	音智注同
顚冥	音眠司馬云顚冥猶迷惑也言其交結人主情馳富貴
暍	音謁字林云傷暑也
之施	始豉反下同
能橈	乃孝反又呼毛反王云惟正德以至道服之佞人以才辯奪之故能泥橈之也
淡然	徒暫反
而化卑	居髙而以卑爲本也本或作而化卑於人也
不喪	息浪反
而飲	於鴆反
一閒	音閑
綢	直周反
繆	亡侯反綢繆猶纏緜也又云深奥也
周盡一體	所鑒綢繆精麤洞盡故言周盡一體一體无也
復命摇作	摇動也萬物動作生長各有天然則是復其命也
命之也	命名也
憂乎知	音智
而所行恒无幾	居豈反
時其有止也若之何	王云憂乎智謂有爲者以形智不至爲憂也不知用智必喪喪而更以不智爲憂及其智之所行有弊無濟故其憂患相接無須臾停息故曰恒無幾時其有止也不能遺智去憂非可憂如何
則不知其美於人	生便有見物之美而爲無心人與作名言鏡耳故人美之若不相告即莫知其美於人
好之	呼報反注同
暢然	喜恱貌
之緡	民忍反徐音昬郭云合也司馬云盛也
十九	謂見十識九也
見見聞聞	見所見聞所聞
臺縣	音玄
衆閒	音閑注同元嘉本作閑
冉相	息亮反注同郭云冉相氏古聖王
甞舎	音捨注同
皆殉	辭俊反
所行之備而不洫	音溢郭許的反李虚域反濫也王云壞敗也無心偕行何往而不至故曰皆殉也所行行備而物我無傷故無壞敗也
門尹登恒	向云門尹官名登恒人名
爲之	于僞反下同
傅之	音付下同
不與	音預
之名嬴	音盈
法得其兩見	賢遍反注同得其隨成之道以司其名名實法立故得兩見猶人鑑之相得也
寄治	直吏反
容成	老子師也
魏瑩	郭本作瑩音瑩磨之瑩今本多作罃乙耕反司馬云魏惠王也
與田侯	一本作田侯牟司馬云田侯齊威王也名牟桓公子案史記威王名因不名牟
約	徐於妙反又如字司馬云約誓在惠王二十六年
背之	音佩
刺之	七賜反
犀首	魏官名也司馬云若今虎牙將軍公孫衍爲此官元嘉本作齒首
萬乗	䋲證反
爲君	于僞反下請爲君同
忌也出走	忌畏而走或言圍之也元嘉本忌作亡
抶	敕一反三蒼云擊也郭云抶又豬栗反
折其	之舌反
季子	魏臣
又壞	音怪
華子	亦魏臣也
惠子	惠施也
而見	賢遍反下同
戴晉人	梁國賢人惠施薦之於魏王
蝸	音瓜郭音戈李云蝸蟲有兩角俗謂之蝸牛三蒼云小牛螺也一云俗名黃犢
數萬	色主反
逐北	如字又音佩軍走曰北
曰噫	於其反
言與	音餘
雖復	扶又反
惝	音敞字林云惘也又吐蕩反
筦	音管本亦作管
嗃	許交反管聲也玊篇呼洛反又呼敎反廣雅云鳴也
劒首	司馬云謂劒環頭小孔也
吷	音血又呼恱反司馬云吷然如風過
所譽	音餘
蟻丘	魚綺反李云蟻丘山名
之漿	李云賣漿家司馬云謂逆旅舎以菰蔣草覆之也
登極	司馬云極屋棟也升之以觀也一云極平頭屋也
稯稯	音緫字亦作緫李云聚貌夲又作稷一本作稷初力反
聖人僕	謂懷聖德而隱僕隷也司馬本僕作樸謂聖人坏樸也
藏於畔	王云脩田農之業是隱藏於壠畔
銷	音消司馬云小也
捐其	本亦作損
不屑	屑絜也不絜世也本或作肯
陸沈	司馬云當顯而反隱如無水而沈也
長梧封人	長梧地名封人守封疆之人
子牢	司馬云即琴牢孔子弟子
鹵	音魯
莽	莫古反又如字
滅裂	猶短草也李云謂不熟也郭云鹵莽滅裂輕脫末略不盡其分也司馬云鹵莽猶麤粗也謂淺耕稀種也滅裂斷其草也
芸	音云除草也
變齊	才細反司馬如字云變更也謂變更所法也齊同也
