外物第二十六	以義名篇
外物	王云夫忘懷於我者固無對於天下然後外物無所用必焉若乃有所執爲者諒亦無時而妙矣
而化爲碧	吕氏春秋藏其血三年化爲碧玉
孝已	李云殷髙宗之太子
曽參	李云曽參至孝爲父所憎嘗見絶糧而後蘇
大絯	音駭又音該又胡待反
水中有火乃焚大槐	司馬云水中有火謂電也焚謂霹靂時燒大樹也
兩陷	司馬云兩謂心與膽也陷破也畏雷霆甚憂心膽破陷也
憂樂	音洛
螴	郭音陳又楮允反徐敕盡反
蜳	郭音惇又柱允反徐敕轉反李餘準反司馬云螴蜳讀曰忡融言怖畏之氣忡融兩溢不安定也
若縣	音玄
慰暋	武巾反李音昬又音泯慰鬱也暋悶也
沈屯	張倫反司馬云沈深也屯難也
僓	音頽又呼懷反郭云順也
貸粟	音特或一音他得反
監河侯	古銜反說苑作魏文侯
將貸	他代反
而呼	火故反
鮒	音附廣雅云鰿也鰿音迹
波臣	司馬云謂波蕩之臣
激西	古狄反
早索	所白反
枯魚	李云猶乾魚也
任公子	如字下同李云任國名
大鉤	本亦作約
巨緇	司馬云大黒綸也
犗	郭古邁反云犍牛也徐音界說文云騬也司馬云犧牛也騬音繩犍紀言反
爲餌	音二
蹲	音存
會	古外反
稽	古兮反會稽山名今爲郡也
期年	本亦作朞同音基言必久其事後乃能感也
錎沒	音陷字林猶陷字也
騖揚	徐音務一本作驚
鬐	徐求夷反李音須
憚	丹末反
赫	火百反
千里	言千里皆懼
若魚	司馬云大魚名若海神也或云若魚猶言此魚
而腊	音昔
制河	諸設反依字應作浙漢書音義音逝河亦江也北人名水皆曰河浙江今在餘杭郡後漢以爲呉會分界司馬云浙江今在會稽錢塘
輇	七全反又視專反又音權李云輇量人也本或作軨軨小也本又或作輕
諷說	方鳳反
揭	其列其謁二反
竿累	劣彼反謂次足不得並足也本亦作纍司馬云力追反云綸也
趣	本又作趨同七須反
灌瀆	司馬云漑灌之瀆
守鯢	五兮反
鮒	音附又音蒲本亦作蒲李云鯢鮒皆小魚也
臚	力於反一音盧蘇林注漢書云上傳語告下曰臚臚猶行也
傳	治戀反又丈專反向云從上語下曰臚傳一音張戀反遽也
東方作矣	司馬云謂日出也
襦	而朱反
靑靑之麥	司馬云此逸詩刺死人也
陵陂	彼冝反
布施	始豉反
壓	本亦作擪同乃協反郭於琰反又敕頰反字林云擪一指按也
其顪	本亦作噦許穢反司馬云頤下毛也
金椎	直追反
控	苦江反
徐别	彼列反
老萊子	楚人也
出薪	出採薪也
趨下	音促李云下短也
末僂	李云末上謂頭前也又謂背膂也
後耳	司馬云耳却後
却近	附近之近
視若營四海	夫勞形役智以應世務失其自然者也故堯有九龍之喻舜有卷僂之談周公類之走狼仲尼比之逸狗豈不或信哉
儡	律悲反舊魚鬼反又魚威反
去	起吕反注同
而	本又作女
躬矜	躬矜爲身矜脩善行
容知	音智容智謂飾智爲容好
蹙然	子六反
業可得進乎	問可行仁義於世乎
令老	力成反
而驁	本亦作敖同五報反下同下或作騖
窶	其矩反
之行	下孟反
其易	以豉反
相結以隱	郭云隱括也李云隱病患也雖相引以名聲是相結以病患
譽堯	音餘
而閉	一本文注並作門
反无非傷也	反逆於理
動无非邪也	以嗟反動矜於是也
聖人躊	音疇
躇	直居反
以興事以每成功	每者每有成功也躊躇者從容也從容興事雖有成功聖人不存猶致弊迹流毒百世況動矜善行而載之不巳哉
不逺	于萬反
宋元君	李云元公也案元公名佐平公之子
阿門	司馬云阿屋曲簷也
宰路	李云淵名龜所居
予爲	如字又于僞反
使河	所吏反
漁者	音魚
余	音預
且	子餘反姓余名且也
覺	古孝反
令	力成反
會朝	直遥反下同
刳	口孤反
鑚	左端反又左亂反
遺筴	初革反
見夢	賢遍反
知能	音智下及注同
知有所困	一本作知有所不同
至知	音智下注皆同
鵜	徒兮反
鶘	鵜鶘水鳥也一名淘河
去小	起吕反下注同
不矯	居表反
石師	石者匠名也謂無人爲師匠敎之者也一本作所師又作碩師
廁足	音側又音測
墊	丁念反司馬崔云下也本又作塹七念反掘也
致黃泉	致至也本亦作至
得強	其丈反
之行	下孟反注同
任與	音餘
覆墜	直類反
所好	呼報反
狶	虚豈反
不波	波髙下貌
不僻	匹亦反
顫	舒延反
哽	庚猛反塞也
跈	女展反郭云踐也廣雅云履也止也本或作蹍同
不殷	如字一音於靳反
其竇	音豆
胞	普交反腹中胎
有重	直龍反
閬	音浪郭云空曠也
勃豀	音奚勃爭也豀空也司馬云勃豀反戾也無虚空以容其私則反戾共鬪爭也
六鑿	在報反
相攘	如羊反郭云逆也司馬云謂六情攘奪
誸	音賢郭音玄急也向本作弦云堅正也
柴	柴積也郭云塞也
銚	七遥反削也能有所穿削也又他堯反
鎒	乃豆反似鋤田具也
到植	時力反又音值立也本亦作置司馬云鋤拔反之更生者曰到植
眥	子斯反徐子智反亦作揃子淺反三蒼云揃猶翦也玉篇云滅也
􁒩	本亦作搣音滅又武齊反字林云􁒪也􁒪音千未反
非佚	音逸
以駴	戸楷反王云謂改百姓之視聽也徐音戒謂上不問下也
演門	以善反宋城門名
紀他	徒何反
而踆	音存字林云古蹲字徐七旬反又音尊
窾水	音􁏣又音科司馬云水名
弔之	司馬云恐其自沈故弔之
踣	徐芳附反普豆反字林云僵也李云頓也郭薄杯反
荃	七全反崔音孫香草也可以餌魚或云積柴水中使魚依而食焉一云魚笱也
蹄	大兮反兔罥也又云兔弶也係其脚故曰蹄也罥音古縣反弶音巨亮反
得夫	音符
