春秋經傳集解	佳買反舊夫子之經與丘明之傳各卷杜氏合而釋之故曰經傳集解
隱公	名息姑惠公之子母聲子諡法不尸其位曰隱
第一	此不題左氏傳公羊榖梁二傳旣顯姓別之此不言自見
杜氏盡十一年傳惠公	名不皇諡法愛人好與曰惠其子隱公讓國之君
元妃	芳非反傳曰嘉耦曰妃
始適	本又作嫡同丁歷反
無諡	實至反
之姪	直結反字林丈一反兄女也
娣也	大計反女弟也
始娶	七住反
娣媵	以證反又繩證反
婦人謂嫁曰歸	夲或無曰字此依公羊傳
以禎	音貞
爲桓	于僞反
尚少	詩照反
大子	音泰舊太字皆作大後大子皆放此
爲經元年	于僞反後凡爲經爲傳張本起本之例皆放此更不音
經元年朝廟	直遥反下同
儀父	音甫儀父邾子之字凡人名字皆放此
于蔑	亡結反地名
繼好	呼報反
鄒縣	側留反
卞縣	皮彦反本或作弁
克段	徒亂反鄭伯弟名
于鄢	於晚反又於建反又於然反
不弟	音悌又如字
儁傑	音俊下音桀
熒陽	戸扄反本或作滎非
宛陵	於阮反又於元反
宰咺	吁阮反
之賵	芳鳳反
亦與	音預下同
睢陽	音雖
祭伯	側界反國名傳祭仲同
稱使	如字又所吏反
小斂	力驗反
以見	賢遍反
傳元年以別	彼列反
夏殷	戸雅反三代之號可以意求
見異	賢遍反
故不書爵	一本無故字
以㢡	將丈反
求好	呼報反
與盟	如字又音預
費伯	音祕
有郁	於六反
皆放	甫往反後此例皆同
娶于	取住反
宛縣	於元反
共叔	音恭共地名凡國名地名人名字氏族皆不重音疑者復出後放此
在鄂	五各反
寤生	五故反
惡之	烏路反注同
亟請	欺兾反數也
爲之	于僞反
嚴邑	五銜反本又作巖
虢叔	瓜百反國名
復然	扶又反
大叔	音泰注及下皆同
過百	古臥反後不音者皆同
曰堵	丁古反
長三	直亮反又如字
髙	古報反又如字
徑三	古定反
參國	七南反又音三
焉辟	於䖍反
何厭	於鹽反
滋蔓	音萬
自斃	婢世反本又作弊舊扶設反踣也
斃踣	蒲北反
廩延	力錦反
不暱	女乙反親也
完	音桓
繕甲	市戰反
具卒	尊忽反歩兵也注及下同
乗	繩證反注及下同
奔共	音恭
汲郡	居及反
不弟	大計反又如字
難之	乃旦反注同
遂寘	之豉反置也
封疆	居良反
舎肉	音捨
以遺	唯季反下同
不啜	川恱反
華元	戸化反
繄	烏兮反又烏帝反語助
公語	魚據反
闕地	其月反
隧而	音遂
其樂	音洛注及下同
融融	羊弓反和樂也
洩洩	羊世反舒散也
施及	以豉反又式智反
不匱	其位反
以別	彼列反
通稱	尺證反音同
大量	音亮
盈縮	所六反
即傳	直專反
印段	因刃反
求賻	音附
在殯	必刃反
不共	音恭本又作供音同
致令	力呈反
不復	扶又反
別内	彼列反
爲君	于僞反
惡其	烏路反
傳三年不祔	音附
爲公	于僞反
隱見	賢遍反
以別	彼列反
王朝	直遥反
不復	扶又反
專任	而鴆反後不音者皆同
子狐	音胡
交質	音致下同
將卑	必二反與也
祭足	側界反
蓋芟	所銜反
要之	於遥反
閒之	閒廁之閒
㵎谿	苦兮反爾雅云山夾水曰澗山瀆無所通曰谿
沼	之紹反池也
畤	音止本又作沚亦音市小渚也
之毛	毛草也
蘋	音頻大蓱也
蘩	音煩皤蒿也
蕰	紆粉反聚也
藻	音早
大蓱	蒲丁反
皤蒿	蒲多反白蒿也
筐	丘方反
筥	九吕反筐筥皆器也方曰筐圎曰筥
錡	其綺反有足釡
潢	音黃
汙	音烏潢汙停水也
行潦	音老行潦流潦也
又焉	於䖍反
盟約	如字又於妙反
行葦	于鬼反
泂酌	音迥
以共	音恭
之行	下孟反
而屬	章欲反注同
殤公	舒羊反
先君舎	音捨
與夷	如字一音餘
以殁	音没
奉馮	皮冰反本亦作憑
義夫	音符注同
商頌	似用反
是何	本又作荷河可反又音河注同任也
任何	音壬
忿而	芳粉反
之稱	尺證反
必傳	直專反
僨于	弗問反仆也
所爲	于僞反
厲嬀	九危反
州吁	況于反
嬖人	必計反親幸也賤而得幸曰嬖
而好	呼報反
弗禁	居鴆反一音金
惡之	烏路反
石碏	七畧反
於邪	似嗟反下同
淫泆	音逸
夫寵	音扶發句之端後放此
不憾	本又作感同胡暗反恨也五年同
能眕	之忍反重也
鮮矣	息淺反少也
妨貴	音芳
少	詩照反
陵長	丁丈反
閒親	閒厠之閒下同
之比	必二反
去順	起吕反下同
弑其	音試
先經	悉薦反
經四年伐杞	音起
取牟	亡侯反
言易	以豉反
雍丘	於用反
弑其	本又作殺同音試凡弑君之例皆放此可以意求不重音
君完	音丸
翬	許歸反
強君	其丈反
去族	起吕反下同
翬溺	乃歷反
于濮	音卜
傳四年諸篡	初患反
不復	扶又反下文復伐同
蔡從	才用反
賦調	徒弔反
而棼	扶云反亂也
棼緼	於云反
弗戢	莊立反
王覲	其靳反見也
朝陳	直遥反後不出者皆放此
褊小	必淺反一音必殄反
耄矣	至報反八十曰耄
請涖	音利又音類臨也
獳羊	奴侯反
惡州吁	烏路反
與焉	音預
于邢	音刑國名
經五年入郕	音成國名
將卑	子匠反
二嫡	丁歷反
爲別	于僞反
螟	亡丁反蟲食苗心者
公子彄	苦侯反
傳五年觀魚者	本亦作漁者
