桓公	名軌惠公之子隱公之弟母仲子史記亦名允諡法辟土服逺曰桓
第二杜氏盡十八年經元年篡立	初患反
脩好	呼報反傳同
近垂	附近之近
祊田	百庚反
令鄭	力呈反
傳元年請復	扶又反
爲周公	于僞反
獨見	賢遍反
渝盟	羊朱反變也
無享	許丈反
遣使	所吏反
宋華	戸化反太夫氏也後皆同
父督	音篤
而豔	以贍反美色也
經二年閨門	音圭
取郜	古報反
大廟	音泰傳大廟放此
召陵	止照反
主帥	所類反或作師
傳二年爲賂	于僞反注除爲會一字並同
惡其	烏路反
婉而	於阮反
大宰	音泰
數戰	音朔
子馮	皮冰反下同
遂相	息亮反下注傅相同
著儉	張慮反後不音者同
之稱	尺證反
越席	戸括反越席結草
祀天車	本或無天字者非
粢	音咨稷也爾雅云
食	音嗣􁒗也
不鑿	子各反精米也字林作毇子沃反云糲米一斛舂爲八斗
衮冕	古本反
黻	音弗下同
珽	他頂反玉笏也
韋韠	音必
玉笏	音忽
持簿	歩古反徐廣云持簿手版也
幅舄	音逼行縢也下音昔
行縢	徒登反
複履	音福
紞	多敢反字林丁坎反冠之垂者
紘	獲耕反纓從下而上者
綖	音延字林弋善反冠上覆
而上	時掌反下上下同
藻率	音律
鞞	補頂反
鞛	布孔反鞞鞛刀削之飾
藉玉	在夜反
刀削	音笑
鞶	歩干反紳帶也
游	音留注同旌旗之游
馬膺	於稜反
如索	悉各反
黼	音甫
相戾	力計反
色比	并是反
器械	戸戒反
錫	音楊鄭玄云馬面當盧
鈴	音零
馬額	顔客反
在鑣	彼驕反
旂	勤衣反
而寘	之豉反置也
官邪	似嗟反
雒邑	音洛本亦作洛
受夏	户雅反
郟	古洽反
鄏	音辱
近楚	附近之近
舊好	呼報反注同
舎爵	音赦置也舊音捨
自參	七南反又音三
以上	時掌反
曰仇	音求
君之名子	如字或彌政反
嘉耦	五口反
曰妃	芳非反
其替	他計反廢也
少子	詩照反
以諷	方鳳反
靖侯	才井反
欒賔	力官反
適子	丁歷反
爲小宗	本或作爲大宗誤
有分	扶問反又如字
親	七刃反又如字
等衰	初危反殺也注同
無復	扶又反
分別	彼列反
衰殺	所界反
覬	音兾
覦	羊朱反字林羊住反說文云欲也
侯甸	徒練反
陘庭	音刑
經三年正月	從此盡十七年皆無王唯十年有二傳以爲義或有王字者非
于嬴	音盈
約言	如字又於妙反
不歃	所洽反
長垣	音袁
于讙	呼端反
蛇丘	以支反
傳三年汾隰	扶云反汾水名下溼曰隰
驂	七南反騑馬也
絓止	戸卦反
騑馬	芳非反
共叔	音恭注同
各殉	似俊反
媒介	音界
之好	呼報反注同
齊侯送姜氏	本或作送姜氏于讙
公子則下卿送	公子公女
芮伯	如銳反國名
惡芮伯	烏路反
馮翊	音翼
經四年公狩	手又反冬獵曰狩
夏之	戸雅反下同
伯糾	居黝反
傳四年經五年侯鮑	歩飽反
從王	如字又才用反
大雩	音于祭名
龍見	賢遍反
螽	音終
蚣	相容反
蝑	相魚反
定陶	同勞反
傳五年子佗	大何反
子免	音問
五父	音甫
襲之	音習
將右軍	子匠反下及注大將同
左拒	俱甫反方陳也下同
方陳	直覲反下文之陳及注同
王卒	尊忽反下同
萃於	似類反
曼伯	音萬
魚麗	力知反注同
彌縫	扶容反
五乗	繩證反
繻葛	音須
旝	古外反又古活反旃也說文作檜建大木置石其上發機以磓敵
麾也	許危反
射王	食亦反
中肩	丁仲反
猶殿	多見反
無隕	于敏反
勞王	力報反注同
名仲字足	一本作字仲足
重言	直用反
啓蟄	直立反
夏正	音征
龍見	賢遍反注同
龍宿	音秀
逺爲	于僞反
閉	必計反又必結反字林方結反
而烝	之丞反
度其	待洛反
不復	音服後不音者皆同
危難	乃旦反
經六年寔來	時力反實也
省文	所景反
大閱	音恱簡車馬也
是適	丁歷反傳同
長子	丁丈反
傳六年薳章	于委反
於瑕	下加反
少師	詩照反注及下同後皆放此
而被	皮寄反下注被甲同
難間	閒廁之閒
隨張	豬亮反自侈大也注同一音如字
師侈	昌氏反又式氏反
羸師	劣追反注及下同
熊率	音律
且比	子餘反
抗衡	苦浪反
民餒	奴罪反餓也
矯舉	居兆反
牲牷	音全
肥腯	徒忽反肥也
其畜	吁又反注及下皆同
蕃滋	音煩
瘯	七木反本又作蔟同
蠡	力果反說文作瘰云瘯瘰皮肥也
無疥	音界
癬	息淺反說文云乾瘍
讒慝	他得反
逺聞	音問又如字
九族	杜釋與孔安國鄭玄不同
禋祀	音因
民饑	音飢又音機
於難	乃旦反下同
二帥	所類反
少良	詩照反
饋之	其媿反遺也
餼	許旣反牲腥曰餼
妻鄭	七計反下及注同
接以	如字鄭注禮記作捷讀此者亦或捷音
食之	音嗣
桑弧	音胡
蓬矢	歩工反
射天地	食亦反
于阼	才故反
申繻	音須
曰鯉	音里
周人以諱事神名	絶句衆家多以名字屬下句
木鐸	待洛反
徇曰	似俊反本文作殉同
舎故	音捨下同
具敖	五羔反
經七年焚咸丘	扶云反火田也
綏來	須唯反
筑陽	音逐
傳七年辟陋	匹亦反本又作僻同
盟	音孟
向	傷亮反
而背	音佩
于郟	古洽反
經八年烝	之承反
此夏	戸雅反
爲下	于僞反
復烝	扶又反
見瀆	賢遍反
雨雪	于付反
祭公	側界反
傳八年有釁	許覲反注同
弋陽	餘職反
請下	遐嫁反注同
不然將失楚師	一本無師字
天去	起吕反注同
弟緡	亡巾反
經九年伸父母	音申
射姑	音亦又音夜
傳九年爲書	于僞反
爲好	呼報反
鄾人	音憂
沔水	面善反
耼甥	乃甘反
衡	如字橫也一音橫
陳	直覲反注同又如字
而北	如字一音佩嵇康音胷背
背巴	音佩注同
而夾	古洽反又音古協反
宵潰	戸對反
夏陽	戸雅反
適子	丁歷反
享曹	許兩反
施父	色豉反人名字下音甫
經十年中背	如字一音丁仲反下音佩
惡三國	烏洛反又烏路反
傳十年譖其	側鴆反
詹父	章廉反
求旃	之然反之也
周諺	音彥
吾焉	於䖍反
以賈	音古注同買也
無厭	於鹽反下同
共池	音洪一音恭
交綏	荀佳反
以見	賢遍反
經十一年聽迫	吐定反
于折	之設反又市列反
夫鍾	音扶
于闞	口暫反
須昌	宣踰反
傳十一年屈瑕	居勿反楚大夫氏
貳軫	音二下之忍反皆國名
鄖人	音云國名
蒲騷	音蕭又音縿
隨絞	古卯反
州蓼	音了本或作鄝同隨絞州蓼四國名
江夏	戸雅反
溳城	音云本亦作鄖
棘陽	紀力反
湖陽	音胡
莫敖	五刀反
且日	人逸反
虞度	待洛反
郊郢	以井反又以政反
恃近	附近之近
盍請	戸臘反何不也
濟	箋計反
億兆	於力反
將妻	七計反下注同
大援	於眷反
子亹	亡匪反本或作斖
封疆	居良反
爲公	于僞反
鄧曼	音萬
女於	尼據反注曰女同
雍	於恭反
姞	其吉反又其秩反
應命	應對之應
經十二年汶陽	音問
侯躍	羊畧反
于虚	去魚反
武父	音甫地名有父字者皆同甫音
重書	直用反下同
以見	賢遍反
皆陳	直覲反
傳十二年于句	古侯反
瀆	音豆
婁盟	力具反本又作屢音同
用長	丁丈反注同
故數	音朔下同
而憾	戸暗反
而輕	遣政反
無扞	戸旦反衞也
采樵	在遥反薪也
