莊公	名同桓公子母文姜諡法勝敵克亂曰莊
第三杜氏盡三十二年經元年遜于	本亦作孫音同注及傳同
單伯	音善
采地	七代反
且別	彼列反
諒闇	音梁又音亮
親迎	魚敬反
之比	必利反
郱	蒲丁反
鄑	子靳反
郚	音吾
臨朐	其俱反
訾城	子斯反
傳元年父殺	音試一音如字
而復	扶又反
去姜	起吕反
未闋	苦穴反
經二年于禚	諸若反
公馮	皮氷反
傳二年好會	呼報反
經三年溺	乃狄反
故去	起吕反
以酅	戸圭反本又作攜
于滑	乎八于八二反
傳三年重盟	直用反
以難	乃旦反
在櫟	音歷或音書約反
經四年享食	音嗣又如字本或作㑹
以見	賢遍反
狩于	手又反
越竟	音境本又作境
傳四年孑	吉熱反方言云楚謂戟爲孑
戟爲陳	直覲反
將齊	側皆反注同
僻陋	匹亦反
僭號	子念反
徴應	應對之應
樠	郎蕩反木名又莫昆反又武元反
屈重	直用反一音直容反
梁溠	髙貴郷公音側嫁反水名字林壯加反
入貟	音云或作鄖
漢汭	如銳反内也漢水西也水曲曰汭
下齊	遐嫁反
難也	乃旦反
經五年郳	五兮反國名後爲小邾
犂來	力兮反
昌慮	如字又力於反
傳五年數從	音朔
經六年螟	亡丁反
衞俘	芳夫反囚也
傳六年甯	乃定反
跪	其毁反
宥之	音又
不度	待洛反下同
立衷	丁仲反節適也注同王音忠
弗強	其丈反注同
必披	普靡反又普知反
蕃滋	音煩
說魯	音恱
祁侯	巨支反字林上尸反
騅甥	音佳
噬齊	市制反下粗兮反
齧也	五結反
焉取	於䖍反
無復	扶又反下文同
經七年不見	賢遍反注及傳皆同
夜中	夜中夜半也丁仲反又如字
星隕	于閔反落也
不匿	女力反
漂殺	匹妙反又匹遥反
傳七年數與	音朔
偕	音皆俱也
經八年郕降	户江反傳皆同
諸兒	如字一音五兮反
傳八年夏書	戸雅反後放此
皐陶	音遥
連稱	尺證反又如字
期戍	音基本亦作朞
如適	丁歷反注同
絀之	勑律反
從妹	才用反下從者皆同
閒公	如字注同或古莧反非
曰捷	在接反克也
以女	音汝
姑棼	扶云反
貝丘	補蓋反
樂安	音洛
敢見	賢遍反
射之	食亦反
而	反
將率	子匠反率又作帥同所類反
滅譚	徒南反
傳十年曹劌	古衞反
請見	賢遍反下同
何閒	閒廁之間注同與也
猶與	音預
未徧	音遍注同
犧牲	許冝反
之屬	音蜀
請從	才用反
之乗	繩證反
三鼓	息暫反又如字
其轍	冝列反
登軾	音式
有伏	如字舊扶又反
旗	音其
靡	音美
怖	普布反
遽也	其據反
雩門	音于
皐比	音毗注同
過譚	古禾反
經十一年鄑	子靳反
傳十一年爲乗	于爲反
未陳	直覲反下及注皆同
橈敗	乃孝反一音乃巧反
沮岸	在吕反壞也一音子餘反岸崩謂之沮
喪其	息浪反
得儁	音俊本或作俊
之比	必利反
退復	扶又反
狡壯	交卯反下側亮反
之難	乃旦反
京師敗	本或作京師敗績者非
得校	音敎
悖焉	蒲忽反一作勃同盛貌
桀紂	直久反
言懼而名禮	絶句或以名字絶句者非
公子御	魚吕反本或作禦
說	音恱
共姬	音恭
射南宫	食亦反
長萬	丁丈反
歂孫生	市專反
搏之	音博取也
靳之	居覲反戲而相媿曰靳服云恥而惡之曰靳
經十二年于酅	音攜
不警	居領反
傳十二年批而	普迷反又蒲穴反字林云擊也父迷父節二反
大宰	音泰
奔亳	歩各反
南宫萬奔陳	本或作長萬長衍字也下亦然
乗車	繩證反注同
弃好	呼報反注同
亦請南宫長萬于陳以賂	絶句
飲之	於鴆反
犀革	音西
裹之	音果
比及	必利反
皆見	賢遍反
醢之	音海肉醬也
經十三年北杏	戸猛反
蛇丘	音移
于柯	古河反
傳十三年通好	呼報反
背北杏	音佩十四年經注同
經十四年于鄄	音絹
甄城	音絹一音眞或音旃又舉然反或作鄄
傳十四年自櫟	音歷
茍舎	音捨
鄭子	子儀
内蛇	市奢反
申繻	音須
有妖	於驕反
炎以	音豔
洛誥	古報反
燄燄	音豔
無釁	許靳反
無裏	音里
憾焉	戸暗反
宗祏	音石藏主石函也
守臣	手又反
莊公之子猶有八人	傳唯見四人子忽子亹子儀並死獨厲公在八人名字記傳無聞
乃縊	一賜反
爲莘	于僞反下所巾反
以語	魚據反
繩	食承反說文作譝
譽	音餘又如字
以食	音嗣注同
堵敖	丁古反下五羔反杜云楚人謂未成君爲敖史記作杜敖
以說	音恱
之易	以豉反注同
之燎	力召反又力弔反
郷邇	許亮反
撲滅	普卜反
般庚	歩干反本又作盤
易長	丁丈反
經十五年伐郳	五兮反
傳十五年復會	扶又反
諸侯長	丁丈反
爲宋	于僞反
閒之	閒厠之閒一本作聞
經十六年介於	音界
而爲三恪	苦各反本或作爲三恪之客
都費	扶味反又音祕
緱氏	古侯反一音苦侯反
傳十六年宋故	詩照反
后稱	尺證反
鬪緡	亡巾反
以畔	絶句本或作叛俗字
那處	那又作同乃多反下昌吕反又昌慮反
編縣	必緜反一音歩典反
游涌	音勇水名
經十九年媵陳	以證反又繩證反送也
出竟	音境
之好	呼報反
傳十九年鬻	音育
拳	求圎反
大􁆻	音昬守門人也
嬴	音盈姓也字從女
踖陵	在亦反一音七畧反
及湫	子小反
鄀縣	音若
夕室	朝夕之夕
絰皇	田結反絰皇闕也
強諫	其丈反
太伯	音泰
校尉	戸敎反字從木
王姚	羊消反
嬖于	必計反
子頽	徒回反
之圃	必古反又音布園也
爲囿	音又徐于目反苑也
苑也	於阮反
近於	附近之近
祝跪	求委反
而收	式周反
經二十年傳二十年爲伐	于僞反下文同
于鄔	烏苦反
徧舞	音遍
哀樂	音洛
殃咎	於良反下其九反
去盛	起吕反
饌	仕眷反
奸王	音干
盍納	胡臘反何不也
經二十一年祔姑	音附
傳二十一年于弭	面爾反
圉門	魚吕反
西辟	蒲歷反
復與	扶又反
效尤	戸敎反
徧舞	音遍
虢守	音狩本或作狩後放此注同
于玤	蒲項反
鞶	歩干反又蒲官反紳帶也
鑑	上暫反鏡也
始惡	烏路反又如字
王使	所吏反
經二十二年大眚	所景反
盪	音蕩本又作蕩
滌	徒歷反
御寇	音禦本亦作禦
惡其	烏路反
不見	賢遍反又如字
傳二十二年顓孫	音專
弛於	失氏反
負擔	丁暫反
去離	力智反
官謗	布浪反
翹翹	祁堯反逺貌
車乗	繩證反
飲桓公	於鴆反注同
酒樂	音洛下注同
卜妻	七計反
和鳴	如字又戸臥反注同
將將	七羊反本又作鏘
並于正卿	本或作並爲誤
陳佗	大多反
其少	詩照反
見陳侯	如字又賢遍反
太史	音泰
使筮	上制反
蓍	音尸
遇觀	古亂反注皆同
之否	備矣反注同
爻辭	戸交反
乾天	其然反
陳摰	音至本又作贄同
有觀	古亂反
而著	直畧反
大嶽	音泰下音岳
楚復	扶又反
猶豫	音預本亦作預
南蒯	苦怪反
卜僭	子念反
其應	應對之應
縣驗	音玄
經二十三年祭叔	側界反
爲祭公	于僞反
于榖	音谷
宫楹	音盈
射姑	示亦反又音亦
于扈	音戸
卷縣	音權字林丘權反韋昭丘云反說文丘粉反
傳二十三年長幼	丁丈反
族偪	彼力反
士蔿	于委反
去富子	起吕反下同
惡其	烏路反
閒之	閒廁之閒
經二十四年刻	音克鏤也
桷	音角椽也字林云齊魯謂榱爲桷
桷椽	直專反
要公	於遥反
孟任	音壬後孟任皆同
覿	徒歷反見也
以見	賢遍反下同
奢夸	苦瓜反
傳二十四年御孫	魚吕反本亦作禦
侈	昌紙反又尸氏反
男䞇	眞二反
別貴賤	彼列反
榛栗	側巾反
棗脩	脩脯也鍜脯加薑桂曰脩
䖍	音乾
經二十五年女叔	音汝陳大夫氏
嘉好	呼報反傳同
傳二十五年相魯	息亮反下同
正月	音政正月建巳之月
慝未	他得反隂氣
夏之	戸雅反
之眚	所景反災也
城聚	才喻反
經二十六年傳二十六年簡牘	徒木反
不究	音救
不復	扶又反
申解	居蟹反
經二十七年于洮	徒刀反
具見	賢遍反
自爲	于僞反
所黜	勑律反
城濮	音卜
傳二十七年越竟	音竟
所畜	勑六反下及注皆同
哀樂	音洛
力強	其丈反
亟戰	欺兾反
將饑	居疑反又音機
召伯	音邵
廖	力彫反
經二十八年邾子瑣	素果反
築郿	亡悲反
告糴	徒歷反
傳二十八年烝於	之承反
重耳	直龍反
驪戎	力知反
女以	昵據反注曰女同
卓子	勑角反
閨	音圭
闥	吐達反
關塞	素代反
二屈	求勿反一音居勿反
之疆	居良反下同
疆埸	音亦
故復	扶又反
說之	音恱
譖羣	責鴆反
二耜	音似
廣一	古曠反
共墾	苦很反
欲蠱	音古惑也
六百乗	繩證反
入桔	及結反
柣	待結反
鬪御	魚吕反本亦作禦下注反禦同
