僖中第六杜氏盡二十六年經十六年隕石	于敏反落也
數之	色主反
而隊	直類反
是月	本或作是日
六鷁	五歷反本或作鶂音同鷁水鳥六其數也
過	古禾反
重言	直用反傳注同
公與	音預
斂	力驗反本亦作公與小斂
鄫季	似陵反
邢侯	音刑
于淮	音懷
傳十六年迅風	音信又音峻疾也
焉在	於䖍反
先見	賢遍反又如字
錯逆	七各反
餘殃	於良反
取狐	音胡
廚	直誅反
受鐸	徒各反
渉汾	扶云反水名
大原	音泰
戎難	乃旦反注同
鄫爲	于僞反
而呼	火故反
而還	音旋
經十七年英氏	於京反
滅項	胡講反國名魯滅之也二傳以爲齊滅
于卞	皮彦反
傳十七年爲徐	于僞反
子圉	魚吕反
爲質	音致下同
而妻	七計反下同
梁嬴	音盈下同
孕	以證反懷子曰孕
過	古禾反
卜招	之遥反
大卜	音泰
宦女	音患
好内	呼報反
内嬖	必計反
長衞	丁丈反下注同
少衞	詩照反
公子潘	判丹反
華子	戸化反
屬孝公	音燭
共姬	音恭本亦作恭
寺人貂	音彫
易牙	音亦
爲長	丁丈反
夜殯	必刃反
經十八年于甗	魚免反又魚偃反又音言一音彦
傳十八年以說	音恱又如字
鑄兵	之樹反
不勝	音升又升證反
圍菟	音徒
圃	布古反又音布
燬	吁委反衞侯之名
訾婁	子斯反下郎句反又郎鉤反
經十九年嬰齊	於盈反
雖與	音預下亦與同
致餼	許氣反
畜産	許又反
以惡	烏路反
傳十九年不復	扶又反
次睢	音雖
以屬	朱欲反
東徑	音經
譙	在消反
沛	音貝
入泗	音四
社祠	音辭或音祀
六畜	許又反注同
為用	于偽反下為人同又如字注放此
伯長	丁丈反
不降	戸江反下同
而復之	扶又反注同一本作而復伐之伐衍字也
因壘	力軌反軍壘
以御	如字治也詩音五嫁反迎也
適妻	丁歴反本或作嫡
大姒	音泰下音似
盍姑	胡臘反
修好	呼報反下同
亟城	欺兾反
民罷	音皮
溝塹	七豔反
而潰	戶內反
經二十年郜子	古報反姬姓國字林工竺反
入滑	于八反
傳二十年啓塞	素則反
洩	息列反
堵寇	丁古反王又音者
為邢	于偽反
衛難	乃旦反
鬭榖	奴口反
於	音烏
菟	音徒
鮮矣	息淺反下同
召南	上照反
早莫	音暮本亦作暮
汙辱	汙穢之汙一音烏路反
相時	息亮反
經二十一年為邢	于偽反下為邾同
于盂	音于
緫見	賢遍反
須句	其俱反傳同
獻	軒建反
捷	在接反
于薄	如字
傳二十一年巫尪	烏黃反
祈禱	丁老反或丁報反
瘠病	在亦反
上嚮	許亮反本亦作向
故爲	于僞反
貶食	彼檢反
省用	所景反
以懲	直升反
戰泓	烏宏反
任宿	音壬注同
顓	音專
㬰	羊朱反
風姓也	本或作皆風姓
大皡	音泰下胡老反
有濟	子禮反注及下注同
伏戲	許冝反本或作犠又作羲
封近	附近之近
諸夏	戸雅反注及下同
爲之	于僞反
猾夏	于八反亂也
叔孫豹	百敎反案杜注所引是叔孫婼語今傳本多作豹恐是傳冩誤也冝爲婼音勑若反
紓禍	音舒解也
經二十二年之比	必二反
升陘	音刑
邾人縣	音玄
公胄	直救反
主帥	所類反
傳二十二年被髮	皮寄反下注同
陸渾	戸門反一音胡困反
爲質	音致
所妻	七計反
巾櫛	側乙反
卑稱	尺證反下之稱同
大叔	音泰注同
協比	毗志反
焉能	於䖍反
王說	音恱
仲孫湫	子小反
而御	魚吕反本亦作禦
可易	以豉反下同
兢兢	居陵反本或作矜
蠭	芳容反本又作􁑌俗作蜂皆同
蠆	勑邁反一音勑戒反字林作䘍丑介反又音他割反
登陘	本亦作升陘
縣諸	音玄
兜	丁侯反
鍪	莫侯反
旣陳	直覲反
殱焉	將廉反盡也
皆咎	其九反
不重	直用反下同
阻隘	於賣反
勍敵	其京反強也
胡耇	音苟
爲利	于僞反
鼓儳	仕銜反又仕減反儳巖也
整陳	直覲反一音如字
芈	彌爾反楚姓也
勞楚子	力報反
柯澤	音哥
師縉	音晉
俘	芳扶反囚也
馘	古獲反戰所獲
踰閾	音域一音況域反門限
爾近	如字又附近之近下同
爲鄭	于僞反
叔詹	章廉反
不殁	門忽反
卒於	子恤反
無別	彼列反下同
城濮	音卜
所殺	音試
經二十三年圍緡	亡巾反
絀稱	本又作黜勑律反
傳二十三年不與	音預
復召	扶又反下不復成嫁同
焦夷	子消反
薳吕臣	爲彼反
不任	音壬
以靖	音靜
其人能靖者與	音餘絶句
有幾	居豈反
重耳	直龍反
期期	上如字下音基下亦作朞下注未期亦音基
從重耳	才用反後皆同
委質	如字
乃辟	婢亦反注同罪也
屈膝	辛七反
不濫	力暫反
以呈	勑景反本或作逞
巳見	賢遍反
重發	直用反下重詳同
又爲	于僞反又如字
於難	乃旦反
而校	音敎報也
趙衰	初危反
顚頡	戸結反
魏犫	尺油反
臼季	其久反
賈佗	徒何反
廧	在良反
咎	古刀反
叔隗	五罪反
伯儵	直由反本又作鯈音同
妻趙	七計反下同
生盾	徒本反
請待子	絶句
之塊	苦對反又苦怪反
二十乗	繩證反注及下皆同
實敗	必邁反
醒	星頂反
曹共公	音恭
聞其駢	薄賢反
脅	絶句許業反駢脅合幹也說文云駢脅并也廣雅云脅幹謂之肋通俗云腋下謂之脅
欲觀	如字絶句一讀至裸字絶句
裸	力果反又戸化反
浴	音欲
薄而	如字迫也國語云薄簾也
合幹	古旦反
負羈	紀冝反
相國	息亮反下及注同
子盍	戸臘反
蚤自	音早
自別	彼列反
乃饋	其貴反遺也
盤飱	音孫說文云餔也字林云水澆飯也
寘璧	之豉反
竟外	音境
令人	力呈反
不蕃	音煩注同息也
而從之	如字一音才用反
同儕	仕皆反等也
其過	王古禾反
鞭弭	莫爾反弓末也爾雅云弓有縁者謂之弓無縁者謂之弭
右屬	音燭注同
櫜	古刀反受箭器
鞬	九言反弓衣
無縁	恱絹反
惡之	烏路反
大咎	其九反
與焉	音預
奉	芳勇反
匜	以支反一音以紙反器名也說文云似羹魁柄中有道可注水
沃盥	古緩反
揮之	許韋反湔也
湔也	音薦王音賛一音箭又音牋
去上服	起吕反
自拘	音俱
如衰	初危反下同
見意	賢遍反
斷章	丁緩反
一級	音急
經二十四年蔽於	必世反
之難	乃旦反
傳二十四年羈	紀冝反說文云馬絡頭也
絏	息列反馬繮也說文云繫也
從君	才用反又如字
馬繮	居良反
皦日	古了反
質信	音致
令狐	力丁反
臼衰	初危反
解縣	戸買反
廬柳	力居反下力九反
公子縶	張立反
于郇	音荀
畏偪	彼力反
為文	于偽反
而殺	音試又如字
寺人披	普皮反本又作侍人披
請見	賢遍反
女即至	音汝下皆同
田渭	音謂水名
濵	音賔
女為	于偽反
女中宿	丁仲反下注中鉤同一本作女中宿至
夫袪	起魚反
衣袂	滅制反
及難	乃旦反下及注同
置射	食亦反注同
仲相	息亮反
行者甚衆	一本甚作其
未輯	音集又七入反本亦作集
秦卒	子忽反
共之	音恭本亦作供
之豎	上注反左右小使也
守藏	才浪反下同
里鳧須	房孚反韓詩外傳云晉文公亡過曹里鳬須從因盜重耳資而亡重耳無糧餒不能行介子推割股以食重耳然後能行
盡用	津忍反
求見	賢遍反下得見同
心覆	芳服反下同
之守	手又反又如字
懼者其衆矣	本或作甚衆矣
公遽	其據反
妻趙	七計反
屏括	歩丁反下古活反
為嫡	本亦作適丁歴反注同
下之	遐嫁反下同
從亡	才用反
介	音界
之推	昌誰反
盍亦	戶臘反
誰懟	直類反怨也
欲令	力呈反
焉用	於䖍反
與女	音汝
俞彌	羊朱反下亡皮反
爲滑	于僞反
不聽	吐定反
而執二子	本或作而執其二子其衍字也
大上	音泰
以蕃	方元反
郕霍	音成
毛𥅆	乃甘反
郜雍	於用反注同
酆	音風
郇	音荀
邘	音于
凡蔣	將丈反
邢茅	亡交反
胙	才故反下注祭胙同
祭	側界反
召穆	上照反注同
糾合	居黝反收也
常棣	大計反字林大内反
鄂	五各反
不	方九反
韡韡	韋鬼反
䦧于	呼歷反訟爭貌毛詩傳云很也
外禦	魚吕反下同
其侮	亡甫反詩作務
訟爭	爭鬪之爭本又作諍
外扞	戸旦反
暱近	女乙反親也
即聾	鹿工反
從昧	音妹
用嚚	魚巾反
堵叔	丁古反又音者
不別	彼列反
又渝	羊朱反變也
頽叔	徒回反
桃子	如字本或作姚亦冝音桃
取櫟	力狄反
施者	如字注同
未厭	於豔反又於鹽反
貪惏	力南反方言云殺人而取其財曰惏
近之	附近之近
逺之	于万反
王替	他計反
坎欿	苦感反下大感反
鞏縣	九勇反
于氾	音几後皆同
好聚	呼報反
鷸冠	尹橘反翠鳥也
惡之	烏路反注同
不衷	音忠適也一音丁仲反注同
彼己	音記
不稱	尺證反注及下同
刺小人	七賜反
子臧之及	一本作之服
也夫	音扶
