文上	文公名興僖公子母聲姜諡法慈惠愛民曰文忠信接禮曰文
第八杜氏盡十年經元年來錫	星歷反
其比	必利反例也又如字
喪邑	息浪反
君頵	憂倫反又丘倫反
傳元年能相	息亮反
見其	賢遍反下注孤見同
食子	音嗣注同
難也	乃多反又如字
供	俱用反
養	余亮反
期之日	居其反朞同
不愆	起䖍反
不悖	必内反
毛伯衞來錫公命	一本作王使又一本作天王使
緜訾	子斯反
新汲	居及反
諒闇	音良又音亮
且居	子余反
陳共	音恭
更伐	古孟反又音庚
大甚	音泰又如字
疆戚	居良反注同
尚少	詩照反下文同
蠭目	本又作蜂芳逢反
豺聲	仕皆反
江芈	亡氏反杜云江芈成王妹史記以爲成王妾
曰呼	好賀反發聲注同
役夫	如字役夫賤者稱
者稱	尺證反
殺女	音汝
大事謂弑君	申志反一本無此注
宫卒	子忽反
從子玉	如字又才用反
熊蹯	音煩掌也
不暝	亡丁反又亡千反
未斂	力驗反
大師	音泰
而環	如字又音患
舊好	呼報反下及注同
要結	於遥反
外援	于眷反
秦帥	所類反
芮良夫	如銳反
之詩	大雅桑柔篇
有隧	音遂道也
敗類	必邁反注同
蹊	音兮
徑	古定反
誦言	似用反
惽亂	音昬本亦作昬
覆	芳服反
卑	必爾反本亦作俾注同
復使	扶又反
經二年彭衙	音牙
不見	賢遍反
郃陽	戸納反
族去	起吕反
常稱	尺證反
厭不	於渉反
士縠	戸木反本又作榖同
垂隴	力勇反
有收	如字又手又反
大廟	音泰注及傳大廟同
躋僖	子兮反升也
廟坐	才臥反又如字
玄纁	許云反
傳二年禦	魚吕反
將中	子匠反
趙衰	初危反
郤溱	側巾反
鞫居	九六反
故嗤	尺之反
囚呼	火故反
狼瞫	尺甚反字林式衽反
公乗	繩證反
盍死	戸臘反
死處	昌慮反
與女	音汝
爲難	乃旦反
共用	音恭注同
不得復	扶又反
旣陳	直覲反
遄	市專反疾也
沮	在汝反止也
王赫	火百反
重施	式豉反
必辟	音避
毋念	音無注同
以厭	於渉反注同損也
士蔿	于委反
書士縠	本或作書曰晉士縠
爲衞	于僞反
令居	力呈反
閔上	時掌反一本無上字
夏父	戸雅反
昭穆	上遥反後昭穆之例放此
又長	丁丈反
年少	詩照反
不先	悉薦反下不先皆同
先鯀	古本反禹父
先契	息列反殷始封之君
不窋	知律反不窋后稷之子
不肖	悉召反
匪解	佳賣反
不忒	他得反差二也
邶風	音佩
不知	音智下同
塞關	悉再反
販席	甫万反
藻梲	章恱反
祀爰居	爰居海鳥也爾雅一名雜縣樊光云似鳳皇爰居事見國語莊子云魯侯御而觴之于廟
公子成	音城本或作戌音恤
轅選	息兖反
取汪	烏黃反
爲穆公	于僞反
好舅	呼報反注同
娶	七住反
元妃	芳非反
粢盛	音咨下音成
適夫人	丁歷反
共祭	音恭
經三年伐沈	尸甚反
沈潰	戸内反
平與	音餘一音預
爲赴	于僞反又如字本或作來赴
雨	于付反注及傳同
螽	音終
而惰	徒火反傳注同
天祐	音又
傳三年輕走	如字又遣政反
逃竄	七亂反
爲衞	于僞反
大陽	音泰
不解	佳賣反下同
采蘩	音煩
于沼	之紹反
于沚	音止
以共	音恭
詒厥	以之反
詒遺	唯季反下同
隊而	直類反
之帥	所類反
兵解	音蟹又佳買反
菁菁	子丁反
者莪	五多反
樂且	音洛下文何樂小國之樂同
還上	時掌反又如字
嘉樂	戸嫁反下如字注同
經四年甯俞	羊朱反
祔姑	音附
傳四年而壞	音怪
圍邧	願晚反一音元
爲之	于僞反下文注爲賦爲歌皆同
去盛	起吕反
饌	仕眷反
不矜	居陵反
爰究	音救謀也
爰度	待洛反亦謀也注同
湛露	直減反
彤弓	徒冬反
肆業	以二反習也注同依字作肄
佯不	音陽一音祥
宴樂	音洛下注宴樂同
不晞	音希
所愾	苦愛反恨怒也
玈弓	音盧
以覺	音角
舊好	呼報反
辱貺	音況
取戾	力計反罪也
經五年歸含	本亦作唅戸暗反口實也珠玉曰唅說文作琀云送終口中玉
且賵	芳鳳反車馬曰賵
召伯	上照反
入鄀	音若
廬江	力居反
傳五年公子燮	息協反
滅蓼	音了字或作鄝音同
皐陶	音遥
甯嬴	音盈
沈漸	似廉反注同
滯溺	一本作滯弱
亢爽	苦浪反
其行	下孟反
其難	乃旦反
軍帥	所類反下同
蒐于	所求反
經六年侯驩	喚官反
卿共	音恭
狐射姑	音亦一音夜
不告月	月或作朔誤也
故闕不告朔	本或作告月
傳六年舎二軍	音捨注同
軍帥	所類反下同
將中	子匠反
趙盾	徒本反
過温	古禾反
當也	丁浪反
辟獄	婢亦反後同者更不音
逋逃	補吾反
舊洿	音烏本又作汙同
大傅	音泰下同
賈佗	徒何反
從文公	才用反
求好	呼報反
且娶	七住反
越竟	音境
自爲	于僞反
任好	音壬
子車氏	音居
中行	音仲本亦作仲下戸郎反
鍼虎	其廉反
爲殉	似俊反殺人從死曰殉字林弋絹反
爲之賦	于僞反下注爲立聲敎爲作善言同
猶詒	以之反
殄瘁	似醉反病也
王者	如字一音于況反
聖知	音智
分之	扶問反注同
話言	戸快反善也
度量	音亮
引道	音導下同
以遺	唯季反
不復	扶又反注同
焉用	於䖍反
從者	才用反
卒得	寸忽反
三思	息暫反
公少	詩照反注同
以難	乃旦反注及下皆同
長君	丁丈反下皆同
好善	呼報反下皆同
且近	附近之近
必抒	直吕反又時吕反除也
公子樂	音岳一音洛
嬖於	必計反
辟也	匹亦反又作僻下同
杜祁	巨之反
讓偪	彼力反
姞	其吉反又其乙反
季隗	五罪反
故復	扶又反下將復怨同
亞卿	於嫁反
諸郫	婢支反
軍帥	所類反又命帥同
使㬰	羊朱反
駢	蒲賢反又蒲丁反
其帑	音奴妻子也
欲盡	津忍反
介人	音戒因也
非知	音智
帥扞	戸旦反
諸竟	音境
爲民	如字治也或于僞反非也
經七年須句	其俱反
邾復	扶又反
易也	以豉反
城郚	音吾
邾難	乃旦反
王臣	如字往方反本或作五臣
令狐	力呈反
殷適	丁歷反本亦作嫡
諱背	音佩
于扈	音户
卷縣	音權又丘權反
分別	彼列反
書將	子匠反
帥	所類反
涖盟	音利又音類
傳七年間晉	間厠之閒或如字
難也	乃旦反注同
寘文	之豉反下同
大暭	音泰下户老反
鱗矔	古亂反
華禦事	魚吕反本又作御音同
將去	起吕反下及注同
庇	必利反又悲位反下同
廕矣	本又作䕃於鴆反
葛藟	本或作虆力軌反
能虆	類龜反
蔓	音万
廕庥	許求反本又作庇
爲比	必爾反
舎司馬	音捨下同
子卬	五郎反
之難	乃旦反
穆嬴	音盈
舎嫡	丁歷反本亦作適同
將焉	於䖍反下焉用同
而屬	音燭
畏偪	彼力反
乃背	音佩
箕鄭	音基
居守	手又反下注同
將中	子匠反下注同
歩招	上遥反
堇隂	音謹一音靳
卒然	寸忽反
而復	扶又反
先人	悉薦反
有奪人之心	本戓此下有後人待其反誤
訓卒	子忽反
秣馬	音末
蓐食	音辱
刳首	苦胡反
之使	所吏反
爲寮	本又作僚力彫反
爲賦	于僞反下爲同寮同
芻	初俱反
蕘	音饒
中行	戸郎反下同
惡有	烏路反
酆舒	芳忠反
狄相	息亮反
戴己	音紀一音杞
其娣	大計反
難也	乃多反
則爲	于僞反下且爲自爲同
鄢陵	於晚反
舎之	音捨注同
復爲	音服又扶又反
用休	許虯反注同
不樂	音洛
盍使	戸臘反
說之	音恱
經八年衡雍	於用反
會雒戎	音洛本或作伊雒之戎此後人妄取傳文加耳
冝去	起吕反
不舎	音捨
傳八年解揚	音蟹
中屬	丁仲反
令鄭	力呈反
皆見	賢遍反
且復	扶又反
公壻	音細俗作
之竟	音境下注同
能相	息亮反
適祖母	丁歷反
效節	戸敎反致也
士縠	戸木反
將中	子匠反
從亡	才用反
蒯得	苦怪反
爲明	于僞反
經九年以共	音恭本亦作供下同
之襚	音遂衣服曰襚說文作裞云贈終者衣被曰裞以此襚爲衣死人衣
僻陋	匹亦反
曹共	音恭
傳九年君少	詩照反下注同
狼陂	彼皮反
公子尨	莫江反
以懲	直升反
不恪	苦各反
旨爲	于僞反
公子茷	扶廢反
厥貉	武百反
執幣傲	本又作敖五報反注下同
從子	才用反
若敖	五刀反
奉使	所吏反
諸夏	戸雅反
方嶽	音岳
接好	呼報反下及注同
經十年公與	音預
斂	力驗反
稱將	子匠反
帥	所類反
女栗	音汝一音如字
頃王	音傾
傳十年少梁	詩照反下注同
夏陽	戸雅反
北徴	如字三蒼云縣屬馮翊音懲一音張里反
矞似	尹必反
強死	其丈反
城濮	音卜
毋死	音無
縊	一豉反
而縣	音玄
王使	所吏反
㳂漢	恱專反順流曰㳂
泝江	息路反逆流回泝
入郢	以井反又以政反
渚宫	章吕反水中可居者曰洲小洲曰渚
小洲	音州
今復	扶又反
見	賢遍反
麇子	九倫反
勞且	力報反
遂道	音導
大藪	素口反
睢陽	音綏
右盂	音于
獵陳	直覲反
戈陽	以職反
兩甄	吉然反
命夙	眉病反
載燧	本又作㸂音遂取火具
抶其	恥乙反
以徇	似俊反
子舟	音州
不茹	如吕反
詭隨	九委反
