宣上	宣公名倭一名接又作委文公子母敬嬴謚法善問周達曰宣
第十杜氏盡十一年經元年喪取	七喻反本亦作娶
卿爲	于僞反
宥之	音又
牟縣	亡侯反
趙盾	徒本反
棐林	芳尾反
非好	呼報反
侵崈	音崇本亦作崇
傳元年尊稱	尺證反
舍族	音捨
篡立	初患反
得復	扶又反
爲立	于僞反下同
陳共	音恭
解揚	音蟹
秦急崈	絶句
必救之	本或作崇急秦必救之是後人改耳
侯侈	昌氏尸氏二反
驟諫	仕救反
經二年鄭爲	于僞反下同
夷皐	古刀反
傳二年命於楚	本或作受命于楚非也
元帥	所類反
見贖	食欲反
十乗	繩證反下皆同
俘二	芳夫反
馘百	古獲反本或作馘百人者人衍字
狂狡	古卯反
輅鄭	五嫁反迎也注同
倒戟	丁老反
冝其禽也	一本作冝其爲禽也
果毅	魚旣反
著於心	直畧反
食士	音嗣
羊斟	之金反
不與	音預
私感	戸暗反本又作憾注同
敗國	必邁反又如字
殄民	大典反
以逞	勑領反
叔牂	子郎反
爲植	直吏反注同將主也
將主	子匠反
謳曰	烏侯反
睅	戸板反出目也說文字林云大目也蘇林云寢視不安貌孟康云猶分然也
皤	歩何反大腹也
于思于思	如字又西才反多鬚貌賈逵云白頭貌
棄甲復	扶又反
來	力知反又如字以協上韻
多鬢	字又作鬚脩于反
驂乗	七南反
犀	音西
兕	徐里反
則那	乃多反
丹漆	音七
不吝	力刃反
其咎	其九反
陸渾	戸昬反
而惡	烏路反
其難	乃旦反
將斃	婢世反
國以殺	申志反
厚斂	力驗反
彫牆	本亦作雕下在良反
彈人	徒丹反
胹	音而煑也
熊蹯	扶元反
寘諸	之豉反
畚	音本草器也
草索	素各反
之筥	九吕反
見其手	一本作首
及溜	力救反屋霤也
鮮克	息淺反少也下同
衮職	古本反
鉏	仕俱反
麑	音迷一音五兮反
闢矣	婢亦反
盛服	音成本或作成
而睡	垂偽反
觸槐	音懐又音回
飲趙	於鴆反
祗	本又作提上支反
彌明	面皮反
遂扶以下	舊本皆作扶房孚反服䖍注作跣先典反云徒跣也今杜注本徃徃有跣者
公嗾	素口反說文云使犬聲服本作㖩
夫	音扶
獒	五羔反杜云猛犬也尚書傳云大犬也爾雅云狗四尺為獒說文云犬知人心可使者
明搏	音博
翳桑	於計反
多䕃	音隂又於鴆反
食之	音嗣下同
舍其	音捨
以遺	唯季反下注同
簞食	音丹笥也
笥也	思嗣反
諸槖	他洛反
既而與	音預
公介	音界
以禦	魚呂反
趙穿攻	如字本或作弑
竟之	音境下文注同
聞公弑	申志反
大史	音泰
為法	于偽反注同
黒臀	徒門反
無較	音角
麗姬	力知反
詛無	側慮反
之適	丁歴反本又作嫡下注同
為置	于偽反
公行	戶郎反注及下同
以括	古活反
中子	如字又丁仲反
屏季	歩丁反
見僖	賢遍反
旄車	音毛一本作軞
爲衰	初危反
經三年傳三年復發	扶又反
及郔	音延
周疆	居良反
勞楚	力報反
昔夏	戸雅反
鑄鼎	之樹反
著之	張慮反舊直畧反
螭	勑知反山神也
魅	亡備反本又作鬽怪物也
罔	亡丈反
兩	本又作蜽音同罔兩水神也說文云山川之精物也
天休	許虯反下同
天祐	音又
載祀	杜云皆年也爾雅云商曰祀唐虞曰載周曰年夏曰歳
商紂	直九反
天祚	才故反
所厎	音㫖致也
郟	古洽反
鄏	音辱
燕姞	其乙反又其吉反
伯儻	直留反
爲女	音汝
人服媚	亡兾反
欲令	力呈反
陳嬀	九危反
子臧	作郎反
酖之	直䕃反
及葉	式渉反
子俞	音榆
惡瑕	烏路反下同
從晉	如字又才用反
石癸	居揆反
必蕃	音煩下同
亢寵	苦浪反
將鉏	仕俱反
大宫	音泰注同
刈蘭	魚廢反
經四年及郯	音談
取向	舒亮反
氶縣	韋昭之甑反一音承又音拯
稻卒	徒老反
傳四年不治	直吏反
獻黿	音元
將見	賢遍反
將解	如字又音蟹
及食	音嗣
染指	如琰反
先公	悉薦反
爲難	乃旦反
畜老	許又反注同王許六反
猶憚	徒旦反難也
御亂	魚吕反
去疾	起吕反下皆同
堅長	丁丈反
而舎	音赦下同
於難	乃旦反
餒而	奴罪反餓也
鬪般	音班
蔿賈	于委反
賈爲	于僞反
椒處	昌慮反
又惡	烏路反注同
圄	魚吕反囚也
伯嬴	音盈
轑陽	音遼
烝野	之承反
爲質	音致
漳	音章
澨	市制反
皐滸	呼五反
伯棼	扶云反
射王	食亦反下同
汏	他來反過也
輈	陟留反車轅也
鼓跗	芳扶反
著於	直畧反
鉦	音征
以貫	古亂反
笠	音立
轂	古木反
於䢵	本又作鄖音云國名
畜于	許六反養也
夢中	音蒙又亡貢反
乳之	如主反
乳榖	奴口反
於	音烏
菟	音徒
妻伯比	七計反
箴尹	之金反
使於	所吏反
自拘	音俱
經五年不與	音預
小斂	力驗反
傳五年強成	其丈反
厭尊	於渉反
累其	劣僞反
自爲	于僞反
以別	彼列反
廟見	賢遍反下同
遣使	所吏反
經六年傳六年數戰	所角反
其貫	古患反習也注同
可殪	於計反
爲	于僞反下注同
召桓	上照反
曼滿	音万
伯廖	力彫反
蔀	歩口反又普口反
闚其	苦規反
闃其	苦鶪反
不覿	徒歷反
閒一	閒厠之閒
經七年伐萊	音來
不與	音預
黒壤	如丈反
傳七年脩好	呼報反
不與	音預下及注與謀同年末不與放此
應命	應對之應
例別	彼列反下注同
向隂	舒亮反
故相	息亮反
以監	古銜反
同歃	所洽反又所甲反
經八年大廟	音泰傳同
爲繹	于僞反
省文	所景反
魯竟	音境
猶繹去	起吕反注及傳同
籥	羊畧反
管也	音館
惡其	烏路反
聲聞	音問又如字
傳八年秦諜	徒協反閒也今謂之細作
絳市	古巷反
楚爲	于僞反
疆之	居良反
及滑	于八反
汭	如銳反一音如恱反
會稽	古外反下古兮反
楚彊	其良反
蠱疾	音古
喪志	息浪反
葛茀	方勿反引棺索也
引柩	其又反
經九年竟外	音境
洩	息列反
冶	音也
傳九年加諷	方鳳反
厚賄	呼罪反字林音悔
言易	以豉反
無將	子匠反
帥	所類反
夏姬	戸雅反
皆衷	音忠王丁仲反懷也
其衵	女乙反一音汝栗反說文云日日所衣裳也字林同又云婦人近身内衣也仁一反
御叔	如字一音魚吕反
近身	附近之近
無傚	戸敎反
且聞	如字一音問
弗禁	居鴆反又音金
多辟	本又作僻匹亦反注同邪也
立辟	婢亦反法也注同
辟邪	似嗟反下同
危行	下孟反
言孫	音遜
爲厲	于僞反
事見	賢遍反
柳棼	力手反下扶云反
經十年濟西	子禮反
畧見	賢遍反下同
陳夏	戸雅反
取繹	音亦
傳十年崔杼	直吕反
其偪	彼力反
守臣	手又反
之使	所吏反注同
恩好	呼報反
夏氏	戸雅反
似女	音汝
其廏	居又反
射而	食亦反
斲子	竹角反
經十一年楚復	扶又反下復封陳同
于櫕	才端反
函	音咸
播蕩	補賀反下如字
傳十一年及櫟	力狄反
兵爭	爭鬪之爭
我焉	於䖍反
夏楚盟于辰陵	本或作楚子
諸郔	音延
艾獵	五蓋反下力渉反
城沂	魚依反
無慮	如字一音力於反廣雅云無慮都凡也
板幹	古旦反本亦作榦楨也
楨也	音貞
畚築	音本
盛土	音成
爲作	于僞反又如字
基趾	音止
略行	下孟反
具餱	音侯乾食也
糧	音良
乾食	如字一音嗣本或作乾飯
度有	待洛反
監主	古銜反
不愆	起䖍反過也
潞氏	音路
以創	初亮反
爲陳	于僞反
少西	詩照反
轘諸	音患車裂也
使於	所吏反
皆僭	子念反
女獨	音汝
以蹊	音兮徑也
徑也	古定反
五儕	仕皆反輩也
乃復	扶又反
夏州	戸雅反
又儌	古堯反
