成上	成公名黒肱宣公子諡法安民立政曰成
第十二杜氏盡十年經元年爲甸	徒練反一音繩證反
一乗	繩證反
卒七	尊忽反
重斂	力驗反
茅戎	亡交反史記及二傳皆作貿戎
別種	章勇反
傳元年邥垂	音審
詹嘉	之廉反
單襄	音善
爲平	于僞反下文同
徼戎	古堯反要也
欲要	一遥反
背盟	音佩下同
齊難	乃旦反下同
繕完	市戰反下和端反
具守	手又反
結好	呼報反
逞解	音蟹
經二年新築	音竹
皆陳	直覲反
僑如	其驕反注同
郤克	去逆反
于鞌	音安
以與	音預
匹敵	如字本或作適亦音敵
公鮑	歩夘反
汶陽	音問
以好	呼報反
匱盟	其位反
傳二年頃公	音傾
嬖人	必計反
就魁	苦回反
封竟	音境
而膊	普各反磔也
磔也	陟百反
寗相	息亮反
向禽	舒亮反
石碏	七畧反
甯俞	羊朱反
復欲	扶又反
子喪	息浪反
隕子	于敏反
止御	魚吕反
鞫居	居六反
曲縣	音玄注同
繁纓	歩于反注同
不愆	起䖍反
百乗	繩證反下同
城濮	音卜
將中	子匠反
且道	音導
以徇	似俊反
于莘	所巾反
靡笄	如字又音摩笄音雞
不腆	他典反
詰	起吉反
朝	如字注及下朝夕朝食同
請見	賢遍反
釋感	胡暗反本又作憾
無令	力呈反
輿師	如字下無令輿師同一音所類反
不復	扶又反
擔也	丁甘反
齊壘	力軌反
賈余	音古賣也注同
欲賣	摩懈反
師陳	直覲反
邴	音丙又彼命反
夏	戸雅反
解張	音蟹下如字一音直亮反
軍將	子匠反下將在左同
貫余	古亂反下注同
及肘	竹九反
余折	之設反
朱殷	於閑反徐於辰反注同
近烟	附近之近
汙車	汙穢之汙字林一故反
推車	昌誰反又他回反注及下推車同
殿之	多練反注同
若之何其以病	絶句
擐甲	音患
左并	必政反徐方聘反
右援	音袁
桴	音浮鼓槌也字林云擊鼓柄也
三周華	如字又戸化反
不注	之住反
元帥	所類反
射其	食亦反下幷注皆同
越隊	直類反
綦毋	音其下音無
喪車	息浪反
寓乗	繩證反寓寄也
其處	昌慮反
俛定	音勉俯也
仆車	音赴又蒲北反
華泉	戸化反
絓於	戸卦反一音卦
驂馬	七南反
轏中	仕産反又仕板反士車也字林仕諫反云臥車也
以肱	古弘反
而	女力反注同
執縶	張立反馬絆也
絆也	音半
奉觴	式羊反
爲魯	于僞反注同
無令	力呈反
屬當	音燭注同適也
戎行	下郎反
奔辟	音避注同徐扶臂反服氏扶亦反
從君	才用反又如字
宛	紆元反
茷	扶廢反
呼曰	火故反
任患	音壬
不難	乃旦反
狄卒	子忽反注及下同
輕出	遣政反
迸入	補諍反
戈楯	食準反又音允
冒之	亡報反
守者	手又反
辟女子	音避注皆同一音扶亦反
單還	音丹
銳司徒	恱歳反
可復	扶又反
辟司徒	音壁必覓反注同徐甫亦反
石窌	力救反一音力到反
馬陘	音刑
賔媚	美兾反
賂以	音路
紀甗	魚輦反徐音彦又音言字林牛健反玉甑也
玉甑	子孕反又慈陵反
爲質	徐音致下同
難斥	乃旦反
盡東	津忍反
使壟	力勇反
東西行	戸郎反又如字
疆理	居良反注下皆同
易也	以豉反
四王	夏禹殷湯周文王武王也
之王	于況反
五伯	夏伯昆吾商伯大彭豕韋周伯齊桓晉文也或曰齊桓晉文宋襄秦穆楚莊
疆竟	如字又音境
是遒	在由反徐子由反聚也
命使	所吏反
以犒	苦報反
從者	才用反
橈敗	乃敎反曲也
不泯	彌忍反
舊好	呼報反
收合	如字一音閤
餘燼	似刃反
背城	音佩
復借	扶又反
親暱	女乙反
而紓	音舒緩也一音直吕反
於難	乃旦反注同
以爲	于僞反
以藉	在夜反注同薦也
上鄍	覓經反
三帥	所類反注及下同
用􁎲	市忍反蛤也
炭	吐旦反燒􁎲蛤爲炭也
用殉	似俊反殺人從葬
燒蛤	古荅反
以瘞	於例反
壙	苦晃反一音曠
重器備	直恭反多也注同
椁有	音郭
有翰	戸旦反一音韓
檜	古外反徐音會
去惑	起吕反下去之同
而爭	爭鬪之爭
其侈	昌氏反又式氏反
過衞	古禾反又古臥反
夏氏	戸雅反下同
殺死	申志反下文殺靈侯同
殺御叔	魚據反
喪陳	息浪反下注而喪同
死易	以豉反
黒要	一遥反
烝焉	之承反
使道	音導注同
吾聘女	匹政反下音汝
屈巫	居勿反
知罃	音智下於耕反
共王	音恭
申叔跪	其委反一音居委反
