襄三第十六杜氏盡二十二年經十六年湨梁	古闃反徐公壁反
軹縣	之氏反韋昭音枳
重序	直用反
數侵	所角反
圍郕	音成
傳十六年彪也	彼虯反
羊舌肸	許乙反
叔向	許丈反
就閒	音閑
乗馬	繩證反
烝于	之承反冬祭也
警	居領反
守	手又反
莒犂	徐力私反一音力兮反
比公	音毗注同
將爲	于僞反下文爲夷同
之使	所吏反
向戌	舒亮反下音恤
公孫蠆	勑邁反
子蟜	居表反
遂相	息亮反
從公	才用反又如字注同
棫林	爲逼反徐于目反
函氏	音咸
欒黶	於斬反
子格	古百反
湛	市林反徐丈林反一音直斬反
阪	音反徐又扶板反
復伐	扶又反
孟孺	本又作􁅈如住反
子速	本亦作遬音同
徼之	古堯反要也
要也	一遥反
好勇	呼報反
海陘	音刑徐古定反
魯隘	於懈反
禘祀	大計反
朝夕	如字下同
釋感	胡暗反本亦作憾
比執	必利反
之閒	音閑
中行	户郎反
圻父	其依反下音甫注同
嗸嗸	五刀反
劬勞	求于反
匄在	古害反
無鳩	居牛反集也
經十七年子牼	苦耕反徐戸耕反
桃虚	起居反
華臣	戸化反
傳十七年莊朝	如字凡人名字皆放此
司徒卬	五郎反注同
孫蒯	苦怪反
曹隧	音遂
越竟	音境
遂飲	於鴆反
重丘	直龍反
其瓶	歩經反
而訽	呼豆反罵也
罵也	馬嫁反
愬于	悉路反
臧紇	恨發反
近防	附近之近下居近澤門同
鄹叔	側留反
復還守	扶又反又音服
唁之	音彦
以杙	羊職反
抉	烏穴反徐又古穴反
其傷	如字一本作瘍音羊
爲齊	于僞反
皐比	音毗
侵易	以豉反
以鈹	普皮反
卑余	必利反與也注同
必騁	勑領反
惡之	烏路反年末注同
瘈狗	徐居世反一音制字林作狾九世反云狂犬也
大宰	音泰後放此
爲平公	于僞反
妨於	音芳
農收	如字又手又反
謳曰	烏侯反
澤門	如字本或作皐門者誤
之晳	星歷反徐思益反白也
之黔	徐音琴一音其廉反黒也
執扑	普卜反杖也
以行	下孟反
而抶	恥乙反
吾儕	仕皆反
有闔	戸臘反
廬	力居反
區區	丘于反小貌
有詛	莊慮反
有祝	之又反
分謗	補浪反
麁	本又作麤
衰	七雷反本又作縗同注同
不緝	七入反
苴	七余反麻有子者也
絰帶	直結反以苴麻爲絰及帶
杖	竹杖也禮記云苴杖竹也
菅	古顔反草也
屨	也具反以草爲屨
食鬻	之六反一音羊六反謂朝一溢米暮一溢米
倚廬	於綺反廬倚東牆而爲之故曰倚廬
寢苫	傷廉反編草也
枕草	之鴆反注同王儉云夏枕凷冬枕草
枕凷	苦對反一音苦怪反
不解	音蟹
經十八年之使	所吏反
入竟	音境
齊數	所角反
負芻	初俱反
傳十八年長子	丁丈反或如字
純留	徒温反或如字地理志作屯
爲曹	于僞反
所殺	申志反
首隊	直位反
跪而	其委反
奉之	芳勇反
梗陽	古杏反
巫皐	古刀反
二瑴	古學反
而禱	丁老反一音丁報反
怙恃	音戸
棄好	呼報反
背盟	音佩
謂數	所角反
實先	悉薦反
後之	戸豆反
守官	手又反又如字
敢復	扶又反下注復欲同
沈玉	音鴆或如字
魯濟	子禮反
禦諸	魚吕反
塹防	七豔反
廣里	古曠反注同
析文	星歷反
敢匿	女力反
千乗	繩證反
子盍	户臘反
公恐	曲勇反
斥山澤	音尺一音昌夜反
必旆	歩蓋反
䟽陳	直覲反注同
乃脫	勑括反注同一音他外反
旗幟	申志反一音赤志反
夜遁	徒困反
聲樂	音洛注同
班別	彼列反
連大	並如字
塞隧	音遂道也
而殿	丁練反下及注同
郭最	徐子會反
於隘	於懈反
射殖	食亦反下注同
中肩	丁仲反
矢夾	古洽反或古協反
脰	音豆頸也
其衷	音忠
殺女	音汝
乃弛	式氏反本又作施音同
亦舎	音捨
皆衿	其鴆反
城守	手又反
克邿	音詩
雍門	於用反
