襄五第十八杜氏盡二十八年傳	此傳本爲後年脩成當續前卷二十五年之傳後簡編爛脫後人傳寫因以在此耳
城郟	古洽反
別二十	彼列反
涖盟	音利又音類
伯車	音居
鍼也	其廉反
傳爲	于僞反
特跳	直彫反
傳寫	直專反一夲作轉
經二十六年君剽	匹妙反
背國	音佩
于澶	市延反
以駮	邦角反
世子痤	才禾反
惡其	烏路反
傳二十六年子貟	音云
不應	應對之應
暴骨	蒲上反徐扶沃反
道二國	音導
能御	魚吕反
拂衣	芳弗反
騫裳	起䖍反本或作褰音雖同非也說文云褰袴也
於治	直吏反
而力爭	爭鬪之爭
巳侈	昌氏反又尸氏反
子鮮	音仙
爲復	于僞反注同
敬姒	音似
強命	其丈反
蘧伯玉	其居反
瑗	于眷反徐于万反
今殺	申志反
誰畜	許六反注同容也一音勑六反
請使	所吏反
可還	音環
遂見	賢遍反一音如字
淹恤	於廉反徐於嚴反久也
猶夫人也	夫音扶
孫襄居守	手又反
復攻	扶又反下復愬同
於竟	音境
頷之	本又作頜五感反摇頭也
易生	以豉反
大叔	音泰
朝夕	如字
負羈	居冝反
紲	息列反
扞	户幹反
牧圉	魚吕反下同
復愬	悉路反
先輅	音路本亦作路
先八邑	徐悉薦反下同或如字
降殺	所界反
見經	賢遍反
人爲	于僞反
及雩	音于徐況于反如淳同韋昭音虚或一呼反
婁	如字徐力俱反如淳音樓
城麇	九倫反
皇頡	戸結反
穿封戌	音恤
易	以豉反
別識	彼列反
上其手	時掌反下注同
介弟	音界
道囚	音導
抽戈	勑留反
印	一刃反
堇父	音謹
以爲請	于僞反又如字
更遣使	所吏反
疆戚	居良反注同
不得與	音預
女齊	音汝
爲衞侯故	于僞反下爲臣注爲林父爲臣同
嘉樂	户嫁反注同
相齊	息亮反下同
蓼蕭	音六
大平	音泰
緇衣	側其反
粲兮	七旦反
違逺	于万反
宗祧	他彫反
見周書	賢遍反
將仲子兮	將音七羊反注同本亦無兮字此依詩序
鄭七穆	謂子展公孫舎之罕氏也子西公孫夏駟氏也子産公孫僑國氏也伯有良霄良氏也子大叔游吉游氏也子石公孫叚豐氏也伯石印段印氏也
穆公十一子	謂子良公子去疾也子罕公子喜也子駟公子騑也子國公子發也子孔公子嘉也子游公子偃也子豐也子印也子羽也子然也士子孔也子然二子孔巳亡子羽不爲卿故止七也
宋芮	如銳反
諸隄	徐丁兮反沈直兮反
共姬	音恭
長而	丁丈反
而婉	紆阮反
而很	胡墾反
而惡	烏路反下皆同
惠廧	音牆或作牆
伊戾	力計反
復發	扶又反
夫不	音扶注同
惡女	音汝
敢逺	于万反
好之	呼報反
敢近	附近之近
有共	音恭本又作供下同
欿用	古感反
盟處	昌慮反
而騁	勑景反
聒而	古活反下同讙也
讙也	呼端反
乃縊	一賜反
乃亨	普彭反
使饋	其位反
先之	悉薦反又如字
左師令	力呈反
使者	所吏反下文通使同
左師諛	羊朱反
使夏	户雅反
先下	遐嫁反
子朝	如字
娶於	七住反
子牟	亡侯反
爲申公	如字舊于僞反
爲國	于僞反
杞梓	徐上音起下音子皆木名也
不僭	子念反下皆同
不濫	力暫反
殄	徒典反盡也
瘁	在醉反病也
怠解	佳賣反
爲之	于僞反下爲之不舉同
則飫	於據反饜也
饜也	本亦作厭於豔反下同
饌	仕眷反
朝夕	如字
救療	力召反治也
析公	星歷反
人寘	之豉反
之殿	多練反注同
將遁	徒困反
輕窕	徐勑堯反又通弔反
易震	以豉反
鈞聲	音均徐居旬反
宵潰	户内反
桑隧	音遂
申麗	力馳反
復侵	扶又反
華夏	户雅反
之鄐	許六反徐又起六反
蒐	所留反
乗	繩證反
閱也	音恱
秣馬	音末
蓐食	音辱
師陳	直覲反
降彭城	户江反
而雍害	於勇反注同
之邢	音刑
譙國	在遥反
鄼縣	才多反又子旦反或作賛
楚罷	音皮
事見	賢遍反
伯賁	扶云反下同
鄢陵	音偃
晨厭	本又作壓於甲反徐於輒反
而陳	直覲反下成陳并注同
精卒	子忽反
欒范易	以豉反注及下易成同賈音亦
行	户郎反注及下同賈音衡
欲令	力呈反下同
不復	扶又反下復仕同
郤錡	魚綺反
四萃	在醉反
師熸	子潛反火滅爲熸
娶於	本又作取七住反
女實	音汝
許恚	一睡反
爲許	于僞反下爲國同
昧於	音妹
貪冒	亡報反又亡北反
釁於	許覲反
以足	子住反又如字
子展說	音恱下注同
不禦	魚吕反
墮其	許規反
縣門	音玄
于氾	音凡徐扶嚴反
廩丘	力甚反
所治	直吏反
其竇	音豆
介于	音界
於比	必利反
經二十七年孔奐	呼亂反
不與	音預下同
楚先	悉薦反又如字
晉歃	所洽反又所甲反
弟鱄	市轉反又音專
復患	扶又反
倚順	於綺反
傳二十七年諸喪	息浪反注同
不稱	尺證反
爲賦	于僞反注同
相鼠	息亮反注同
鄘風	音容
祇成	音支適也注同
勿與	音預
復攻	扶又反
衣其	於旣反
枕之	之鴆反
欲斂	力驗反
内我	音納本又作納
以沮	在吕反
止使者	所吏反
不郷	許亮反本亦作嚮
誰愬	悉路反
公喪	息郎反又息浪反
稅服	徐云讀曰繐音歳注同謂繐衰也服音吐外反
繐衰	七雷反本亦作縗
一乗	繩證反
通稱	尺證反
少師	詩照反
欲弭	徐武婢反
之	本又作蠹丁故反
大葘	音災
難之	乃旦反下懼難同
我焉	於䖍反下將焉用之焉用有信焉能害我同
爲介	音戒後注同
折	之設反注同徐又音制
俎	莊吕反
使舉是禮也	沈云舉謂記録之也
黑肱	古弘反
更相	音庚
朝見	賢遍反
使馹	人實反
傳也	陟戀反
子晳	星歷反
得復	扶又反
以藩	方元反
楚氛	芳云反徐扶云反
𠂻甲	音忠徐丁仲反
單	音丹盡也注同
斃	婢世反踣也
踣也	蒲北反
以僭	子念反不信也
