昭元	昭公名裯襄公子母齊歸在位二十五年遜于齊在外八年凡三十三年薨于乾侯諡法威儀恭明曰昭
第二十杜氏盡三年經元年公子招	常遥反
于虢	瓜百反
當先	悉薦反
取鄆	音運
不稱將	子匠反下同
帥	所類反
言易	以豉反
弟鍼	其廉反
大鹵	大如字徐音泰下音魯榖梁傳云中國曰大原夷狄曰大鹵
莒去疾	起吕反
莒展出奔吳	一本作莒展輿
疆鄆	居良反注同
子麇	九倫反
以瘧	音虐
書弑	申志反或作殺音同
傳元年且娶	七住反
爲介	音界注同
人惡	烏路反
褊小	必淺反下同
從者	才用反
請墠	音善除地也
辱貺	音況
布几	本亦作机
筵	音延
莊共	音恭
草莽	莫蕩反
而懲	直升反
不憾	户暗反
所雍	於勇反本文作壅注及下注同
之祧	他彫反逺祖廟也
垂櫜	古刀反弓衣也
先歃	所洽反
復得	扶又反下雖復同
而駕	如字又音加注及下同
衷甲	音忠
楚重	直用反
子相	息亮反
東夏	户雅反
淳于	音純
不罷	音皮
謗讟	音獨
誹也	方畏反
行僭	子念反下同
是穮	彼驕反耘也
是蓘	古本反
耘也	音云除草也
饑饉	其靳反
耕鉏	住居反
之收	手又反又如字
鮮不	息淺反
是難	乃旦反下注並同
特緝	七入反
欲背	音佩注同
誕也	音但
便篡	初患反
二子樂	音洛注及下樂憂而樂同
小國共	音恭注及下同
樂王鮒	音附
小旻	亡巾反
馮河	皮冰反
絞	古卯反切也
而婉	紆阮反注同
臧否	悲矣反舊方九反
持之	如字本或作特誤
當身	丁浪反
瀆齊	徒木反
其使	所吏反下注其使出使下召使者同
相趙	息亮反注同
而爲	于僞反下注爲諸侯同
梁其踁	戸定反
以藩	方元反
之隙	去逆反
之咎	其九反注同
也賄	呼罪反
思難	乃旦反下同
辟汚	音烏注及下同
疆	居良反注及下至莒之疆事同
埸	音亦注同
表旗	音其
饕	吐刀反
餮	吐結反
夏有	戸雅反
觀	音館舊音官
扈	音戸
鄠縣	音戸
姺	西典反又西禮反
邳	皮悲反
嬴姓	音盈
狎主	戸甲反
故更	音庚
又焉	於䖍反注同
吳濮	音卜
有釁	許靳反過也
勿與	音預
無亢	苦浪反徐又音剛禦也
禦也	魚吕反
去煩	起吕反
宥善	音又
小宛	紆阮反
可復	扶又反
襃姒	音似
滅之	如字詩作烕音呼恱反
少懦	乃亂反弱也
過鄭	古禾反
瓠葉	戸故反
猶與賔客享之	許丈反又普庚反
夫人	音扶注同
於幕	武博反
折俎	之設反
采蘩	音煩
省穡	所景反徐所幸反注同
死麏	九倫反
脫脫	吐外反
我帨	始銳反
使尨	武江反
也吠	扶廢反
常棣	直計反
兄弟比	毗志反下注德比同
兕爵	徐履反
於戾	力計反下同
飲酒樂	音洛注同
不復此	扶又反注及下不復年幷注同
勞趙孟	力報反下以勞之同
於潁	營井反水名
於雒汭	如銳反
劉夏	戸雅反
弁端委	本亦作弁冕端委
子盍	戸臘反何不也
亦逺績功	本或作亦逺績禹功
大庇	必利反又音祕
焉能	於䖍反下焉用焉能同
吾儕	仕皆反
朝不	如字下同
以語	魚據反
將知	音智
而耄	莫報反亂也
不歆	許金反
曽夭	於兆反
幾被	音祈
曽阜	扶九反
數月	所主反注同
賈而	音古注同
欲贏	音盈注同利也
而惡	烏路反注及下同
嚻乎	許驕反徐五髙反注同
惡讙	呼端反或作諠
指楹	音盈柱也
可去	起吕反
使強	其丈反
贄幣	音至
超乗	繩證反
櫜甲	古刀反本或作衷丁隆反
及衝	尺容反交道也
我好	如字一音呼報反
直鈞	音均絶句
女皆	音汝下皆同
奸之	音干犯也
其長	丁丈反下同
養其親	如字下同
女嬖	必計反
弗下	户嫁反
兵其從兄	如字又才用反
無重	直用反又直勇反
能亢	苦浪反
私難	乃旦反
而蔡蔡叔	上蔡字音素葛反放也說文作􁅟音同字從殺下米云䊝􁅟散之也會杜義下蔡叔如字
夫豈	音扶
懼選	息轉反徐素短反注及下同數也
選數	所主反注及下文數世同
千乗	繩證反下及注同
爲晉侯	于僞反
造舟	七報反注同造舟爲梁也李巡注爾雅云比其舩而度也郭云併舟爲橋
自雍	於用反
自齎	子兮反本又作賫同
而還	音環
不徑	古定反
得見	賢遍反
巳坐	才臥反
女叔齊	音汝
未艾	魚廢反注同
其幾何	居豈反下同
鮮不	息淺反注同
五稔	而甚反
不啻	始豉反
視䕃	於金反本亦作隂
朝夕	如字注同
日景	如字又於領反
翫歳	五喚反說文云習厭也又作玩云貪也
而愒	苦蓋反貪也
其與	如字又音預
鄭爲	于僞反
閨門	音圭
實薫	許云反
隧	音遂
數子晳	色主反又色具反
強與	其丈反下音預
大原	音泰
崇卒	子忽反下及注皆同
又阨	本又作隘於懈反
不便	婢面反
以什	音十
共車	音恭
今去	起吕反下皆同
爲行	戸郎反
歩陳	直覲反下文五陳未陳同
五乗	繩證反注五乗同
以徇	辭俊反
前拒	九甫反
彊鄆	居良反注同
務婁	並如字務又音謀一音無
瞀胡	徐音茂一音謀
大厖	武江反
也夫	音扶
臺駘	他才反
爲祟	息遂反
閼伯	於葛反
帝嚳	苦毒反
相能	如字又奴代反
相土	息亮反
大夏	戸雅反注及下同
主參	所林反注及下同
方震	本又作娠之愼反又音申懷妊也
大叔	音泰注及下同
懷胎	他來反
屬諸	之玉反
而蕃	音煩
叔虞封唐是爲晉侯	案史記叔虞封唐侯叔虞之子爕父改爲晉侯
有裔	以制反逺也
曰昧	音妹
爲玄冥師	師長也爲水官之長
少皡	詩照反下户老反
之長	丁丈反下殖長同
纂昧	子管反
宣汾	扶云反
洮	他刀反
障大澤	之尚反又音章注同
陂障	彼皮反
顓頊	音專下許玉反
沈	音審
姒	音似
癘	音例
疫	音役
禜之	音詠徐又音營
營櫕	子管反
哀樂	音洛
朝以	如字
所壅	於勇反
湫	子小反集也徐音秋又在酒反服云著也
底	丁禮反滯也服云止也
露羸	劣危反下同
嬪御	婢人反
以惡	如字又烏路反
取同	七住反
辨別	彼列反
有省	所景反徐所幸反注同
去同	起吕反
其與	如字又音預
幾何	居豈反
而好	呼報反
怙富	音户
近女	附近之近下同
如蠱	音古
以喪	息浪反
不祐	音又
以降	音絳下及注同罷退也或音戸江反
容彈	徒丹反又徒旦反
慆	吐刀反下同
堙	音因
乃舎	音捨注同
發見	賢遍反
赤聲徴	張里反
爲葘	音災下同
喘渴	昌兖反
洩注	息列反下如字
思慮	息利反
主相	息亮反
改行	下孟反
其咎	其九反
能御	魚吕反本亦作禦
淫溺	乃狄反
耆欲	時志反
皿蟲	命景反說文讀若猛字林音猛
巽下	音遜
艮上	古恨反
長女	丁丈反下同
少男	詩照反下同
而說	音恱
城犫	尺州反
櫟	音歷徐失灼反
郟	古洽反
爲介	音界
出竟	音境
縊而	一豉反絞也
殺之	申志反
絞也	古卯反
幕	音莫
平夏	戸雅反
宫廏	居久反
共王	音恭
爲長	丁丈反
從車	才用反
五乗	繩證反下同
之餼	許氣反
一卒	子忽反
厎禄	音旨
且夫	音扶
不侮	亡甫反
鰥寡	古頑反
史佚	音逸
自別	彼列反
薳罷	音皮
薳啟彊	其良反又居良反
汏侈	音泰
自說	徐音恱一音始恱反
不數	所主反
旣烝	之承反冬祭名
趙衰	初危反
及雍	於用反
經二年惡之	烏路反
少姜	詩照反傳放此
致襚	音遂
傳二年來見	賢遍反
脩好	呼報反
所以王	于況反周弘正依字讀
而說	音恱
四臣	大顚閎天散冝生南宫适
四輔	謂先後奔奏䟽附禦悔
彌縫	扶恭反
補合	如字一音閤
賦節	才結反徐又如字
式訛	五禾反
譽之	音餘注同
殖長	丁丈反
召南	上照反下同
爲平公	于僞反下文爲之請同
使見	賢遍反下見彊同
亢也	苦浪反
淇	音其
澳	於六反
爲好	呼報反後文注皆同
少齊	詩照反
以適	丁歷反
介休	音界下許虯反
郊勞	力報反注皆同
女無	音汝下及注皆同
郊使	所吏反下同
以近	附近之近下同
欲去	起吕反
擊創	初良反
乗遽	其據反爾雅云馹遽傳也孫炎注云傳車驛馬
傳	中戀反
驛	音亦
務共	音恭下文注皆同
無厭	於鹽反
女矯	居表反
朝夕	如字下同
以印	一刃反
褚師	張吕反注同
之衢	其于反
非伉	苦浪反
儷	力計反
其使	所吏反
巳頗	普多反
經三年重丘	直恭反
卿共	音恭傳放此
大雨	于付反
雹	蒲學反
傳三年張趯	他歷反
爲此來	于僞反
閒朝	閒厠之閒
而數於	所具反徐所主反
守適	丁歷反注同本或作嫡下同
而令	力呈反
復薦	扶又反下不出者皆同
有知	音智
朝夕	如字
奉質	徐之二反又音如字
多難	乃旦反
不腆	他典反
焜	胡本反又音昆服云明也
燿	羊照反服云照也
殞命	于敏反
之好	呼報反
徼福	古堯反
大公	音泰
要也	一遥反
敢譽	音餘
董振	之刃反一音眞注同
嬪廧	本又作嬙在良反
獨任	音壬
在衰	七雷反本亦作縗
絰	直結反
其貺	音況
吾弗知	絶句
四量	音亮下及注同
豆區	烏侯反注及下皆同
以五升爲豆四豆爲區四區爲釡	舊本如此直加豆爲五升而區釡自大故杜云區二斗釡八斗是也本或作五豆爲區五區爲釡者謂加舊豆區爲五亦與杜注相會非於五升之豆又五五而加也
量貸	他代反
蜃	食軫反
蛤	古荅反
賈如	音嫁
民參	七南反又音三
賦斂	力驗反
公聚	徐在喻反一音在主反
朽蠧	丁故反
三老	杜云八十以上上中下壽也服云工老商老農老也
凍	丁貢反
餒	奴罪反
上壽	音授下同
以上	時掌反
屨賤	九具反
踊貴	音勇刖足者之履也
刖者	音月又五刮反
而或燠	於喻反徐音憂又於到反一音於六反
休之	虚喻反徐許留反燠休痛念之聲也賈云燠厚也休美也
將焉	於䖍反
伯戲	許冝反
其相	息亮反服如字
大姬	音泰
軍行	戸郎反
公乗	繩證反
卒列	子忽反注同
無長	丁丈反注同
罷敝	音皮
滋侈	尺氏反又昌氏反
道殣	音覲餓死爲殣說又云道中死者人所覆也毛詩作瑾傳云墐路冢也
欒郤	去逆反
皁	才早反
隷	力計反
不悛	七全反改也
以樂	音洛又音岳
慆憂	吐刀反藏也
讒鼎	壬咸反鼎名也服云疾讒之鼎也
昧旦	音妹
㔻顯	普悲反
怠解	隹賣反
況日	人實反
此難	乃旦反
肸聞	許乙反
近市	附近之近下同
湫	子小反徐音秋又在酒反下同
隘	於賣反小也
嚻塵	許驕反一音五髙反嚻聲也塵土也
爽塏	苦待反爽明也塏燥也
燥也	素早反
朝夕	如字下雖朝夕同
有鬻	羊六反賣也
令不與	力呈反
爲是	于僞反
省於	所景反下同
如祉	音恥
遄巳	市專反
本壞	音怪
故復	音服下卒復爲其復欲復之同
還其	音環
諺曰	音彦
段相	息亮反
筴	初革反
賜女	音汝
以胙	才路反
之汰	音泰驕也
猶荷	戸可反任也又音可
自郤稱	尺證反
以別	絶句
三傳矣	直專反注同
乃舎	音赦又音捨下同
又焉	於䖍反
爲之請之	于僞反下爲其復爲少姜下注爲之辟仇爲平公逆皆同
爲介	音界
辟仇	音避
公孫蠆	勑邁反
而逺	于万反
猜焉	七才反疑也
糞除	甫問反
實不忘我好	呼報反下同絶句一讀以好字向下
東竟	音境下同
盧蒲嫳	普結反又匹舌反
見	賢遍反
種種	徐夲作董董音章勇反短也
欲去	起吕反
大夫比	毗志反注同
衞衎	苦旦反
子産相	息亮反
之夢	如字徐莫公反注同
又喪	息浪反
而嬀	九危反
一个	古賀反
