昭四第二十三杜氏盡十七年經十三年圍費	音祕
乾谿	苦兮反
長垣	音袁
不與	音預注同
讒慝	他得反
侯廬	音盧又力居反
傳十三年囚俘	芳夫反
冶區夫	上音也區音烏侯反一音丘于反
衣之	於旣反
食之	音嗣
而共	音恭
若憚	待旦反
爲之聚也	于僞反
將焉	於䖍反
其效	戸孝反
薳	于委反
掩	於檢反
而質	音致
蔡洧	于軌反
使與	音預
於守	手又反
中犫	尺州反
郊竟	音境
蔓成然	音萬
羣喪	息浪反
常壽過	古禾反
其子從	如字
朝吳	如字
子晳	星歷反
強與	其丈反
己徇	音紀下似浚反
能爲	于僞反
黒肱	古弘反
不羹	音郎
許葉	始渉反
築壘	力軌反
辟	音壁本亦作壁
請藩	方元反注同離也
離也	依字應作籬今作離假借也力知反
須務牟	亡侯反
史猈	皮佳反徐扶蟹反又扶移反又或扶瞻反本或作篺音同
罷敵	音皮徐甫綺反一音蒲買反
魚陂	彼冝反
後者劓	魚器反截鼻之刑
訾梁	子斯反注同
而潰	戸内反
知擠	子細反隊也說文云排也一音子禮反
溝壑	許各反
隊也	直類反
祗取	音支
王㳂	以全反順流也
夏	戸雅反漢水也
入鄢	徐於建反一音於晚反入本或作至
芋尹	于付反徐又音羽
再奸	音干
謂斷	丁管反
棘闈	音韋棘里名闈門也孔晁云棘楚邑闈巷門
王縊	一豉反
殉而	似俊反
觀從謂子干	本或作謂子干曰
夜駭	户楷反
相恐	丘勇反下同
而呼	好故反下同
周徧	音遍
不書殺	申志反
熊居	音雄
衣之	於旣反
子旗	音其
五帥	所類反謂蕩侯潘子司馬裻嚻尹午陵尹喜五人
見舟	賢遍反
淮汭	如銳反
羣賂	音路
宥罪	音又
爲君	于僞反
犫櫟	力狄反
自說	音恱
不復	扶又反下將復使同
毋勤	音無
王柩	其久反
詬天	本又作訽呼豆反徐許后反
而呼	火故反
余卑	必利反徐甫至反與也
無厭	於鹽反
共王	音恭
冢適	丁歷反下無適音同
乃徧	音遍
見於	賢遍反下注微見同
巴姬	必加反
密埋	亡皆反
大室	音泰
五人齊	側皆反本又作齋
而長	丁丈反注及下同
跨之	苦化反
肘加	中九反
皆逺	于萬反
皆厭	於甲反徐又於豔反
紐	女九反璧紐也
審識	申志反又如字
屬成然	音燭
市賈	音古
好惡	並如字又上呼報反下烏路反下皆放此
爲應	應對之應
無釁	許靳反
苛	音何本或作荷音同下同
慝	他得反
芈姓	彌爾反
以去	起吕反
數其	所主反
又逺	于萬反
其貴亡矣	亡音無又音如字
下善	遐嫁反
齊肅	側皆反注同嚴也
藏賄	呼罪反
不從	子用反
不厭	於豔反
好學	呼報反
趙衰	初危反
顚頡	戸結反
從出	才用反
賈佗	徒河反
齊妻	七計反
欒	魯官反
卻	去逆反
縠	戸木反
方相	息亮反下同
共有	音恭
奥主	烏報反
無施	式豉反
虒祁	音斯
爲取	于僞反
郠故	亡杏反
下邳	皮悲反
四千乗	繩證反下及注皆同
羊舌鮒	音附
幄幕	於角反下音莫四合象宫室曰幄在上曰幕軍旅之帳也
淫芻	初伹反說文云刈草也
蕘	如遥反飼牲曰芻草薪曰蕘
屠伯	音徒
饋叔	其位反
一篋	苦協反
瀆貨	徒木反
無厭	於鹽反
數也	音朔
爲此役也	如字或于僞反
以厎	音旨
傾覆	芳服反
閒朝	閒廁之閒
長幼	丁丈反
巡守	手又反
方嶽	音岳
於好	呼報反下注同好同
不治	直吏反舊如字
齊犧	許冝反
不旆	歩貝反
復旆之	扶又反
以恐	丘勇反下同
愬于	音素
朝夕	如字注同
幾亡	音祈
不共	音恭注及下注同
雖瘠	在亦反
僨於	方問反仆也
仆也	音付一音蒲北反
𣏌鄫	才陵反
近魯	附近之近
數以	音朔
敢與	音預下文不與同
造于	七報反
爲墠	音善本或作壇
會	扶又反
子韓皙	星歷反
假好	呼報反
分貧	如字徐甫問反
長孤幼	丁丈反
收介特	音界又古賀反注同
單身	音丹
宥孤	音又
賦稅	始銳反
罪戾	力計反
詰姦	起吉反責問也
慝	他得反
屈罷	音皮
召陵	上照反
好於	呼報反注同
邊疆	居良反
著丘	直居反徐直據反
庚與	音餘本亦作輿
共公	音恭
惡公子	烏路反下同
公子鐸	符洛反
氏比	毗志反
無厭	於鹽反本又作饜下注同
居鄖	音云
公子鉏	仕居反
鄐	許六反又超六反
命斷	丁亂反注同
蔽罪	必世反斷也注同徐甫世反王補弟反
鬻獄	羊六反賣也
掠美	音亮取也
敗官	必邁反又如字
之稱	人證反
皐陶	音遥
乃施	如字服云施罪於邢侯也孔晁注國語云廢也口氏反
荅當	丁浪反
三數	色主反又色具反下同
不爲	于僞反
末減	武葛反末薄也減輕也
義也夫	舊音扶一讀方于反下同
爲頗	普河反
故重	直用反
經十五年籥入	羊略反
去樂	起吕反
爲叔弓	于僞反
復立	扶又反
不逺	于萬反
傳十五年將禘	大計反
齊戒	側皆反
有咎	其九反
之祲	子鴆反祅氣也
喪氛	芳云反徐扶云反惡氣也
蓋見	賢遍反
莅事	音利
故爲	于僞反
去樂	起吕反注及下同
費無極	扶味反
亦長	丁丈反
必及於難	乃旦反
故寘	之豉反
女何	音汝
而背	音佩
鼔聚	才喻反
好惡	呼報反下烏路反或並依字讀下並注皆同
不愆	起䖍反過也
復加	扶又反
以庇	必利反又音祕
所喪	息浪反
而繕	市戰反
守備	手又反
請降	户江反
民見	賢遍反
將焉	於䖍反
以賈	音古下同
䳒	本又作鳶恱全反
鞮	丁兮反
不與	音預
荀櫟	力狄反本又作躒
爲介	音界
樽以	本或作尊又作罇並同
分器	扶問反年内同
彞器	以之反常也
而逺	于萬反又如字
故數	音朔
大蒐	所求反
姞姓	其吉反又其乙反
闕鞏	九勇反
出鎧	開代反
處參	所金反注同
鏚	音戚
鉞	音越
秬	音巨
鬯	音暢
彤弓	徒冬反
虎賁	音奔
東夏	戸雅反
福祚之不登叔父	絶句
焉在	於䖍反下將焉用之同
孫伯黶	於斬反
女司典	音汝
數典	色主反
所樂	音洛下文注皆同
絶期	居其反下同
靜黙	亡北反本或作嘿同
經十六年誘	音酉
雩	音于
傳十六年無質	之實反信也或音致
旣而復	扶又反
蒲隧	音遂
下邳	普悲反
取慮	上音秋下力居反如淳取音陬訾之陬慮音邾婁之婁
如陂	彼皮反
郯人	音談
甲父	音甫
之亢	苦浪反
也夫	音扶
我肄	以制反勞也徐又以自反注同
恭恪	苦各反
禦之	魚吕反止也注及下同
適縣	音玄注同
幾爲	居豈反數也服音機近也
言數	音朔
陵侮	亡甫反
夫猶	音扶
不衷	丁仲反又音忠
衷當	丁浪反或如字
刑之頗	普河反
類	如字事類也一音力對反注同徐又力猥反
放紛	芳云反
放從	子用反
罷民	音皮
承命以使	所吏反下奉命以使同
百乗	繩證反
受脤	市軫反
數世	色主反
焉得	於䖍反下將焉用之同
僻	匹亦反
邪	似嗟反
共朴	普角反
之守	手又反
無幾	居豈反
可偷	他侯反
若屬	音燭
盍求	戸臘反
之難	乃旦反下同又如字
一共	音恭下而共無藝同
何厭	於鹽反
不復	扶又反下弗敢復并注同
賈罪	音古下我無強賈同
銳乎	恱歳反細小也
