昭六第二十五杜氏盡二十六年經二十三年叔孫婼	勑略反
執使	所吏反
庚輿	音餘
雞父	音甫
胡子髠	苦門反
沈子逞	勑并反
夏齧	戸雅反下五結反
大倉	音泰
傳二十三年郊鄩	音尋
潰	户内反
告閒	音閑
道徑	音經
公孫鉏	仕居反下同
將禦	魚吕反
欲過	古禾反下遂過同
茅地	亡交反
斷其	丁管反
弗殊	如字說文云死也一曰斷也
而蹷	其月反又音厥又居衞反
人愬	息路反
言使	所吏反
重發	直用反下重發同
命介	音界注同
去衆	起吕反
士彌	亡支反
牟	亡侯反
將焉	於䖍反下同
分別	彼列反
從者	才用反下同
以芻	初俱反
蕘	而昭反
期焉	本又作朞同居其反從旦至莫爲朞
模法	莫胡反字從木
不解	音蟹
爲叔孫	于僞反
吿女	音汝
吠狗	扶廢反
必葺	七入反補治也
毁壞	音怪
取訾	子斯反
尹圉	魚吕反
劉佗	徒河反
阪道	音反又扶板反
近東	附近之近
西闈	音韋一音暉
攻蒯	苦怪反
而好	呼報反
茍鑄	之樹反
執殳	音殊
著丘公	直除反又直慮反
師熸	子濳反字林子兼反
無復	扶又反下注往復敗復増脩同
而狂	求匡反
帥賤	所類反注及下帥賤同
去備	起吕反
敦陳	直覲反下未陳并注同
師譟	素報反
所厭	於甲反本又作壓同
在郹	古闃反
吳大子諸樊	案吳子遏號諸樊王僚是遏之弟子先儒又以爲遏弟何容僚子乃取遏號爲名恐傳寫誤耳未詳
以儌	古堯反
要其	一遙反
乃縊	一賜反
薳澨	市制反
公為	于偽反注及下注鄰國為之守相為同
囊瓦	乃郎反
城郢	以井反又餘政反
守在	手又反下文除守其交禮並同
四竟	音境下及注同
四援	于眷反
民狎	戶甲反
國焉	於䖍反
其疆	居良反
埸	音亦
之壘	力軌反
辟也	音壁
不僭	子念反
不懦	乃亂反又乃卧反弱也
不耆	巨之反一音巨支反強也
蚠	扶粉反
冒	莫報反
一圻	音祈
土數	所主反
經二十四年仲孫貜	俱縳反徐俱碧反
郁	於六反
斄	本又作釐力之反又音來
傳二十四年南宮嚚	魚市反
見王	賢遍反
度義	待洛反注同
紂有	直九反
億兆	於力反
有治	直吏反
于鄔	烏戶反
緱氏	古侯反又苦侯反
鄔聚	才住反
梁其踁	户定反
而欬	苦代反
不腆	他典反
從者	才用反
莅問	音利
乾祭	音干下側界反
介衆	音界注同大也
其使	所吏反
猥出	烏罪反
陽不克莫	絶句
攻瑕	户加反
及杏	户孟反
皆潰	戸内反
大叔相	息亮反
釐不	本又作嫠力之反
其緯	有貴反
之隕	于敏反
蠢蠢	昌允反動櫌貌
動擾	而小反本又作動攝
吾儕	仕皆反
瓶之	本又作缾歩丁反
惟罍	音靁器也
黃父	音甫
用成周之寶珪于河	本或作沈于河沈音直䕃反又如字
拘得	音俱
王定而獻之	本或作王定之
東訾	子斯反
吳疆	居良反
略行	下孟反下同
吳踵	章勇反
躡楚	女輒反
疆埸	音亦
胥犴	五旦反
勞王	力報反
之汭	如銳反
歸王	如字又其媿反遺也
乗舟	繩證反又如字
歸遺	唯季反
壽夢	莫公反
圉陽	魚吕反
之帥	所類反注同
幾如是	居豈反又音機
爲梗	更猛反病也
經二十五年叔詣	五計反
鸜	其俱反嵇康音權本又作鴝音劬公羊傳作鸛音權郭璞注山海經云鸜鵒鴝鵒也
鵒	音欲
重上事	直龍反又直用反
公孫	音遜本亦作遜注及傳同
魯竟	音境下同
唁公	音彦弔失國曰唁
不與	音預
小斂	力驗反
取鄆	音運
傳二十五年車轄	本又作舝胡瞎反
將爲	于僞反
酒樂	音洛下哀樂同
相近	附近之近
禮坐	如字又才臥反
樂哀	音洛注及下同
皆喪	息浪反下同
以妻	七計反
強橫	華孟反
公若從	才用反又如字注同
焉得	於䖍反
逞其志	勑景反
之行	下孟反注同
發見	賢遍反下解見同
角徴	張里反
六畜	許又反又禇六反
麋	亡悲反
麏	九倫反本亦作麇
黼黻	上音甫下音弗
畫繢	戸對反
昬媾	古豆反妻父曰昬重昬曰媾
姻	音姻壻父曰姻
亞	於嫁反本亦作婭同兩壻相謂曰亞
重昬	直龍反
治功	直吏反
以效	戸孝反
長育	丁丈反
民有好	呼報反下注及下於好皆同
惡	烏路反下注及下於惡皆同
哀樂	音洛下及注皆同
以赴禮者	赴或作從
之難	乃旦反
子焉	於䖍反
宋背	音佩下同
以使	所吏反
師己	音紀一音祀
童謡	音遥
往饋	求位反
遺也	唯季反
跦跦	張于反又張留反跳行貌
跳行	直彫反
徴褰	起䖍反袴也字林巳偃反又音愆
與襦	本或作而朱反袴也
袴也	苦故反說文作絝
稠父	直留反下音甫下同
喪勞	息浪反注同
娶妻	七住反
申夜姑	本或作射音夜又音亦
相其	息亮反注同
季姒	音似
人檀	直丹反人名也或市戰反
抶已	勑乙反
秦遄	市專反
又愬	音素又作訴
展與夜姑	並如字公思展及申夜姑也與及也讀或作餘音者非也
將要	一遥反下同
將爲	于僞反
季郈	音后字林下遘反
相近	附近之近
介其	又作芥音界
不下	遐嫁反
從弟	才用反後從者皆同
將禘	大計反
謀去	起吕反
公賁	音奔又扶云反又彼義反
侍人	本亦作寺人
僚柤	側加反
數月	所主反下數世同
不見	賢遍反
臧孫以難	如字注同
郈孫以可	絶句
勸	勸公逐季氏也
儌幸	古堯反
舎民	音捨
臣與	音預
若泄	息列反又以制反注同漏泄也
如闞	口暫反
於沂	魚依反
五乗	繩證反
慝作	他得反姦惡也
日冥	亡定反
可畜	勑六反本亦作蓄下皆同
將蕰	本亦作藴紆粉反
􁈻戾	子公反下力計反
陷西	陷没之陷
北隅	本或作堣音同
而踞	音據
櫝丸	音獨下胡官反
箭筩	音童又音動音勇
爲近	于僞反
自咎	其九反下同
令魯	力呈反
下之	遐嫁反
莒疆	居良反
若胙	才路反
勠力	音六又力彫反
缱	音遣
綣	起阮反繾綣不離散也
好亡	呼報反
而惡	烏路反
焉可	於䖍反
於難	乃旦反
不與	音預
稽	音啓
顙	息黨反
幄内	於角反
自鑄	之樹反
復納	扶又反
齊於	側皆反本又作齋
乗馬	如字騎馬也
俱輕	遣政反
將爲	于僞反
而相	息亮反
以殁	音没
楄	蒲田反
柎	歩口反又音附
以藉	在夜反
苓牀	力丁反
骸骨	戸皆反
昵宴	女乙反
