定公上	定公名宋襄公之子昭公之弟諡法安民大慮曰定
第二十七杜氏盡七年經元年仲幾	音機
大雩	音于
煬宫	羊讓反
禱之	丁老反
隕霜	于敏反
殺叔	本或作菽音同
傳元年涖政	音利又音類
奸義	音干
大咎	其九反
屬役	之欲反
原壽過	古禾反
荒蕪	音無
近吳	附近之近
去其	起吕反注同
柏椁	音郭
庚寅栽	才代反又音再注同
薛郳	五兮反小邾國
爲夏	戸雅反注同
于邳	皮悲反
仲虺	許鬼反
左相	息亮反
薛焉	於䖍反
納侮	亡甫反
過分	扶問反
故復	扶又反
萇弘	直良反
旣厭	於豔反
其祚	才故反
亟言	起冀反
不中	丁仲反
故朝夕	如字
羈未	居冝反子家子名
得見	賢遍反下同
而從君	才用反注義從同又如字下從君從公放此
守龜	手又反
壞隤	徐音懷又戸怪反下徒回反
如闞	口暫反
惡昭	烏路反又如字
鴐鵞	音加下五何反
自旌	音精
惡之	如字又烏路反
將焉	於䖍反
鞏簡	九勇反
而好	呼報反
經二年兩觀	古亂反注及下同
囊瓦	乃郎反
傳二年爲我	于僞反注及下同
見舟	賢遍反
夷射姑	音亦一音夜
􁆻	音昬守門人也
以敲	苦孝反又苦學反說文作𫾣云擊頭也字林同又一曰擊聲也口交反又口卓反訓此𫾣云橫撾也又或作茅或作刜口交反
經三年子穿	音川
子拔	皮八反
傳三年臨廷	音庭下同
缾水	歩丁反本又作瓶
鑪	力吳反
炭	他且反
隋也	徒火反
先葬	息薦反又如字
五乗	繩證反
殉五人	辭俊反
藏中	才浪反
卞急	皮彦反
而好	呼報反下文及注同
躁疾	早報反
于郯	音談
肅爽	上如字又所六反下音霜肅爽駿馬名
駿馬	音俊
先從	才用反下同
飲先	於鴆反
自拘	九于反
弄馬	魯貢反
請相	息亮反注同
夫人	音扶注同
以償	市亮反
不共	音恭注同
而沈	音鴆
若復	扶又反
爲質	音致
經四年國夏	戸雅反
召陵	上照反
楚竟	音境
公孫生	本又作姓音生
皐鼬	由又反
復稱	扶又反
異處	昌慮反
伯成	音城
劉卷	音權一音眷勉反
劉蚠	扶粉反
爲告	于僞反下吳爲蔡同
孔圉	魚吕反
皆陳	直覲反
死難	乃旦反
并數	所主反
惡之	烏路反
傳四年水潦	音老
疾瘧	魚略反
祗取	音支
羽旄	音毛
析羽	星歷反下放此
或旆	歩貝反
旐	音兆
令賤	力呈反下欲令蔡同
嘖有	仕責反至也一音責
忿爭	爭鬪之爭
祝佗	徒河反
從	才用反下師從旅從同
大祝	音泰下大祝大卜大史大原同
共二	音恭注同
徼大	古堯反
且夫祝	音扶
出竟	音境下同
祓社	音弗徐音廢
釁鼓	許靳反
鼓鞞	歩西反本又作鼙
以從	如字又才用反
嘉好	呼報反
將長	丁丈反
欲令	力呈反
先衞	悉薦反下文先衞同
歃也	所洽反又所甲反
以蕃	方元反
相王	悉亮反
分魯公	扶問反下並同
大輅	音路本亦作路大輅金路也下皆同
大旂	其依反交龍爲旂諸侯所建
錫	星歷反錫同姓也
夏后	户雅反下音同
之璜	音黄美玉名
封父	音甫下武父同封父國名
繁弱	扶元反繁弱弓名
索	素洛反下同
長勺	市灼反下同
輯其	音集又七入反
共魯	音恭下文以共王職同
倍敦	本亦作陪同歩回反
典莢	本又作冊亦作䇿或作笧皆初革反
彞器	羊之反
迸散	彼諍反
皆令	徐力呈反
少皡	詩照反注及下同下胡老反
之虚	起居反注及下皆同
綪	七見反
茷	歩貝反又音吠
旃旌	章然反
陶氏	徒刀反
繁氏	歩河反
錡氏	魚綺反
封畛	之忍反一音眞
甫田	布五反本亦作圃同
塗所徑	音徒下音經
鄭藪	素口反
蓋近	附近之近下近戎同
相土	息亮反
東蒐	所求反
巡守	手又反
耼季	乃甘反
疆以	居良反注及下同
闕鞏	九勇反甲名
沽洗	鍾名上音孤下音息典反
之長	丁丈反下文乃長䘙同
惎	音忌毒也
閒王	閒厠之閒
道紂	音導
蔡蔡叔	上素達反放也注同下蔡叔如字
七乗	繩證反
改行	下孟反
見諸	賢遍反
之昭	上饒反說文作紹
伯甸	徒練反
晉重	直龍反
鄭捷	在接反
齊潘	普安反
宋王臣	如字本或作壬如林反
玆丕	普悲反
可覆	芳服反
弘說	音恱
爲之	于僞反下楚爲沈同
臨	力鴆反
黃父	音甫
語我	魚據反
無怙	音户
無敖	五報反
無復怒	扶又反重也注同
伍貟	音云
州犂	力兮反
嚭	普鄙反
子乾	其連反
爲質	音致
舎舟	音赦置也又音捨弃也注同
淮汭	人銳反
夾漢	古洽反
㳂漢	恱全反
上下	時掌反注同
遮使	正奢反
大隧	音遂
冥	亡丁反本或作寘之豉反
阨	於懈反本或作隘音同
惡子	烏路反
而好	呼報反
而陳	直覲反下文及注同
江夏	戸雅反
難而	乃旦反
其卒	子忽反下同
其乗	繩證反
廣死	古曠反
雍澨	市制反
季芈	面彌反楚姓
畀我	必利反世族譜季芈畀我皆平王女也服云畀我季芈之字
渉睢	七餘反下同
鍼尹	之林反
燧象	音遂火燧以繫象尾
被創	初良反
吳句	古侯反
剄而	古頂反
裹之	音果
雲夢	如字又音蒙
中肩	丁仲反
奔鄖	音云
以從	才用反下同一音如字
將殺	如字又申志反下我殺同
蔓成	音萬
不茹	音汝
矜寡	古頑反
非知	音智
殺女	音汝
其衷	音忠
又竄	七亂反
竄匿	女力反
施及	以豉反
之辟	匹亦反
若難	乃旦反
楚竟	音境
鑢金	音慮氏也金名本又作鑪
使見	賢遍反下注敢見同
以約	如字又於妙反
申包	必交反
以荐	在薦反
荐數也	所角反
草茅	舊作茅亡交反今本多作莽莫蕩反下同
無厭	於鹽反
疆	居良反
埸	音亦
逮吳	音代
取分	扶問反
勺飲	市灼反又音灼
爲之	于僞反
同仇	音求
經五年傳五年周亟	紀力反注同
行東野	下孟反下桓子行同
璵	本又作與音餘
璠	音煩又方煩反
斂	力驗反
當去	起吕反
不狃	女九反
彼爲	于僞反注同
子洩	息列反
使僭	子念反
逆勞	力報反下同
時從	才用反下從父昆弟皆從王並同
百乗	繩證反注同
于沂	魚依反
薳射	食亦反又食夜反
散卒	子忽反
堂谿	芳兮反下同
居麇	九倫反下同
暴骨	歩卜反
以歆	許金反
闉	音因
輿	音餘本又作與羊汝反
輿罷	音皮
復失	扶又反
葉公	舒渉反
從其母	如字又才用反
公父	音甫
公何藐	亡角反一音彌小反
大詛	莊慮反
父歜	昌欲反
秦遄	市專反
焉能	於䖍反
成臼	其九反
聊屈	其勿反又君勿反
藍尹	力甘反
亹	亡匪反
其帑	音奴
舎	音捨又音赦
謀殺	申志反
大難	乃旦反
爲君	于僞反下爲身同
無厭	於鹽反
逺丈	于萬反
以妻	七細反
脾洩	婢支反下息列反脾洩地名
袒而	音但
經六年祁犂	力兮反又力之反
公爲	于僞反
圍鄆	音運
經六年爲晉	于僞反注同
儋翩	丁甘反下音篇
豚澤	杜孫反
嬖大夫	必計反
之難	乃旦反
盤鑑	盤又作鞶歩丹反又蒲官反下古暫反
爲質	音致注同
大姒	音泰下音似
鄭俘	芳夫反
強使	其丈反注同下放此
不復	扶又反
其釁	許靳反
爲之	于僞反
欲令	力呈反
終纍	力追反又力軌反
夫差	音扶下初佳反
小惟子	位悲反本又作帷亦如字
之帥	所類反
大惕	他歷反
於鄀	音若
此見	賢遍反下文見溷并注同
爲戍	于僞反下同
今使	所吏反
其憾	戸暗反
說子	音恱
有難	乃旦反下文同
見溷	侯温反又侯困反
飲之	於鴆反
楊楯	食允反又音允
賈禍	音古
爲國	于僞反下同
越疆	居良反
而使	所吏反下同
比趙	毗志反
亳社	歩各反
詛于	側慮反
五父	音甫
之衢	其俱反
姑蕕	音由又作猶一音由舊反
單劉	音善
經七年于鹹	音咸
非使	所吏反
于沙	如字又星和反
傳七年中貳	丁仲反
復黨	扶又反
瑣	素果反
渉佗	徒何反
捘	子對反
公斂	力檢反又音廉或音慮點反
墮伏	許規反
而女	音汝下文同
苫荑	始占反
於難	乃旦反
黨氏	音掌
