哀上	哀公名蔣定公之子蓋夫人定姒所生敬王二十八年即位謚法恭仁短折曰哀
第二十九杜氏盡十三年經元年得見	賢遍反下同
此復	扶又反
一處	昌慮反
傳元年而栽	才代反又音再注同說文云築牆長版
圍壘	力軌反
周帀	子合反
廣丈	古曠反
髙陪	並如字髙又古報反注同
厚一	戸豆反
夫屯	徒門反夫兵也屯守也
故令	力呈反
以辨	扶免反又方免反別也
別也	彼列反下同
係纍	力維反
出降	戸江反
使疆	居良反
夫椒	音扶椒又作椒子消反
檇李	音醉
大湖	音泰
甲楯	食允反又音允
會稽	古外反下古兮反㑹稽山名
上會稽	時掌反
大夫種	章勇反
大宰	音泰
嚭	普鄙反
伍貟	音雲
去疾	起吕反本又作去惡
有過	古禾反國名注及下同
澆	五呌反一音五報反下同
殺斟	之林反
灌	古亂反
斟鄩	音尋
寒促	仕捉反
夏同姓	戸雅反下注皆同
夏后相	息亮反注及下注同
復爲	扶又反
后緡	亡巾反
昬忘	亡亮反
方娠	音震又音身懷妊也
自竇	音豆
少康	詩照反
之長	丁丈反
惎澆	音忌毒也
庖正	歩交反
妻之	七計反注同
二姚	羊昭反虞姓也
諸綸	音倫
有鬲	音革
之燼	徐刃反又秦刃反
女艾	上如字又音汝下五蓋反
諜澆	音牒
季杼	直吕反
誘豷	許器反
過戈	並古禾反
之績	一本作迹
吳難	乃旦反
務施	始豉反下同
而長	丁丈反下同
可竢	本又作俟音仕待也
介在	音界
求伯	如字又音霸
生聚	才喻反又如字
爲沼	之兆反池也
汙池	音烏
故復	扶又反
邯鄲	音寒下音丹
逢滑	于八反
土芥	古邁反草也
不艾	魚廢反
暴骨	歩卜反
如莽	亡黨反
孔圉	魚吕反
烝鉏	之承反下仕居反
不重	直龍反
崇壇	徒丹反
不彤	徒冬反丹漆也
鏤	魯豆反刻也
不觀	古亂反注同
臺榭	音謝
取費	芳味反
天有葘	音災
癘	本或作天無葘癘非
疾疫	音役
而共	音恭
熟食者分	如字一讀以分字連下句
猶徧	音遍
卒	子忽反
乗	繩證反
與焉	音預
不罷	音皮
陂池	彼冝反
妃嬙	本又作廧或作牆在羊反
嬪御	毗人反
玩好	呼報反
夫先自敗也巳	夫音扶本或作夫差先自敗者非
經二年取漷	火虢反又音郭
及沂	魚依反
易也	以豉反
句繹	古侯反下音亦
以要	一遥反
于鐵	尺結反
皆陳	直覲反
傳二年伐絞	古卯反
郢也	以井反
立女	音汝
三揖	一入反三揖卿大夫士也
祇辱	音支
立適	丁歷反下適孫同
大子絻	音問喪冠也
衰絰	七雷反下田結反
子般	音班
先陳	直覲反下注同
爰契	苦計反又苦結反
謀協以故兆	絶句
詢可也	思遵反
斬艾	魚廢反
欲擅	市戰反
而滅其君	滅或作戕音殘
除詬	呼豆反又音苟
作雒	音洛
千里百縣	縣方百里
縣有四郡	郡方五十里
斯役	如字字又作厮音同何休注公羊云艾草爲防者曰厮汲水漿者曰役蘇林注漢書云厮取薪者韋昭云析薪曰厮
志父	音甫杜云志父趙簡子之改名也服云趙鞅入晉陽以畔後得歸改名志父春秋仍舊猶書趙鞅
絞縊	一賜反
以戮	音六
桐棺三寸	禮記云夫子制於中都四寸之棺五寸之椁以斯知不欲速朽也鄭康成注云此庶人之制也案禮上大夫棺八寸屬六寸下大夫棺六寸屬四寸無三寸棺制也棺用難朽之木桐木易壞不堪爲棺故以為罰墨子尚儉有桐棺三寸
不設屬	音燭注同次大棺也
辟	歩歴反注同親身棺也禮大夫無辟
之重	直龍反下同
王棺四重	禮記云水兕革棺被之其厚三寸杝棺一梓棺二杝棺辟也梓棺二屬與大棺也被水牛及兕之革為一重辟為二重屬為三重大棺為四重
君再重	君謂侯伯子男侯伯已下無革棺屬與辟為一重大棺為再重上公則唯無水革耳兕革與辟為一重屬為再重大棺為三重
大夫一重	大夫唯屬與大棺為一重今云不設辟者時僭耳非正禮也
樸馬	普卜反
載柩	其又反
為衆	于偽反
郵無恤	音尤
其怯	去業反
百乘	繩證反
牖下	羊九反
麇之	丘隕反麇束縛也注同
吏詰	起吉反
痁作	詩占反瘧疾也
瘧疾	魚畧反
禱曰	丁老反一音丁報反
在難	乃旦反下注為難同
自佚	音逸
持矛	亡侯反
絶筋	居銀反
中肩	丁仲反
斃于	婢世反本亦作弊
踣	蒲北反
蠭旗	芳恭反旗名
復伐	扶又反
傅傁	素口反又作叟
有知	音智
未艾	魚廢反又五盖反
公孫尨	武江反
稅焉	始銳反
為范	于僞反下文爲其主同
幕下	音莫
姚般	子姚子般
林殿	丁見反
而射	食亦反
伏􁂥	吐刀反弓衣也
嘔血	本又作􁒙烏口反吐也
吐也	他露反
兩靷	以刃反
洩庸	息列反一音作息引反未詳
中悔	丁仲反
經三年曼姑	音萬
爲子	于僞反
樂髠	苦孫反
傳三年司鐸	待洛反
南宫閱	音恱
曰庀	匹婢反具也
女	音汝
命不共	音恭
校人	戸敎反注及下同
乗馬	繩證反注及下皆同
脂轄	戸瞎反本又作鎋同
爲駕	于僞反
之易	以豉反
變難	乃旦反
濟濡	子細反又子禮反注同
帷幕	位悲反下音莫
鬱攸	音由鬱攸火氣也
蒙葺	七入反一音丁入反
以悛	七全反次也
縣敎	音玄
富父	音甫
槐	音懷
官辦	辦具之辨注同
猶拾	音十
瀋也	尺審反汁也北土呼汁爲瀋
去表	起吕反注同
之稾	古老反注同
所郷	許亮反
稾積	子賜反
道還	本又作環尸關反又音患注同
勑令	力呈反
南孺子	如住反
共劉	音恭
其郛	芳夫反
惡范氏	烏路反注同
經四年盜殺	申志反
蔡侯申	今本皆如此案宣十七年蔡侯申卒是文侯也今昭侯是其玄孫不容與髙祖同名未詳何者誤
公孫姓	音生本又作生或一音性
恥爲	于僞反
亳社	歩洛反
頃公	音傾
傳四年也承	音懲直升反
公孫翩	音篇
而射	食亦反下同
文之鍇	音楷又音皆又客駭反
併行	歩頂反
中肘	丁仲反下竹九反
公孫盱	況于反
眅	普版反字林匹姦反
葉公	始渉反
負函	音咸
繒關	才陵反
泝江	音素
入郢	以井反又以政反
單浮餘	音善
氏潰	戸内反
陸渾	戸門反
豐析	星歷反注同
菟和	音徒
監尹	古銜反
少習	詩照反又如字少習即武關也
之難	乃旦反
將爲	于僞反下注同
以畀	必利反與也
楚復	扶又反
甯跪	其委反
邯鄲降	戸江反
遂墮	許規反
取邢	音刑
任	音壬
欒	力官反
鄗	呼洛反郭璞三蒼解詁音􁂄字林火沃反韋昭呼告反闞駰云讀磽确同
逆畤	音止
盂	音于
經五年城毗	頻夷反
杵臼	昌吕反下求又反
傳五年惡張	烏路反下同
柳朔	良久反
夫非	音扶
好不	呼報反
不去	起吕反
以僭	子念反後同
爲吉射	于僞反
燕姬	於賢反
未冠	古喚反
鬻姒	音育下音似
子荼	音舒又音徒又丈加反
嬖	必計反
齒長	丁丈反
閒於	音閑又音閒廁之閒又如字
疾疢	勑覲反本或作疹乃結反
謀樂	音洛
寘羣	之豉反羣或作諸
於萊	音來
公子黔	巨廉反又音琴
公子鉏	仕居反
不與	音預下同
埋	亡皆反
而侈	昌氏反又尸氏反
惡而	烏路反
不解	佳賣反
攸曁	許器反息也
鮮矣	息淺反
不濫	力暫反
濫溢	音逸
經六年邾瑕	音遐
任城	音壬
亢父	苦浪反又音剛下音甫
廢長	丁丈反
立少	詩照反
于柤	莊加反
楚子軫	之忍反史記作珍
殺荼	音試下皆同
傳六年復脩	扶又反
城父	音甫
驂乗	繩證反
偃蹇	約免反下紀晚反
驕敖	五報反
必偪	音逼
盍	戸臘反下同
去諸	起吕反下同
需	音須疑也一音懦懦弱持疑也
多難	乃旦反
鮑牧	州牧之牧
乗如	繩證反
晏圉	魚吕反
五辭	本又作辤說文辭不受也受辛冝辭也辝籀文
大冥	亡丁反
舎其	音捨
夾日	古洽反
大史	音泰下同
若禜	音詠
禳祭	如羊反
而寘	之豉反
其夭	於表反
又焉	於䖍反
爲祟	息遂反
竟内	音境
睢	七餘反
漳	音章
楚昭王知大道矣	本或作天道非
夏書	戸雅反下注同此語在尚書五子之歌書無帥彼天常一句下亦微異
其行	如字又下孟反尚書作厥道
乃滅而亡	尚書作乃厎滅亡
且于	子餘反
上乗	繩證反
闞止	苦暫反
壬也	而林反
洩言	息列反又以製反
欲令	力呈反下同
與饋	其位反
差車	所冝反
鮑點	之廉反又如字
女忘	音汝
而折	之舌反又市列反注同
而背	音佩後年皆同
故要	一遥反
去鬻	起吕反
拘	音俱
江說	音恱
句竇	音鉤下音豆
不匱	其位反
多難	乃旦反
少君	詩照反
長君	丁丈反
夫􁅈子	音扶􁅈或作孺同
於駘	他才反又徒來反
野幕	音莫
殳	音殊
冒	亡報反
淳	音純
駐於	中住反
經七年皇瑗	于眷反
于繒	才陵反一本作鄫
傳七年百牢	力刀反
吳過宋	古禾反
以後	如字又戸豆反
上物	如字一音時掌反注同
道長	丁丈反注及下注同
旣共	音恭
大伯	音泰注同
斷髮	丁管反
臝以	本又作倮力果反
故效	戸孝反
將焉	於䖍反
惡賢	音烏安也注同
無數	所主反
不樂	音岳一音洛
不禦	魚吕反
擊柝	音託以兩木相擊以行夜也字又作柝同
聞於	音問又如字
晝掠	中救反下音亮
于繹	音亦
鄒縣	側留反
乗韋	繩證反下及注同
馮恃	皮冰反注同
辟	匹亦反注同
振鐸	待洛反注同
公孫疆	其良反
好田	呼報反下同
弋	以職反繳射也
田弋之說	如字
說之	音恱下大說同
彊言霸說	如字一音始銳反
而奸	音干
揖丘	音集一音於入反
鍾邘	音于
經八年褚師	中呂反
之詬	呼豆反
取讙	音歡
及闡	尺善反
