哀下第三十杜氏盡二十七年經十四年西狩	手又反冬獵也
獲麟	吕辛反又力珍反瑞獸也解見詩音
嘉瑞	常恚反
無應	應對之應
中興	丁仲反
小邾射	音亦
句繹	古侯反下音亦
寘于	之豉反
宗豎	上主反
宋向	舒亮反
魋	徒回反
子狅	其廷反
趙鞅	於丈反
復入	扶又反
星孛	歩内反
傳十四年鉏商	仕居反
要我	於妙反又一遥反注同
千乗	繩證反年内同
闞止	苦暫反
憚之	大旦反
驟顧	仕救反數也
數顧	所角反
而遺	唯季反
之潘	芳袁反注皆同米汁也
沐	音木
米汁	之十反
介達	音界媒介也亦因也
長而	如字又丁丈反
上僂	力主反
與之言政說	音恱
立女	音汝
我逺	如字又于萬反
數人	所主反
廩丘	力甚反
子芒盈	音亡
在幄	於角反帳也
之處	昌慮反
御之	魚吕反本亦作禦
檀臺	大丹反
大史	音泰
將爲	于僞反下文逆爲余請下注爲公同
需	音須疑也
屬徒	之欲反
攻闈	音韋
弇中	於檢反又音淹
狹路	音洽
及耏	音而
橋命	本又作矯居表反
出雍	於用反
務施	式豉反
數請	所角反
以鞌	音安
余長	丁丈反注同
少長	詩照反
所惡	烏路反
迹人	子亦反
有介	音界大也
麇	九倫反獐也本又作䴢亡悲反
難以	乃旦反下文及注同
子頎	音祈
騁而	勑領反
祗取	音支
欲質	音致注及下同
乃舎	音赦又音捨注同
夏后	戸雅反
之璜	音黃
惡之	烏路反
阬氏	苦庚反或音剛
丘輿	音餘
三日齊	側皆反本又作齋
伐齊三	如字又息暫反
子洩	息列反
將圉	魚吕反
爲成	于僞反
從者不得入	才用反
有司使	所吏反注同
恨恚	一瑞反
弗内	如字又音納
袒	音但
免	音問
于衢	其俱反
聽共	音恭注同
經十五年髙無㔻	普悲反
大雩	音于
公孟彄	苦侯反
傳十五年桐汭	如銳反
旣斂	力驗反下同
造于	七報反下文同
介將命	音界下文注皆放此
嚭勞	力報反
水潦	音老
廩然	力甚反傾動貌
隕大夫	于敏反下同
以重	直用反下注同
寡君敢辭上介	絶句
芋尹	于付反
荐伐	在徧反
備使	所吏反盡芋尹蓋辭同
共	音恭注同
積	子賜反又如字注同
具殯	必刃反
積聚	才喻反又如字
草莽	亡黨反
内之	如字又音納
陳瓘	古喚反
過衞	古禾反
旣斲	陟角反
喪公室	息浪反下并注皆同
故爲	于僞反下文齊爲衞故爲請於伯姬并注同
有背	音佩
將焉	於䖍反
同好	呼報反
冠氏	如字又古喚反
自濟	子禮反
禚媚	諸若反
于嬴	音盈
孔圉	魚吕反
蒯	苦怪反
聵	魚怪反
生悝	苦回反
渾良夫	戸門反
長而美	舊丁丈反又如字
使之	所吏反又如字
無與	音預
外圃	布五反
而乗	繩證反下及注同
欒寧	力丸反
姻妾	音因
杖戈	直亮反又音丈
輿豭	音加
被甲	皮寄反
迫孔悝	本又作叔悝
於廁	初吏反
強盟	其丈反
故劫	居業反
欲令	力呈反
炙未	章夜反下同
召獲	上照反注同
其難	万旦反注反下皆同
復入	扶又反
有使	所吏反
焉用	於䖍反
若燔	音煩
必舎	音捨又如字
盂黶	音于下於減反
斷纓	下管反
去之	起吕反
瞞成	莫干反
褚師	中吕反
經十六年子還成	音旋
夏四月己丑孔丘卒	孔子作春秋終於獲麟之一句公羊榖梁經是也弟子欲記聖師之卒故採魯史記以續夫子之經而終於此丘明因隨而作傳終於哀公從此巳下無復經矣
魯襄二十二年生至今七十三也	本或作魯襄二十三年生至今七十二則與史記孔子世家異此本非也
傳十六年鄢武子	於晚反
肸也	許乙反
逋	布吳反
竄	七亂反
寘諸	之豉反
其衷	音忠
單平公	音善
余嘉乃成世	絶句
之休	許虯反注及下同美也
公誄	力軌反說文云諡也
旻天	亡巾反
不弔	如字又音的至也
不憖	魚覲反且也
俾屏	必爾反下必領反
煢煢	求營反
在疚	久又反病也
尼父	音甫
言喪	息浪反
則愆	起䖍反
飲孔悝	於鴆反
令人	力呈反
反祏	音石藏主石函
西圃	布五反
石函	音咸
許公爲	如字人姓名
返祏	音反本亦作反
人爭	爭鬪之爭
先射	食亦反下同
三發	如字一音廢
皆逺	于萬反
之殪	於計反
車從	才用反又如字注同
於橐	音託
城父	音甫
華氏	戸化反
使諜	徒協反
葉公	始渉反
邊竟	音境下同
衞藩	方元反注同
好復言	呼報反
告女	音汝
如卵	來管反
而長	丁丈反
楚國第	大細反次第也
乃不復	扶乂反
不悛	七全反
有熊	音雄
冝僚者	本或作熊相冝僚相音息亮反
與之言說	音恱
其喉	音侯
不爲利	于僞反下同
諂	勑檢反
威惕	佗歷反
不泄	息列反又以制反
鎧	苦代反
杖	直亮反
而劫	居業反
以袂	彌世反
抉豫章	烏穴反
無聚	才住反下同
徼幸	古堯反
無饜	於豔反
後庇	必利反又音祕
圉公陽	魚吕反
不胄	直又反
以幾	音冀本或作冀
得艾	魚廢反一音五蓋反注同
夫有	方于反或音扶
奮心	方問反
將旌	音精
以徇	似俊反
箴尹	之林反
使興國人	如字興謂興發也一本作與羊汝反
而縊	一賜反
微之	如字匿也爾雅云匿微也
微匿	女力反
生拘	音俱
而長	丁丈反注同
將烹	普庚反
王孫燕	烏賢反又烏練反
頯黃	求龜反舊求悲反
於葉	始渉反
嬖人	必計反
大叔	音泰
人比	毗志反
弗去	起吕反
輿豭	音加
而強	其丈反
傳十七年虎幄	於角反
幄幕	武博反
成	絶句
求令名者	絶句
應爲	應對之應
乗衷甸	時證反說文作佃云中也春秋乗中佃一轅車也
兩牡	茂后反
袒裘	音但
御之	魚吕反下同
笠澤	音立
夾水	居洽反
而陳	直覲反
左右句	古侯反注同
卒	子忽反注及下注同
相著	直略反
鼓譟	素報反
并力	如字又必政反
以難	乃旦反
使椓	中角反訴也
其處	昌慮反
國觀	工喚反
陳瓘	工喚反
齊柄	彼命反
其聚	才住反注及下注邑聚同
積聚	子賜反
問帥	所類反
皆相	息亮反注及下而相國并注同
今復	扶又反
率賤	所類反本又作帥下同
鄀俘	音若下芳夫反
州蓼	本又作鄝音了
封畛	之忍反一音眞
不謟	本又作滔佗刀反疑也
有憾	本又作感戸暗反
君盍	戸臘反
舎焉	音捨又音赦注同
公孫朝	如字
鶉火	音純
枚卜	亡柸反
之觀	工喚反注同
之虚	去魚反下文同
濮陽	音卜
被髮	皮義反
之瓜	古華反
并數	必政反下所主反
懼難	乃且反下文而難作同
其繇	直又反
竀尾	勑呈反赤也
衡流	華盲反又如字
方羊	蒲郎反注同
裔焉	以制反
闔門	戸臘反
塞竇	音豆
復伐	扶又反
叔向	許丈反
怙亂	音戸
般師	音班下同
自鄄	音絹
從子	才用反
而隊	直類反
折	之設反
股	音古
己氏	晉紀又音杞
髠之	苦存反
吕姜髢	大計反又庭計反髲也
髲也	皮義反
與女	音汝下同
其焉	於䖍反
諸潞	音路
平公敖	如字一本作驁五報反又五刀反
東莞	音官
武伯相	息亮反
鄫衍	以善反
石魋	徒回反
鄖地	音云
曼姑	音萬
彘也	直例反
皇瑗	于眷反
子麇	九倫反
酁般	仕咸反
愠而	紆問反怒也
不與	音預
𣏌姒	首似
適子	丁歷反
召令	力呈反
傳十八年皇緩	户管反
從子	才用反
圍鄾	音憂
將卜帥	所類反
燧象	音遂
皆爲	于僞反
薳固	于委反
於析	星歷反
能蔽志	必世反注同斷也尚書能作克克亦能也
昆命于龜	本或依尚書作昆命于元龜
蔽斷	丁亂反下同
傳十九年至冥	亡丁反
于敖	五刀反
三種	章勇反
敬王崩故也	案傳敬王崩在此年世本亦爾世族譜云敬王四十二年崩敬王子元王十年春秋之傳終矣據此則敬王崩當在哀公十七年史記周本紀及十二諸侯年表敬王四十二年崩子元王仁立則敬王是魯哀十八年崩也六國年表起自元王及本紀皆云元王八年崩子定王介立定王元年是魯哀之二十七年則與杜預世族譜爲異又世本云魯哀公二十年是定王介崩子元王赤立則定王之崩年是魯哀二十七年也衆說不同未詳其正也
傳二十年廩丘	力甚反
爲鄭	于僞反下爲降同
于艾	五蓋反
以說	如字又音恱
親昵	女乙反
有質	如字信也
先造	七報反
犯閒	閒廁之閒
諸夏	户雅反
不共	音恭
在難	乃旦反
簞	音丹笥也
笥	絲嗣反
問遺	唯季反
句踐	古侯反
溺人	乃歷反
史黯	於減反
謗言	博浪反
傳二十一年遣使	所吏反
爲公	于僞反年末文注同
之皐	古刀反緩也
數年	所主反注同
不覺	音角又古孝反
髙蹈	徒報反
令齊	力呈反
先期	悉薦反
將傳	中戀反
遽	其據反
比其	必利反
傳二十二年甬東	音勇
會稽	古外反下古兮反
句章	九具反如淳音拘韋昭亦音拘
洲也	音州水中可居曰洲
焉能	於䖍反
乃縊	一賜反
傳二十三年與有	音預
執紼	音弗
輿人	音餘衆也
不腆	他典反
旌繁	歩干反注同
知伯	音智
御之	魚吕反
及壘	力軌反
以守	手又反
宗祧	他彫反
犂丘	力兮反
濕也	音習本又作隰
涿聚	丁角反
始使	所吏反
傳二十四年汶陽	音問
欲徼	古堯反
令繕	市戰反
萊章	音來
天奉	扶用反
又焉	於䖍反
躛言	戸快反過也謂過謬之言服云僞不信言也字林作㦣云夢言意不慧也于例反
餼臧	許器反
大史	音泰注同
母嬖	必計反
釁夏	許覲反下戸雅反
女爲	音汝
娶於	七住反下同
孝惠娶於商	商宋也定公名宋是哀公之父故釁夏爲諱而稱商也
孝公稱	尺證反又如字
始惡	烏路反注同
適郢	以井反適郢越王句踐之太子名
親說	音恱
將妻	七計反
大宰嚭	普美反
納賂	音路
傳二十五年藉圃	布五反
褚師	張吕反
韤	亡伐反足衣也
見君	賢遍反
有創	初羊反
之	許角反又許各反嘔吐也
嘔吐	於口反下他故反
抵徒	音紙
屈肘	斤九反
必斷	丁管反
亥乗	時證反
公文要	一遥反
夏丁	戸雅反
其帑	音奴
飲公	於鴆反
大叔	音泰
從孫甥	如字又才用反注同
少畜	詩照反
優狡	音憂下古卯反
拳彌	音權
俳優	皮皆反
甚近	附近之近下注皆同
喪邑	息浪反
譟以	素報反
鄄子士	音絹
禦之	魚吕反後放此
彌援	音袁
欲令	力呈反
而易	以豉反
閒也	閒厠之閒下注内閒爲君閒皆同
適泠	力丁反
城鉏	仕居反
以鉤	古侯反本或作拘同注同
之卒	子忽反
陳名	直覲反
揮	音暉
彼好	呼報反
先道	音導注同
共評	音平又音病
難面	乃旦反
弗内	如字又音納
五梧	音吾
郭重	直龍反又直用反
爲祝	之六反又之又反注同
上壽	時掌反下音授又音受
惡郭	烏路反
訾毁	音紫
請飲	於鴆反注同
獲從	才用反又如字
劬勞	其居反
以激	古曆反
之數	所角反
不樂	音洛
公孫	音遜本又作遜
傳二十六年樂茷	扶廢反
君愎	皮逼反
很也	胡懇反
掘褚	其勿反又其月反本或作搰胡忽反
國幾	音祈又音機
守陴	毗支反
申重	直龍反下同
設守	手又反
恐公	丘勇反
公子黚	起廉反
相之	息亮反
令茍	力呈反注同
爲悼公	于僞反
遂復	扶又反
從昆	才用反
樂溷	户門反又戸困反
朱鉏	仕居反
樂輓	音晚
惡之	烏路反下注惡其同
欲去	起吕反
連中	如字一音輦
興空澤	如字興發也或作輿非
沃宫	烏毒反
六子畫	音獲
劫之	居業反
少寢	詩照反下注同
大宫	音泰
惑蠱	音古
又匿	女力反
所弑	申志反
北首	手又反注同
咮加	張又反鳥口
復盟	扶又反
唐盂	晉于
子潞	音路
使徇	似俊反
無別	彼列反注同
於使	所吏反
孫於陳	音遜本亦作遜下及注除孫莊子皆同
甯武	乃定反
宛濮	於阮反下音卜
傳二十七年駘上	他來反又音臺
封竟	音境
三子皆從	如字注同或才用反非也
此夫	音扶
臨難	乃旦反
多忘	亡亮反本又作妄下文放此
駟歂	市專反
屬孤子	音燭注同
乗車	繩證反注及下皆同
涿聚	中角反
隰之役	音習
多難	乃旦反
未女	音汝下同
毋廢	音無
傍河	蒲浪反
徑	音經
濟隂	子禮反下同
國參	七南反
成子衣	於旣反
製	音制雨衣也
杖戈	直亮反又音丈
於阪	音反一音扶版反
衷焉	音忠善也
中行	戸郎反
輕車	遣政反
以厭	於甲反又於輒反
有爲	于僞反下爲鄭同
三思	息暫反又如字
之侈	昌氏反又尺氏反
去之	起吕反下而去同
之衢	其俱反
有陘	音刑
因孫	音遜下同
