春秋公羊經傳解詁隱公第一	〇陸曰解詁佳買反下音古訓也
何休學	〇學者言爲此經之學即注述之意
元年春王正月	〇正月音征又音政後放此
元年者何	諸据疑問所不知故曰者何
君之始年也	以常録即位知君之始年君魯侯隱公也年者十二月之揔號春秋書十二月稱年是也變一爲元元者氣也無形以起有形以分造起天地天地之始也故上無所繫而使春繫之也不言公言君之始年者王者諸侯皆稱君所以通其義於王者惟王者然後改元立號春秋託新王受命於魯故因以録即位明王者當繼天奉元養成萬物
春者何	獨在王上故執不知問
歳之始也	以上繫元年在王正月之上知歳之始也春者天地開辟之端養生之首法象所出四時本名也昬斗指東方曰春指南方曰夏指西方曰秋指北方曰冬歳者揔號其成功之稱尚書以閏月定四時成歳是也〇辟婢亦反本亦作闢稱尺證反下之稱卑稱同
王者孰謂	孰誰也欲言時王則無事欲言先王又無謚故問誰謂
謂文王也	以上繫王於春知謂文王也文王周始受命之王天之所命故上繫天端方陳受命制正月故假以爲王法不言謚者法其生不法其死與後王共之人道之始也
曷爲先言王而後言正月	据下秋七月天王先言月而後言王
王正月也	以上繫於王知王者受命布政施教所制月也王者受命必徙居處改正朔易服色殊徽號變犧牲異器械明受之於天不受之於人夏以斗建寅之月爲正平旦爲朔法物見色尚黒殷以斗建丑之月爲正雞鳴爲朔法物牙色尚白周以斗建子之月爲正夜半爲朔法物萌色尚赤〇徽許韋反械戸戒反夏以戸雅反後放此以意求之見賢徧反下並見同
何言乎王正月	据定公有王無正月
大一統也	統者始也揔繫之辭夫王者始受命改制布政施教於天下自公侯至於庶人自山川至於草木昆蟲莫不一一繫於正月故云政教之始
公何以不言即位	据文公言即位也即位者一國之始政莫大於正始故春秋以元之氣正天之端以天之端正王之政以王之政正諸侯之即位以諸侯之即位正竟内之治諸侯不上奉王之政則不得即位故先言正月而後言即位政不由王出則不得爲政故先言王而後言正月也王者不承天以制號令則無法故先言春而後言王夫不深正其元則不能成其化故先言元而後言春五者同日並見相須成體乃天人之大本萬物之所繫不可不察也〇治直吏反夫音扶
成公意也	以不有正月而去即位知其成公意〇而去起吕反下去同
何成乎公之意	据刺欲救紀而後不能〇刺欲七賜反後皆同更不音
公將平國而反之桓	平治也時廢桓立隱不平故曰乎反還之
曷爲反之桓	据巳立也
桓㓜而貴隱長而卑	長者巳冠也禮年二十見正而冠士冠禮曰嫡子冠於阼以著代也醮於客位加有成也三加彌尊諭其志也冠而字之敬其名也公侯之有冠禮夏之末造也天子之元子猶士也天下無生而貴者○隱長丁丈反注及下皆同巳冠工亂反下同適子丁歷反下同醮子笑反
其爲尊卑也微	母俱媵也〇媵以證反又繩證反
國人莫知	國人謂國中凡人莫知者言恵公不早分别也男子年六十閉房無也子則命貴公子将薨亦如之
隱長又賢	此以上皆道立隱所縁○以上時掌反他皆放此
諸大夫扳隱而立之	扳引也諸大夫立隱不起者在春秋前明王者受命不追治前事孔子曰不教而殺謂之虐不戒視成謂之暴〇扳普顔反又必顔反引也舊敖間反
隱於是焉而辭立	辭讓也言隱欲讓
則未知桓之將必得立也	是時公子非一
且如桓立	且如假設之辭
則恐諸大夫之不能相㓜君也	隱見諸大夫背正而立己不正恐其不能相之〇相息亮反背正歩内反下同
故凡隱之立爲桓立也	凡者凡上所慮二事皆不可故於是巳立欲須桓長大而歸之故曰爲桓立明其本無受國之心故不書即位所以起其讓也〇爲于僞反注同
隱長又賢何以不宜立	据賢繆公與大夫獲且長以得立〇繆音穆貜且俱縛反下子餘反
