春秋公羊經傳解詁閔公第四何休學元年春王正月公何以不言即位繼弑君不言即位	復發傳者嫌繼未踰年君義異故也明當隱之如一○弑申志反復扶又反下同
孰繼	据子般弑不見○見賢徧反
繼子般也孰弑子般慶父也殺公子牙今將爾季子不免慶父弑君何以不誅將而不免遏惡也旣而不可及因獄有所歸不探其情而誅焉親親之道也	論季子當從議親之辟猶律親親得相首匿當與叔孫得臣有差〇探他南反辟婢亦反匿女力反
惡乎歸獄歸獄僕人鄧扈樂曷爲歸獄僕人鄧扈樂	据師還也○惡音烏扈樂音洛或如字
莊公存之時樂曾淫于宫中子般執而鞭之莊公死慶父謂樂曰般之辱爾國人莫不知盍弑之矣使弑子般然後誅鄧扈樂而歸獄焉	殺鄧扈樂不書者微也○曽才能反盍户臘反
季子至而不變也	至者聞君弑從家至朝季子知樂勢不能獨弑而不變正其眞僞
〇齊人救邢〇夏六月辛酉葬我君莊公○秋八月公及齊侯盟于洛姑	時慶父内則素得權重外則出奔彊齊恐爲國家禍亂故季子如齊聞之奉閔公託齊桓爲此盟下書歸者使與君致同主書者起託君也
季子來歸其稱季子何	据如陳名不稱季卒不稱子
賢也	嫌季子不探誅慶父有甚惡故復於託君安國賢之所以輕歸獄顯所當任逹其功不稱季友者明齊繼魯本感洛姑之託故令與髙子俱稱子起其事〇令力呈反
其言來歸何	据召歸不書隱如言至
喜之也	季子來歸則國安故喜之而變至加録云爾蓋與賢相起言歸者主爲喜出言來者起從齊自外來盟不月公不致者桓之盟不日其㑹不致信之也〇主爲于僞反下文注皆同
冬齊仲孫來齊仲孫者何公子慶父也公子慶父則曷爲謂之齊仲孫繫之齊也曷爲繫之齊	据欒盈出奔楚還不繫楚
外之也曷爲外之	据俱出奔還也
春秋爲尊者諱	爲閔公諱受賊人也
爲親者諱	爲季子親親而受之故諱也
爲賢者諱	以季子有遏牙不殺慶父之賢故爲諱之
子女子曰以春秋爲春秋	以史記氏族爲春秋言古謂史記爲春秋
齊無仲孫其諸吾仲孫與	齊有髙國崔魯有仲孫氏亦足以知魯仲孫言仲孫者以後所氏起其事明主書者賊不宜來因以起上如齊實弑君出奔○子女子音汝
二年春王正月齊人遷陽	不爲桓公諱者功未足以覆比滅人之惡也
○夏五月乙酉吉禘于莊公其言吉何	据禘于大廟不言吉〇吉禘大計反大廟音泰下同
言吉者未可以吉也	都未可以吉祭經舉重不書禘于大廟嫌獨莊公不當禘于大廟可禘者故加吉明大廟皆不當
曷爲未可以吉	据三年也
未三年也	禮禘祫從先君數朝聘從今君數三年喪畢遭禘則禘遭祫則祫○君數所主反下同祫音治
三年矣曷爲謂之未三年三年之喪實以二十五月	時莊公薨至是適二十二月所以必二十五月者取期再期恩倍漸三年也孔子曰子生三年然後免於父母之懷夫三年之喪天下之通喪禮士虞記曰期而小祥曰薦此常事又期而大祥曰薦此常事中月而禫是月也吉祭猶未配是月者二十七月也傳言二十五月者在二十五月外可不譏〇取期音基下同禫大感反
其言于莊公何	据禘于大廟不言周公祫僖公不言僖宫
未可以稱宫廟也	時閔公以莊公在三年之中未可入大廟禘之于新宫故不稱宫廟明皆非也
曷爲未可以稱宫廟	据言禘也
在三年之中矣	當思慕悲哀未可以鬼神事之
吉禘于莊公何以書譏何譏爾譏始不三年也	與託始同義
○秋八月辛丑公薨公薨何以不地隱之也何隱爾弑也孰弑之慶父也殺公子牙今將爾季子不免慶父弑二君何以不誅將而不免遏惡也旣而不可及緩追逸賊親親之道也	與不探其情同義不書葬者賊未詩〇弑音試下及注同
九月夫人姜氏孫于邾婁	爲淫二叔殺二嗣子出奔不如文姜于出奔貶之者爲内臣子明其義不得以子絶母凡公夫人奔例日此月者有罪
公子慶父出奔莒	慶父弑二君不當復見所以復見者起季子緩追逸賊也不日者内大夫奔例無罪者日有罪者月外大夫奔例皆時〇當復扶又反下同見賢徧反下文復見同
冬齊髙子來盟髙子者何齊大夫也	以有髙傒也
何以不稱使	据鄭伯使其弟語來盟
我無君也	時閔公弑僖公未立故正其義明君臣無相適之道也春秋謹於别尊卑理嫌疑故絶去使文以起事張例則所謂君不使乎大夫也○别彼列反故絶去起吕反下欲去同
然則何以不名	据國佐盟名
喜之也何喜爾正我也其正我奈何莊公死子般弑閔公弑比三君死曠年無君	與曠年無君無異
設以齊取魯曾不興師徒以言而巳矣	設時勢然
桓公使髙子將南陽之甲	南陽齊下邑甲革皆鎧胄也〇革更百反鎧苦愛反胄直又反
立僖公而城魯或曰自鹿門至于爭門者是也或曰自爭門至于吏門者是也魯人至今以爲羙談曰猶望髙子也	乆闊思相見者引此爲喻美談至今不絶也立僖公城魯不書者諱微弱喜而加髙子者美大齊桓繼絶于魯故尊其使起其功明得子續父之道○鹿門魯南城東門也其使所吏反
○十有二月狄入衛鄭棄其師鄭棄其師者何	連國者并問稱國
惡其將也	以言棄師〇惡其烏路反下及注同將也子匠反下同
鄭伯惡髙克使之將逐而不納棄師之道也	鄭伯素惡髙克欲去之無由使將師救衛隨後逐之因將師而去其本雖逐髙克實棄師之道故不書逐髙克舉棄師爲重猶趙盾加弑也不解國者重衆從國體録可知繫閔公篇于莊公下者子未三年無改於父之道傳曰則曷爲於其封内三年稱子縁孝子之心則三年不忍當也○盾徒本反
春	_
秋	_
公	_
羊	_
卷	_
第	_
四	_
