春秋公羊經傳解詁文公第六何休學元年春王正月公即位〇二月癸亥朔日有食之	是後楚丗子商臣弒其君楚滅江六狄比侵中國
○天王使叔服來㑹葬其言來㑹葬何	据奔喪以非禮書歸含且賵不言來〇歸含本又作唅户暗反五年經同賵芳鳯反
㑹葬禮也	但解㑹葬者明言來者常文不爲早晩施也常事書者文公不肖諸侯莫肯㑹之故書天子之厚以起諸侯之薄蓋以長𥙷短也叔服者王子虎也服者字也叔者長㓜稱也不繫王者不以親䟽録也不稱王子者時天子諸侯不務求賢而專貴親親故尤其在位子弟刺其早任以權也魯得言公子者方録異辭故獨不言弟也諸侯得言子弟者國失賢輕〇不爲于僞反下不爲同長㓜丁丈反稱也尺證反
○夏四月丁巳葬我君僖公〇天王使毛伯來錫公命錫者何賜也命者何加我服也	復發傳者嫌禮與桓公同死生異也主書者惡天子也古者三載考績三考黜陟幽明文公新即位功未足施而錫之非禮也〇錫思歷反復扶又反惡烏路反
〇晉侯伐衛〇叔孫得臣如京師	書者與莊二十五年同知不爲䘮聘書者聘爲貢職天子當得異方之物以事宗廟又欲以知君父無恙不以喪廢故不譏也如他國就不三年一譏而巳〇恙餘亮反
〇衛人伐晉〇秋公孫敖㑹晉侯于戚	○戚于寂反
〇冬十月丁未楚丗子商臣弑其君髠	楚無大夫言丗子者甚惡丗子弑父之禍也不言其父言其君者君之於丗子有父之親有君之尊言丗子者所以明有父之親言君者所以明有君之尊又責臣子當討賊也日者夷狄子弑父忍言其日〇髠苦門反左氏作頵
○公孫敖如齊	書者譏䘮娶吉凶不相干
二年春王二月甲子晉侯及秦師戰于彭衙秦師敗績	稱秦師者愍其衆惡其將前以不用賢者之言匹馬隻輪無反者今復重師敗績師敵君不正者賤之不嫌得敵君〇衙音牙本或作牙惡烏路反將子匠反復扶又反下不復皆同重直用反
〇丁丑作僖公主作僖公主者何爲僖公作主也	爲僖公廟作主也主狀正方穿中央逹四方天子長尺二寸諸侯長一尺〇爲僖公廟于僞反下蓋爲以爲下欲爲同
主者曷用虞主用桑	禮平明而葬日中而反虞以陽求隂謂之虞者親喪以下壙皇皇無所親求而虞事之虞猶安神也用桑者取其名與其麤觕所以副孝子之心禮虞祭天子九諸侯七卿大夫五士三其奠處猶吉祭〇壙苦晃反又音曠麤才古反又七奴反
練主用栗	謂期年練祭也埋虞主於兩階之間易用栗也夏后氏以松殷人以柏周人以栗松猶容也想見其容貌而事之主人正之意也柏猶迫也親而不逺主地正之意也栗猶戰栗謹敬貌主天正之意也禮士虞記曰桑主不文吉主皆刻而謚之蓋爲禘祫時别昭穆也虞主三代同者用意尚麤觕未暇别也〇期年音基三年同人正音征下同别彼列反下同
用栗者藏主也	藏于廟室中常所當奉事也質家藏于堂
作僖公主何以書	据作餘公主不書
譏何譏爾不時也其不時奈何欲乆喪而後不能也	禮作練主當以十三月文公亂聖人制欲服喪三十六月十九月作練主又不能卒竟故以二十五月也日者重失禮鬼神
〇三月乙巳及晉處父盟此晉陽處父也何以不氏	据陽陽處父伐楚救江
諱與大夫盟也	諱去氏者使若得其君如經言邾婁儀父矣不地者起公就於晉也日者起公盟也俱没公齊髙傒不使若君處父使若君者親就其國恥不得其君故使若得其君也如晉不書不致者深諱之○去起吕反
〇夏六月公孫敖㑹宋公陳侯鄭伯晉士縠盟于垂歛	盟不日者欲共盟誅商臣雖不能誅猶爲疾惡故也襃與信辭也不如平丘兩舉㑹盟詳録之者時至即盟㑹禮不成〇縠户木反垂斂左氏作垂隴
〇自十有二月不雨至于秋七月何以書記異也	以不言旱
大旱以災書此亦旱也曷爲以異書大旱之日短而云災	云言也言有災
故以災書此不雨之日長而無災故以異書也	此禄去公室政在公子遂之所致也不就莊三十一年發傳者此最甚事著
〇八月丁卯大事于大廟躋僖公大事者何大祫也	以言大與有事異又從僖八年禘數之知爲大祫〇大廟音太下太祖皆同隮僖子兮反升也本又作躋同祫音洽大祭禘數大帝反下所主反
大祫者何合祭也其合祭奈何毀廟之主陳于大祖	毀廟謂親過髙祖毀其廟藏其主于大祖廟中禮取其廟室笮以爲死者炊沐大祖周公之廟陳者就陳列大祖前大祖東鄉昭南郷穆北郷其餘孫從王父父曰昭子曰穆昭取其郷明穆取其北面尚敬〇笮側白反炊沐昌垂反下音木東郷許亮反下同
未毀廟之主皆升合食于大祖	自外來曰升
五年而再殷祭	殷盛也謂三年祫五年禘禘所以異於袷者功臣皆祭也祫猶合也禘猶諦也審諦無所遺失禮天子特禘特祫諸侯禘則不礿祫則不甞大夫有賜於君然後祫其髙祖〇諦音帝礿羊略反
躋者何升也何言乎升僖公	据禘于大廟不道所升
譏何譏爾逆祀也其逆祀奈何先禰而後祖也	升謂西上禮昭穆指父子近取法春秋惠公與莊公當同南面西上隱桓與閔僖亦當同北面西上繼閔者在下文公縁僖公於閔公爲庶兄置僖公於閔公上失先後之義故譏之傳曰後祖者僖公以臣繼閔公猶子繼父故閔公於文公亦猶祖也自先君言之隱桓及閔僖各當爲兄弟顧有貴賤耳自繼代言之有父子君臣之道此恩義逆順各有所施也不言吉祫者就不三年不復譏略爲下張本〇禰乃禮反
〇冬晉人宋人陳人鄭人伐秦○公子遂如齊納幣納幣不書此何以書譏何譏爾譏喪娶也娶在三年之外則何譏乎喪娶	据逆在四年〇喪取七住反夲亦作娶同
三年之内不圖㛰	僖公以十二月薨至此未滿二十五月又禮先納采問名納吉乃納幣此四者皆在三年之内故云爾
吉禘于莊公譏然則曷爲不於祭焉譏	据吉禘于莊公譏始不三年大事圖㛰俱不三年大事獨從吉禘不復譏
三年之恩疾矣	疾痛
非虚加之也	非虚加責之
以人心爲皆有之	以人心爲皆有疾痛不忍娶
以人心爲皆有之則曷爲獨於娶焉譏	据孝子疾痛吉事皆不當爲非獨娶也
娶者大吉也	合二姓之好傳之於無窮故爲大吉〇好呼報反傳直專反
非常吉也	與大事異
其爲吉者主於己	主於已身不如祭祀尚有念先人之必
以爲有人心焉者則宜於此焉變矣	變者變慟哭泣也有人心念親者聞有欲爲巳圖㛰則當變慟哭泣矣況乃至于納幣成㛰哉○慟杜貢反
三年春王正月叔孫得臣㑹晉人宋人陳人衛人鄭人伐沈沈潰	〇伐沈音審國名潰户内反
〇夏五月王子虎卒王子虎者何天子之大夫也外大夫不卒此何以卒	据原仲也
新使乎我也	王子虎即叔服也新爲王者使來㑹葬在葬後三年中卒君子恩隆於親親則加報之故卒明當有恩禮也尹氏卒日此不日者在期外也名者卒從正〇新使所吏反
○秦人伐晉〇秋楚人圍江〇雨螽于宋雨螽者何死而墜也	以先言雨也墜隋地也不言如雨言雨螽者本飛從地上而下至地似雨尤醇〇雨螽于付反下及注同一音如字螽音終而隊直類反注同隋大果反上時掌反醇音純
何以書記異也外異不書此何以書爲王者之後記異也	螽猶衆也衆死而墜者羣臣將爭彊相残賊之象是後大臣比爭鬪相殺司城驚逃子哀奔亡國家廓然無人朝廷乆空蓋猶三丗内娶貴近妃族禍自上下故異之云爾〇爲王于僞反近附近之近
○冬公如晉十有二月己巳公及晉侯盟〇晉陽處父帥師伐楚救江此伐楚也其言救江何	据兩之當先言救也非兩之當重出處父也生事當言遂三者皆違例知後言救江起伐楚意故問之〇重直用反
爲諼也	諼詐○諼許元反
其爲諼奈何伐楚爲救江也	救人之道當指其所之實欲救江而反伐楚以爲其勢必當引圍江兵當還自救也故云爾孔子曰自古皆有死民無信不立
四年春公至自晉〇夏逆婦姜于齊其謂之逆婦姜于齊何	据不書逆者主名不言如齊不稱女
略之也	稱婦姜至文也逆與至共文故爲略
髙子曰娶乎大夫者略之也	賤非所以奉宗廟故略之不書逆者主名卑不爲録使也不言如齊者大夫無國也不稱女者方以婦姜見與至共文重至也不稱夫人爲致文者賤不可奉宗廟也不言氏者本當稱女女者父母辭君子不奪人之親故使從父母辭不言氏〇爲于僞反使所吏反見與賢徧反
〇狄侵齊〇秋楚人滅江○晉侯伐秦○衛侯使寗俞來聘〇冬十有一月壬寅夫人風氏薨	〇寗俞乃定反下音餘
五年春王正月王使榮叔歸含且賵含者何口實也	孝子所以實親口也縁生以事死不忍虚其口天子以珠諸侯以玉大夫以碧士以貝春秋之制也文家加飯以稻米○飯扶晚反
其言歸含且賵何	据宰咺歸兩賵不言且也連賵何之者嫌据賵言歸〇咺況阮反
兼之兼之非禮也	且兼辭以言且知譏兼之也含言歸者時主持含來也去天者含者臣子職以至尊行至卑事失尊之義也不從含晚言來者本不當含也主書者從含也○去起呂反下同
〇三月辛亥葬我小君成風成風者何僖公之母也	風氏也任宿顓臾之姓〇任音壬顓臾音專下音榆
〇王使召伯來㑹葬	去天者不及事刺比失喪禮也
〇夏公孫敖如晉○秦人入鄀	○鄀音弱
〇秋楚人滅六○冬十月甲申許男業卒六年春葬許僖公〇夏季孫行父如陳○秋季孫行父如晉○八月乙亥晉侯讙卒	〇讙好官反
〇冬十月公子遂如晉○葬晉襄公	書遂者刺公生時數如晉葬不自行非禮也禮諸侯薨使大夫吊自㑹葬○數所角反
