春秋榖梁傳僖公第五	○名申惠王十八年即位
范寗集解元年春王正月繼弑君不言即位正也	○弑音試後皆同
○齊師宋師曹師次于聶北救邢	聶北邢地聶女輒反
救不言次	據莊六年王人子突救衛不言次
言次非救也	次止也救赴急之意今方停止故知非救也
非救而曰救何也遂齊侯之意也	録其本意
是齊侯與	怪其稱師○與音餘
齊侯也何用見其是齊侯也	據經書齊師○見賢徧反下復見及注同
曹無師曹師者曹伯也	小國君將稱君卿將稱人不得稱師言師則是曹伯也曹君不可在師下故知是齊侯○君將子匠反下同
其不言曹伯何也以其不言齊侯不可言曹伯也其不言齊侯何也以其不足乎揚不言齊侯也	救不及事不足稱揚○以其不足乎揚絶句稱掦也
○夏六月邢遷于夷儀	辟狄難夷儀邢地○難乃旦反
遷者猶得其國家以往者也其地邢復見也	非若宋人遷宿滅不復見○復扶又反下注並同
齊師宋師曹師城邢是向之師也使之如改事然美齊侯之功也	是向聶北之師當言遂今復列三國者美齊桓存亡國○是郷許亮反本又作向注同
秋七月戊辰夫人姜氏薨于夷	哀姜
夫人薨不地地故也齊人以歸不言以䘮歸非以䘮歸也加䘮焉諱以夫人歸也	泰曰齊人實以夫人歸殺之于夷諱故使若自行至夷遇疾而薨然後齊人以䘮歸也歸在薨前而今在下是加䘮之文也經不言以䘮歸者以本非以䘮歸也傳例曰以者不以者也微旨見矣○見賢徧反
其以歸薨之也	以歸然後殺之
楚人伐鄭○八月公㑹齊侯宋公鄭伯曹伯邾人于檉	檉宋地○檉勑貞反一本作朾音同
九月公敗邾師于偃	偃邾地○敗必邁反下皆同偃于晚反一本作堰同
不日疑戰也疑戰而曰敗勝内也○冬十月壬午公子友帥師敗莒師于麗獲莒挐	麗魯地傳例曰獲者不與之辭○麗力池反挐女居反又女加反
莒無大夫其曰莒挐何也	據非大夫不書
以吾獲之目之也内不言獲	獲者不與之辭主善以内故不言獲
此其言獲何也	據文十一年叔孫得臣敗狄于鹹不言獲長狄
惡公子之紿	紿欺紿也○惡烏路反紿徒乃反
紿者奈何公子友謂莒挐曰吾二人不相說士卒何罪屏左右而相搏公子友處下左右曰孟勞孟勞者魯之寳刀也公子友以殺之然則何以惡乎紿也	據得勝也○說音悦卒子忽反搏音博手搏也勞如字孟勞寳刀名
