春秋榖梁傳文公第六	〇襄王二十六年即位名興
范寗集解元年春王正月公即位繼正即位正也	繼正謂繼正卒也隱去即位以見讓桓書即位示安忍莊閔僖不言即位皆繼弑○去起吕反見賢徧反弑申志反
○二月癸亥日有食之○天王使叔服來㑹葬	諸侯䘮天子使大夫㑹葬禮也傳例曰天子大夫稱字蓋未受采邑故不稱氏字者貴稱故可獨逹也○貴稱尺證反
葬曰㑹	言㑹明非一人之辭
其志重天子之禮也○夏四月丁巳葬我君僖公薨稱公舉上也葬我君接上下也僖公葬而後舉謚謚所以成德也於卒事乎加之矣○天王使毛伯來錫公命	毛采邑伯字也天子上大夫也○錫星歷反采地音菜地本又作邑
禮有受命無來錫命錫命非正也○晉侯伐衛○叔孫得臣如京師○衛人伐晉○秋公孫敖㑹晉侯于戚	禮卿不得㑹公侯春秋尊魯内卿夫夫可以㑹外諸侯戚衛地○戚倉寂反
○冬十月丁未楚丗子商臣弑其君髠	鄭嗣曰啇臣繆王也髠文王之子成王也不言其父而言其君者君之於丗子有父之親有君之尊言丗子所以明其親也言其君所以明其尊也商臣於尊親盡矣○弑其申志反傳同髠苦門反
日髠之卒所以謹商臣之弑也夷狄不言正不正	徐乾曰中國君卒正者例日簒立不正者不日夷狄君卒皆略而不日所以殊夷夏也今書曰謹識商臣之大逆爾不以明髠正與不正○簒𥘉患反夏戸雅反識如字又申志反
〇公孫敖如齊二年春王二月甲子晉侯及秦師戰于彭衙	彭衙秦地○衙音牙
秦師敗績○丁丑作僖公主作爲也爲僖公主也	爲僖公廟作主也主蓋神之所馮依其狀正方穿中央逹四方天子長尺二寸諸侯長一尺○爲僖公廟于僞反馮皮氷反長尺直亮反又如字下同
立主喪主於虞	禮平旦而葬日中反而祭謂之曰虞其主用桑
吉主於練	期而小祥其主用栗
作僖公主譏其後也	僖公薨至此巳十五月
作主壊廟有時日於練焉壞廟壊廟之道昜檐可也改塗可也	禮親過髙祖則毀其廟以次而遷將納新神故示有所加○壞音怪下同檐以占反
○三月乙已及晉處父盟	晉大夫陽處父
不言公處父伉也爲公諱也	諱公與大夫盟去處父氏公親如晉使若與其君盟如經言邾儀父矣不書地者公在晉也莊二十二年秋七月丙申及齊髙傒盟于防不去髙傒氏者公不親如齊不與其君盟於耻差降○伉苦浪反爲公于僞反去處父起吕反下同傒音兮差𥘉賣反又𥘉佳反
何以知其與公盟以其日也何以不言公之如晉所恥也出不書反不致也○夏六月公孫敖㑹宋公陳侯鄭伯晉士榖盟于垂斂	垂斂鄭地○榖戸木反本又作縠九年同斂如字左氏作垂隴
内大夫可以㑹外諸侯○自十有二月不雨至于秋七月	建午之月猶未爲災
