春秋榖梁傳襄公第九	〇襄公名午簡王十四年即位
范寗集解元年春王正月公即位繼正即位正也〇仲孫蔑㑹晉欒黶宋華元衛寗殖曹人莒人邾人滕人薛人圍宋彭城繫彭城於宋者不與魚石正也	魚石得罪於宋成十五年奔楚十八年復入于彭城然則彭城巳屬魚石今猶繫末者崇君抑叛臣也○復扶又反
夏晉韓厥帥師伐鄭○仲孫蔑㑹齊崔杼曹人邾人𣏌人次于鄫	鄫鄭地鄫或爲合○鄫似陵反
〇秋楚公子壬夫帥師侵宋	〇壬而林反
九月辛酉天王崩○邾子來朝	○朝直遥反
○冬衞侯使公孫剽來聘	〇剽匹妙反
○晉侯使荀罃來聘	冬者十月𥘉也王崩赴未至皆未聞䘮故各得行朝聘之禮
二年春王正月葬簡王○鄭師伐宋○夏五月庚寅夫人姜氏薨○六月庚辰鄭伯睔卒	○睔古困反
○晉師宋師衞寗殖侵鄭其曰衞寗殖如是而稱于前事也	𥘉衛侯速卒鄭人侵之故舉寗殖之報以明稱其前事不書晉宋之將以慢其伐人之䘮〇稱于尺證反
○秋七月仲孫蔑㑹晉荀罃宋華元衞孫林父曹人邾人于戚○已丑葬我小君齊姜	齊謚○齊姜如字齊謚也一音側皆反後齊歸同
〇叔孫豹如宋○冬仲孫蔑㑹晉荀罃齊崔杼宋華元衞孫林父曹人邾人滕人薛人小邾人于戚遂城虎牢若言中國焉内鄭也	虎牢鄭邑鄭服罪内之故爲之城不繫虎牢於鄭者如中國之邑也僖二年城楚丘傳曰楚丘者何衞之邑國曰城此邑也其曰城何封衛也然則非魯邑皆不言城中國猶國中也○爲于僞反
〇楚殺其大夫公子申	至皆未聞䘮故各
三年春楚公子嬰齊帥師伐吴○公如晉〇夏四月壬戍公及晉侯盟于長樗	晉侯出其國都與公盟于外地○樗丑居反
公至自晉○六月公㑹單子晉侯宋公衛侯鄭伯莒子邾子齊丗子光己未同盟于雞澤	雞澤地也
同者有同也同外楚也陳侯使袁僑如㑹如㑹外乎㑹也	外乎㑹者明本非㑹内也諸侯巳㑹乃至耳
於㑹受命也戊寅叔孫豹及諸侯之大夫及陳袁僑盟及以及與之也	諸侯在㑹而大夫又盟是大夫執國之權亢君之禮陳君不㑹袁僑受使來盟袁僑之盟得其義也通言叔孫豹及諸侯之大夫則無以表袁僑之得禮故再言及明獨與袁僑不與諸侯之大夫○受使所吏反
諸侯以爲可與則與之不可與則釋之諸侯盟又大夫相與私盟是大夫張也故雞澤之㑹諸侯始失正矣大夫執國權曰袁僑異之也	釋不但揔言及諸侯之大夫而復别言袁僑者是兾袁僑之得禮○復扶又反
