纂圖互註禮記卷第一曲禮上第一	陸德明音義曰本或作曲礼上者後人加也檀弓雜記放此曲礼者是儀礼之舊名委曲說礼之事
禮記	陸曰此記二礼之遺闕故名礼記
鄭氏註曲禮曰母不敬	礼主於敬○陸曰毋音无說文云止之詞其字從女内有一畫象有姦之形禁止之勿令姦古人云母猶今人言莫也案母字與父母字不同俗本多乱讀者皆朱點母字以作无音非也後放此疑者特復音之重意哀公問君子毋不敬也
儼若思	儼矜莊貌人之坐思貌必儼然〇儼魚檢反本亦作嚴同矜莊貌思如字徐息嗣反矜居氷反
安定辭	審言語也易曰言語者君子之樞機〇樞昌朱反
安民哉	此上三句可以安民說曲禮者美之云耳
〇敖不可長欲不可從志不可满樂不可極	四者慢遊之道築封所以自禍〇敕五報反慢也王肅五髙反遨遊也長丁丈反盧植馬融王肅並直良反欲如字從足用反放縱也樂音洛皇侃音岳極如字桀其列反夏主名癸紂直丑反殷主名辛
〇賢者狎而敬之	狎習也近也謂㤔而近之習其所行也月令曰雖有貴戚近習〇狎户甲反音戚本亦作成
畏而愛之	心服曰畏曽子曰吾先子之所畏
愛而知其惡憎而知其善	謂凡與人交不可以己心之愛憎誣人之善惡○誣音无後並同
積而能散	謂己有蓄積見貧窮者則當能散以賙救之若宋楽氏〇蓄勑六反賙音周樂音岳謂宋司城樂喜
安安而能遷	謂己今安此之安圖後有害則當能迁晋咎犯與姜氏酔重耳而行近之○害如字本亦作難乃旦反咎其九反重直龍反
臨財毋苟得	為傷廉也〇爲于偽反下為傷為近皆同
臨難毋苟免	為傷義也〇難乃旦反
狠母求勝分母求多	為傷平也狠䦧也謂爭訟也詩云兄弟䦧於牆〇狠胡懇反勝舒證反分扶問反䦧呼曆反猶闘也
疑事毋質	質成也彼已俱疑而己成言之終不然則傷知〇知音智
直而勿有	直正也己若不疑則當稱師友而正之謙也
○若夫	言若欲為丈夫也春秋傳曰是謂我非夫〇夫方于反丈夫也
坐如尸	視貌正重言坐如尸又玉藻重意坐如尸少儀尸則坐
立如齊	磬且聽也齊謂祭祀時○齊側皆反本亦作齋
禮從宜	事不可常也晉士匄帥師侵齊聞齊侯卒乃還春秋善之〇丐本亦作匄音蓋還音旋
使從俗	亦事不可常也牲幣之属則當從俗所出礼器曰天不生地不飬君子不以爲礼鬼神不饗〇使色吏反幣徐扶丗反饗許两反
〇夫禮者所以定親䟽决嫌疑别同異明是非也禮不妄說人	為近侫媚也君子說之不以其道則不說也〇夫音扶凡發語之端皆然後放此䟽所居反或作踈决徐古穴反嫌户恬反别𬒳列反下同說音悅又始悅反佞徐乃㝎反口才曰佞婿眉忌反意向曰媚
不辭費	為傷信君子先行其言而後従之〇辝本又作詞同說文以詞為言詞之字辝不受也後皆放此費芳味反言而不行為辝費
