纂圖互註禮記卷之六曽子問第七	○陸曰曽子孔子弟子曽參也以其所問多明於禮故著姓名以顕之
禮記鄭氏註曽子問曰君薨而丗子生如之何孔子曰卿大夫士從攝主北靣於西階南	変於朝夕哭位也攝主上卿代君聽國政
大祝禆冕執束帛升自西階盡等不升堂命毋哭	將有事冝清静也禆冕者接神則祭服也諸侯之卿大夫所服禆冕絺冕也玄冕也上服爵弁服大祝禆冕則大夫○大祝音㤗下文注大祝大宰大宗大廟大史皆同此音下之六反說文云祝祭主賛詞者禆婢支反毋音無本亦作无絺知里反本又作希徐張履反
祝聲三告曰某之子生敢告	声噫歆警神也某夫人之氏也○祝之六反下同徐之又反二息暫反又如字下声三及三者三皆放此噫於其反歆許金反警居領反重言祝声三二見下文
升奠幣于殯東几上哭降	几筵於殯東明繼躰也
衆主人卿大夫士房中皆哭不踊	衆主人君之親也房中婦人
盡一哀反位遂朝奠	反朝夕哭位
小宰升舉幣	所主也㪯而下埋之階間
三日衆主人卿大夫士如𥘉位北靣	三日負子日也𥘉告生時
大宰大宗大祝皆禆冕少師奉子以衰祝先子從宰宗人從入門哭者止	宰宗人詔賛君事者○少升召反下少䘮并注同○奉芳勇反下注奉者同衰七雷反下同從才用反下同
子升自西階殯前北靣祝立于殯東南隅祝聲三曰某之子某從執事敢見子拜稽顙哭	奉子者拜哭○見賢遍反下而見伯父廟見旅見同
祝宰宗人衆主人卿大夫士哭踊三者三降東反位皆袒子踊房中亦踊三者三襲衰杖	踊襲衰杖成子禮也
奠出	亦謂朝奠
大宰命祝史以名徧告于五祀山川	因負子名之䘮於禮畧也○徧音遍下同
○曽子問曰如巳葬而丗子生則如之何孔子曰大宰大宗從大祝而告于禰	告生也○禰本又作祢乃禮反重言則如之何五互見前篇
三月乃名于禰以名徧告及社稷宗廟山川○孔子曰諸侯適天子必告于祖奠于禰	皆奠幣以告之互文也
冕而出視朝	聽國事也諸侯朝天子必禆冕爲將庿受也禆冕者公衮侯伯鷩子男毳○朝直遥反生及下同爲于僞反下爲事同衮古本反鷩必列反毳昌銳反
命祝史告于社稷宗廟山川	臨行又徧告宗庿孝敬之心也
乃命國家五官而后行	五官五大夫典事者命者勑之以其職
道而出	祖道也聘礼曰出祖釋軷祭酒脯也〇軷歩末反
告者五日而徧過是非禮也	旣告不敢乆留
凡告用牲幣反亦如之	牲當爲制字之誤也制幣一丈八尺○牲幣依注牲音制
○諸侯相見必告于禰	道近或可以不親告袓
朝服而出視朝	朝服爲事故也
命祝史告于五廟所過山川	山川所不過則不告貶於適天子也
亦命國家五官道而出反必親告于祖禰乃命祝史告至于前所告者而后聽朝而入	反必親告祖祢同出入礼
○曾子問曰並有䘮如之何何先何後	並謂父母若親同者同月死
孔子曰葬先輕而後重其奠也先重而後輕禮也自啓及葬不奠	不奠務於當葬者
行葬不哀次	不哀次䡖於在殯者
反葬奠而后辭於殯遂脩葬事	殯當爲賔声之誤也辝於賔謂告將葬啓期也○殯音賔出注
其虞也先重而後輕禮也○孔子曰宗子雖七十無無主婦	族人之婦不可無統
非宗子雖無主婦可也○曾子問曰將冠子冠者至揖譲而入聞齊衰大功之䘮如之何	冠者賔及賛者○冠古乱反下及注皆同
孔子曰内䘮則廢外䘮則冠而不醴徹饌而埽即位而哭如冠者未至則廢	内䘮同門也不醴不醴子也其廢者䘮成服因䘮而冠○饌仕恋反埽悉報反重言即位而哭二下文一奔䘮一
○如將冠子而未及期日而有齊衰大功小功之䘮則因䘮服而冠	廢吉礼而因䘮冠俱成人之服及至也
除䘮不改冠乎孔子曰天子賜諸侯大夫冕弁服於大廟歸設奠服賜服於斯乎有冠醮無冠醴	酒爲醮冠礼醴重而醮䡖此服賜服酌用酒尊賜也不醴明不爲改冠改冠當醴之醮子妙反○酌而無献酬曰醮
父没而冠則巳冠埽地而登於禰巳祭而見伯父叔父而后饗冠者	饗謂礼之
○曽子問曰祭如之何則不行旅酬之事矣孔子曰聞之小祥者主人練祭而不旅奠酬於賔賔弗舉禮也	奠無尸虞不致爵小祥不旅酬大祥無無筭爵弥吉
昔者魯昭公練而舉酬行旅非禮也孝公大祥奠酬弗舉亦非禮也	孝公隠公之祖父重言非禮也亦非禮也並重見曲禮第一
○曽子問曰大功之䘮可以與於饋奠之事乎	饋奠在殯時也○與音預下至說衰與奠皆同
孔子曰豈大功耳自斬衰以下皆可禮也曽子曰不以輕服而重相爲乎	恠以重服而爲人執事○爲于僞反注爲人其所爲服爲君爲其皆同
孔子曰非此之謂也	非謂爲人謂於其所爲服也
天子諸侯之䘮斬衰者奠	爲君服者皆斬衰唯主人不奠
大夫齊衰者奠	服斬衰者不奠辟正君也齊衰者其兄弟○辟音避下同
士則朋友奠不足則取於大功以下者不足則反之	服齊衰者不奠辟大夫也言不足者謂殷奠時○士則朋友一本作士則朋友奠
〇曽子問曰小功可以與於祭乎	祭謂虞卒哭時
孔子曰何必小功耳自斬衰以下與祭禮也曽子曰不以輕䘮而重祭乎	恠使重者執事
孔子曰天子諸侯之䘮祭也不斬衰者不與祭大夫齊衰者與祭士祭不足則取於兄弟大功以下者○曽子問曰相識有䘮服可以與於祭乎	問已有䘮服可以助所識者祭否
孔子曰緦不祭又何助於人○曽子問曰廢䘮服可以與於饋奠之事乎	謂新除䘮服也
孔子曰說衰與奠非禮也	執事於人之神爲其忘哀疾也○說湯活反
以擯相可也○曽子問曰昏禮旣納幣有吉日女之父母死則如之何	吉日取女之吉日○相息亮反取七住反本亦作娶下文取婦取女同
孔子曰壻使人弔如壻之父母死則女之家亦使人弔	必使人弔者未成兄弟
父䘮稱父母䘮稱母	禮冝各以其敵者也父使人弔之辝云某子聞某之䘮某子使某如何不淑母則若云宋蕩伯姬聞姜氏之䘮伯姬使某如何不淑凡弔辝一耳
父母不在則稱伯父丗母	弔禮不可廢也伯父母又不在則稱叔父母
壻巳葬壻之伯父致命女氏曰某之子有父母之䘮不得嗣爲兄弟使某致命女氏許諾而弗敢嫁禮也	必致命者不敢以累年之䘮使人失嘉㑹之時○累力弭反
壻免䘮女之父母使人請壻弗取而后嫁之禮也	請請成婚
女之父母死壻亦如之	女免䘮壻之父母亦使人請其巳葬時亦致命
○曽子問曰親迎女在塗而壻之父母死如之何孔子曰女改服布深衣縞緫以趨䘮	布深衣縞緫婦人始䘮未成服之服○迎魚敬反下同縞古老反緫音揔
女在塗而女之父母死則女反	奔䘮服期○期居冝反下同
如壻親迎女未至而有齊衰大功之䘮則如之何孔子曰男不入改服於外次女入改服於内次然後即位而哭	不聞䘮即改服者昏禮重於齊衰以下
曽子問曰除䘮則不復昏禮乎	復猶償也○償音尚
孔子曰祭過時不祭禮也又何反於𥘉	重喻輕也同牢及饋饗相飲食之道○過古卧反飲於鴆反食音寺
孔子曰嫁女之家三夜不息燭思相離也	親骨肉也○離力智反
取婦之家三日不舉樂思嗣親也	重丗變也重意取婦之家三日不㪯樂郊特牲昏礼不㪯檀弓上忌日不樂祭統三十六齊者不樂
三月而廟見稱來婦也擇日而祭於禰成婦之義也	謂舅姑沒者也必祭成婦義者婦有供養之礼猶舅姑存時盥饋特豚於室○供九用反養羊尚反盥饋音管下其位反
○曽子問曰女未廟見而死則如之何孔子曰不遷於祖不祔於皇姑壻不杖不菲不次歸葬于女氏之黨示未成婦也	迁朝廟也壻雖不備䘮礼猶爲之服齊衰也○菲一本作扉扶畏反草履朝直遥反爲于僞反下爲庶母爲其下文君爲皆同
○曽子問曰取女有吉日而女死如之何孔子曰壻齊衰而弔旣葬而除之夫死亦如之	未有期三年之恩也女服斬衰
