文王丗子第八	○陸曰文王周文王昌也鄭云以其善爲丗子之礼故著謚號標篇言可法也
禮記鄭氏註文王之爲丗子朝於王季日三	三皆曰朝以其礼同○朝直遥反三如字又息暫反
雞初鳴而衣服至於寢門外問内豎之御者曰今日安否何如	内豎小臣之属掌外内之通命者御如今小史直日矣〇衣徐於旣反又如字豎上上反重言雞𥘉鳴而衣服内則十二雞𥘉鳴
内豎曰安文王乃喜	孝子恒兢兢
及日中又至亦如之	又復也○復扶又反
及莫又至亦如之	莫夕也○莫音暮注及篇末皆同
其有不安節則内豎以告文王文王色憂行不能正履	節謂居処故事履蹈地也○蹈徒報反
王季復膳	飲食安也
然後亦復初	憂解○解胡買反重言然後亦復𥘉三篇
食上必在視寒煖之節	在察也○上時掌反煖乃管反徐况煩反
食下問所膳	問所食者
命膳宰曰末有原應曰諾然後退	未猶勿也原再也勿有所再進爲其失飪臭味惡也退反其寢○未亡葛反應應對之應爲于僞反飪而審反生熟之節重意至於寢門外止然後退見卷末
武王帥而行之不敢有加焉	庶幾程式之帥循也
文王有疾武王不說冠帶而養	言常在側○稅本亦作晚又作說同音他活反養羊尚反
文王一飯亦一飯文王再飯亦再飯	欲知氣力箴藥所勝○一本亦作一飯扶晚反下及篇未皆同箴本亦作諴之林反勝音升重意篇未甞饌膳則丗子亦能食甞饌寡則丗子亦不能飽
旬有二日乃間	間猶瘳也○瘳五由反差也
文王謂武王曰女何夢矣	間後容卧〇女音汝後同
武王對曰夢帝與我九齡	帝天也○聆音零本或作齡
文王曰女以爲何也武王曰西方有九國焉君王其終撫諸	撫猶有也言君王則此受命之後也
文王曰非也古者謂年齡齒亦齡也我百爾九十吾與爾三焉	年天氣也齒人壽之数也九齡九十年之祥也文王以勤憂損夀武王以安樂延年言与尓三者明傳業於女女受而成之○壽音受後同樂音洛予尓羊汝反傳直專反
文王九十七乃終武王九十三而終	君子曰終終其成功
成王㓜不能涖阼	涖視也不能視阼階行人君之事○涖音吏又音類下同涖視本或作涖臨也重言二下大一明堂十四篇成王幼弱
