禮運第九	○陸曰鄭云禮運者以其記五帝三王相変易及隂陽轉旋之道
禮記鄭氏註昔者仲尼與於蜡賔	蜡者索也歲十二月合聚萬物而索饗之亦祭宗廟時孔子仕魯在助祭之中○與音預蜡仕嫁反祭名夏曰清祀殷曰嘉平周曰蜡秦曰蠟字林作䄍索所百反
事畢岀遊於觀之上喟然而嘆	覲闕也孔子見魯君於祭禮有不備於此又覩象魏舊章之處感而嘆之○觀古亂反注同喟去媿反又苦恠反說文云大息處昌慮反下同處同
仲尼之嘆蓋嘆魯也言偃在側曰君子何嘆	言偃孔子弟子子游
孔子曰大道之行也與三代之英丘未之逮也而有志焉	大道謂五帝時也英俊選之尤者逮及也言不及見志謂識古文不言魯事爲其大切廣言之○逮音代一音代計反選宣靣反下文皆同爲于僞反下文爲已皆同
大道之行也天下爲公選賢與能講信脩睦	公猶共也禪位授聖不家之睦親也○禪善靣反重言講信脩睦四下文三
故人不獨親其親不獨子其子	孝慈之道廣也
使老有所終壯有所用㓜有所長矜寡孤獨廢疾者皆有所養	無匱乏也○長丁丈反矜古頑反匱其魏反
男有分	分猶職也○分扶問反注同
女有歸	皆得良奥之家○奥烏報反
貨惡其弃於地也不必藏於巳力惡其不出於身也不必爲巳	勞事不憚施無吝心仁厚之教也○惡烏故反下同憚大旦反吝力刄反又力覲反
是故謀閉而不興盗竊亂賊而不作	尚辭譲之故也
故外户而不閉	禦風氣而巳○禦魚吕反
是謂大同	同猶和也平也
今大道旣隱	隱猶去也
天下爲家	傳位於子○傳丈專反重意下文聖人耐以天下爲一家
各親其親各子其子貨力爲巳	俗狹嗇○狹音洽嗇音色
大人丗及以爲禮城郭溝池以爲固	亂賊繁多爲此以服之也大人諸侯也
禮義以爲紀以正君臣以篤父子以睦兄弟以和夫婦以設制度以立田里以賢男知以功爲巳故謀用是作而兵由此起	以其違大道敦朴之本也教令之稠其弊則然老子曰法令滋章盗賊多有○知音智朴普角反稠直由反重言以正君臣以篤父子以睦兄弟二下一以正君臣四下文冠義聘義各一
禹湯文武成王周公由此其選也	由用也能用禮義以成治○治直吏反
此六君子者未有不謹於禮者也以著其義以考其信著有過刑仁講讓示民有常	考成也刑猶則也
如有不由此者在埶者去衆以爲殃	埶埶位也去罪退之也殃猶禍惡也○埶音丗本亦作勢去羌吕反注同殃於良反
是謂小康	康安也大道之人以禮於忠信爲薄言小安者失之則賊亂將作矣
〇言偃復問曰如此乎禮之急也孔子曰夫禮先王以承天之道以治人之情故失之者死得之者生詩曰相䑕有體人而無禮人而無禮胡不遄死	相視也遄疾也言䑕之有身躰如人而無禮者矣人之無禮可憎賤如䑕不如疾死之愈○復扶又反下復問同相息亮反注同遄市專反重意夫禮失之者死得之者生曲禮上有禮則安無禮則危
是故夫禮必本於天殽於地列於鬼神	聖人則天之明因地之利取法度於鬼神以制禮下教令也旣又祀之盡其敬也教民嚴上也鬼者精魂所歸神者引物而出謂祖廟山川五祀之屬也○殽戸教反法也徐户交反重言夫禮必本於天三二見下文
逹於䘮祭射御冠昏朝聘	民知嚴上則此禮逹於下也○冠古亂反朝直遥反
故聖人以禮示之故天下國家可得而正也	民知禮則易教○易以䜴反
○言偃復問曰夫子之極言禮也可得而聞與	欲知禮終始所成○極如字徐紀力反與音餘
孔子曰我欲觀夏道	欲行其禮觀其所成
是故之𣏌	杞夏后氏之後也
而不足徴也	徴成也無賢君不足與成也
吾得夏時焉	得夏四時之書也其書存者有小正○有小正音征本或作有夏小正
我欲觀殷道是故之宋而不足徴也	宋殷人之後也
吾得坤乾焉	得殷隂陽之書也其書存者有歸藏○坤苦門反乾其連反
坤乾之義夏時之等吾以是觀之	觀於二書之意
互註	語八佾篇夏禮吾能言之𣏌不足徴也殷禮吾能言之宋不足徴也文獻不足故也足則吾能徴之矣
○夫禮之𥘉始諸飲食其燔黍捭豚汙尊而抔飲蕢桴而土鼔猶若可以致其敬於鬼神	言其物雖質畧有齊敬之心則可以薦羞於鬼神鬼神饗德不饗味也中古未有釡甑釋米捭肉加於燒石之上而食之耳今北狄猶然汙尊鑿地爲尊也抔飲手掬之也蕢讀爲由声之誤也由堛也謂搏土爲桴也土鼔築土爲鼔也○燔音煩捭卜麥反注作擗又作擘皆同汙尊烏華反注同一音作烏抔歩侯反蕢依注音由苦對反又苦恠反土塊也桴音浮鼓槌齊側皆反釡本又作鬴音父甑即孕反燒如字又舒照反鑿在洛反掬九六反本亦作􁀋音蒲侯反堛普逼反搏徒端反築徐音竹重言蕢桴而士鼓玉藻十三篇土鼓蕢桴
及其死也升屋而號告曰皐某復	招之於天○號户毛反皐音羔
然後飯腥而苴孰	飯以稻米上古未有火化苴孰取遣奠有火利也苴或爲俎○飯扶晚反注同腥音星苴子餘反苞也徐争𥘉反遣弃戰反
故天望而地藏也體魄則降知氣在上	地藏謂葬○知音智
故死者北首	首隂也○首手又反注同
生者南郷	郷陽也〇郷許亮反注同
皆從其𥘉	謂今行之然也
○昔者先王未有宫室冬則居營窟夏則居橧巢	寒則累土暑則聚薪柴居其上○窟苦忍反橧本又作増又作曽同則登反樔本又作巢助交反
互註	孟滕文下當堯之時水逆行汜濫於中國民無所定下者爲巢上者爲營窟
未有火化	食腥也
食草木之實鳥獸之肉飲其血茹其毛未有麻絲衣其羽皮	此上古之時也○茹音汝衣於旣反
○後聖有作	作起
然後脩火之利	孰洽萬物
范金	鑄作器用〇鑄之樹反
合土	瓦瓴甓及甒大〇合如字徐音閤令音零甓歩歷反甒音武大音泰甒大皆樽名
