郊特牲第十一	○陸曰鄭云以其記祭天用騂犢之義也郊者祭夫之名用牛故曰特牲
禮記鄭氏註郊特牲而社稷大牢天子適諸侯諸侯膳用犢諸侯適天子天子賜之禮大牢貴誠之義也故天子牲孕弗食也祭帝弗用也	犢者誠慤未有牝牡之情是以小爲貴也孕任子也易曰婦孕不育○膳市戦反犢音獨孕餘證反慤苦角反重言天子適諸侯諸侯膳用犢二一見禮器第十用作以字又天子適諸侯見礼運
大路繁纓一就先路三就次路五就	此因小說以少爲貴者礼器言次路七就与此乖字之誤也○繁步干反重言大路繁纓一就三一見前篇礼噐
郊血大饗腥三獻爓一獻孰至敬不饗味而貴氣臭也	血腥爓祭用氣○爓本亦夕廉反〇重言郊血大饗腥三献爓一献孰二見下篇礼器
諸侯爲賔灌用欝鬯灌用臭也大饗尚睱脩而巳矣	亦不饗味也此大饗饗諸侯也○灌本又作祼古喚反暇脩丁喚反鍜脯加薑桂曰暇脩重言灌用欝鬯三前見礼噐第
十○大饗君三重席而酢焉	言諸侯相饗献酢礼敵也〇重直龍反下注同酢才各反
三獻之介君專而酢焉此降尊以就卑也	三献卿大夫來聘主君饗燕之以介爲賔賔爲苟敬則徹重席而受酢也專猶單也○介音界注同單音丹下文注同
饗禘有樂而食嘗無樂隂陽之義也凡飲養陽氣也凡食養隂氣也故春禘而秋嘗春饗孤子秋食耆老其義一也而食嘗無樂	言義同而或用樂或不用樂也此禘當爲禴字之誤也王制曰春禴夏禘○饗禘音藥下春禘同食音嗣夏户嫁反重言隂陽之義也三並見本篇其義一也四一見下文樂記十九篇祭義二十四各一
互註	春禘而秋嘗王制夏曰禘秋曰嘗祭法春禘秋嘗
飲養陽氣也故有樂食養隂氣也故無聲凡聲陽也○鼎爼竒而籩豆偶隂陽之義也籩豆之實水土之品也	水土之品言非人常所食○竒居冝反下鼎爼竒同重言鼎爼竒而籩豆偶隂陽之義也二一見下文
不敢用䙝味而貴多品所以交於旦明之義也	旦當爲神篆字之誤也○䙝息列反旦音神出注篆直轉反重言所以交於神明之義也二下文一又雜記交於神明之道也
○賔入大門而奏肆夏示易以敬也	賔朝聘者易和恱也○易以豉反注同朝直遥反下文注朝覲朝服皆同
卒爵而樂闋孔子屢歎之	美此礼也○闋苦穴反止也婁力住反本又作屢
奠酬而工升歌發德也	以詩之義發明賔主之德
歌者在上匏竹在下貴人聲也	匏笙也○匏步文反竹箎笛也
樂由陽來者也禮由隂作者也隂陽和而萬物得	得得其所
○旅幣無方所以别土地之宜而節逺邇之期也	旅衆也迩近也○别彼列反下注無别同
龜爲前列先知也以鐘次之以和居參之也	鐘金也献金爲作噐鐘其大者以金參居庭實之間示和也○爲作于僞反下文爲君同重言龜爲前列先知也二一見礼噐第十
虎豹之皮示服猛也束帛加璧徃德也○庭燎之百由齊桓公始也	僣天子也庭燎之差公盖五十侯伯子男皆三十○往皇如字徐于况反燎力妙反徐力弔反僣子念反後同
大夫之奏肆夏也由趙文子始也	僣諸侯趙文子晉大夫名武
朝覲大夫之私覿非禮也大夫執圭而使所以申信也	其君親來其臣不敢私見於主囯君也以君命聘則有私見○覿大歷反下同使色吏反見賢遍反下同
不敢私覿所以致敬也而庭實私覿何爲乎諸侯之庭	非其與君無别重言所以致敬也四下文郷飲酒聘義
爲人臣者無外交不敢貳君也	私覿是外交也
○大夫而饗君非禮也	其饗君由強且冨也
大夫強而君弑之義也由三桓始也	三桓魯桓公之子莊公之弟公子慶父公子牙公子友慶父与牙通於夫人以脅公季友以君命鴆牙後慶父弑二君又死也○慶父音甫鴆直䕃反弑音試
天子無客禮莫敢爲主焉君適其臣升自阼階不敢有其室也	明饗君非禮也○升自阼才路反本又作升自阼階
覲禮天子不下堂而見諸侯	正君臣也
下堂而見諸侯天子之失禮也由夷王以下	夷王周康王之玄孫之子也時微弱不敢自尊於諸侯
○諸侯之宫縣而祭以白牡擊玉磬朱干設錫冕而舞大武乗大路諸侯之僣禮也	言此皆天子之礼也宫縣四靣縣也干盾也錫傳其背如龜也武万舞也白牡大路殷天子礼也○縣音玄注及下同錫音陽注同盾本亦作楯純尹反又音尹傳音附背𥙷佩反重言朱干設錫冕而舞大武二一見明堂十四篇設錫作玉戚
臺門而旅樹反坫繡黼丹朱中衣大夫之僭禮也	言此皆諸侯之禮也旅道也屏謂之樹樹所以蔽行道管氏樹塞門塞猶蔽也禮天子外屏諸侯内屏大夫以簾士以帷反坫反爵之坫也盖在尊南兩君相見主君旣献於反爵焉繍黼丹朱以爲中衣領縁也繍讀爲綃綃繒名也詩云素衣朱綃又云素衣朱襮襮黼領也○坫丁念反繡依注作綃音消注或作綃亦同黼音甫簾音廉於反爵焉本或作賔反爵焉非縁移絹反繒似陵反襮音愽
故天子微諸侯僣大夫強諸侯脅於此相貴以等相覿以貨相賂以利而天下之禮亂矣	言僣所由
諸侯不敢祖天子大夫不敢祖諸侯而公廟之設於私家非禮也由三桓始也	言仲孫叔孫季孫氏皆立桓公廟魯以周公之故立文王廟三家見而僣焉
○天子存二代之後猶尊賢也尊賢不過二代	過之逺難法也二或爲三○過古卧反
○諸侯不臣寓公故古者寓公不繼丗	寓寄也寄公之子非賢者丗不足尊也寓或爲託也○寓音遇
○君之南郷荅陽之義也臣之北面荅君也	荅對也○郷許亮反下君南郷同
○大夫之臣不稽首非尊家臣以辟君也	辟國君也○辟音避注同
