明堂位第十四	○陸日鄭云以其記諸侯朝周公於明堂所陳列之位
鄭氏註昔者周公朝諸侯于明堂之位	周公攝王位以明堂之礼儀朝諸侯也不於宗廟辟王也○朝直遥反注及下皆同辟王音避一本作辟正王
天子負斧依南郷而立	天子周公也負之言背也斧依爲斧文屏風於户牖之間周公於前立焉○斧音甫依本又作扆同於豈反注同郷許亮反偕本又作背音倍屏並經反牖音酉重意曲礼下天子當位而立
三公中階之前北靣東上諸侯之位阼階之東西靣北上諸侯之國西階之西東靣北上諸子之國門東北靣東上諸男之國門西北靣東上九夷之國東門之外西靣北上八蠻之國南門之外北靣東上六戎之國西門之外東靣南上五狄之國北門之外南靣東上九采之國應門之外北靣東上四塞丗告至此周公明堂之位也	朝之礼不於此周公權用之也朝位之上上近主位尊也九采九州之牧典貢聀者也正門謂之應門二伯帥諸侯而入牧居外而紏察之也四塞謂夷服鎮服蕃服在四方爲蔽塞者新君即位則乃朝周礼侯服歲一見旬服二嵗一見男服三嵗一見采服四歲一見衛服五歲一見要服六嵗一見九州之外謂之蕃囯丗一見○采七在反塞先代反注同又先則反此周公明堂之位也本或无周公之字近附近之近藩本又作蕃方元反下同壹見壹又作一下賢遍反下同要一遥反
○明堂也者明諸侯之尊卑也	朝於此所以正儀辨等也
昔殷紂亂天下脯鬼侯以饗諸侯	以人肉爲薦羞惡之甚也○紂直九反
是以周公相武王以伐紂武王崩成王㓜弱周公踐天子之位以治天下六年朝諸侯於明堂制禮作樂頒度量而天下大服	踐猶履也頒讀爲班度謂文尺髙卑廣㣣也量謂豆區斗斛筐筥所容受○相息亮反頌音班量徐音亮注同區烏侯反筐音匡筥純吕反重意成王㓜弱周公踐天子之位以治天下文王丗子八成王㓜不能涖阼周公相踐祚而洽
七年致政於成王成王以周公爲有勲勞於天下	致政以王事㱕授之王功曰勲事功日勞
是以封周公於曲阜地方七百里革車千乗	曲阜魯地上公之封地方五百里加鲁以四等之附庸方百里者二十四井五五二十五積四十九開方之得七百里革車兵車也兵車千乗成囯之賦也詩鲁頌曰王謂叔父建尔元子俾侯于鲁大啓尔宇爲周室輔乃命鲁公俾侯于東錫之山川土田附庸又曰公車千乗朱英緑縢○乗䋲證反注同卑必尔反本又作俾下同縢大登反
命魯公丗丗祀周公以天子之禮樂	同之於周尊之也鲁公謂伯禽
是以魯君孟春乗大路載弧韣旂十有二旒日月之章祀帝于郊配以后稷天子之禮也	孟春建子之月鲁之始郊日以至大路殷之祭天車也弧旌旗所以張幅也其衣曰䪅天子之旌旗畫日月帝謂蒼帝靈威仰也昊天上帝魯不祭○載音戴弧音胡韣音獨弓衣也旂其依反本又作旗音其旒本又作斿力求反重意旂十有二旒二一見郊特牲日月之章郊特牲龍章而設日月
○季夏六月以禘禮祀周公於大廟牲用白牡尊用犧象山罍鬰尊用黄目灌用玉瓉大圭薦用玉豆雕篹爵用玉琖仍雕加以璧散璧角爼用梡嶡升歌清廟下管象朱干玉戚冕而舞大武皮弁素積禓而舞大夏昧東夷之樂也任南蠻之樂也納夷蠻之樂於大廟言廣魯於天下也	季夏建巳之月也禘大祭也周公日大廟鲁公曰丗室羣公称宫白牡殷牲也尊酒器也犧尊以沙羽爲畫飾象骨飾之欎鬯之器也黄彛也灌酌欎尊以献也瓉形如槃容五升以大圭爲柄是謂圭瓉篹籩属也以竹爲之雕刻飾其直者也爵君所進於尸也仍因也因爵之形爲之飾也加加爵也散角皆以璧飾其口也梡始有四足也嶡爲之距清廟周頌也象謂周頌武也以管播之朱干赤大盾也戚斧也冕冠名也諸公之服自衮冕而下如王之服也大武周舞也大夏夏舞也周礼昧師掌教昧樂詩曰以雅以南以籥不僣廣大也○季夏户嫁反注及下季夏夏𥘉皆同禘大計反大廟音㤗後大廟皆同犧象素何反注下皆同罍音雷灌古亂反瓉才旦反圭瓉也彫本亦作雕篹息緩反又祖管反琖側眼反夏爵名用玉飾之散先旦反注同梡苦管反虞爼名嶡居衛反又作厥音同夏爼名禓星暦反昧音妺任而林反或而鴆反沙素何反彛音夷直如字柄也盾字又作揗常凖反又音允卷本又作衮同音古本反下文同僣七尋反又則念反○重言升歌清廟下管象朱干玉戚冕而舞大武二一見祭義二十五篇第二句作下而象管第四句作以舞大武又仲尼燕居有上二句郊特牲云朱干設錫冕而舞大武○皮弁素積郊特牲三王皮弁素積祭義君皮弁素積
○君卷冕立于阼夫人副禕立于房中君肉袒迎牲于門夫人薦豆籩卿大夫贊君命婦贊夫人各揚其職百官廢職服大刑而天下大服	副首飾也今之歩揺是也詩云副笄六珈周礼追師掌王后之首服爲副禕王后之上服唯魯及王者之後夫人服之諸侯夫人則自揄翟而下賛佐也命婦於内則丗婦也於外則大夫之妻也祭祀丗婦以下佐夫人掦㪯也大刑重罪也天下大服知周公之徳冝饗此也○禕音輝注同袒音誕揺本又作繇同以昭反珈音加追丁回反揄羊昭反重言君卷冕立于阼夫人副禕立于房中一二見祭統篇卷冕作純冕純音緇房中作東房○夫人薦豆籩祭統夫人薦豆
○是故夏礿秋甞冬烝春社秋省而遂大蜡天子之祭也	不言春祠魯在東方主東巡守以春或闕之省讀爲狝狝秋田名也春田祭社秋田祀祊大蜡歲十二月索鬼神而祭之○礿音藥省讀爲狝仙淺反蜡仕嫁反守手又反祊音方又作方索所白反
○大廟天子明堂庫門天子皐門雉門天子應門	言廟及門如天子之制也天子五門皐庫雉應路鲁有庫雉路則諸侯三門与皐之言髙也詩云乃立皐門皐門有伉乃立應門應門將將○与音餘伉若浪反將將七良反
○振木鐸於朝天子之政也	天子將發号令必以木鐸警衆○鐸大各反警京領反
○山節藻梲復廟重檐刮楹逹郷反玷岀尊崇坫康圭䟽屏天子之廟飾也	山節刻欂盧爲山也藻梲畫侏儒柱爲藻文也復廟重屋也重檐重承璧材也刮刮摩也郷牖属謂夾户䆫也毎室八䆫爲四逹反坫反爵之坫也岀尊當尊南也唯两君爲好旣献反爵於其上礼君尊于两楹之間崇髙也康讀爲亢龍之亢又爲髙坫亢所受圭奠干上焉屏謂之樹今桴思也刻之爲雲氣蠱獸如今闕上爲之矣○藻本又作繰音早梲專悅反復音福注同重直龍反注同檐以占反刮古八反郷許亮反注同坫丁念反康音抗苦浪反欂音博又皮麥反一音旁各反徐又薄歴反字林平碧反盧如字本又作攎音同侏音朱劘莫何反爲好呼報反桴思音浮重言山節藻梲礼器雜記下各一
○鸞車有虞氏之路也鉤車夏后氏之路也大路殷路也乗路周路也	鵉有鵉和也鉤有曲輿者也大路木路也乗路玉路也漢祭天乗殷之路也今謂之桑根車也春秋傳曰大路素鵉或爲栾也○鉤古侯反乗徐食證反注同栾力丸反
○有虞氏之旂夏后氏之綏殷之大白周之大赤	四者旌旗之属也綏當爲緌讀如冠㽔之㽔有虞氏當言緌夏后氏當言旂此盖錯誤也緌謂注旄牛尾於杠首所謂大麾書云武王左杖黄鉞右秉白旄以麾周礼王建大旂以賔建大赤以朝建大白以即戎建大麾以田也○綏依注爲緌耳佳反注之樹反旄音毛杠音江麾毀皮反左仗直亮反鉞音越
○夏后氏駱馬黒鬣殷人白馬黒首周人黃馬蕃鬣〇夏后氏牲尚黒殷白牡周騂剛	順正色也白馬黒鬣曰駱殷黒首爲純白凶也騂剛赤色○駱音洛鬣力輒反蕃鬣字又作畨音煩郭璞云两𬒳髮騂息營反又呼營反正音征又如字爲于僞反
○泰有虞氏之尊也山罍夏后氏之尊也著殷尊也犧象周尊也	泰用瓦著著地无足○大音泰本亦作泰著直畧反注同
○爵夏后氏以琖殷以斝周以爵	斝畫禾榢也詩曰洗爵奠斝○斝音嫁又古雅反注同
灌尊夏后氏以雞夷殷以斝周以黃目○其勺夏后氏以龍勺殷以䟽勺周以蒲勺	夷讀爲彛周礼春祠夏禴祼用雞彛鳥彛秋甞冬烝祼用斝彛黄彛龍龍頭也䟽通刻其頭蒲合蒲如鳬頭也○勺而灼反下同禴音樂祼古乱反重意周以黄目郊特牲黄目欎氣之上尊也
○土鼔簣桴葦籥伊耆氏之樂也	簣當爲由声之誤也籥如笛三孔伊耆氏古天子有天下之號也今有姓伊耆氏者○簣讀爲由苦對反桴音浮葦于鬼反籥音薬蕢其位反又苦恠反笛本又作遂音狄重意士鼔蕢桴礼運第九蕢桴而士鼔
拊搏玉磬揩擊大琴大瑟中琴小瑟四代之樂器也	拊搏以韋爲之充之以穅形如小鼔楷擊謂柷敔皆所以節樂者也四代虞夏殷周也○拊芳甫反搏音博措居八反注同大琴徐本作瑟穅音康柷昌六反敔魚吕反本又作圉
○魯公之廟文丗室也武公之廟武丗室也	此二廟象周有文王武王之廟也丗室者不毀之名也鲁公伯禽也武公伯禽之玄孫也名敖
○米廩有虞氏之庠也序夏后氏之序也瞽宗殷學也頖宫周學也	庠序亦斈也庠之言詳也於以考礼詳事也曽謂之米廩虞帝上孝今藏粢盛之委焉序次序王事也瞽宗樂師瞽矇之所宗也古者有道徳者使教焉死則以爲樂祖於此祭之頖之言班也於以班政教也○廩力甚反頖音判委干僞反又作積丁賜反矇音蒙
〇崇鼎貫鼎大璜封父龜天子之器也	崇貫封父皆囯名文王伐崇古者伐囯迁其重器以分同姓大璜夏后氏之璜春秋傳曰分鲁公以夏后氏之璜○貫古喚反璜音黄父音甫注同分鲁扶問反
越棘大弓天子之戎器也	越囯名也棘㦸也春秋傳曰子都拔棘
○夏后氏之鼔足殷楹鼓周縣鼔	足謂四足也楹謂之柱貫中上岀也縣縣之簨虡也殷頌曰植我鼗鼔周頌曰應朄縣鼔○縣音玄注及下注同簨本作筍恤尹反虡音巨植市力反又音置徐音徒吏反又徒力反鼗音桃應應對之應朄音㣧
○垂之和鐘叔之離磬女蝸之笙簧	垂堯之共工也女媧三皇承宓羲者叔未聞也和離謂次序其声縣也笙簧笙中之簧也丗本作曰垂作鍾无句作磬女蝸作笙簧○鐘章凶反說文作鍾以此鍾爲酒器字林之用反媧徐古蛙反又古華反共音㳟宓音密本又作虙音伏戯音羲句其俱反字又作劬
○夏后氏之龍簨虡殷之崇牙周之璧翣	簨虡所以縣鐘磬也横曰簨飾之以鱗属植曰虡飾之以臝属羽属簨以大版爲之謂之業殷又於龍上刻畫之爲重牙以挂縣紘也周又畫繒爲翣戴以璧垂五采羽於其下樹於簨之角上飾弥多也周頌曰設業設虡崇牙樹羽○翣所甲反又作菨植市力反徐徒力反臝力果反重直龍反掛音掛絃徐音宏載以音戴重言殷之崇牙周之璧翣二下文一
〇有虞之兩敦夏后氏之四璉殷之六瑚周之八簋	皆黍稷器制之異同未聞○敦音對又都雷反連本又作璉同力展反瑚音胡簋音軌
〇爼有虞氏以梡夏后氏以嶡殷以椇周以房爼	梡断木爲四足而巳嶡之言蹷也謂中足爲横距之象周礼謂之距椇之言枳椇也謂曲橈之也房謂足下跗也上下两間有似於堂房鲁頌曰籩豆大房○椇俱甫反断丁乱反又丁管反蹷俱衛反横古矌反又音光又華盲反枳吉氏反橈音優跗方于反
○夏后氏以楬豆殷玉豆周獻豆	楬无異物之飾也献䟽刻之斉人謂无髮爲秃楬○楬徐苦瞎反注同又苦八反献素何反秃土木反
○有虞氏服韍夏后氏山殷火周龍章	韍冕服之韠也舜始作之以尊祭服禹湯至周増以畫文後王弥飾也山取其仁可仰也火取其明也龍取其変化也天子備焉諸侯火而下卿大夫山士韎韋而巳韍或作黻○黻音弗韎莫拜反
○有虞氏祭首夏后氏祭心殷祭肝周祭肺	氣主盛也
○夏后氏尚明水殷尚醴周尚酒	此皆其時之用耳言尚非
○有虞氏官五十夏后氏官百殷二百周三百	周之六卿其属各六十則周三百六十官也此云三百者記時冬官亡矣昏義曰天子立六官三公九卿二十七大夫八十一元士凡百二十盖謂夏時也以夏周推前後之差有虞氏官冝六十夏后氏冝百二十殷冝二百四十不得如此記也
有虞氏之綏夏后氏之綢練殷之崇牙周之璧翣	綏亦旌旗之緌也夏綢其杠以練爲之旒殷又刻繒爲重牙以飾其側亦飾弥多也湯以武受命恒以牙爲飾也此旌旗及翣皆䘮葬之飾周礼大䘮葬巾車執盖從車持旌御僕持翣旌從遣車翣夾柩路左右前後天子八翣皆戴璧垂羽諸侯六翣皆戴圭大夫四翣土二翣皆戴緌孔子之䘮公西赤爲志亦用此焉尔雅說旌旗曰素錦綢杠纁白縿素升龍於縿練旒九○綏耳佳反注並同綢吐趯反注同徐音籌從才用反下同遣弃戦反夾古洽反柩其乆反重字又作纁香云反縿所衘反重意夏后至璧翣檀弓上飾棺置翣設崇殷也綢練夏也
凡四代之服器官魯兼用之是故魯王禮也天下傳之乆矣君臣未嘗相弑也禮樂刑法政俗未嘗相變也天下以爲有道之國是故天下資禮樂焉	王礼天子之礼也傳傳丗也資取也此盖盛周公之德耳春秋時鲁三君弑又士之有誄由莊公始婦人髽而弔始於臺駘云君臣未嘗相弑政俗未甞相変亦近誣矣資或爲飲○傳丈專反注同弑本又作殺音試注同誄力軌反髽側瓜反臺音胡駘大來反近如字又附近之近
