肴户交反
是故學然後知不足教然後知困	斈則暏巳行之所矩教則見巳道之所未逹○暏丁古反行下孟反下注德行同
知不足然後能自反也知困然後能自強也故曰教學相長也	自反求諸巳也自強脩業不敢倦○強其丈反又其良反下注同長丁兩反下注長稺長者皆同
兊命曰學學半其此之謂乎	言斈人乃益巳之斈半○斈斈上胡孝反下如字斈人胡孝反又音教
古之教者家有塾黨有庠術有序國有學	術當爲遂声之誤也古者仕焉而已者㱕教於閭里朝夕坐於門門側之堂謂之塾周礼五百家爲黨万二千五百家爲遂黨属於鄉遂在逺郊之外○塾音熟一音育術音遂岀注
比年入學	斈者毎歳來入也
中年考校	中猶間也郷遂大夫間歳則考斈者之徳行道藝周礼三歳大比乃考焉○中徐丁仲反注同間間厠之間下同比毗志反
一年視離經辨志三年視敬業樂群五年視博習親師七年視論學取友謂之小成九年知類通逹強立而不反謂之大成	離經断句絶也辨志謂别其心意所趣郷也知類知事義之比也強立臨事不惑也不反不違失師道○樂五孝反又音岳下不能樂斈同断句丁乱反别彼列反趣七住反郷許亮反比必履反一音必利反
夫然後足以化民易俗近者說服而逺者懷之此大學之道也	懷來也安也○說音恱
記曰蛾子時術之其此之謂乎	蛾蚍蜉也蚍蜉之子微蟲耳時術蚍蜉之所爲其功乃復戌大垤○蛾魚起反注同本或作蟻蚍音毗蜉音孚尓雅云毗蜉大蟻復扶又反垤大結反毛詩傳云蟻冡也
大學始教皮弁祭菜示敬道也	皮弁天子之朝朝服也祭莱礼先聖先師莱謂芹藻之属○朝朝並直淫反芹音勤藻音早重意皮弁祭莱郊特牲王皮弁以聽祭報
宵雅肄三官其始也	宵之言小也肄習也習小雅之三謂鹿鳴四牡皇皇者華也此皆君臣宴樂相勞苦之詩爲始斈者習之所以勤之以官且取上下相和厚○宵音消肄本又作肆同以二反注同樂音洛勞力告反又如字爲于僞反
入學鼔篋孫其業也	鼔篋擊鼔警衆乃發篋出所治經業也孫猶恭順也○篋苦恊反孫音遜注及下皆同警京領反
夏楚二物収其威也	夏槄也楚荆也二者所以扑撻犯礼者収謂収歛整斉之威威儀也〇夏古雅反注同槄吐刀反尓雅云槄山榎扑普卜反尚書云扑作教刑撻他逹反
未卜禘不視學游其志也	禘大祭也天子諸侯旣祭乃視斈考校以游暇斈者之志意○禘大計反游音由本亦作遊暇戸嫁反舊古雅反
時觀而弗語存其心也	使之悱悱憤憤然後啓發也○語魚庶反悱芳鬼反憤扶粉反一本直作悱憤
㓜者聽而弗問學不躐等也	斈教也教之長稺○斈胡孝反注同躐音里輒反稺直吏反
此七者教之大倫也	倫理也自大斈始教至此其義七也
記曰凡學官先事士先志其此之謂乎	官居官者也士斈士也
大學之教也時教必有正業退息必有居	有居有常居也
學不學操縵不能安弦	操缦雜弄○操七刀反注同縵未旦反雜徂合反
不學博依不能安詩	博依廣譬喻也○依或爲衣依於豈反注皆同
不學雜服不能安禮	雜服冕服皮弁之属雜或爲雅
不興其藝不能樂學	興之言喜也歆也藝謂礼樂射御書数○興虚應反歆許金反
故君子之於學也藏焉脩焉息焉遊焉	藏謂懷抱之脩習也息謂作勞休止之為息遊謂間暇无事之為遊〇間音閑
夫然故安其學而親其師樂其友而信其道是以雖離師輔而不反也兊命曰敬孫務時敏厥脩乃來其此之謂乎	敬孫敬道孫業也敏疾也厥其也斈者務及時而疾其所脩之業乃來○樂其音岳又音洛又五孝反離力智反重言其此之謂乎五並見上文
今之教者呻其佔畢多其訊	呻吟反
此四者教之所由興也	興起也
發然後禁則扞格而不勝	教不能勝其情慾格讀如凍咨之􁅅扞堅不可入之貌○扞胡半反注同格胡客反又户隔反扞格不入也注同勝音升又升證反􁅅胡客反下同此二字並從二或水旁作非一音户各反
