樂記第十九	○陸曰鄭云名樂記者以其記樂之義
鄭氏註凡音之起由人心生也人心之動物使之然也感於物而動故形於聲	宫商角徴羽雜比曰音单岀曰声形猶見也○徴張里反後倣此比毗志反下文同見賢遍反重言感於物而動下文感於物而后動故形於声二下文一
聲相應故生變	樂之器弹其宫則衆宫應然不足樂是以変之使雜也易曰同声相應同氣相求春秋傳曰若以水済水誰能食之若琴瑟之專一誰能聽之○應應對之應萹内同弹徒丹反樂音岳又音洛
變成方謂之音	方猶文章也
比音而樂之及干戚羽旄謂之樂	干盾也戚斧也武舞所執也羽翟羽也旄旌牛尾也文舞所執周礼舞師樂師掌教舞有兵舞有干舞有羽舞有旄舞詩曰左手执籥右手秉翟○旄音毛盾本又作楯述允反又音允翟音狄籥羊灼反
樂者音之所由生也其本在人心之感於物也是故其哀心感者其聲噍以殺其樂心感者其聲嘽以緩其喜心感者其聲發以散其怒心感者其聲粗以厲其敬心感者其聲直以廉其愛心感者其聲和以柔六者非性也感於物而后動	言人声在所見非有常也噍踧也啴寛綽貌發猶掦也粗麄也○噍子遥反徐在堯反沈子堯反踧也謂急也殺色界反徐所例反其楽音洛啴昌善反寛緩也散思旦反粗采都反又才古反踧子六反綽処約反
是故先王慎所以感之者故禮以道其志樂以和其聲政以一其行刑以防其姦禮樂刑政其極一也	極至也〇道音導行下孟反○重言礼樂刑政一一下文
所以同民心而岀治道也	此其所謂至也○治直吏反下同
凡音者生人心者也情動於中故形於聲聲成文謂之音是故治丗之音安以樂其政和亂丗之音怨以怒其政乖亡國之音哀以思其民困聲音之道與政通矣	言八音和否隨政也玉藻曰御瞽幾声之上下治丗之音絶句安以樂音洛絶句雷讀上至安絶句樂音岳以樂二字爲句其政和崔讀上句依雷下以樂其政和揔爲一句下乱丗亡囯各放此○思息吏反又音笥否音不藻音早瞽音古幾居希反又音祈上下時掌反
互註	詩関雎在心爲志發言爲詩情動於中而形於言云云情發於声声成文謂之音
宫爲君商爲臣角爲民徵爲事羽爲物五者不亂則無怗懘之音矣	五者君臣民事物也凡声濁者尊清者卑怗懘敝敗不和貌○怗徐昌廉反弊也懘昌制反又昌紙反敗也敝音弊
