祭法第二十三	陸曰鄭云以其記有虞氏至周天子以下所祭祀群神之数也
禮記鄭氏註祭法有虞氏禘黄帝而郊嚳祖顓頊而宗堯夏后氏亦禘黄帝而郊鯀祖顓頊而宗禹殷人禘嚳而郊冥祖契而宗湯周人禘嚳而郊稷祖文王而宗武王	禘郊祖宗謂祭祀以配食也此禘謂祭昊天於圜丘也祭上帝於南郊曰郊祭五帝五神於明堂曰祖宗祖宗通言爾下有褅郊祖宗孝經曰宗祀文王於明堂以配上帝明堂月令春曰其帝大昊其神句芒夏曰其帝炎帝其神祝融中央曰其帝黄帝其神后土秋曰其帝少昊其神蓐収冬曰其帝顓頊其神玄冥有虞氏以上尚德禘郊祖宗配用有德者而巳自夏巳下相用其姓代之先後之次有虞氏夏后氏宜郊顓頊殷人冝郊契郊祭一帝而明堂祭五帝小德配寡大德配衆亦禮之殺也○禘大計反嚳吕毒反顓音專頊許玉反鯀本又作􁉽古本反篇未皆同冥莫經反契息列反下同圜音貟大昊音泰下大廟大祖大昊同昊本亦作皡胡老反下放此句古侯反芒音亡夏戸嫁反後夏曰皆同少詩召反下放此蓐音辱本亦作辱以上時掌反下上去以上同殺色界反徐所例反
燔柴於泰壇祭天也瘞埋於㤗折祭地也用騂犢	壇折封土爲祭處也壇之言坦也坦明貌也折炤晢也必爲炤明之名尊神也地隂祀用􁇠牲與天俱用犢連言爾○燔音煩爾雅云祭天曰燔柴壇大丹反下同瘞於滯反埋武皆反爾雅云祭地曰瘞埋折之設反注同舊音逝又音制騂私營反字林云火營反處昌慮反坦吐但反炤本又作昭同章遥反又之召反晢之設反一音制􁇠於紏反重意用騂犢檀弓上郊特牲十一篇牲用騂
埋少牢於㤗昭祭時也相近於坎壇祭寒暑也王宮祭日也夜明祭月也幽宗祭星也雩宗祭水旱也四坎壇祭四方也山林川谷丘陵能出雲爲風雨見恠物皆曰神有天下者祭百神諸侯在其地則祭之亡其地則不祭	昭明也亦謂壇也時四時也亦謂隂陽之神也埋之者隂陽出入於地中也凡此以下皆祭用少牢相近當爲禳祈声之誤也禳猶郤也祈求也寒暑不時則或禳之或祈之寒於坎暑於壇王宫日壇王君也日稱君宫壇營域也夜明亦謂月壇也宗皆當爲禜字之誤也幽禜亦謂星壇也星以昏始見禜之言營也雩禜亦謂水旱壇山雩之言吁嗟也春秋傳曰日月星辰之神則雪霜風雨之不時於是乎禜之山川之神則水旱癘疫之不時於是乎禜之四方即謂山林川谷丘陵之神也祭山林丘陵於壇川谷於坎每方各爲坎爲壇恠物雲氣非常見者也有天下謂天子也百者假成数也○相近依注讀爲􁏸如羊反下音巨依反王粛作祖迎也坎苦感反幽宗雩宗宗並依注讀爲禜榮敬反王如字見賢遍反注同立如字無也一音無吁許于反疫音役
大凡生於天地之間者皆曰命其萬物死皆曰折人死曰鬼此五代之所不變也	生時形躰異可同名至死腐爲野土異其名嫌同也折弃敗之言也鬼之言帰也五代謂黄帝堯舜禹湯周之禮樂所存法也○大如字徐音泰腐音輔
七代之所更立者禘郊宗祖其餘不變也	七代通数顓頊及嚳也所不変者則数其所法而巳変之則通数所不法爲記者之微意也少昊氏脩黄帝之法後王無所取焉○更古衡反數色主反下同
天下有王分地建國置都立邑設廟祧壇墠而祭之乃爲親䟽多少之數是故王立七廟一壇一墠曰考廟曰王考廟曰皇考廟曰顯考廟曰祖考廟皆月祭之逺廟爲祧有二祧享嘗乃止去祧爲壇去壇爲墠壇墠有禱焉祭之無禱乃止去墠曰鬼諸侯立五廟一壇一墠曰考廟曰王考廟曰皇考廟皆月祭之顯考廟祖考廟享嘗乃止去祖爲壇去壇爲墠壇墠有禱焉祭之無禱乃止去墠爲鬼大夫立三廟二壇曰考廟曰王考廟曰皇考廟享嘗乃止顯考祖考無廟有禱焉爲壇祭之去壇爲鬼適士二廟一壇曰考廟曰王考廟享嘗乃止顯考無廟有禱焉爲壇祭之去壇爲鬼官師一廟曰考廟王考無廟而祭之去王考爲鬼庶士庶人無廟死曰鬼	建國封諸侯也置都立邑爲卿大夫之采地及賜士有功者之地廟之言貌也宗廟者先祖之尊貌也祧之言超也超上去意也封土曰壇除地曰墠書曰三壇同墠王皇皆君也顕明也祖始也名先人以君明始者所以尊本之意也天子遷廟之主以昭穆合藏於二祧之中諸侯無祧藏於祖考之廟中聘礼曰不腆先君之祧是謂始祖廟也享甞謂四時之祭天子諸侯爲壇墠所禱謂後遷在祧者也旣事則反其主於祧鬼亦在祧顧逺之於無事祫乃祭之爾春秋文二年秋大事於大廟禱曰毀廟之主陳于大祖未毀廟之主皆升合食於大祖是也魯煬公者伯禽之子也至昭公定公乆巳爲鬼而季氏禱之而立其宫則鬼之主在祧明矣唯天子諸侯有主褅祫大夫有祖考者亦鬼其百丗不禘祫無主爾其無祖考者庶士以下鬼其考王考官師鬼其皇考大夫適士鬼其顯考而已大夫祖考謂別子也凡鬼者薦而不祭王制曰大夫士有田則祭无田則薦適士上士也官師中士下士庶士府史之屬此適士云顯考無廟非也當爲皇考字之誤○廟本亦作庿古字墠音善禱丁老反一音丁報反適丁歷反篇内同顯考無廟顯音皇出注采七代反昭上遥反腆他典反祫音洽焬餘譲反徐音傷重意王制第五天子七廟諸侯五廟大夫一廟士一廟禮器第十天子七廟諸侯五大夫三士一
王爲羣姓立社曰大社王自爲立社曰王社諸侯爲百姓立社曰國社諸侯自爲立社曰侯社大夫以下成羣立社曰置社	羣衆也大夫以下謂下至庶人也大夫不得特立社與民族居百家以上則共立一社今時里社是也郊特牲曰唯爲社事單岀里○爲于僞反下皆同注爲社事亦同
王爲羣姓立七祀曰司命曰中􁆤曰國門曰國行曰㤗厲曰户曰竈王自爲立七祀諸侯爲國立五祀曰司命曰中􁆤曰國門曰國行曰公厲諸侯自爲立五祀大夫立三祀曰族厲曰門曰行適士立二祀曰門曰行庶士庶人立一祀或立户或立竈	此非大神所祈報大事者也小神居人之間司察小過作譴告者爾樂記曰明則有禮樂幽則有鬼神鬼神謂此與司命主督察三命中􁆤主堂室居處門户主出入行主道路行作厲主殺罰竈主飲食之事明堂月令春曰其祀户祭先脾夏曰其祀竃祭先肺中央曰其祀中霤祭先心秋曰其祀門祭先肝冬曰其祀行祭先腎聘禮曰使者岀釋幣於行歸釋幣於門士䘮禮曰疾病禱於五祀司命與厲其時不著今時民家或春秋祠司命行神山神門户竈在旁是必春祠司命秋祠厲也或者台而祠之山即厲也民惡言厲巫祝以厲山爲之謬乎春秋傳曰鬼有所歸乃不爲厲○􁆤力又反譴棄戦反此與音餘脾婢支反肺芳廢反肝音干腎上忍反使色吏反悪言烏路反繆音謬
王下祭殤五適子適孫適曽孫適玄孫適來孫諸侯下祭三大夫下祭二適士及庶人祭子而止	祭適殤者重適也祭適殤於廟之奥謂之隂厭王子公子祭其適殤於其黨之廟大夫以下庶子祭其過殤於宗子之家皆當室之白謂之陽厭凡庶殤不祭○殤言傷奥烏報反猒於豔反下同
夫聖王之制祭祀也法施於民則祀之以死勤事則祀之以勞定國則祀之能禦大菑具祀之能捍大患則祀之是故厲山氏之有天下也其子曰農能殖百榖夏之衰也周弃繼之故祀以爲稷共工氏之霸九州也其子曰后土能平九州故祀以爲社帝嚳能序星辰以著衆堯能賞均刑法以義終舜勤衆事而野死鯀鄣鴻水而殛死禹能脩鯀之功黄帝正名百物以明民共財顓頊能脩之契爲司徒而民成互註	書舜典帝曰契百姓不親五品不遜汝作司徒敬敷五教在寛
