哀公問第二十七	陸曰魯哀公也鄭云善其問礼著謚以顯之
鄭氏註哀公問於孔子曰大禮何如君子之言禮何其尊也孔子曰丘也小人不足以知禮	謙不荅也
君曰否吾子言之也孔子曰丘聞之民之所由生禮爲大非禮無以節事天地之神也非禮無以辨君臣上下長㓜之位也非禮無以别男女父子兄弟之親昬姻䟽數之交也君子以此之爲尊敬然	言君子以此故尊禮○長丁丈反别彼列反数色角反重言禮爲大二下文一
然後以其所能教百姓不廢其㑹節	君子以其所能於礼教百姓使其不廢此上事之期節
有成事然後治其雕鏤文章黼黻以嗣	上事行於民有成功乃後續以治文飾以爲尊卑之差○雕本亦作彫鏤力豆反黼音甫黻音弗
其順之然後言其䘮筭備其鼎爼設其豕腊脩其宗廟歲時以敬祭祀以序宗族即安其居節醜其衣服卑其宫室車不雕幾器不刻鏤食不貳味以與民同利昔之君子之行禮者如此	言語也筭数也即就也醜類也幾附纏之也言君子旣尊礼民以爲順乃後語以䘮祭之礼就安其居処正其衣服教之節儉与之同利者上下俱足也○筭悉乱反備其鼎爼本亦无此句腊音昔卑如字又音婢幾音祈注同語以魚據反重言車不雕幾器不刻􁏫三見少儀十七
公曰今之君子胡莫之行也孔子曰今之君子好實無厭淫德不倦荒怠敖慢固民是盡午其衆以伐有道求得當欲不以其所昔之用民者由前今之用民者由後今之君子莫爲禮也	實猶冨也淫放也固猶故也午其衆逆其族類也當猶称也所猶道也由前用上所言由後用下所言○好呼報反厭於豔反敖五報反午五故反一音如字注同王粛作迕迕違也當丁浪反注同称尺證反
孔子侍坐於哀公哀公曰敢問人道誰爲大孔子愀然作色而對曰君之及此言也百姓之德也固臣敢无辭而對人道政爲大	愀然変動貌也作猶変也徳猶福也辝譲也○坐才卧反愀七小反舊慈紏反又在由反又音秋又子了反下同重言君之及此言也二下文一重意中庸篇人道敏政
公曰敢問何謂爲政孔子對曰政者正也君爲正則百姓從政矣君之所爲百姓之所從也君所不爲百姓何從	言君當務於政
公曰敢問爲政如之何孔子對曰夫婦别父子親君臣嚴三者正則庶物從之矣	庶物猶衆事也○别彼列反
公曰寡人雖无似也願聞所以行三言之道可得聞乎	无似猶言不肖○肖音笑
