中庸第三十一	陸曰鄭云以其記中和之爲用也庸用也孔子之孫子思作之以昭明聖祖之德也
禮記鄭氏註天命之謂性率性之謂道脩道之謂教	天命謂天所命生人者也是謂性命木神則仁金神則義火神則礼水神則信土神則知孝經說日性者生之質命人所禀受度也率循也循性行之是謂道脩治也治而廣之人放效之是曰教○率所律反知音智下知者大知皆同放方往反效胡教反
道也者不可須臾離也可離非道也	道猶道路也出入動作由之離之惡乎從也○離力智反下及注同惡音烏
是故君子戒愼乎其所不睹恐懼乎其所不聞	小人間居爲不善无所不至也君子則不然雖視之无人聽之无声猶戒愼恐懼自脩正是其不須臾離道○睹丁古反恐匡勇反注同間音閑下同
莫見乎隱莫顯乎微故君子愼其獨也	愼獨者愼其間居之所爲小人於隱者動作言語自以爲不見睹不見聞則必肆尽其情也若有佔聽之者是爲顯見甚於衆人之中爲之〇見䝨遍反注顯見同一音如字佔勑廉反重言故君子謹其獨也四一見礼噐第十篇二見大斈四十二篇
喜怒哀樂之未發謂之中發而皆中節謂之和中也者天下之大本也和也者天下之逹道也	中爲大本者以其含喜怒哀樂礼之所由生政教自此岀也〇楽音洛注同中丁仲反下注爲之中同重言中也者天下之大本也篇未至誠立天下之大本
致中和天地位焉萬物育焉	致行之至也位猶正也育生也長也○長丁丈反重言万物育焉二一見楽記十九
仲尼曰君子中庸小人反中庸君子之中庸也君子而時中小人之中庸也小人而無忌憚也	庸常也用中爲常道也反中庸者所行非中庸然亦自以爲中庸也君子而時中者其容貌君子而又時節其中也小人而无忌惮其容貌小人反以无畏難爲常行是其反中庸也○小人之中庸也王肅本作小人之反中庸也忌惮徒旦反忌畏也惮難也難乃旦反行下孟反
子曰中庸其至矣乎民鮮能乆矣	鮮罕也言中庸爲道至美顧人罕能乆行○中庸其至矣乎一本作中庸之爲德其至矣乎鮮息淺反下及注同罕呼但反希少也
子曰道之不行也我知之矣知者過之愚者不及也道之不明也我知之矣賢者過之不肖者不及也人莫不飲食也鮮能知味也	罕知其味謂愚者所以不及也過与不及使道不行唯礼能爲之中○知音智下文大知也予知注有知皆同肖音笑下同重言賢者過之不肖者不及也䘮服四制四十九賢者不得過不肖者不得不及○鮮能知味也大斈四十二食而不知其味
子曰道其不行矣夫	閔无明君教之〇夫音扶
子曰舜其大知也與舜好問而好察邇言隱惡而揚善執其兩端用其中於民其斯以爲舜乎	迩近也近言而善易以進人察而行之也两端過与不及也用其中於民賢与不肖皆能行之也斯此也其德如此乃號爲舜舜之言充也〇与音餘下強与皆同好呼報反下同易以䜴反
子曰人皆曰予知驅而納諸罟擭䧟阱之中而莫之知辟也人皆曰予知擇乎中庸而不能期月守也	予我也言凢人自謂有知人使之入罟不知辟也自謂擇中庸而爲之亦不能乆行言其實愚又無恒〇罟音古罔之愡名擭胡化反尚書傳云捕獸機檻䧟䧟没之䧟阱才性反本或作穽同阱穿地䧟獸也說文云穽或爲阱字也辟音避注知辟辟害皆同期音基
子曰回之爲人也擇乎中庸得一善則拳拳服膺而弗失之矣	拳拳奉持之貌〇拳音權又起阮反徐羌權反膺徐音應又於陵反奉芳勇反
子曰天下國家可均也爵禄可辭也白刃可蹈也中庸不可能也	言中庸難爲之難蹈音悼又徒報反
子路問強	強勇者所好也〇強其良反下同好呼報反
子曰南方之强與北方之強與抑而強與	言三者所以爲強者異也抑辭也而之言女也謂中囯也〇女音汝下抑女同
寛柔以教不報無道南方之強也君子居之	南方以舒緩爲强不報凡道謂犯而不校也〇校交孝廻報也
祍金革死而不厭北方之強也而強者居之	祍猶席也北方以剛猛爲强〇祍而審反又而鴆反厭於豔反
故君子和而不流強哉矯中立而不倚強哉矯國有道不變塞焉強哉矯國無道至死不變強哉矯	此柳女之強也流猶移也塞猶實也囯有道丕変以趍時囯无道不変以辟害有道无道一也矯強貌塞或爲色〇矯居表反下同倚依彼反徐其蟻反
子曰素隱行怪後丗有述焉吾弗爲之矣	素讀如攻城攻其所傃之傃傃猶郷也言方郷辟害隱身而行詭譎以作後丗名也弗爲之矣恥之也〇傃音素卿本又作嚮許亮反下皆同詭乆委反下同譎音央
君子遵道而行半塗而廢吾弗能巳矣	廢猶罷止也弗能巳矣汲汲行道不爲時人之隱行〇汲音急隱行下孟反
君子依乎中庸遯丗不見知而不悔唯聖者能之	言隱者當如此也唯舜爲能如此〇遯本又作遁同徒頓反
君子之道費而隱	言可隱之節也費猶佹也道不費則仕〇費本又作拂同扶弗反徐音弗注同
夫婦之愚可以與知焉及其至也雖聖人亦首所不知焉夫婦之不肖可以能行焉及其至也雖聖人亦有所不能焉	與讀爲賛者皆與之與言匹夫匹婦愚耳亦可以其與有所知可以其能有所行者以其知行之極也聖人有不能如此舜好察邇言由此故與〇以與音預注皆與之與以其與同好呼報反故与音餘重言其至也三又見下文
天地之大也人猶有所憾	憾恨也天地至大無不覆載人尚有所恨焉况於聖人能尽備之乎〇憾本又作感胡暗反注同
故君子語大天下莫能載焉語小天下莫能破焉	語猶說也所說大事謂先王之道也所說小事謂若愚不肖夫婦之知行也聖人盡兼行
詩云鳶飛戾天魚躍于淵言其上下察也	察猶著也言聖人之德至于天則鳶飛戾天至於地則魚躍于淵是其著明於天地也〇鳶恱專反字又作鳶戾力計吕結二反躍羊灼反著張慮反下同
君子之道造端乎夫婦及其至也察乎天地	夫婦謂匹夫匹婦之所知所行〇造在老反
子曰道不逺人人之爲道而逺人不可以爲道	言道即不逺於人人不能行也
詩云伐柯伐柯其則不逺執柯以伐柯睨而視之猶以爲逺	則法也言持柯以伐木將以爲柯近以柯爲尺寸之法此法不逺人人尚逺之明爲道不可以逺〇柯古何反睨徐音詣睥睨也
故君子以人治人改而止	言人有罪過君子以人道治之其人改而止赦之不責以人所不能
忠恕違道不逺施諸已而不願亦勿施於人	違猶去也
君子之道四丘未能一焉所求乎子以事父未能也所求乎臣以事君未能也所求乎弟以事兄未能也所求乎朋友先施之未能也	聖人而曰我未能明人當勉之無巳
庸德之行庸言之謹有所不足不敢不勉有餘不敢盡言顧行行顧言	庸猶常也言德常行也言常謹也聖人之行實過於人有餘不敢盡常爲人法從礼也〇行行皆下孟反注聖人之行同或一讀皆如字
君子胡不慥慥爾	君子謂衆賢也慥慥守實言行相應之藐〇慥七到反行下孟反應於陵反舊音應對之應
君子素其位而行不願乎其外素富貴行乎富貴素貧賤行乎貧賤素夷狄行乎夷狄素患難行乎患難君子無入而不自得焉	傃皆讀爲素不願乎其外謂思不岀其位也自得謂所郷不失其道○難乃旦反下同
在上位不陵下在下位不援上	援謂牽持之也○援音爰注同
正已而不求於人則無怨上不怨天下不尤人	無怨人無怨之者也論語曰君子求諸巳小人求諸人〇巳音紀怨於願反又於元反下及注並同
故君子居易以俟命小人行險以徼幸	易猶平安也俟命聽天任命也險謂傾危之道〇易以䜴反注同徼古堯反
子曰射有似乎君子失諸正鵠反求諸其身	反求於其身不以怨人畫曰正棲皮曰鵠〇正音征注同鵠古毒反注同正鵠皆鳥名也一曰正正也鵠直也大射則張皮侯而棲鵠賔射張布侯而設正也棲細兮反重言失諸正鵠射義四十六發而不失正鵠者〇反求諸其身射義反求諸巳而巳矣
君子之道辟如行逺必自邇辟如登髙必自卑	自從也迩近也行之以近者卑者始以漸致之髙逺○辟音譬下同邇音爾卑音婢又如字注同
