奔喪第三十四	陸曰鄭云奔喪者居於他邦聞䘮奔歸之礼實曲礼之正篇也
禮記鄭氏註奔喪之禮始聞親喪以哭荅使者盡哀問故又哭盡哀	親父母也以哭荅使者驚怛之哀無辭也問故問親喪所由也雖非父母聞喪而哭其礼亦然也〇奔䘮此正字也說文云從哭亡亡亦聲也哭空木反使色吏反注同怛都達反
遂行日行百里不以夜行	雖有哀戚猶辟害也晝夜之分别於昬明哭則遂行者不爲位〇辟音避分扶問反又方云反别彼列反
唯父母之喪見星而行見星而舎	侵晨冒昬弥益促也言唯著異也〇冒亡北反又亡報反著張慮反
若未得行則成服而后行	謂以君命有爲者也成喪服得行則行○爲于僞反一音如字
過國至竟哭盡哀而止	感此念親○竟音境下同
哭辟市朝	爲驚衆也〇辟音避朝直遥反爲于僞反
望其國竟哭	斬衰者也自是哭且遂行○衰七雷反後皆同
至於家入門左升自西階殯東西面坐哭盡哀括髪祖	括髪袒者去飾也未成服者素委貌深衣已成服者固自喪服矣〇括古活反袒徒旱反去羌吕反〇重言括髪袒下文互岀檀弓上下祖括髪二
降堂東即位西郷哭成踊	巳殯者位在下○郷許亮反下西郷同〇重言降堂東即位西郷哭成踊重見下文
襲絰于序東絞帶反位拜賔成踊	襲服衣也不於又哭乃絰者發喪巳踰日節於是可也其未小歛而至与在家同耳不散帶者不見尸柩凢拜賔者就其位旣拜反位哭踊〇絞古卯反又下同徐户交反成踊音勇散悉但反
送賔反位有賔後至者則拜之成踊送賔皆如𥘉衆主人兄弟皆岀門岀門哭止闔門相者告就次	次倚廬也〇闔户臘反相息亮反下相者皆同倚於綺反重言有賔後至者則拜之成踊送賔皆如𥘉見下文
於又哭括髪袒成踊於三哭猶括髪袒成踊	又哭至明日朝也三哭又其明日朝也皆升堂括髪袒如始至必又哭三哭者象小歛大歛時也雜記日士三踊其夕哭從朝以哭不括髪不袒不踊不以爲数〇不以数也色主反本亦作不以爲数数色具反重言括髪袒成踊重見下文
三日成服拜賔送賔皆如𥘉	三日三哭之明日也旣哭成其服䘮服杖於序東
奔喪者非主人則主人爲之拜賔送賔奔喪者自齊衰以下入門左中庭北面哭盡哀免麻于序東即位袒與主人哭成踊	不升堂哭者非父母之䘮統於主人也麻亦絰帶也於此言麻者明所奔喪雖有輕者不全喪所無改服也凢袒者於位襲於序東袒襲不相因位此麻乃袒變於爲父母也○爲于僞反注變於爲父下注爲母皆同齊音咨下同免音問下及注皆同重言入門左三下文一
於又哭三哭皆免袒有賔則主人拜賔送賔	又哭三哭亦入門左中庭北面如始至時也
丈夫婦人之待之也皆如朝夕哭位無變也	待奔喪者無變嫌賔客之也於賔客以哀變爲敬此骨肉哀則自哀矣於此乃言待之明奔喪者至三哭猶不以序入也
奔母之喪西面哭盡哀括髪袒降堂東即位西郷哭成踊襲免絰于序東拜賔送賔皆如奔父之禮於又哭不括髮	爲母於又哭而免輕於父也其也則同○而免本或作而不免者非
婦人奔喪升自東階殯東西面坐哭盡哀東髽即位與主人拾踊	婦人謂姑姊妹女子子也東階東面階也婦人入者由闈門東髽髽於東序不髽於房變於在室者也去纚大紒曰髽拾更也主人與之更踊賔客之〇髽側瓜反拾其刼反注同闈音違舊音暉去起吕反纚色買所綺二反紒音計更音庚下同
奔喪者不及殯先之墓北面坐哭盡哀主人之待之也即位於墓左婦人墓右成踊盡哀括髪東即主人位絰絞帶哭成踊拜賔反位成踊相者告事畢	主人之待之謂在家者也哭於墓爲父母則袒告事畢者於此後無事也○相㤙亮反下同爲于僞反重言相者告事畢互見下文
遂冠歸入門左北面哭盡哀括髮袒成踊東即位拜賔成踊賔岀主人拜送有賔後至者則拜之成踊送賔如𥘉衆主人兄弟皆岀門岀門哭止相者告就次於又哭括髪成踊於三哭猶括髪成踊三日成服於五哭相者告事畢	又哭三哭不袒者哀戚已乆殺之也逸奔喪禮說不及殯曰於又哭猶括髪即位不袒告事畢者五哭而不復哭也成服之朝爲四哭此謂旣期乃後歸至者也其未期猶朝夕哭不止於五哭○冠音官袒音但殺色界反下哀殺同復扶又反期音基下同〇重言遂冠歸二下文一
爲母所以異於父者壹括髪其餘免以終事他如奔父之禮	壹括髪謂歸入門哭時也於此乃言爲母異於父者明及殯不及殯其異者同○爲于僞反注及下爲父同
齊衰以下不及殯先之墓西面哭盡哀	不北面者亦統於主人
免麻于東方即位與主人哭成踊襲有賔則主人拜賔送賔賔有後至者拜之如𥘉相者告事畢	不言袒言襲者容斉衰親者或袒可
遂冠歸入門左北面哭盡哀免袒成踊東即位拜賔成踊賔岀主人拜送於又哭免袒成踊於三哭猶免袒成踊三日成服於五哭相者告事畢	爲父於又哭括髪而不袒此又哭三哭皆言袒袒衍字也
聞喪不得奔喪哭盡哀問故又哭盡哀乃爲位括髪袒成踊襲絰絞帶即位	聞父母䘮而不得奔謂以君命有事不然者不得爲位位有鄼列之處如於家朝夕哭位矣不於又哭乃絰者䘮至於此踰日節於是可也〇鄼子短反處昌慮反下之處同
拜賔反位成踊賔岀主人拜送于門外反位若有賔後至者拜之成踊送賔如𥘉於又哭括髮袒成踊於三哭猶括髪袒成踊三日成服於五哭拜賔送賔如𥘉	不言就次者當從其事不可以䘮服廢公職也其在官亦告就次言五哭者以迫公事五日哀殺亦可以止
若除喪而后歸則之墓哭成踊東括髪袒絰拜賔成踊送賔反位又哭盡哀遂除於家不哭	東東即主人位如不及殯者也遂除除於墓而歸
主人之待之也無變於服與之哭不踊	無変於服自若時服也亦即位于墓左婦人墓右
自齊衰以下所以異者免麻凢爲位非親喪齊衰以下皆即位哭盡哀而東免絰即位袒成踊	謂無君事又无故可得奔䘮而以巳私未奔者也父母之䘮則不爲位其哭之不離聞䘮之處齊衰以下更爲位而哭皆可行乃行〇離力智反
襲拜賔反位哭成踊送賔反位相者告就次三日五哭卒主人岀送賔衆主人兄弟皆岀門哭止相者告事畢成服拜賔	卒猶止也三日五哭者始聞䘮訖夕爲位乃出就次一哭也與明日又明日之朝夕而五哭不五朝哭而数朝夕備五哭而止亦爲急奔䘮巳私事當畢亦明日乃成服凢云五哭者其後有賔亦与之哭而拜之○之朝朝旦也下同数色主反爲于僞反
若所爲位家逺則成服而往	謂所當奔者外䘮也外䘮緩而道逺成服乃行容待齎也〇齎子西反資糧也一音咨
齊衰望郷而哭大功望門而哭小功至門而哭緦麻即位而哭	奔䘮哭親䟽逺近之差也差𥘉佳反又𥘉宜反下同
哭父之黨於廟母妻之黨於寢師於廟門外朋友於寢門外所識於野張帷	此因五服聞䘮而哭列人恩諸所當哭者也黨謂族類无服者也逸奔䘮礼日哭父族與母黨於廟妻之黨於寢朋友於寢門外壹哭而巳不踊言壹哭而巳則不爲位矣
凢爲位不奠	以其精神不存乎是
哭天子九諸侯七卿大夫五士三	此臣聞君䘮而未奔爲位而哭尊卑日数之差也士亦有属吏賤不得君臣之名
大夫哭諸侯不敢拜賔	謂哭其舊君不敢拜賔辟爲主〇辟音避
諸臣在他國爲位而哭不敢拜賔	謂大夫士使於列囯○使色吏反
與諸侯爲兄弟亦爲位而哭	族親昬姻在異囯者
凢爲位者壹袒	謂於礼正可爲位而哭也始聞䘮哭而袒其明日則否父母之䘮自若三袒也
所識者弔先哭于家而後之墓皆爲之成踊從主人北面而踊	從主人而踊拾踊也北面自外來便也主人墓左西面〇爲于僞反下注名爲同拾其刼反便婢面反
凢喪父在父爲主	与賔客爲礼宜使尊者
父没兄弟同居各主其喪	各爲其妻子之喪爲主也祔則宗子主之○祔音附
親同長者主之	父母没如昆弟之䘮宗子主之○長丁丈反如若也
不同親者主之	從父昆弟之䘮
聞逺兄弟之喪旣除䘮而后聞喪免袒成踊拜賔則尚左手	小功緦麻不稅者也雖不服猶免袒尚左手吉拜也逸奔䘮禮曰凢拜吉䘮皆尚左手○稅吐外反
無服而爲位者唯嫂叔及婦人降而無服者麻	雖无服猶弔服加麻袒免爲位哭也正言嫂叔尊嫂也兄公於弟之妻則不能也婦人降而無服族姑姊妹嫁者也逸奔喪禮曰无服袒免爲位者唯嫂与叔凢爲其男子服其婦人降而无服者麻〇嫂悉早反凢爲于僞反下注同重意无服而爲位者唯嫂叔檀弓上子思之哭嫂也爲位
凢奔喪有大夫至袒拜之成踊而后襲於士襲而后拜之	主人袒降哭而大夫至因拜之不敢成巳礼乃礼尊者或曰大夫後至者袒拜之謂之成踊
