䘮服四制第四十九	陸曰鄭云以其記䘮服之制取其仁義礼智四者也別録属䘮礼
凢禮之大體體天地法四時則隂陽順人情故謂之禮訾之者是不知禮之所由生也	禮之言躰也故謂之礼言本有法則而生也口毀曰訾○訾徐音紫毁也一音才斯反
夫禮吉凶異道不得相干取之隂陽也	吉礼凶礼異道謂衣服容貌及器物也
喪有四制變而從宜取之四時也有恩有理有節有權取之人情也恩者仁也理者義也節者禮也權者知也仁義禮知人道具矣	取之四時謂其数也取之人情謂其制也〇知音智下同
其恩厚者其服重故爲父斬衰三年以恩制者也	服莫重斬衰也○爲于僞反下及注同衰七回反注及下同
門内之治恩揜義門外之治義斷恩資於事父以事君而敬同貴貴尊尊義之大者也故爲君亦斬衰三年以義制者也	資猶操也貴貴謂爲大夫君也尊尊謂爲天子諸侯也○治直吏反下同揜於撿反断丁亂反操七刀反皇云持也
三日而食三月而沐期而練毀不滅性不以死傷生也喪不過三年苴衰不𥙷墳墓不培祥之日鼔素琴告民有終也以節制者也資於事父以事母而愛同天無二日土無二王國無二君家無二尊以一治之也故父在爲母齊衰期者見無二尊也	食食粥也沐謂將虞祭時也𥙷培猶治也鼔素琴始存樂也三年不爲樂樂必崩〇期音基下同苴七餘反墳扶云反培步回反徐扶來反爲于僞反下注爲君同斉音咨見賢遍反粥之六反
杖者何也爵也三日授子杖五日授大夫杖七日授士杖或曰擔主或曰輔病婦人童子不杖不能病也百官備百物具不言而事行者扶而起言而后事行者杖而起身自執事而后行者面垢而巳秃者不髽傴者不袒跛者不踊老病不止酒肉凢此八者以權制者也	五日七日授杖謂爲君䘮也扶而起謂天子諸侯也杖而起謂大夫士也面垢而巳謂庶民也髽婦人也男子免而婦人髽髽或爲免○擔是豔反又食豔反又餘壍反不言而事行者扶而起一本作扶而後起扶或作杖非垢音苟秃吐木反髽側瓜反傴紆主反袒徒旱反跛彼我反免音問下同重言杖者何也二一見問䘮三十五〇秃者不髽傴者不袒跛者不踊二一見問䘮三十五
始死三日不怠三月不解期悲哀三年憂恩之殺也聖人因殺以制節	不怠哭不絶聲也不解不解衣而居不倦息也〇解佳買反期音基之殺色戒反解衣古買反〇重言三日不怠三月不解期悲哀三年憂二一見雜記下二十一
此喪之所以三年賢者不得過不肖者不得不及此䘮之中庸也王者之所常行也書曰髙宗諒闇三年不言善之也	諒古作梁楣謂之梁闇讀如鶉䳺之䳺闇謂廬也廬有梁者所謂柱楣也○肖音笑諒闇依注諒讀爲梁闇讀爲䳺音烏南反下同徐又並如字案徐後音是依杜預義鄭謂卒哭之後翦屏柱楣故曰諒闇闇即廬也孔安囯讀爲諒隂諒信也隂黙也楣音眉鶉音淳柱知主反重意賢者不得過不肖者不得不及中庸篇賢者過之不肖者不及也
王者莫不行此禮何以獨善之也曰髙宗者武丁武丁者殷之賢王也繼丗即位而慈良於喪當此之時殷衰而復興禮廢而復起故善之善之故載之書中而髙之故謂之髙宗三年之喪君不言書云髙宗諒闇三年不言此之謂也然而曰言不文者謂臣下也	言不文者謂䘮事辨不所當共也孝經說曰言不文者指士民也〇衰色追反復扶又反下同文如字徐音問辨本又作辯同皮莧反共音恭重意髙宗諒闇三年不言檀弓上髙宗三年不言
禮斬衰之䘮唯而不對齊衰之喪對而不言大功之喪言而不議緦小功之喪議而不及樂	此謂与賔客也唯而不對侑者爲之應耳言謂先發口也〇唯余祭反徐以水反注同齊音咨本又作斉侑音又爲于僞反應應對之應重言斬衰之䘮止議而不及樂二重見間傳三十七無之䘮二字雜記下斬衰之䘮言而不語對而不問
父母之喪衰冠繩纓菅屨三日而食粥三月而沐期十三月而練冠三年而祥比終兹三節者仁者可以觀其愛焉知者可以觀其理焉強者可以觀其志焉禮以治之義以正之孝子弟弟貞婦皆可得而察焉	仁有恩者也理義也察猶知也○衰七雷反菅音姦屦徐紀具反粥之六反期音基比必利反知音智本或作智弟弟上音悌下如字
