論語八佾第三何晏集解	凢卄六章
孔子謂季氏八佾舞於庭是可忍也孰不可忍也	馬融曰孰誰也佾列也天子八佾諸侯六卿大夫四士二八人為列八八六十四人也魯以周公故受王者礼樂有八佾之舞今季桓子僣於其家廟儛之故孔子譏之也
三家者以雍徹	馬融曰三家者謂仲孫叔孫季孫也雍周頌臣工篇名也天子祭於宗廟歌之以徹祭今三家亦作此樂者也
子曰相維辟公天子穆穆奚取於三家之堂	苞氏曰辟公謂諸侯及二王之後也穆穆天子之容也雍篇歌此者有諸侯及二王之後来助祭故也今三家伹家臣而巳何取此義而作之於堂邪也
子曰人而不仁如禮何人而不仁如樂何	苞氏曰言人而不仁必不能行禮樂也
林放問禮之本	鄭玄曰林放鲁人也
子曰大哉問禮與其奢也寧儉喪與其易也寧戚	苞氏曰易和易也言禮之本意失於奢不如儉也喪失於和易不如衷戚也
子曰夷狄之有君不如諸夏之亡也	苞氏曰諸夏中國也亡無也
季氏旅於㤗山子謂冉有曰汝不能救與	馬融曰旅祭名也禮諸侯祭山川在其封内者今陪臣祭㤗山非禮也冉有弟子冉求也時仕於季氏救猶止也
對曰不能子曰嗚呼曽謂㤗山不如林放乎	苞氏曰神不享非禮林放尚知禮㤗山之神反不如林放邪欲誣而祭之
子曰君子無所爭必也射乎	孔安國曰言於射而後有爭也
揖讓而升下而飲	王肅曰射於堂升及下皆揖讓而相飲也
其爭也君子	馬融曰多筭飲少筭君子之所爭也
子夏問曰巧笑倩兮羙目盻兮素以爲絢兮何謂也	馬融曰倩笑㒵盻動目㒵也珣文㒵也此上二句在衛風碩人二章其下一句逸也
子曰繪事㣪素	鄭玄曰繪畫文也九畫繪先布衆色然後以素分其間以成其文喻美女雖有倩盻羙質亦湏禮以成之也
曰禮㣪乎	孔安國曰孔子言繪事後素子夏聞而解知以素喻礼故曰礼後乎
子曰起予者商也始可與言詩巳矣	苞氏曰予我也孔子言子夏能發明我意可與共言詩巳矣
子曰夏禮吾能言之杞不足徴殷禮吾能言之宋不足徴也	苞氏曰徵成也杞宋二國名也夏殷之後也夏殷之礼吾能說之杞宋之君不足以成之也
文獻不足故也足則吾能徴之矣	鄭玄曰獻猶賢也我能不以其礼成之者以此二國之君文章賢才不足故也
子曰禘自既灌而徃者吾不欲觀之矣	孔安國曰禘祫之礼為序昭穆也故毀廟之主及群廟之主皆合食於太祖灌者酌鬰鬯灌於太祖以降神也既灌之後别尊卑序昭穆而鲁逆祀躋僖公亂昭穆故不欲觀之矣
或問禘之說子曰不知也	孔安國曰荅以不知者為魯君諱也
知其說者之於天下也其如示諸斯乎指其掌	苞氏曰孔子謂或人言知禘禮之説者於天下之事如指示以掌中之物言其易了也
祭如在	孔安國曰言事死如事生也
祭神如神在	孔安國曰謂祭百神也
子曰吾不與祭如不祭	苞氏曰孔子或岀或病而不自親祭使攝者爲之不致敬於心與不祭同也
王孫賈問曰與其媚於奥寜媚於竈何謂也	孔安國曰王孫賈衛大夫也奥内也以喻近臣也竈以喻執政也賈者執政者也欲使孔子求眤之故微以丗俗之言感動之
子曰不然獲罪於天無所禱也	孔安國曰天以喻君孔子距之曰如獲罪於天無所禱於衆神也
子曰周監於二代郁郁乎文哉吾從周	孔安國曰監視也言周文章備於二代當從周也
子入太廟	苞氏曰太廟周公廟也孔子仕魯魯祭周公而助祭也
毎事問或曰孰謂鄹人之子知禮乎入太廟毎事問	孔安國曰鄹孔子父叔梁紇所治邑也時人多言孔子知礼或人以為知礼者不當𣸪問也
子聞之曰是禮也	孔安國曰雖知之當復問慎之至也
子曰射不主皮	馬融曰射有五善焉一曰和志體和也二曰和容有容儀也三曰主皮能中質也四曰和頌合雅頌也五曰興儛與舞同也天子有三侯以熊虎豹皮爲之言射者不伹以中皮爲善亦兼取和容也
爲力不同科古之道也	馬融曰爲力爲力􁓫之事也亦有上中下設三科焉故曰不同科之也
子貢欲去告朔之餼羊	鄭玄曰牲生曰餼禮人君毎月告朔於廟有祭謂之朝享也魯自文公始不視朔子貢見其礼廢故欲去其羊也
子曰賜也汝愛其羊我愛其禮	苞氏曰羊在猶所以識其礼也羊亡礼遂廢也
子曰事君盡禮人以爲諂	孔安國曰時事君者多無礼故以有礼者爲諂也
定公問君使臣臣事君如之何	孔安國曰定公鲁君謚也時臣失礼定公患之故問也
孔子對曰君使臣以禮臣事君以忠子曰關雎樂而不淫哀而不傷	孔安國曰樂而不至淫哀而不至傷言其和也
哀公問社於宰我宰我對曰夏后氏以松殷人以栢周人以栗曰使民戰栗也	孔安國曰九建邦立社各以其圡所冝之木宰我不本其意妄爲之說因周用栗便云使民戰栗之也
子聞之曰成事不說	苞氏曰事巳成不可復解說也
遂事不諫	苞氏曰事巳遂不可復諫止也
既徃不咎	苞氏曰事巳徃不可復追非咎也孔子非宰我故歴言三者欲使慎其後也
子曰管仲之器小哉	言其器量小也
或曰管仲儉乎	苞氏曰或人見孔子小之以爲謂之太儉也
曰管氏有三歸官事不攝焉得儉乎	苞氏曰三歸娶三姓女也婦人謂嫁為歸攝猶兼也礼國君事大官各有人大夫并兼今管仲家臣備軄非爲儉也
曰然則管仲知禮乎	苞氏曰或人以儉問故荅以安得儉或人聞不儉更謂爲得礼也
