論語㤗伯第八何晏集解	凢卄一章
子曰㤗伯其可謂至徳也巳矣三以天下讓民無得而稱焉	王肅曰㤗伯周太王之太子也次仲雍少弟曰季歴季歴賢又生聖子文王昌昌必有天下故㤗伯以天下三讓於王季其讓隱故無得而稱言之者所以為至徳也
子曰恭而無禮則勞慎而無禮則葸	葸畏懼之貌也言慎而不以禮節之則常畏懼也
勇而無禮則亂直而無禮則絞	馬融曰絞絞刺也
君子篤於親則民興於仁故舊不遺則民不偷	苞氏曰興起也君能厚於親属不遺忘其故舊行之羙者也則民皆化之起為仁厚之行不偷薄也
曽子有疾召門弟子曰啓予足啓予手	鄭玄曰啓開也曽子以爲受身躰於父母不敢毁傷之故使弟子開衾而視之也
詩云戰戰兢兢如臨深淵如履薄氷	孔安國曰言此詩者喻巳常誡慎恐有所毁傷也
而今而後吾知免夫小子	周生烈曰乃今日而後我自知免於患難矣小子弟子也呼者欲使聼識其言也
曽子有疾孟敬子問之	馬融曰孟敬子魯大夫仲孫也
曽子言曰鳥之將死其鳴也哀人之將死其言也善	苞氏曰欲戒敬子言我將且死言善可用也
君子所貴道者三動容貌斯逺暴慢矣正顔色斯近信矣出辭氣斯逺鄙倍矣	鄭玄曰此道謂禮也動容貌能濟濟蹌蹌則人不敢暴慢之也正顔色能矝荘嚴栗則人不敢欺誕之也出辭氣能順而說則無悪戾之言入於耳也
籩豆之事則有司存	苞氏曰敬子忘大務小故又戒之以此也籩豆禮器也
曽子曰以能問於不能以多問於寡有若無實若虚犯而不校	苞氏曰校報也言見侵犯而不報之也
昔者吾友甞從事於斯矣	馬融曰友謂顔淵也
曽子曰可以託六尺之孤	孔安國曰六尺之孤謂㓜少之君也
可以寄百里之命	孔安國曰攝君之政令也
臨大節而不可奪也	大節安國家定社稷也奪者不可傾奪之也
君子人與君子人也曽子曰士不可以不弘毅任重而道逺	苞氏曰弘大也毅強而能決断也士弘毅然後能負重任致逺路也
仁以為巳任不亦重乎死而後巳不亦逺乎	孔安國曰以仁為巳任重莫重焉死而後巳逺莫逺焉也
子曰興於詩	苞氏曰興起也言修身當先學詩也
立於禮	苞氏曰禮者所以立身也
成於樂	孔安國曰樂所以成性也
子曰民可使由之不可使知之	由用也可使用而不可使知者百姓能日用而不能知也
子曰好勇􁀣貧亂也	苞氏曰好勇之人而患疾巳之貧賤者必將爲亂也
人而不仁疾之巳甚亂也	孔安國曰疾悪太甚亦使其爲乱也
子曰如有周公之才之羙使驕且悋其餘不足觀也巳矣	孔安國曰周公者周公且也
子曰三年學不至於糓不易得也巳	孔安國曰糓善也言人三歳學不至於善不可得言必無及也所以勸人於學也
子曰篤信好學守死善道危邦不入乱邦不居天下有道則見無道則隱	苞氏曰言行當常然也危邦不入謂始欲徃也乱邦不居今欲去也臣弑君子弑父乱也危者将乱之兆也
邦有道貧且賤焉耻也邦無道冨且貴焉耻也子曰不在其位不謀其政也	孔安國曰欲各專一於其軄也
子曰師摯之始關雎之乱洋洋乎盈耳哉	鄭玄曰師摯鲁大師之名始猶首也周道旣衰鄭衛之音作正樂廢而失節鲁大師摯識關雎之聲而首理其乱洋洋乎盈耳哉聼而羙也
子曰狂而不直	孔安國曰狂者進取冝直也
侗而不愿	孔安國曰侗未成器之人也冝謹愿也
悾悾而不信	苞氏曰悾悾慤慤也冝可信也
吾不知之矣	孔安國曰言皆與常度反故我不知也
子曰學如不及猶恐失之	學自外入至熟乃可長久如不及猶恐失之耳也
子曰巍巍乎舜禹之有天下也而不與焉	羙舜禹巳不與求天下而得之也巍巍者髙大之稱也
子曰大哉堯之為君也巍巍乎唯天為大唯堯則之	孔安國曰則法也美堯能法天而行化也
蕩蕩乎民無能名焉	苞氏曰蕩蕩廣逺之稱也言其布徳廣逺民無能識名焉
巍巍乎其有成㓛也	㓛成化隆髙大巍巍也
煥乎其有文章	煥明也其立文垂制復著明也
舜有臣五人而天下治	孔安國曰禹稷契皐陶伯益也
武王曰予有乱臣十人	孔安國曰乱理也理官者十人也謂周公且召公奭太公望畢公榮公太顛閎夭散冝生南官适也其餘一人謂文母也
孔子曰才難不其然乎唐虞之際於斯為盛有婦人焉九人而巳	孔安國曰唐者堯號也虞者舜号也際者堯舜交㑹之間也斯此也此於周也言堯舜交㑹之間比於此周周最盛多賢然尚有一婦人其餘九人而巳大才難得豈不然乎
三分天下有其二以服事殷周徳其可謂至徳也巳矣	苞氏曰殷纣淫乱文王為西伯而有聖徳天下之歸周者三分有二而猶以服事殷故謂之至德也
子曰禹吾無間然矣	孔安國曰孔子推禹功徳之盛言巳不能復間廁其間也
菲飲食而致孝乎鬼神	馬融曰菲薄也致孝乎鬼神祭祀豐㓗也
悪衣服而致羙乎黻冕	孔安國曰損其常服以盛祭服也
卑宫室而盡力乎溝洫	苞氏曰方里為井井間有溝溝廣深四尺十里為城城間有洫洫廣深八尺也
禹	_
吾	_
無	_
間	_
然	_
矣	_
