論語子罕第九何晏集解	凢卅一章皇卅章
子罕言利與命與仁	罕者希也利者義之和也命者天之命也仁者行之盛也寡能及之故希言也
達巷黨人曰大哉孔子愽學而無所成名	鄭玄曰達巷黨名也五百家爲黨此黨之人美孔子愽學道藝不成一名而巳也
子聞之謂門弟子曰吾何執執御乎執射乎吾執御矣	鄭玄曰聞人羙之承以謙也吾執御者欲名六藝之卑也
子曰麻冕禮也今也純儉吾從衆	孔安國曰冕緇布冠也古者績麻三十升布以為之纯絲也絲易成故從儉也
拜下禮也今拜乎上㤗雖違衆吾從下	王肅曰臣之與君行禮者下拜然後升成禮時臣驕㤗故於上拜今從下禮之恭也
子绝四毋意	以道為度故不任意也
毋必	用之則行捨之則截故無專必也
毋固	無可無不可故無固行也
毋我	述古而不自作處群萃而不自異唯道是從故不自有其身也
子畏於匡	苞氏曰匡人誤圍夫子以為陽虎陽虎甞暴於匡夫子弟子顔尅時又與虎俱徃後尅為夫子御至於匡匡人相與共識尅又夫子容貌與虎相似故匡人以兵圍之也
曰文王旣沒文不在兹乎	孔安國曰兹此也言文王雖巳没其文見在此此自此其身也
天之將喪斯文也後死者不得與於斯文也	孔安國曰文王旣沒故孔子自謂後死也言天將喪此文者本不當使我知之今使我知未欲喪之
天之未喪斯文匡人其如予何	馬融曰如予何者猶言奈我何也天之未喪此文也則我當傳之匡人欲奈我何言其不能違天而害巳也
太宰問於子貢曰夫子聖者與何其多能也	孔安國曰太宰大夫官名也或具或宋未可分也疑孔子多能於小藝也
子貢曰固天縱之將聖又多能也	孔安國曰言天固縱之大聖之徳又使多能也
子聞之曰太宰知我者乎吾少也賤故多能鄙事君子多乎哉不多也	苞氏曰我少小貧賤常自執事故多能為鄙人之事君子固不當多能也
牢曰子云吾不試故藝	鄭玄曰牢弟子子牢也試用也言孔子自云我不見用故多能伎藝也
子曰吾有知乎哉無知也	知者知意之知也言知者言未必盡也今我誠盡也
有鄙夫問於我空空如也我叩其兩端而竭焉	孔安國曰有鄙夫来問於我其意空空然我則發事之終始兩端以語之竭盡所知不為有愛也
子曰鳯鳥不至河不出圖吾巳矣夫	孔安國曰有聖人受命則鳯鳥至河出圖今天無此瑞吾巳矣夫者不得見也河圖八卦是也
子見齊衰者冕衣裳者與瞽者	苞氏曰冕者冕冠也大夫之服也瞽者盲者也
見之雖少者必作過之必趨	苞氏曰作起也趨􁀣行也此夫子哀有喪尊在位恤不成人之也
顔淵喟然歎曰	喟然歎聲也
仰之㫆髙鑚之㫆堅	言不可窮盡也
瞻之在前忽焉在後	言忽怳不可為形像也
夫子循循然善誘人	循循次序貌也誘進也言夫子正以此道勸進人有次序也
愽我以文约我以禮欲罷不能旣竭吾才如有所立卓爾雖欲從之未由也巳	孔安國曰言夫子既以文章𨳩愽我又以礼節節約我使我欲罷而不能巳竭我才矣其有所立則又卓然不可及言巳雖䝉夫子之善誘猶不能及夫子之所立也
子􁀣病	苞氏曰􁀣甚曰病也
子路使門人爲臣	鄭玄曰孔子甞爲大夫故子路欲使弟子行其臣之禮也
病間曰久矣哉由之行詐也無臣而爲有臣吾誰欺欺天乎	孔安國曰病小差曰間言子路有是心非唯今日也
且予與其死於臣之手也無寧死於二三子之手乎	馬融曰無寧寧也二三子門人也就使我有臣而死其手我寧死弟子之手乎也
且予縱不得大葬	孔安國曰君臣禮葬也
予死於道路乎	馬融曰就使之不得以君臣之禮葬有二三子在我寧當憂棄於道路乎
子貢曰有羙玉於斯韞匵而蔵諸求善賈而沽諸	馬融曰韞蔵也匵匱也蔵諸匱中沽賣也得善賈寧賣之耶也
子曰沽之哉沽之哉我待賈者	苞氏曰沽之哉不衒賣之辭也我居而待賈者也
子欲居九夷	馬融曰九夷東方之夷有九種也
或曰陋如之何子曰君子居之何陋之有	馬融曰君子所居者皆化也
子曰吾自衛反於魯然後樂正雅頌各得其所	鄭玄曰及鲁鲁哀公十一年冬也是時道衰樂廢孔子来還乃正之故曰雅頌各得其所也
子曰出則事公卿入則事父兄䘮事不敢不勉不爲酒困何有於我哉	馬融曰困乱也
子在川上曰逝者如斯夫不舎晝夜	苞氏曰逝徃也言凢徃者如川之㳘也
子曰吾未見好徳如好色者也	􁀣時人薄於徳而厚於色也故發此言也
子曰譬如爲山未成一簣止吾止也	苞氏曰簣圡籠也此勸人進於道徳也為山者其功雖巳多未成一籠而中道止者我不以其前功多而善之見其志不遂故不與也
譬如平地雖覆一簣進吾徃也	馬融曰平地者將進加功雖始覆一簣我不以其見功少而薄之也據其欲進而與之也
子曰語之而不惰者其回與	顔淵則解故語之不惰餘人不解故有惰語之時也
子謂顔淵曰惜乎吾見其進也未見其止也	苞氏曰孔子謂顔淵進益未止痛惜之甚也
子曰苗而不秀者有矣夫秀而不實者有矣夫	孔安國曰言万物有生而不育成者喻人亦然也
子曰後生可畏也焉知来者之不如今也	後生謂年少也
四十五十而無聞焉斯亦不足畏也巳矣子曰法語之言能無從乎改之爲貴	孔安國曰人有過以正道告之口無不順從之能必改乃爲貴也矣
巽與之言能無說乎繹之爲貴	馬融曰巽恭也謂恭巽謹敬之言聞之無不悅也能尋繹行之乃爲貴也
恱而不繹從而不改吾末如之何也巳矣子曰主忠信無友不如巳者過則勿憚改	慎其所主所友有過務改皆所以爲益也
子曰三軍可奪帥也匹夫不可奪志也	孔安國曰三軍雖衆人心非一則其將帥可奪之而取匹夫雖微苟守其志不可得而奪也
子曰衣弊緼𫀆與衣狐狢者立而不耻者其由與	孔安國曰缊枲著也
不忮不求何用不臧	馬融曰忮害也臧善也言不忮害不貪求何用爲不善疾貪悪忮害之詩也
子路终身誦之子曰是道也何足以臧	馬融曰臧善也尚復有美於是者何足以爲善也
子曰歳寒然後知松栢之後彫也	大寒之歳衆木皆死然後知松栢小彫傷也平嵗則衆木亦有不死者故須歳寒而後别之喻凢人處治丗亦能自修整與君子同在濁丗然後知君子之正不苟容也
子曰知者不惑	苞氏曰不惑乱也
仁者不憂	孔安國曰無憂患也
勇者不懼子曰可與共學未可與適道	適之也雖學或得異端未必能之道也
