論語顔淵第十二何晏集觧	九卄四章
顔淵問仁子曰尅己𣸪禮爲仁	馬融曰尅巳約身也孔安國曰復及也身能及禮則爲仁矣
一日尅己復禮天下歸仁焉	馬融曰一日猶見歸况終身乎
爲仁由巳而由人乎哉	孔安國曰行善在巳不在人也
顔淵曰請問其目	苞氏曰知其必有條目故請問之也
子曰非禮勿視非禮勿聴非禮勿言非禮勿動	鄭玄曰此四者尅巳復禮之目
顔淵曰回雖不敏請事斯語矣	王肅曰敬事此語必行之
仲弓問仁子曰出門如見大賔使民如承大祭	孔安國曰仁之道莫尚乎敬也
巳所不欲勿施於人在邦無怨在家無怨	苞氏曰在邦為諸侯也在家爲卿大夫也
仲弓曰雍雖不敏請事斯語矣司馬牛問仁子曰仁者其言也訒也	孔安國曰訒難也牛宋人也弟子司馬犂也
曰其言也訒斯可謂之仁巳矣乎子曰爲之難言之得無訒乎	孔安國曰行仁難言仁亦不得不難矣
司馬牛問君子子曰君子不憂不懼	孔安國曰牛兄桓魋將爲乱牛自宋来學常憂懼故孔子解之
曰不憂不懼斯可謂君子巳乎子曰内省不疚夫何憂何懼	苞氏曰疚病也内省無罪悪無可憂懼也
司馬牛憂曰人皆有兄弟我獨亡	鄭之曰牛兄桓魋行悪死亡無日我爲無兄弟也
子夏曰商聞之矣死生有命冨貴在天君子敬而無失與人恭而有禮四海之内皆爲兄弟也君子何患乎無兄弟也	苞氏曰君子䟽悪而友賢九州之人皆可以禮親之
子張問明子曰浸潤之譛膚受之愬不行焉可謂明也巳矣	鄭玄曰譛人之言如水之浸潤以漸成人之祸馬融曰膚受皮膚外語非其内實也
浸潤之譛膚受之愬不行焉可謂逺也巳矣	馬融曰無此二者非伹為明其徳行髙逺人莫能及之
子貢問政子曰足食足兵使民信之矣子貢曰必不得巳而去於斯三者何先曰去兵曰必不得巳而去於斯二者何先曰去食自古皆有死民不信不立	孔安國曰死者古今常道人皆有之治邦不可失信也
棘子城曰君子質而巳矣何以文爲矣	鄭玄曰舊說云棘子城衞大夫也
子貢曰惜乎夫子之說君子也駟不及舌	鄭玄曰惜乎夫子之說君子也過言一出駟馬追之不及舌
文猶質也質猶文也虎豹之鞹猶犬羊之鞹也	孔安國曰皮去毛曰鞹虎豹與犬羊别者正以毛文異耳今使文質同者何以别虎豹與犬羊邢
哀公問於有若曰年飢用不足如之何有若對曰盍徹乎	鄭玄曰盍者何不也周法十一而稅謂之徹徹通也為天下通法也
曰二吾猶不足如之何其徹也	孔安國曰二謂十二而稅也
對曰百姓足君孰與不足百姓不足君孰與足	孔安國曰孰誰也
子張問崇德辨惑	苞氏曰辨别也
子曰主忠信徙義崇德也	苞氏曰徙義見義則徙意從之
愛之欲其生也悪之欲其死也既欲其生又欲其死是惑	苞氏曰愛悪當有常一欲生之一欲死之是心惑也
誠不以冨亦祗以異	鄭玄曰此詩小雅也祗適也言此行誠不可以致冨適以足為異耳取此詩之異義以非之也
齊景公問政於孔子孔子對曰君君臣臣父父子子	孔安國曰當此時陳桓制齊君不君臣不臣故以此對也
公曰善哉信如君不君臣不臣父不父子不子雖有粟吾豈得而食諸	孔安國曰言將危也陳氏果滅齊也
子曰片言可以折獄者其由也與	孔安國曰片猶偏也聴訟必湏兩辭以定是非偏信一言以折獄者唯子路可也
子路無宿諾	宿猶豫也子路䔍信恐臨時多故故不豫䛯也
子曰聴訟吾猶人也	苞氏曰言與人䓁
必也使無訟乎	王肅曰化之在前也
子張問政子曰居之無倦行之以忠	王粛曰言爲政之道居之於身無得懈倦行之於民必以忠信也
子曰君子博學於文約之以禮亦可以弗畔矣夫	弗畔不違道也
子曰君子成人之羙不成人之悪小人反是季康子問政於孔子孔子對曰政者正也子帥而正孰敢不正	鄭玄曰季康子鲁上卿諸臣之帥也
季康子患盗問於孔子孔子對曰苟子不欲雖賞之不竊	孔安國曰欲情慾也言民化於上不從其所令從其所好也
季康子問政於孔子曰如殺無道以就有道何如	孔安國曰就成也欲多殺以止姧也
孔子對曰子爲改焉用殺子欲善而民善矣君子之徳風也小人之徳草也草尚之風必偃	孔安國曰亦欲令康子先自正也偃仆加草以風無不仆者猶民之化於上也
子張問士何如斯可謂之達也子曰何㢤爾所謂達者矣子張對曰在邦必聞在家必聞	鄭玄曰言士之所在皆能有名譽也
子曰是聞也非達也夫達者質直而好義察言而觀色慮以下人	馬融曰常有謙退之志察言語見顔色知其所欲其念慮常欲以下人也
在邦必達在家必達	馬融曰謙尊而光卑而不可踰也
夫聞者色取仁而行違居之不疑	馬融曰此言佞人也佞人假仁者之色行之則違安居其偽而不自疑者也
在邦必聞在家必聞	馬融曰佞人黨多也
樊遅從逰於舞雩之下	苞氏曰舞雩之處有壇墠樹木故其下可遊也
曰敢問崇徳脩慝辨惑	孔安國曰慝悪也脩治也治悪為善也
子曰善哉問先事後得非崇徳與	孔安國曰先勞於事然後得報也
攻其悪毋攻人之悪非脩慝與一朝之忿忘其身以及其親非惑與樊遅問仁子曰愛人問知子曰知人樊遅未達子曰舉直錯諸抂能使枉者直	苞氏曰舉正直之人用之廢置邪枉之人則皆化為直也
樊遅退見子夏曰嚮也吾見於夫子而問知子曰舉直錯諸枉能使抂者直何謂也子夏曰冨哉是言乎	孔安國曰冨盛也
舜有天下選於衆舉皐陶不仁者逺矣湯有天下選衆舉伊尹不仁者逺矣	孔安國曰言舜湯有天下選擇於衆舉皐陶伊尹則不仁者逺矣仁者至矣
子貢問友子曰忠告而以善導之否則止無自辱焉	苞氏曰忘告以是非告之也以善導之不見從則止必言之或見辱也
曽子曰君子以文會友	孔安國曰友以文徳合也
以友輔仁	孔安國曰友有相切磋之道所以輔成巳之仁也
