論語憲問第十四何晏集解	九卅四章
憲問恥子曰邦有道糓	孔安國曰糓禄也邦有道當食其禄也
邦無道糓恥也	孔安國曰君無道而在其朝食其禄是恥辱也
剋伐怨欲不行焉可以為仁矣	馬融曰剋好勝人也伐自伐其功也怨忌小怨也欲貪欲也
子曰可以為難矣仁則吾不知也	苞氏曰此四者行之難者未是以為仁也
子曰士而懷居不足以為士矣	士當志道不求安而懷其居非士也
子曰邦有道危言危行	苞氏曰危厲也邦有道可以厲言行也
邦無道危行言遜	遜順也厲行不随俗順言以逺害也
子曰有徳者必有言	徳不可以憶中故必有言也
有言者不必有德仁者必有勇勇者不必有仁南宫适	孔安國曰适南宫敬叔鲁大夫也
問於孔子曰羿善射奡盪舟	孔安國曰羿有窮之君也篡夏后相之位其臣寒浞殺之因其室而生奡奡多力能陸地行舟為夏后少康所殺也
俱不得其死然	孔安國曰此二子者皆不得以壽終也
禹稷躬稼而有天下夫子不荅	馬融曰禹盡力於溝洫稷播殖百糓故曰躬稼也禹及其身稷及後丗皆王也适意欲以禹稷比孔子孔子謙故不荅也
南宫适出子曰君子哉若人尚德哉若人	孔安國曰賤不義而貴有徳故曰君子也
子曰君子而不仁者有矣夫未有小人而仁者也	孔安國曰雖日君子猶未能備也
子曰愛之能勿勞乎忠焉能勿誨乎	孔安國曰言人有所愛必欲勞来之有所忠必欲教誨之也
子曰爲命卑諶草創之	孔安國曰卑諶鄭大夫名也謀於野則獲謀於國則否鄭國將有諸侯之事則使乗車以適野而謀作盟㑹之辭也
丗叔討論之行人子羽脩飾東里子産潤色之	馬融曰丗叔鄭大夫游吉也討治也卑諶既造謀丗叔𣸪治而論之詳而審之也行人掌使之官也子羽公孫揮也子産居東里因以爲號也更此四賢而成故鮮有敗事也
或問子産子曰惠人也	孔安國曰惠愛也子産古之遺愛也
問子西曰彼哉彼哉	馬融曰子西鄭大夫彼哉彼哉言無足稱也或曰楚令尹子西也
問管仲曰人也	猶詩言所謂伊人也
奪伯氏駢邑三百飯𬞞食沒齒無怨言	孔安國曰伯氏齊大夫駢邑地名也齒年也伯氏食邑三百家管仲奪之使至𬞞食而沒齒無怨言以當其理故也
子曰貧而無怨難冨而無驕易子曰孟公綽為趙魏老則優不可以為藤薛大夫也	孔安國曰公綽鲁大夫也趙魏皆晉卿也家臣稱老公绰性寡欲趙魏貪賢家老無軄故優藤薛小國大夫軄煩故不可為也
子路問成人曰若臧武仲之智	馬融曰鲁大夫臧孫紇也
公綽之不欲	馬融曰鲁大夫孟公綽也
卞荘子之勇	周生烈曰卞邑大夫也
冉求之藝文之以禮樂	孔安國曰加之以禮樂文成也
亦可以爲成人矣曰今之成人者何必然見利思義	馬融曰義然後取不苟得也
見危授命乆要不忘平生之言亦可以爲成人矣	孔安國曰乆要舊約也平生猶少時也
子問公叔文子於公明賈曰信乎夫子不言不笑不取乎	孔安國曰公叔文子衛大夫公孫㧞也文謚也
公明賈對曰以告者過也夫子時然後言人不厭其言也樂然後笑人不厭其笑也義然後取人不厭其取也子曰其然豈其然乎	馬融曰羙其得道嫌其不能悉然也
子曰臧武仲以防求為後於鲁雖曰不要君吾不信也	孔安國曰防武仲故邑也為後立後也鲁襄公三十三年武仲為孟氏所譛出奔邾自邾如防使以大蔡納請曰统非敢害也智不足也非敢私請苟守先祀無廢二勲敢不避邑乃立臧為紇致防而奔齊此所謂要君也
子曰晉文公譎而不正	鄭玄曰譎者詐也謂召扵天子而使諸侯朝之仲尼曰以臣召君不可以訓故書曰天王狩于河陽是譎而不正也
齊桓公正而不譎	馬融曰伐楚以公義責苞苐之貢不入問昭王南征不還是正而不譎也
子路曰桓公殺公子紏召忽死之管仲不死曰未仁乎	孔安國曰齊襄公立無常鮑叔牙曰君使民慢亂將作矣奉公子小白出奔苢襄公從弟公孫無知殺襄公管夷吾召忽奉公子紏出奔魯齊人殺無知鲁伐齊納子紏小自自莒先入是為桓公乃殺子纠召忽死也
子曰桓公九合諸侯不以兵車管仲之力也如其仁如其仁	孔安國曰誰如管仲之仁矣
子貢曰管仲非仁者與桓公殺公子紏不能死又相之子曰管仲相桓公覇諸侯一匡天下	馬融曰匡正也天子微弱桓公率諸侯以尊周室一正天下也
民到于今受其賜	受其賜者謂不𬒳髪左袵之惠也
微管仲吾其𬒳髮左袵矣	馬融曰微無也無管仲則君不君臣不臣皆為夷狄也
豈若匹夫匹婦之為諒也自經於溝瀆而莫之知也	王肅曰經經死於溝瀆之中也管仲召忽之於公子紏君臣之義未正成故死之未足深嘉不死未足多非死既難亦在於過厚故仲尼伹羙管仲之功亦不言召忽不當死也
公叔文子之臣大夫僎與文子同升諸公	孔安國曰大夫僎本文子家臣也薦之使與巳並為大夫同升在公朝也
子聞之曰可以為文矣	孔安國曰行如是可謚為文也
子曰衛霊公之無道也康子曰夫如是奚而不喪孔子曰仲叔圉治賔客祝鮀治宗廟王孫賈治軍旅夫如是奚其喪	孔安國曰言君雖無道所任者各當其才何為當亡乎也
子曰其言之不怍則其為之難也	馬融曰作慙也内有其實則言之不慙積其實者為之難也
陳成子殺簡公孔子沐浴而朝告於哀公曰陳桓殺其君請討之	馬融曰陳成子齊大夫陳桓也將告君故先齊齋必沐浴也
公曰告夫二三子	孔安國曰謂三卿也
孔子曰以吾從大夫之後不敢不告也君曰告夫二三子者	馬融曰我於禮當吿君不當告二三子君使我徃故復徃也
之二三子告不可孔子曰以吾從大夫之後不敢不告	馬融曰孔子由君命之二三子告不可故𣸪以此辭語之而止也
子路問事君子曰勿欺也而犯之	孔安國曰事君之道義不可欺當能犯顔色諫争也
子曰君子上達小人下達	本為上未為下也
子曰古之學者為巳今之學者為人也	孔安國曰為巳履而行之無為人徒能言之也
蘧伯玉使人扵孔子孔子與人坐而問焉	孔安國曰伯玉衛大夫蘧瑗也
曰夫子何為對曰夫子欲寡其過而未能也	言夫子欲寡其過而未能無過也
使者出子曰使乎使乎	陳群曰再言使乎善之也言使得其人也
子曰不在其位不謀其政曽子曰君子思不出其位子曰君子恥其言之過其行也子曰君子道者三我無能焉仁者不憂知者不惑勇者不懼子貢曰夫子自道也子貢方人	孔安國曰比方人也
子曰賜也賢乎我夫我則不睱	孔安國曰不睱比方人也
子曰不患人之不已知患巳無能也	王肅曰徒患巳之無能也
子曰不逆詐不憶不信抑亦先覺者是賢乎	孔安國曰先覺人情者是寧能為賢乎或時反怨人也
微生畒謂孔子曰丘何為是栖栖者與無乃為佞乎	苞氏曰微生姓也畒名也
孔子對曰非敢為佞也􁀣固也	苞氏曰疾丗固陋欲行道以化人也
子曰驥不稱其力稱其德也	鄭玄曰德者謂調良之德也
或曰以德報怨何如子曰何以報德	德恩惠之德也
以直報怨以德報德子曰莫我知也夫子貢曰何為其莫知子也	子貢恎夫子言何為莫知巳故問也
子曰不怨天不尤人	馬融曰孔子不用於丗而不怨天人不知巳亦不尤人也
下學而上達	孔安國曰下學人事上知天命也
知我者其天乎	聖人與天地合其德故曰唯天知巳也
公伯寮愬子路於季孫	馬融曰愬譖也伯寮鲁人弟子也
子服景伯以告	馬融曰鲁大夫子服何忌也告告孔子也
曰夫子固有惑志	孔安國曰季孫信䜛惑子路也
於公伯寮也吾力猶能肆諸市朝	鄭玄曰吾勢能辨子路之無罪於季孫使之誅伯寮而肆之也有罪既刑陳其尸曰肆也
子曰道之將行也與命也道之將廢也與命也公伯寮其如命何子曰賢者避丗	孔安國曰丗主莫得而臣之也
其次避地	馬融曰去亂國適治邦也
其次避色	孔安國曰色斯舉也
其次避言	孔安國曰有悪言乃去也
子曰作者七人矣	苞氏曰作為也為之者凡七人謂長沮桀溺丈人石門荷簣儀封人楚狂接與也
子路宿於石門石門晨門曰奚自	晨門者閽人也
子路曰自孔氏曰是知其不可而為之者與	苞氏曰言孔子知丗不可為而強為之也
子擊磬於衛有荷簣而過孔子之門者曰有心哉擊磬乎	簣草器也有心謂契契然也
既而曰鄙哉硜硜乎莫巳知也斯巳而巳矣	此硜硜徒信巳而巳言亦無益也
深則厲淺則掲	苞氏曰以衣渉水為厲揭掲衣言随丗以行巳若遇水必以濟知其不可則當不為也
子曰果哉未之難矣	未知巳志而便譏巳所以為果也未無也無以難者以其不能解巳道也
子張曰書云髙宗諒隂三年不言何謂也	孔安國曰髙宗殷之中興王武丁也諒信也隂猶黙也
子曰何必髙宗古之人皆然君薨百官緫已	馬融曰已已百官也
以聴於冢宰三年	孔安國曰冢宰天官佐王治者也三年䘮畢然後王自聴政也
子曰上好禮則民易使也	民莫敢不敬故易使之也
子路問君子子曰脩巳以敬人	孔安國曰敬其身也
曰如斯而巳乎曰脩巳以安人	孔安國曰人謂朋友九族也
曰如斯而已乎曰脩巴以安百姓脩巳以安百姓堯舜其猶病諸	孔安國曰病猶難也
原壤夷俟	馬融曰原壤鲁人孔子故舊也夷踞也俟待也踞待孔子也
子曰㓜而不遜悌長而無述焉老而不死是為賊	賊為賊害也
以杖叩其脛	孔安國曰叩擊也脛脚脛也
闕黨童子將命矣	馬融曰闕黨之童子将命者傳賔主之語出入之也
或問之曰益者與子曰吾見其踞於位也	童子隅坐無位成人乃有位也
