論語陽貨第十七何晏集解	九卄四章
陽貨欲見孔子孔子不見	孔安國曰陽貨陽虎也季氏家臣而專魯國之政欲見孔子使仕也
歸孔子豚	孔安國曰欲使徃謝故遺孔子豚也
孔子時其亡也而徃拜之遇諸塗	孔安國曰塗道也於道路與相逄也
謂孔子曰来予與爾言曰懷其寳而迷其邦可謂仁乎曰不可	馬融曰言孔子不仕是懷寳也知國不治而不為政是迷邦也
好從事而亟失時可謂智乎曰不可	孔安國曰言孔子拪拪好從事而數不遇失時不為有智也
日月逝矣歳不我與	馬融曰年老嵗月巳徃當急仕也
孔子曰諾吾將仕矣	孔安國曰以順辭免害也
子曰性相近也習相逺也	孔安國曰君子慎所習也
子曰唯上智與下愚不移	孔安國曰上智不可強使為悪下愚不可使強賢也
子之武城聞絃歌之聲	孔安國曰子游為武城宰
夫子莞爾而笑	莞爾小笑貌
曰割鷄焉用牛刀	孔安國曰言治小何湏用大道
子游對曰昔者偃也聞諸夫子曰君子學道則愛人小人學道則易使	孔安國曰道禮樂也樂以和人人和則易使也
子曰二三子	孔安國曰從行者也
偃之言是也前言戯之耳	孔安國曰戯以治小而用大道
公山不擾以費畔召子欲徃	孔安國曰不擾為季氏宰與陽虎共執季桓子而召孔子也
子路不恱曰未之也巳何必公山氏之之也	孔安國曰之適也無可之則止耳何必公山氏之適
子曰夫召我者而豈徒哉如有用我者吾其爲東周乎	興周道於東方故曰東周
子張問仁於孔子孔子對曰能行五者於天下為仁矣請問之曰恭寛信敏惠恭則不侮	孔安國曰不見侮慢也
寛則得衆信則人任焉敏則有功	孔安國曰應事疾則多成功也
惠則足以使人佛肹召子欲徃	孔安國曰晉大夫趙簡子之邑宰
子路曰昔者由也聞諸夫子曰親於其身為不善者君子不入	不入其國
佛肸以中牟叛子之徃也如之何子曰然有是言曰不曰堅乎磨而不磷不曰白乎涅而不緇	孔安國曰磷薄也涅可以染皂者言至堅者磨之而不薄至白者染之涅不黒君子雖在濁亂濁亂不能汚也
吾豈匏瓜也哉焉能繋而不食	匏瓠也言瓠匏瓜得繋一處者不食故也吾自食物當東西南北不得如不食之物繋滯一處也
子曰由也汝聞六言六蔽矣乎	六言六蔽下六事謂仁智信直勇剛也
對曰未也居吾語汝	孔安國曰子路起對故使還坐也
好仁不好學其蔽也愚	孔安國曰仁者愛物不知所以裁之則愚
好知不好學其蔽也蕩	孔安國曰蕩無所適中也
好信不好學其蔽也賊	孔安國曰父子不知相爲隱之輩
好直不好學其蔽也絞好勇不好學其蔽也亂好剛不好學其蔽也狂	孔安國曰狂妄抵觸人
子曰小子何莫學夫詩	苞氏曰小子門人也
詩可以興	孔安國曰興引譬連類
可以觀	鄭玄曰觀觀風俗之盛衰
可以羣	孔安國曰羣居相切磋也
可以怨	孔安國曰怨刺上政
邇之事父逺之事君	孔安國曰邇近也
多識於鳥獸草木之名子謂伯魚曰女為周南邵南矣乎人而不為周南邵南其猶正牆面而立也與	馬融曰周南邵南國風之始淑女以配君子三綱之首王教之端故人而不為如向牆而立
子曰禮云禮云玉帛云乎哉	鄚玄曰玉珪璋之屬帛束帛之屬言禮非伹崇此玉帛而巳所貴者乃貴其安上治民也
樂云樂云鍾皷云乎哉	馬融曰樂之所貴者移風易俗非謂鍾皷而巳也
子曰色厲而内荏	孔安國曰荏柔也謂外自矝厲而内柔佞者
