論語微子第十八何晏集解	九十一章
微子去之箕子爲之奴比于諌而死	馬融曰微箕二國名子爵也微子纣之庶兄箕子比干纣之諸父也微子見纣無道早去之箕子詳狂為奴比干以諌而見殺也
孔子曰殷有三仁焉	仁者愛人三人行各異而同稱仁以其俱在憂亂寧民也
栁下惠爲士師	孔安國曰士師典獄之官
三黜人曰子未可以去乎曰直道而事人焉徃而不三黜	孔安國曰苟直道以事人所至之國俱當復三黜
枉道而事人何必去父母之邦齊景公待孔子曰若季氏則吾不能以季孟之間待之	孔安國曰魯三卿季氏為上卿㝡責孟氏為下卿不用事言待之以二者之間
曰吾老矣不能用也孔子行	以聖道難成故云老矣不能用
齊人歸女樂季桓子受之三日不朝孔子行	孔安國曰桓子季孫斯也使定公受齊之女樂君臣相與觀之廢朝禮三日也
楚狂接輿歌而過孔子之門	孔安國曰接輿楚人也詳狂而來歌欲以感切孔子
曰鳯兮鳯兮何德之衰也	孔安國曰比孔子於鳯鳥也鳯鳥待聖君而乃見非孔子周行求合故曰哀之也
徃者不可諌也	孔安國曰巳徃所行不可𣸪諫止
來者猶可追也	孔安國曰自今以来可追自止避亂隱居
巳而巳而今之從政者殆而	孔安國曰巳而者言丗亂巳甚不可𣸪治再言之者傷之甚也
孔子下欲與之言趨而避之不得與之言	苞氏曰下下車也
長沮桀溺耦而耕孔子過之使子路問津焉	鄭玄曰長沮桀溺隱者也耜廣五寸二耜為耦津濟渡處
長沮曰夫執輿者為誰子路曰為孔丘曰是魯孔丘與對曰是也曰是知津矣	馬融曰言數周流自知津處也
問於桀溺桀溺曰子爲誰曰為仲由曰是鲁孔丘之徒與對曰然曰滔滔者天下皆是也而誰以易之	孔安國曰淊滔者周流之貌也言當今天下洽亂同空舎此適彼故曰誰以易之
且而與其從避人之士豈若從避丗之士哉	士有避人之法有避丗之法長沮桀溺謂孔子為士從避人之法也巳為士則從避丗之法也
耰而不輟	鄭玄曰耰覆種也輟止也覆種不止不以津告也
子路行以告夫子憮然	為其不達巳意而便非巳也
曰鳥獸不可與同羣也	孔安國曰隱居於山林是與鳥獸同羣
吾非斯人之徒與而誰與	孔安國曰吾自當與此天下人同羣安能去人從鳥獸居乎
天下有道丘不與易也	孔安國曰言凡天下有道者丘皆不與易之巳大而人小故也
子路從而後遇丈人以杖荷蓧	苞氏曰丈人老者也蓧竹器名也
子路問曰子見夫子乎丈人曰四體不勤五糓不分孰為夫子	苞氏曰丈人曰不勤勞四體不分殖五糓誰為夫子而索之耶
植其杖而芸	孔安國曰植倚也除草曰芸
子路拱而立	未知所以荅也
止子路宿殺雞爲黍而食之見其二子焉明日子路行以告子曰隱者也使子路反見之至則行矣	孔安國曰子路反至其家丈人出行不在
子路曰不仕無義	鄭玄曰㽞言以語丈人之二子也
長㓜之節不可廢也君臣之義如之何其可廢也	孔安國曰言女知父子相飬不可廢反可廢君臣之義耶
欲㓗其身而亂大倫	苞氏曰倫道也理也
君子之仕也行其義也道之不行也巳知之矣	苞氏曰言君子之仕所以行君臣之義也不自必道得行孔子道不見用自巳知之也
逸民伯夷叔齊虞仲夷逸朱張栁下惠少連	逸民者節行超逸者包氏曰此七人皆逸民之賢者也
子曰不降其志不辱其身者伯夷叔齊與	鄭玄曰言其直巳之心不入庸君之朝
謂栁下惠少連降志辱身矣言中倫行中慮其斯而巳矣	孔安國曰伹能言應倫理行應思慮若此而巳
謂虞仲夷逸隱居放言	苞氏曰放置也置不𣸪言丗務也
身中清廢中權	馬融曰清純㓗也遭丗亂身廢棄以免患合於權也
我則異於是無可無不可	馬融曰亦不必進亦不必退唯義所在
大師摯適齊亞飯干適楚	孔安國曰亞次也次飯樂師也摯干皆名也
三飯繚適蔡四飯缺適秦	苞氏曰三飯四飯樂章名也各異師繚缺皆名
鼔方叔入于河	苞氏曰鼓擊鼓者方叔名也入謂居其河内也
播鞀武入于漢	孔安國曰播猶揺也武名也
少師陽擊磬襄入于海	孔安國曰鲁哀公時禮毀樂崩樂人皆去陽襄皆名
周公語鲁公	孔安國曰鲁公周公之子伯禽封於鲁
曰君子不施其親	孔安國曰施昜也不以他人易其親也
不使大臣怨乎不以	孔安國曰以用也怨不見聽用
故舊無大故則不棄也母求備於一人	孔安國曰大故謂悪逆之事
周有八士伯達伯适仲突仲忽叔夜叔夏季隨季騧	苞氏曰周時四乳得八子皆爲顯士故記之
