衛淇奥詁訓傳第五	鄭王俱云紂都之東也
毛詩國風鄭氏箋淇奥羙武公之德也有文章又能聽其規諌以禮自防故能入相于周羙而作是詩也	淇音其奥於六反一音烏報反淇水名草木䟽云奥亦水名相息亮反
瞻彼淇奥緑竹猗猗	興也奥隈也緑王芻也竹萹竹也猗猗美盛貌武公質美德盛有康叔之餘列○緑竹並如字尓雅緑作菉音同韓詩竹作􁇂都毒反云􁇂萹筑也石經同猗於冝反隈烏廻反孫炎云水曲中也芻𥘉俱反郭璞云今呼白腳莎莎蘇禾反一云即菉蓐草也蓐音辱萹夲亦作扁匹善反又音篇郭匹殄反一音布典反竹音如字又勑六反韓詩作筑音同郭云似小藜赤莖莭好生道旁可食又殺蟲草木䟽云有草似竹髙五六尺淇水側人謂之菉竹也餘烈或无餘字
有匪君子如切如磋如琢如磨	匪文章貌治骨曰切象曰磋玉曰琢石曰磨道其斈而成也聽其規諫以自修如玉石之見琢磨匪本又作斐同芳尾反下同韓詩作邲美貌也磋七何反琢陟角反磨本又作摩莫何反
瑟兮僴兮赫兮咺兮	瑟矜莊貌澗寛大也赫有明德赫赫然咺威儀容止宣著也僴遐板反韓詩云美貌說文云武貌赫呼白反咺况晚反韓詩作宣宣顯也
有匪君子終不可諼兮	諼忘也諼况元反又况逺反
瞻彼淇奥緑竹青青	青青茂盛貌青子丁反
有匪君子充耳琇瑩㑹弁如星	充耳謂之瑱琇瑩美石也天子玉瑱諸侯以石弁皮弁所以㑹髮箋云㑹謂弁之縫中飾之以玉皪皪而処狀似星也天子之朝服皮弁以日視朝琇音秀沈又音誘說文作璓云石之次玉者弋乆反瑩音榮徐又音營又音瑩磨之瑩㑹古外反注同鄭注周礼則如字說文作䯤弁皮変反瑱天見反縫符用反皪夲又作礫音歴又音洛朝直遥反下及下篇同
瑟兮僴兮赫兮咺兮有匪君子終不可諼兮瞻彼淇奥緑竹如簀	簀積也簀音責
有匪君子如金如錫如圭如璧	金錫錬而精圭璧性有質箋云圭璧亦琢磨四者亦道其斈而成也
寛兮綽兮猗重較兮	寛能容衆綽緩也重較卿土之車箋云绰兮謂仁於施舎綽昌若反猗於綺反依也重直恭反注同較古岳反車兩旁上出軾者施如字又詩䜴反又式氏反
善戯謔兮不爲虐兮	寛緩弘大雖則戯謔不爲虐矣箋云君子之德有張有弛故不常矜莊而時戯謔謔香畧反弛本亦作施式氏反
淇奥三章章九句考槃刺莊公也不能繼先公之業使賢者退而窮處	窮猶終也槃薄寒反
考槃在澗碩人之寛	考成槃樂也山夾水曰澗箋云碩大也有窮處成樂在於此澗者形貌大人而寛然有虚之之色澗古晏反韓詩作干云墝埆之處也樂音洛下同夾古洽反
獨寐寤言永矢弗諼	箋云寤覺永長矢誓諼忘也在澗獨寐覺而獨言長自誓以不忘君之惡志在窮處故云然覺交孝反又如字
考槃在阿碩人之薖	曲陵曰阿薖寛大貌箋云薖飢意薖苦禾反韓詩作􁇃􁇃美貌
獨寐寤歌永矢弗過	箋云弗過者不復入君之朝也過古禾反注同崔古卧反復扶又反下同
考槃在陸碩人之軸	軸進也箋云軸病也軸毛音迪鄭直六反
獨寐寤宿永矢弗告	無所告語也箋云不復告君以善道語魚據反
考槃三章章四句碩人閔莊姜也莊公惑於嬖妾使驕上僣莊姜賢而不荅終以無子國人閔而憂之	嬖𥙷惠反上時掌友僣作念反
碩人其頎衣錦褧衣	頎長貌錦文衣也夫人德盛而尊嫁則錦衣加褧儋箋云碩大也言莊姜儀表長麗佼好頎頎然褧禪也國君夫人翟衣而嫁今衣錦者在塗之所服也尚之以禪衣爲其文之大著頎其機反衣於旣反注夫人衣翟今衣錦同褧苦逈反徐又孔穎反說文作檾枲屬也襜昌占反佼本又作姣古夘反下同襌音丹爲于僞反大音㤗下大子同舊音勑賀反
齊侯之子衛侯之妻東宫之妹邢侯之姨譚公維私	東宮齊大子也女子後生曰妹妻之姊妹曰姨姊妹之夫曰私箋云陳此者言莊姜容貌旣美兄弟皆正大邢音形姬姓國譚徒南反國名
手如柔荑	如荑之新生荑徒奚反
膚如凝脂	如脂之疑
領如蝤蠐	領頸也蝤蠐蝎蟲也蝤似脩反徐音曹蠐夲又作又作齊同音齊沈又音茨爾雅云蟦蠐螬蝤蠐蝎郭云蠐螬在糞土中蝎在木中蝎桑蠹是也墳肥分反蠹音妬蝎音曷或音葛
齒如瓠犀	瓠犀瓠瓣瓠戸故反犀音西瓣𥙷遍反又蒲亮沈又蒲閉反
螓首蛾眉	螓首顙廣而方箋云螓謂蜻蜻也螓音秦蛾我波反顙蘇黨反蜻郭徐子盈反沈又慈性反方頭有文王蕭云如蟬而小
巧笑倩兮	倩好口輔倩夲亦作蒨七薦反韓詩云蒼白色
羙目盻兮	盻白黒分箋云此章說莊姜容皃之美所冝親幸盻敷莧反余又敷諫反韓詩云黒色也字林云美目也匹間反又匹莧反
碩人敖敖說于農郊	敖敖長貌農郊近郊箋云敖敖猶頎頎也說當作襚禮春秋之襚讀皆冝同衣服曰禭今俗語然此言莊姜始來更正衣服于衞近郊敖五力反說本或作稅毛始銳反說舎也鄭作襚音遂
四牡有驕朱幩鑣鑣翟茀以朝	驕牡貌幩飾也人君以朱纒鑣扇汗且以爲飾鑣鑣盛貌翟翟車也夫人以翟羽飾車茀蔽也箋云此又言莊姜自近郊旣正衣服乗是車馬以入君之朝皆用嫡夫人之正禮今而不荅驕起橋反幩孚云反又符云反鑣表驕反馬衘外鐵也一名肩汗又曰排沬爾雅云鑣謂之钀钀魚列反沫音末茀音弗朝直遥反注皆同嫡丁歴反本亦作適
大夫宿退無使君勞	大夫未退君聽朝於路寢夫人聽内事於正寢大夫退然後罷箋云莊姜始來時衛諸大夫朝夕者皆早退無使君之勞倦者以君夫人新爲妃耦冝親親之故也○韓詩退罷也案禮記云朝廷曰退妃音配
河水洋洋北流活活施罛濊濊鱣鮪發發葭菼掲掲庻姜孽孽庻士有朅	洋洋盛大也活活流也罛魚罟濊濊施之水中鱣鯉也鮪鮥也發發盛皃葭蘆菼薍也掲掲長也孽孽盛飾庻士齊大夫送女者朅武壯貌箋云庻姜謂姪娣此章言齊地廣饒士女佼好禮儀之備而君何爲不荅夫人洋音羊徐又音祥活活古闊反又如字罛音孤濊濊呼活反馬云大魚罔目大豁豁也韓詩云流皃說文云凝流也鱣陟連反大魚口在頷下長二三丈江南呼黃魚與鯉全異鮪干軌反似鱣大者名曰鮪小者曰叔鮪沈云江淮間曰叔伊洛曰鮪海濵曰鮥發發𥙷未反馬云魚著罔尾發發然韓詩作鱍葭音加菼他覧反玉篇通敢反揭魚竭反徐居謁反孽魚竭反徐五謁反韓詩作䡾牛遏反長皃朅欺列反徐起謁反韓詩作桀云徤也罟音古鮥音洛薍五患反江東呼之烏蓲蓲音丘
碩人四章章七句氓刺時也宣公之時禮義消亡淫風大行男女無别遂相奔誘華落色衰復相棄背或乃困而自悔䘮其妃耦故序其事以風焉羙反正刺淫泆也	氓莫耕反韓詩云美貌别彼列反華戸花反或音花復扶又反背音佩䘮息浪反妃音配風福鳯反泆音逸
氓之蚩蚩抱布貿絲	氓民也蚩蚩敦厚之貌布幣也箋云幣者所以貿買物也季春始蠶孟夏賣絲蚩尺之反貿莫豆反
匪來貿絲來即我謀	箋云匪非即就也此民非來買絲但來就我欲與我謀爲室家也
送子渉淇至于頓丘	丘一成爲頓丘箋云子者男子之通稱言民誘己己乃送之渉淇水至此頓丘定室家之謀且爲㑹期頓都寸反稱尺證反
匪我愆期子無良媒	愆過也箋云良善也非我心欲過子之期子無善媒來告期時愆起䖍反字又作
將子無怒秋以爲期	將願也箋云將請也民欲爲近期故語之曰倩子無怒秋以與子爲期將七羊反語魚據反
乗彼垝垣以望復關	垝毀也復關君子之近也箋云前旣與民以秋爲期期至文民毀垣郷其所近而望之猶有廉恥之心故因復關以託號民云此時始秋也垝俱毀反垣音袁近附近之近郷許亮反本又作嚮
不見復關泣涕漣漣	言其有一心乎君子故能自悔箋云用必専者怨必深漣漣泣皃音連
旣見復關載笑載言	箋云則笑則言喜之甚
爾卜爾筮體無咎言	龜曰卜蓍曰筮體兆卦之體箋云爾女也復關旣見此婦人告之曰我卜女筮女冝爲室家矣兆卦之繇無凶咎之辭言其皆吉又誘定之筮市制反體如字韓詩作履履幸也咎其九反蓍音尸繇直又反
以爾車來以我賄遷	賄財遷徙也箋云女女復関也信其卜筮皆吉故荅之曰徑以女車來迎我我以所有財賄徙就女也賄呼罪反徑經定反
