曹蜉蝣詁訓傳第十四	曹者武王之弟叔振鐸所封之囯也爵爲伯其封域在兖州陶丘之北荷澤之野今濟隂定陶是也
毛詩國風鄭氏箋蜉蝣刺奢也昭公國小而迫無法以自守好奢而任小人將無所依焉	蜉音浮蝣音由昭公囯小而迫一本作囯小而迫案鄭譜云昭公好奢而任小人曹之變風始作此詩箋云喻昭公之朝是蜉蝣爲昭公詩也譜又云蜉蝣至下泉四篇共公時作今詩夲此序多無昭公字崔集注夲有未詳其正也
蜉蝣之羽衣裳楚楚	㒷也蜉蝣渠畧也朝生夕死猶有羽翼以自修飾楚楚鮮明貌箋云興者喻昭公之朝其群臣皆小人也徒整飾其衣裳不知國之將迫脅君臣死亡無日如渠略然楚如字說文作􁇐􁇐云㑹五采鮮色也渠夲或作螶音同其居反注同略夲或作音同沈云二字並不施虫是也朝直遥反下皆同一讀下朝夕字張遥反
心之憂矣於我歸處	箋云歸依歸君當於何依歸乎言有危亡之難將無所就往難乃旦反
蜉蝣之翼采采衣服	采采衆多也
心之憂矣於我歸息	息止也
蜉蝣掘閱麻衣如雪	掘閱容閱也如雪言鮮㓗箋云掘閱掘地解閱謂其始生時也以解閱喻君臣朝夕變易衣服也麻衣深衣諸侯之朝服朝夕則深衣也掘求勿反閱音恱解音蟹下同
心之憂矣於我歸說	箋云說猶舎息也說音稅協韻如字
蜉蝣三章章四句候人刺近小人也共公逺君子而好近小人焉	○候人官名近附近之近下同共音㳟下篇同逺于萬反下注同好呼報反
彼候人兮何戈與祋	候人道路送賔客者何掲祋殳也言賢者之官不過候人箋云是謂逺君子也何何可反又音何祋都外反又都律反掲音竭又其謁反殳市朱反
彼其之子三百赤芾	彼彼曹朝也芾韠也一命緼芾黝珩再命赤芾黝珩三命赤芾葱珩大夫以上赤芾乗軒箋云之子是子也佩赤芾者三百人其音記下皆同芾音弗祭服謂之芾沈又甫味反朝直遥反下在朝同緼音温何烏夲反赤董之色黝於糾反黒色珩音衡上時掌反
維鵜在梁不濡其翼	鵜洿澤鳥也梁水中之梁鵜在梁可謂不濡其翼乎箋云鵜在梁當濡其翼而不濡者非其常也以喻小人在朝亦非其常鵜徒低反亦曰淘河洿音烏一音火故反
彼其之子不稱其服	箋云不稱者言德薄而服尊稱尺證反注同
維鵜在梁不濡其咮	咮喙也咮陟救反徐又都豆反喙虚穢反又尺稅反又陟角反鳥口也
彼其之子不遂其媾	媾厚也箋云遂猶乆也不乆其厚言終將薄於君也媾古亘反
薈兮蔚兮南山朝隮	薈蔚雲興貌南山也隮升雲也箋云薈蔚之小雲朝升於南山不能爲大雨以喻小人雖見任於君終不能成其德敎薈烏㑹反蔚於貴反隮子兮反
婉兮孌兮季女斯飢	婉少貌孌好貌季人之少子也女民之弱者箋云天無大雨則歳不熟而㓜弱者飢猶國之無政令則下民困病婉於阮反孌力轉反少詩照反下同
候人四章章四句鳲鳩刺不壹也在位無君子用心之不壹也	鳲音尸本亦作尸
鳲鳩在桑其子七兮	興也鳲鳩秸鞠也鳴鳩之養其子朝從上下莫從下上平均如一箋云興者喻人君之德當均一於下也以刺今在位之人不如鳲鳩秸居八反又音吉鞠居六反莫音暮上時掌反
淑人君子其儀一兮	箋云淑善儀義也善人君子其執義當如一也
其儀一兮心如結兮	言執義一則用心同
鳲鳩在桑其子在梅	飛在梅也
淑人君子其帶伊絲其帶伊絲其弁伊騏	騏騏文也弁皮弁也箋云其帶伊絲謂大帶也大帶用素絲有雜色飾焉騏當作􁇑以玉爲之言此帶弁者刺不稱其服弁皮彦反騏音其騏纂文也說文作􁇑云弁飾也往往置玉也或亦􁇑􁇑音其稱尺證反
鳲鳩在桑其子在棘淑人君子其儀不忒	忒疑也忒他得反
其儀不忒正是四國	正長也箋云執義不疑則可爲四囯之長言任爲侯伯長張文反下同任音壬
鳲鳩在桑其子在榛淑人君子正是國人正是國人胡不萬年	箋云正長也能長人則人欲其壽考榛側巾反木名也又仕巾反字林云木叢生也字林榛木之字從辛木云似梓實如小栗音壯巾反
鳲鳩四章章六句下泉思治也曹人疾共公侵刻下民不得其所憂而思明王賢伯也	治直吏反刻音克
洌彼下泉浸彼苞稂	㒷也洌寒也下泉泉下流也苞夲也稂童梁非旣草得水而病也箋云興者喻共公之施政敎徒困病其民稂當作凉凉草蕭蓍之屬測音列浸夲又作寖子鴆反根音郎徐又音良毛童梁也鄭作凉音良漑古愛反蓍音尸
愾我寤嘆念彼周京	箋云愾嘆息之意寤覺也念周京者思其先王之明者也愾苦愛反說文云大息也音火旣反覺音敎
洌彼下泉浸彼苞蕭	蕭蒿也蒿好刀反
愾我寤嘆念彼京周洌彼下泉浸彼苞蓍	蓍草也
愾我寤嘆念彼京師芃芃黍苗隂雨膏之	芃芃美貌芃薄工反又薄雄反膏古報反
四國有王郇伯勞之	郇伯郇侯也諸侯有事二伯𫐠職箋云有王謂朝聘於天子也郇侯文王之子爲州伯有治諸侯之功郇音荀勞力報反朝直遥反
下	_
泉	_
四	_
章	_
章	_
四	_
句	_
