谷風之什詁訓傳第二十毛詩小雅鄭氏箋谷風刺幽王也天下俗薄朋友道絶焉	谷音榖東風謂之谷風
習習谷風維風及雨	興也風雨相感朋友相須箋云習習和調之貌興者風而有雨則潤澤行喻朋友同志則恩愛成
將恐將懼維予與女	箋云將且也恐懼喻遭厄難勤苦之事也當此之時獨我與女爾謂同其憂務恐丘勇反注下同女音汝厄本又作阨於革反難乃旦反
將安將樂女轉棄予	言朋友趨利窮達相棄箋云朋友無大故則不相遺棄今女以志逹而安樂棄恩忘舊薄之甚樂音洛注下同
習習谷風維風及頽	頽風之焚輪者也風薄相扶而上喻朋友相湏而成頽徒雷反上時掌反
將恐將懼寘予于懷	寘置也置我於懷言至親巳也寘之豉反
將安將樂棄予如遺	箋云如遺者如人行道遺忘物忽然不省存也
習習谷風維山崔嵬無草不死無木不萎	崔嵬山巔也雖盛夏萬物茂壯草木無有不死而萎枝者箋云此言東風生長之風也山巔之上草木猶及之然而盛憂養萬物之時草木枝葉猶有萎槁者以喻朋友雖以㤙相養亦安能不時有小訟乎崔徂囘反嵬五囘反又作峞萎于危反長張文反下同槁苦老反
忘我大德思我小怨	箋云大德切磋以道相成之謂也磋七河反
谷風三章章六句蓼莪刺幽王也民人勞苦孝子不得終養爾	箋云不得終養者二親病亡之時時在役所不得見也蓼音六莪音五河反養餘亮反注除鞠養也榖養也二字餘並同
蓼蓼者莪匪莪伊蒿	興也蓼蓼長大貌箋云莪巳蓼蓼長大貌視之以爲非莪故謂之蒿興者喻憂思雖在役中心不精識其事蒿呼毛友長張丈反下皆同憂思息嗣反
哀哀父母生我劬勞	箋云哀哀者恨不得終養父母報其生長巳之苦
蓼蓼者莪匪莪伊蔚	蔚牡菣也蔚音尉菣去刃反
哀哀父母生我勞瘁	瘁似醉反病也
缾之罄矣維罍之耻	缾小而罍大罄盡也箋云缾小而盡罍大而盈言爲罍耻者刺王不使富分貧衆恤寡缾蒲丁反罄苦定反罍音雷
鮮民之生不如死之久矣	鮮寡也箋云此言供養日寡矣而我尚不得養恨之言也鮮息淺反供養九用反
無父何怙無母何恃出則銜恤入則靡至	箋云恤憂靡無也孝子之心怙恃父母依依然以爲不可斯須無也出門則思之而憂旋入門又不見如無所至怙音户韓詩云怙頼也恃恃負也
父兮生我母兮鞠我拊我畜我長我育我顧我復我出入腹我	鞠養腹厚也箋云父兮生我者本其氣也畜起也育覆育也顧旋視也復反覆也腹懷抱也拊音撫畜喜郁反顧音故覆芳福反
欲報之德昊天罔極	箋云之猶是也我欲報父母是德昊天乎我心無極昊音浩罔無也
南山烈烈飄風發發	烈烈然至難也發發疾貌箋云民人自苦見役視南山則烈烈然飄風發發然寒且疾也飄避遥反
民莫不榖我獨何害	箋云榖養也言民皆得其養父母我獨何故覩此寒苦之害
南山律律飄風弗弗	律律猶烈烈也弗弗猶發發也
民莫不榖我獨不卒	箋云卒終也我獨不得終養父母重自哀傷也卒子恤反重自直用反
蓼莪六章四章章四句二章章八句	晋王褒以父死非罪每讀至哀哀父母生我劬勞未嘗不三復流涕受業者爲廢此篇詩之感人如此
大東刺亂也東國困於役而傷於財譚大夫作是詩以告病焉	箋云譚國在東故其大夫尤苦征役之事也魯莊公十年齊師滅譚譚音徒南反
有饛簋飱有捄棘匕	興也饛滿簋貌飱熟食謂黍稷也捄長貌七所以載鼎實棘赤心也箋云飱者客始至主人所致之礼也凡飡饔餼以其爵等爲之牢礼之數陳興者喻古者天子施予之恩於天下厚饛音蒙簋音軌飱音孫捄音虯又其牛反下章同匕必履反饔於恭反施始䜴反
周道如砥其直如矢	如砥貢賦平均也如矢賞罰不偏也砥之履反
君子所履小人所視	箋云此言古者天子之恩厚也君子皆法効而履行之其如砥矢之平小人又皆視之共之無怨共音恭夲亦作恭
睠言顧之澘焉岀涕	睠反顧也澘涕下貌箋云言我也此二事者在乎前丗過而去矣我從仐顧視之爲之出涕傷今不如古也睠音卷本又作眷澘所姦反說文作澘云涕流貌山晏反出如字徐尺遂反涕音體爲于僞反
小東大東杼柚其空	空盡也箋云小也大也謂賦歛之多少也小亦於東大亦於東言其政偏失砥矢之道也譚無他貨維絲麻爾今盡杼柚不作也杼直吕反說文云盛緯噐柚音逐夲又作軸歛力豔反後同
糾糾葛屨可以履霜佻佻公子行彼周行	佻佻獨行貌公子譚公子也箋云葛屨夏屨也周行周之列位也言時財貨盡雖公子衣屨不能順時乃夏之葛屨也今以履霜送轉餫因見使行周之列位者而發幣焉言雖困乏猶不得止也糾居黝反屨九具反佻徒彫反徐又徒了反沈又徒髙反韓詩作嬥嬥往來貌並音挑本或作窕非也行戸郎反注周行下載施之行并注同餫音運
旣往旣來使我心疚	箋云旣盡文病也言譚人自虚竭餫送而往周人則空盡受之曽無反幣復禮之惠是使我心傷病也疚音救
有洌氿泉無浸穫薪契契寤歎哀我憚人	洌寒意也側出曰氿泉穫艾也契契憂苦也僤勞也箋云穫落木名也旣伐而析之以爲薪不𣣔使氿泉浸之浸之則將濕腐不中用也今譚大夫契契憂苦而寤歎哀其民人之勞苦者亦不欲使周之賦歛小東大東極盡之極盡之則將困病亦猶是也氿音軌字又作浸子鴆反漬也字又作寖穫戸郭反毛刈也鄭落木名也字則冝作木傍契苦計反徐苦結反憚丁佐反徐又音旦下同字亦作癉腐音輔
薪是穫薪尚可載也哀我憚人亦可息也	載載乎意也箋云薪是穫薪者析是穫薪也尚庶幾也庻幾析是穫薪可載而㱕蓄之以為家用哀我勞人亦可休息養之以待囯事者也蓄勑六反
東人之子職勞不來西人之子粲粲衣服	東人譚人也來勤也西人京師人也粲粲鮮盛也箋云職主也東人勞苦而不見謂勤京師人衣服鮮絜而逸豫言王政偏甚也自比章以下言周道衰其不言政偏則言衆官廢職如是而巳來音賚注同
