大禹謨第三虞書孔氏傳皐陶矢厥謨	矢陳也皐音髙陶音遥
禹成厥功	陳其成功
帝舜申之	申重也重美二子之言重直用反
作大禹皐陶謨	大禹謀九功皐陶謀九德
益稷	凢三篇
大禹謨	禹稱大大其功謨謀也
曰若稽古大禹	順考古道而言之
重言	若稽古四本篇堯典舜典皐陶謨
曰文命敷于四海祗承于帝	言其外布文德教命内則敬承堯舜文命孔云文德教命也先儒云文命禹名
曰后克艱厥后臣克艱厥臣政乃乂黎民敏德	敏疾也能知爲君難爲臣不易則其政治而衆民皆疾修德易以䜴反治直吏反
帝曰俞允若兹嘉言罔攸伏野無遺賢萬邦咸寜	攸所也善言無所伏言必用如此則賢才在位天下安俞羊朱反攸音由徐以帚反
重言	帝曰俞十二詳附堯典下
重意	萬邦咸寜周官萬國咸寜洛誥景命萬邦咸休
稽于衆舎已從人不虐無告不廢困窮惟帝時克	帝謂堯也舜因嘉言無所伏遂稱堯德以成其義考衆從人矜孤愍窮凡人所輕聖人所重舎音捨告故毒反矜居陵反
重意	惟帝時克益稷惟帝時舉
益曰都帝德廣運乃聖乃神乃武乃文	益因舜言又美堯也廣謂所覆者大運謂所及者逺聖無所不通神妙無方文經天地武定禍亂
重意	帝德廣運下文帝德罔愆
皇天眷命奄有四海爲天下君	眷視奄同也言堯有此德故爲天所命所以勉舜也○眷居倦反奄於檢反
重意	皇天眷命太甲微子之命皇天眷佑〇爲天下君洪範爲天下王
禹曰惠迪吉從逆凶惟影響	迪道也順道吉從逆凶吉凶之報如影之隨形響之應聲言不虚迪徒歷反響許丈反
益曰吁戒哉儆戒無虞罔失法度	先吁後戒欲使聽者精其言虞度也無億度謂無形戒於無形備愼深秉法守度言有恒吁况俱反度徒布反虞度徒洛反
重意	戒哉㣧征懋戒哉太甲嗣王戒哉
罔遊于逸罔淫于樂	淫過也遊逸過樂敗德之原富貴所忽故持以爲戒樂音洛
任賢勿貳去邪勿疑疑謀勿成百志惟熈	一意任賢果於去邪疑則勿行道義所存於心日以廣矣去起吕反熈火其反
罔違道以干百姓之譽	干求也失道求名古人賤之
罔咈百姓以從已之欲	咈戾也專欲難成犯衆興禍故戒之咈扶弗反戾連弟反
無怠無荒四夷來王	言天子常戒愼無怠惰荒廢則四夷歸往之怠音待惰徒卧反
禹曰於	音烏
帝念哉德惟善政政在養民	歎而言念重其言爲政以德則民懷之
重言	帝念哉二下文一又益稷帝其念哉
水火金木土榖惟修	言養民之本在先修六府
正德利用厚生惟和	正德以率下利用以阜財厚生以養民三者和所謂善政
九功惟叙九叙惟歌	言六府三事之功有次叙皆可歌樂乃德政之致樂音洛
戒之乃降黎民懷之	邁行種布降下懐歸也言己無德民所不能依皐陶布行其德下治於民民歸服之種章用反降工巷反
重言	黎民懷之二本篇一皐陶謨一
帝念哉念兹在兹釋兹在兹	兹此釋廢也念此人在此功廢此人在此罪言不可誣
重言	帝念哉二見上文
互註	左襄二十三年仲尼曰知之難也有臧武仲之知而不容於魯國抑有由也作不順而施不恕也夏書曰念兹在兹順事恕施也
名言兹在兹允出兹在兹惟帝念功	名言此事必在此義信出此心亦在此義言皐陶之德以義爲主所冝念之
互註	左襄二十一年夏書曰念兹在兹名言兹在兹允出兹在兹惟帝念功將謂由己壹也信由己壹而後功可念也住云言非但意念而己蓋須信己誠至
帝曰皐陶惟兹臣庶罔或干予正	或有也無有干我正言順命
汝作士明于五刑以弼五教期于予治	弼輔期當也歎其能以刑輔教當於治體當丁浪反又如字
〇重言	汝作士二前見舜典
刑期于無刑民恊于中時乃功懋哉	雖或行刑以殺止殺終無犯者刑期於無所刑民皆合於大中之道是汝之功勉之懋音茂
重意	民協于中吕刑士制百姓于刑之中
重言	時乃功三本篇二益稷一〇懋哉四舜典二本篇二
皐陶曰帝德罔愆臨下以簡御衆以寛	愆過也善則稱君人臣之義愆起䖍反
罰弗及嗣賞延于丗	嗣亦丗俱謂子延及也父子罪不相及而及其賞道德之政
宥過無大刑故無小	過誤所犯雖大必宥不忌故犯雖小必刑宥音又
罪疑惟輕功疑惟重	刑疑附輕賞疑從重忠厚之至
與其殺不辜寜失不經好生之德洽于民心兹用不犯于有司	辜罪經常司主也皐陶因帝勉已遂稱帝之德所以明民不犯上也寜失不常之罪不枉不辜之善仁愛之道辜音孤好呼報反
重意	好生之德洽于民心畢命道洽政治澤潤生民
互註	左襄二十六年善爲國者賞不僣而刑不濫賞僣則懼及淫人刑濫則懼及善人若不幸而過寜僣無濫與其失善寜其利淫無善人則國從之故夏書曰與其殺不辜寜失不經懼失善也詩曰人之云亡邦國殄瘁無善人之謂也
帝曰俾予從欲以治四方風動惟乃之休	使我從心所欲而政以治民動順上命若草應風是汝能明刑之美也
帝曰來禹降水儆予成允成功惟汝賢	水性流下故曰下水儆戒也能成聲教之信成治水之功言禹最賢重美之儆居領反重直用反
重言	帝曰來禹二又益稷
克勤于邦克儉于家不自滿假惟汝賢	滿謂盈實假大也言禹惡衣薄食卑其宫室而盡力爲民執心謙冲不自盈大假工雅反盡津忍反爲于僞反
汝惟不矜天下莫與汝爭能汝惟不伐天下莫與汝爭功	自賢曰矜自功曰伐言禹推善讓人而不失其能不有其勞而不失其功所以能絶衆人
予懋乃德嘉乃丕績天之曆數在汝躬汝終陟元后	丕大也曆數謂天道元大也大君天子舜善禹有治水之大功言天道在汝身汝終當升爲天子丕普悲反
人心惟危道心惟微惟精惟一允執厥中	危則難安微則難明故戒以精一信執其中
重意	惟精惟一咸有一德惟和惟一〇允執厥中仲虺建中于民
無稽之言勿聽弗詢之謀勿庸	無考無信驗不詢專獨終必無成故戒勿聽用聽徐天定反
可愛非君可畏非民衆非元后何戴后非衆罔與守邦	民以君爲命故可愛君失道民叛之故可畏言衆戴君以自存君恃衆以守國相須而立
重意	衆非元后何戴后非衆罔與守邦太甲民非后罔克胥匡以生后非民罔以辟四方咸有一德后非民罔使民非后罔事
欽哉愼乃有位敬修其可願四海困窮天禄永終	有位天子位可願謂道德之美困窮謂天民之無告者言爲天子勤此三者則天之禄籍長終汝身
重言	欽哉九本篇二餘附堯典
重意	愼乃有位益稷愼乃在位
惟口出好興戎朕言不再	好謂賞善戎謂伐惡言口榮辱之主慮而宣之成於一也出如字徐尺遂反好如字徐許到反
禹曰枚卜功臣惟吉之從	枚謂歷卜之而從其吉此禹讓之志枚音梅
帝曰禹官占惟先蔽志昆命于元龜	帝王立卜占之官故曰官占蔽斷昆後也官占之法先斷人志後命於元龜言志定然後卜蔽必丗反徐甫丗反斷丁亂反
朕志先定詢謀僉同鬼神其依龜筮協從卜不習吉	習因也言巳謀之於心謀及卜筮四者合從卜不因吉無所枚卜僉七潜反
重意	卜不習吉金縢三龜一習吉
禹拜稽首固辭	再辭曰固
帝曰母惟汝諧	言母所以禁其辭禹有大功德故能諧和元后之任禁今鴆反又音金
正月朔旦受命于神宗	受舜終事之命神宗文祖之宗廟言神尊之正音政又音征
重意	正月朔旦受命于神宗舜典正月上日受終于文祖又月正元日舜格于文祖
率百官若帝之𥘉	順舜𥘉攝帝位故事奉行之
帝曰咨禹惟時有苗弗率汝徂征	三苗之民數干王誅率循徂往也不循帝道言亂逆命禹討之數音朔
重言	咨禹二前見舜典
禹乃㑹羣后誓于師曰濟濟有衆咸聽朕命	㑹諸侯共伐有苗軍旅曰誓濟濟衆盛之貌濟濟子禮反
重意	濟濟有衆咸聽朕命泰誓西土有衆咸聽朕言
蠢兹有苗昬迷不恭	蠢動昬闇也言其所以宜討之蠢春允反
侮慢自賢反道敗德	狎侮先王輕慢典教反正道敗德義侮亡甫反慢亡諌反
君子在野小人在位	廢仁賢任姦佞
民棄不保天降之咎	言民叛天災之咎其九反
肆予以爾衆士奉辭罰罪	肆故也辭謂不恭罪謂侮慢以下事
爾尚一乃心力其克有勲	尚庶幾一汝心力以從我命
三旬苗民逆命	旬十日也以師臨之一月不服責舜不先有又誥之命威讓之辭而便憚之以威脅之以兵所以生辭誥古報反憚徒旦反一音丹末反脅許業反
益賛于禹曰惟德動天無逺弗届	賛佐届至也益以此義佐禹欲其修德致逺届音戒
滿招損謙受益時乃天道	自滿者人損之自謙者人益之是天之常道
帝	_
𥘉	_
于	_
歷	_
山	_
往	_
于	_
田	_
日	_
號	_
泣	_
于	_
旻	_
天	_
