五子之歌第三夏書孔氏傳太康失邦	啓子也盤于遊田不恤民事爲羿所逐不得反國
昆弟五人須于洛汭作五子之歌	太康五弟與其母待太康於洛水之北怨其不反故作歌五子名字書傳無聞仲康蓋其一也須馬云止也汭如銳反本又作内音同
五子之歌	啓之五子因以名篇
太康尸位以逸豫	尸主也主以尊位爲逸䂊不勤逸本又作佾豫本又作忬音同
滅厥德黎民咸貳	君䘮其德則衆民皆貳心矣黎力兮反䘮息浪反
乃盤遊無度	盤樂游逸無法度盤歩干反本或作槃度如字樂音洛
畋于有洛之表十旬弗反	洛水之表水之南十日曰旬田獵過百日不還畋音田
有窮后羿因民弗忍距于河	有窮國名羿諸侯名距太康於河不得入國遂廢之羿五計反徐胡細反距音巨
厥弟五人御其母以從	御侍也言從畋從如字或作才用反非
徯于洛之汭五子咸怨	待太康怨其乆畋失國徯胡啓反
述大禹之戒以作歌	𫐠循也歌以叙怨
其一曰皇祖有訓民可近不可下	皇君也君祖禹有訓戒近謂親之下謂失分近附近之近分扶問反
重意	民可近不可下太甲下無輕民事惟難
民惟邦本本固邦寜	言人君當固民以安國
予視天下愚夫愚婦一能勝予	言能畏敬小民所以得衆心
一人三失怨豈在明不見是圖	三失過非一也不見是謀備其微三如字又息暫反見賢遍反
予	_
臨	_
兆	_
民	_
懔	_
乎	_
若	_
